datetime,arrivals
1371151620,1
1371154500,1
1371155580,2
1371157080,2
1371158760,1
1371158880,1
1371160560,1
1371160800,1
1371161040,1
1371162120,1
1371162660,1
1371162840,1
1371163740,1
1371164700,1
1371164940,1
1371165300,1
1371165900,1
1371167100,1
1371206520,1
1371211800,1
1371213240,1
1371214440,1
1371214860,1
1371215220,1
1371216060,1
1371220020,1
1371220920,1
1371223140,1
1371225300,1
1371227640,1
1371227880,1
1371228660,2
1371228720,1
1371229320,2
1371231060,2
1371231180,1
1371231660,1
1371231960,4
1371232200,1
1371232740,3
1371232860,1
1371233220,1
1371233760,1
1371234540,2
1371235500,2
1371235860,2
1371236460,1
1371237480,1
1371239400,1
1371239820,1
1371240240,1
1371244320,1
1371244620,1
1371245400,1
1371245520,1
1371247080,1
1371247800,1
1371247920,1
1371247980,1
1371250080,1
1371250500,1
1371251100,1
1371251640,1
1371251700,1
1371251760,1
1371253140,1
1371253320,1
1371253440,1
1371253920,1
1371254220,2
1371255480,1
1371256680,1
1371257040,1
1371257280,1
1371259140,1
1371259260,1
1371260760,1
1371262860,1
1371263340,1
1371264900,1
1371265260,1
1371265740,1
1371267180,1
1371268740,1
1371269100,1
1371270240,1
1371270780,1
1371271200,1
1371271560,1
1371274680,1
1371275040,1
1371277620,2
1371295860,2
1371301440,1
1371304740,1
1371305220,2
1371305340,1
1371306060,1
1371307560,1
1371307860,1
1371309180,1
1371309420,1
1371310080,1
1371310920,1
1371311280,1
1371311340,1
1371312360,2
1371313980,1
1371314520,1
1371314820,1
1371314880,2
1371316140,1
1371316560,3
1371318840,2
1371319020,1
1371320220,1
1371320340,1
1371320460,1
1371320580,1
1371321240,1
1371321540,2
1371322140,1
1371323040,1
1371323100,2
1371324060,1
1371324180,2
1371324480,1
1371324780,5
1371325140,2
1371325320,1
1371325440,1
1371325740,3
1371325800,1
1371326220,1
1371326640,1
1371327180,1
1371327300,1
1371327360,1
1371327420,2
1371327840,1
1371328200,2
1371328260,1
1371328440,2
1371328800,1
1371329040,1
1371329940,1
1371330060,1
1371330480,1
1371331620,2
1371332220,1
1371332280,1
1371333840,1
1371334680,1
1371336120,1
1371336720,1
1371336900,1
1371337740,1
1371338100,1
1371341040,1
1371342120,1
1371344160,1
1371348000,1
1371348600,2
1371349440,1
1371350340,1
1371351180,1
1371351360,2
1371351540,1
1371351780,1
1371352200,1
1371353400,1
1371356400,1
1371356940,2
1371359700,1
1371360420,1
1371362220,1
1371362280,1
1371363660,1
1371376260,1
1371376320,1
1371387300,1
1371388560,1
1371390180,1
1371390300,1
1371390360,1
1371392460,1
1371392580,1
1371394200,1
1371394980,1
1371395580,1
1371397860,1
1371398700,1
1371399360,1
1371399660,1
1371399780,1
1371400080,1
1371400260,1
1371400680,1
1371400740,2
1371401580,1
1371402480,1
1371402780,1
1371402960,2
1371403020,1
1371403320,3
1371403620,1
1371403740,1
1371404340,2
1371405960,1
1371407040,2
1371407700,1
1371407940,1
1371408420,2
1371409680,1
1371409740,2
1371411120,1
1371411180,1
1371411300,2
1371411780,1
1371411840,1
1371412500,1
1371413220,1
1371413340,1
1371415020,2
1371415680,1
1371415740,2
1371416040,1
1371416220,1
1371416520,1
1371416580,1
1371417180,1
1371417420,1
1371420000,1
1371420360,2
1371420840,2
1371421440,2
1371421740,3
1371421980,2
1371422040,2
1371422160,2
1371422460,1
1371423480,2
1371423540,1
1371424440,2
1371425880,1
1371426600,1
1371427080,1
1371427920,2
1371427980,2
1371428280,1
1371428700,2
1371428820,1
1371428880,1
1371429900,2
1371431100,1
1371431220,1
1371432780,1
1371434220,1
1371434640,1
1371434760,1
1371439980,1
1371440040,1
1371441240,1
1371461400,1
1371467460,1
1371472320,1
1371473640,1
1371473940,1
1371474540,1
1371477720,1
1371478740,1
1371480360,1
1371481740,1
1371482940,1
1371484080,1
1371485100,1
1371485280,1
1371485640,1
1371488340,1
1371490200,1
1371495300,2
1371495480,1
1371502740,1
1371502920,1
1371505140,1
1371505200,2
1371505260,2
1371506040,1
1371507780,1
1371508080,1
1371508200,2
1371508920,1
1371509160,1
1371509220,1
1371509340,1
1371509520,1
1371509700,1
1371510000,1
1371510360,2
1371510480,1
1371511320,4
1371511560,1
1371511740,1
1371512040,1
1371512400,1
1371512640,1
1371514020,2
1371514440,2
1371515100,1
1371516720,1
1371523140,1
1371523800,1
1371524220,2
1371525960,1
1371526260,1
1371529560,2
1371530400,1
1371530580,1
1371530700,2
1371530760,1
1371530820,2
1371530880,1
1371531000,2
1371531060,1
1371531120,4
1371531180,1
1371531660,1
1371532020,1
1371532080,2
1371553620,1
1371558780,1
1371559140,1
1371559980,1
1371561720,1
1371562740,2
1371562860,1
1371565080,1
1371565920,1
1371568260,1
1371568800,1
1371570180,1
1371570480,1
1371571380,1
1371573000,1
1371573360,1
1371573540,2
1371573840,1
1371573960,1
1371577020,2
1371577140,1
1371577800,1
1371578220,1
1371578460,1
1371579240,1
1371579360,1
