datetime,arrivals
1371161340,1
1371162360,2
1371162420,3
1371162480,1
1371162540,1
1371163380,1
1371164580,1
1371165180,2
1371165300,2
1371170580,1
1371207840,1
1371211080,1
1371212520,2
1371212580,1
1371212880,1
1371213060,1
1371213240,2
1371213660,1
1371214020,1
1371215220,1
1371215400,1
1371215520,1
1371216360,1
1371220380,1
1371223560,1
1371225660,1
1371235740,1
1371242340,1
1371243600,2
1371245160,2
1371247320,1
1371247980,1
1371248760,1
1371251520,2
1371252180,1
1371253200,1
1371253500,1
1371255780,2
1371260160,1
1371260340,2
1371274380,2
1371274440,3
1371274560,2
1371283440,1
1371302880,1
1371304680,1
1371305100,1
1371307440,1
1371308160,1
1371308340,4
1371309000,1
1371312540,1
1371312600,2
1371312720,1
1371313020,1
1371313740,1
1371313980,1
1371314340,2
1371315600,1
1371317280,2
1371318180,1
1371318240,1
1371318600,1
1371319020,1
1371320700,1
1371321120,1
1371321300,2
1371321420,1
1371321480,1
1371322440,1
1371323460,1
1371324180,2
1371325020,2
1371325080,1
1371325260,1
1371325740,1
1371326280,1
1371327480,1
1371329040,1
1371329160,1
1371329220,1
1371329940,3
1371330000,2
1371330120,1
1371330300,1
1371330480,2
1371331080,1
1371331200,2
1371332640,1
1371333240,2
1371333420,1
1371333540,1
1371333840,1
1371333900,1
1371334200,1
1371334980,1
1371335460,1
1371336480,2
1371337920,1
1371338760,2
1371338940,4
1371339060,3
1371339840,1
1371339900,2
1371340500,2
1371340860,2
1371341040,2
1371341160,1
1371341220,1
1371342060,1
1371342240,1
1371342780,1
1371345180,2
1371346320,1
1371346620,2
1371347760,1
1371348360,1
1371356700,1
1371363000,2
1371372420,1
1371374040,1
1371374100,1
1371378900,1
1371385560,1
1371387000,1
1371387960,1
1371388080,1
1371393660,1
1371394740,1
1371394860,1
1371394980,1
1371395280,1
1371396600,2
1371397740,1
1371399060,2
1371400080,2
1371401340,1
1371401460,1
1371402120,1
1371403320,2
1371404640,1
1371404820,3
1371405720,1
1371405960,1
1371408000,2
1371408120,2
1371408360,1
1371409260,1
1371409920,1
1371410100,3
1371410820,1
1371411540,1
1371411840,1
1371413100,1
1371415140,1
1371416580,3
1371416760,1
1371417180,1
1371417540,1
1371418860,3
1371419160,1
1371419340,1
1371419880,1
1371422280,1
1371422640,1
1371424860,1
1371424980,1
1371425100,1
1371426060,1
1371426240,1
1371426300,2
1371431220,3
1371439860,2
1371444720,1
1371444900,1
1371445200,1
1371445260,1
1371445320,1
