datetime,arrivals
1371221040,1
1371228960,1
1371232080,1
1371236700,1
1371269400,1
1371269580,1
1371275220,10
1371308460,1
1371308520,1
1371319380,2
1371323400,1
1371325440,3
1371325500,1
1371326880,1
1371331500,2
1371332100,1
1371332520,2
1371332760,1
1371337680,2
1371340440,1
1371344580,1
1371349980,1
1371361620,1
1371373560,1
1371384420,2
1371384480,4
1371384540,2
1371401580,2
1371401700,1
1371406560,2
1371406980,1
1371409380,2
1371411000,2
1371412860,2
1371415800,1
1371416520,1
1371417180,1
1371418260,2
1371418620,1
1371419460,2
1371474960,1
1371475440,1
1371475620,1
1371477600,1
1371477840,1
1371479760,1
1371521220,1
1371524040,1
1371524100,1
1371526740,1
1371552540,1
1371556680,1
1371563460,1
1371564000,1
1371572820,1
1371579840,1
1371592080,1
1371645000,2
1371645420,1
1371646080,2
1371663660,2
1371664980,1
1371670860,1
1371681120,1
1371685080,1
1371685320,1
1371685740,1
1371687180,1
1371691740,1
1371691800,2
1371695640,1
1371724980,1
1371731220,1
1371736260,1
1371737820,1
1371738060,2
1371749520,1
1371749580,2
1371751380,3
1371757740,2
1371759120,1
1371762240,2
1371767100,1
1371768180,1
1371768660,1
1371771420,1
1371780180,1
1371816540,1
1371817140,1
1371818100,1
1371823320,1
1371835800,1
1371840840,2
1371846480,1
1371848940,1
1371850620,1
1371853260,2
1371854280,1
1371858540,1
1371861000,1
1371861300,1
1371864840,1
1371869280,1
1371903840,1
1371903900,1
1371904020,1
1371912780,1
1371917220,2
1371917400,3
1371920700,1
1371925020,4
1371926760,1
1371928260,2
1371929340,1
1371930060,1
1371930180,1
1371930420,1
1371930480,2
1371930780,2
1371931020,1
1371935040,1
1371936720,2
1371937800,1
1371938160,2
1371939240,2
1371941940,3
1371942720,1
1371944220,1
1371946140,1
1371957600,2
1371958020,1
1371965880,1
1371968100,1
1371989640,1
1371997740,1
1372002960,1
1372004580,1
1372007460,1
1372008600,2
1372008960,1
1372009560,1
1372013280,1
1372014900,1
1372017360,1
1372018620,1
1372019640,1
1372022220,1
1372026180,1
1372026240,1
1372031100,1
1372033680,1
1372038000,1
1372075080,1
1372080420,1
1372086240,1
1372090920,3
1372091160,1
1372112340,1
1372113180,1
1372115880,1
