datetime,arrivals
1371152760,1
1371155880,1
1371156540,1
1371158160,2
1371161940,2
1371165900,1
1371179880,1
1371209880,1
1371214620,1
1371215520,1
1371219360,1
1371219540,1
1371219600,1
1371224940,1
1371228000,2
1371231720,1
1371233280,1
1371233700,1
1371233760,1
1371233820,1
1371234120,1
1371234300,1
1371234900,1
1371235980,3
1371237480,1
1371237540,2
1371237840,1
1371239280,2
1371239640,2
1371243120,1
1371244140,1
1371245880,1
1371252060,1
1371252120,1
1371253200,2
1371255900,1
1371257040,1
1371258480,1
1371258960,2
1371259680,1
1371260160,2
1371266220,1
1371266340,1
1371267660,3
1371268440,1
1371268740,1
1371268800,1
1371273720,2
1371274380,1
1371274560,1
1371275040,1
1371287280,1
1371287520,4
1371287580,7
1371287640,2
1371305700,1
1371307560,1
1371308340,1
1371309240,1
1371309420,2
1371310440,1
1371311280,1
1371312180,1
1371312360,1
1371314580,1
1371315300,3
1371315720,1
1371316020,1
1371316140,1
1371317580,3
1371318000,1
1371318060,3
1371318120,2
1371318840,2
1371319320,1
1371319440,1
1371319500,2
1371319800,1
1371319920,2
1371320340,1
1371320580,1
1371320940,1
1371321120,1
1371321180,1
1371321540,2
1371321840,1
1371322080,1
1371322140,1
1371324180,3
1371324540,2
1371324660,1
1371325260,2
1371326160,1
1371326220,1
1371326280,2
1371326520,1
1371327300,1
1371327480,2
1371327720,1
1371328500,1
1371328560,2
1371329640,1
1371329880,2
1371329940,1
1371330000,1
1371330120,1
1371330180,3
1371330720,1
1371331080,2
1371332280,2
1371332340,2
1371332460,1
1371332520,4
1371332880,1
1371333000,1
1371333300,2
1371333900,1
1371334260,1
1371334920,1
1371335280,2
1371335340,3
1371335400,4
1371336360,1
1371337860,2
1371337980,1
1371338400,2
1371339540,1
1371339660,1
1371340080,2
1371340440,2
1371341520,1
1371342900,1
1371344280,1
1371346560,1
1371348600,1
1371349320,2
1371356940,3
1371358680,1
1371359040,1
1371359160,1
1371364140,5
1371365280,2
1371366180,1
1371369060,2
1371375000,1
1371387660,1
1371387840,1
1371389160,1
1371393420,1
1371393480,1
1371395700,2
1371396180,3
1371396540,1
1371396600,1
1371396720,1
1371396840,2
1371398580,1
1371398880,1
1371399780,2
1371399960,2
1371400860,4
1371401280,1
1371401400,1
1371401460,1
1371402600,3
1371402720,3
1371403920,1
1371404400,1
1371404580,1
1371406320,1
1371406440,1
1371406680,2
1371407040,1
1371407580,1
1371408180,2
1371408480,2
1371408600,1
1371408780,2
1371409140,1
1371409380,2
1371409440,4
1371409500,1
1371409680,1
1371409740,2
1371409800,1
1371410460,1
1371410520,1
1371410820,1
1371410940,1
1371411780,1
1371411840,3
1371412920,2
1371412980,1
1371413340,1
1371414180,1
1371414420,1
1371414840,1
1371416280,1
1371416880,3
1371416940,2
1371417060,3
1371418680,1
1371420540,2
1371420600,2
1371420840,1
1371420900,1
1371421200,1
1371421860,2
1371421980,1
