datetime,arrivals
1371162480,1
1371250560,1
1371318840,1
1371358260,1
1371358380,1
1371361500,1
1371366480,2
1371405180,1
1371429540,1
1371430200,1
1371464400,1
1371493860,1
1371508440,1
1371516840,1
1371576000,1
1371579840,1
1371584640,1
1371588600,1
1371650580,1
1371651420,1
1371652440,1
1371681600,1
1371730380,1
1371739740,1
1371745500,1
1371767520,1
1371775320,1
1371816180,1
1371847260,1
1371847860,1
1371854160,1
1371922800,2
1371927120,1
1371932940,2
1371940980,1
1371941580,1
1372021200,4
1372050480,1
1372113180,1
1372132440,4
1372132800,1
1372185480,1
1372195800,1
1372199760,1
1372200720,1
1372279800,1
1372281840,1
1372284780,1
1372286160,1
1372370580,1
1372374060,2
1372375320,1
1372376280,1
1372380480,1
1372451820,1
1372458840,1
1372470720,1
1372531020,1
1372545960,1
1372607460,1
1372607760,1
1372627260,1
1372681260,2
1372717980,1
1372838700,2
1372858500,2
1372858860,3
1372873380,1
1372875000,1
1372875120,1
1372889520,1
1372901880,1
1372978200,1
1372978320,1
1372987200,1
1373062620,1
1373063520,2
1373073900,1
1373137920,1
1373213160,1
1373221320,1
1373221860,1
1373230020,1
1373236500,1
1373313360,1
1373319720,1
1373327340,2
1373328300,2
1373338980,1
1373406300,1
1373407320,1
1373409660,2
1373497080,1
1373568540,2
1373579160,1
1373581860,1
1373581920,1
1373583720,1
1373661360,1
1373665200,2
1373681700,1
1373731680,1
1373755500,1
1373759820,1
1373760000,1
1373766360,2
1373804040,1
1373850420,1
1373986080,1
1374012240,1
1374013140,1
1374013740,1
1374013920,1
1374016380,1
1374027360,1
1374090420,1
1374096420,1
1374098460,1
1374100620,1
1374101280,1
1374103260,1
1374107160,1
1374170880,1
1374179460,1
1374184380,1
1374186660,1
1374187740,1
1374273660,1
1374274800,1
1374321600,1
1374342420,1
1374362100,1
1374362700,1
1374421800,1
1374432840,1
1374433680,1
1374438300,1
1374508380,1
1374522000,1
1374525180,1
1374531120,1
1374531480,1
1374532320,1
1374547260,1
1374585060,1
1374612480,2
1374619560,1
1374620760,1
1374670320,1
1374698760,1
1374702300,1
1374704580,1
1374705060,1
1374706680,1
1374706860,1
1374785220,1
1374788880,1
1374794040,1
1374819660,1
1374867120,1
1374867300,1
1374867360,6
1374877200,1
1374878220,1
1374879720,1
1374893040,1
1374897720,1
1374935460,1
1374948780,2
1374958860,1
1374964560,1
1374964740,1
1374985140,3
1374985320,1
1374985440,3
1375036440,1
1375043280,1
1375044180,1
1375049520,1
1375049640,2
1375133880,1
1375136460,1
1375136640,1
1375137600,1
1375142940,2
1375159140,3
1375159260,1
1375159500,4
1375213680,1
1375216680,1
1375223580,1
1375223700,1
1375227120,1
1375295520,1
1375304700,1
1375309380,1
1375309800,1
1375309920,1
1375310100,1
1375310940,1
1375317000,2
1375323840,1
1375327800,1
1375367040,1
1375396080,1
1375396920,1
1375475520,1
1375476480,1
1375478160,1
1375567140,1
1375570860,1
1375648380,1
1375650120,2
1375663740,1
1375707720,1
1375724700,1
1375732500,1
1375734660,1
1375736340,1
1375738080,1
1375741800,1
1375743120,1
1375804080,1
1375818780,1
1375821660,1
1375825980,1
1375828020,1
1375828200,1
1375893660,1
1375897080,1
1375908480,1
1375910280,1
1375914780,1
1375915740,1
1376000820,1
1376008080,1
1376013000,1
1376017860,1
1376067180,1
1376082000,1
1376082300,1
1376087640,1
1376087880,1
1376094300,1
1376170200,1
1376170680,1
1376180760,1
1376231520,1
1376232720,1
1376232900,1
1376236560,1
1376246340,1
1376250900,1
1376251500,2
1376254800,1
1376254920,1
1376259840,1
1376337540,1
1376339520,1
1376346540,1
1376346780,1
1376398260,1
1376426520,1
1376433060,1
1376433180,1
1376435280,5
1376435400,1
1376435700,5
1376493780,2
1376493840,2
1376493900,1
1376511420,1
1376511600,1
1376512740,1
1376515800,1
1376519160,1
1376569320,1
1376587500,1
1376605080,1
1376605680,1
1376612940,1
1376648340,1
1376686560,1
1376691060,1
1376693280,1
1376699160,1
1376753520,1
1376754540,1
1376758680,1
1376764200,1
1376766000,1
1376775600,1
1376776800,1
1376779680,1
1376779860,1
1376779980,2
1376780040,1
1376780100,1
1376785500,1
1376858340,1
1376862060,1
1376862780,1
1376866260,1
1376866440,2
1376867520,1
1376929560,2
1376929680,1
1376929860,2
1376941980,1
1376946360,2
1376946660,1
1376947080,1
1376947860,1
1376951220,1
1376951460,1
1376960460,1
1376996220,1
1377014220,1
1377028620,1
1377032640,1
1377032700,2
1377033000,1
1377033600,1
1377033720,4
1377047280,3
1377077100,1
1377084480,1
1377091680,1
1377102360,1
1377113640,1
1377118680,1
1377124560,1
1377126480,1
1377128040,1
1377134400,1
1377200280,1
1377204180,1
1377204540,1
1377210660,1
1377211260,1
1377214560,1
1377216420,1
1377217380,1
1377225600,1
1377243540,1
1377279000,1
1377280380,1
1377282060,1
1377286560,1
1377294600,1
1377296880,1
1377299640,1
1377303960,1
1377312120,1
1377360300,2
1377361260,1
1377367680,1
1377368040,1
1377370980,1
1377371880,1
1377371940,1
1377374520,1
1377386460,1
1377406200,3
1377453600,1
1377455580,1
1377461460,1
1377464460,2
1377483300,1
1377522120,1
1377545340,1
1377549600,1
1377554580,1
1377556500,1
1377602340,1
1377621960,1
1377631860,1
1377640140,1
1377680820,10
1377685500,1
1377691200,1
1377691500,13
1377707100,1
1377719400,1
1377725160,1
1377728520,1
1377728820,1
1377739320,1
1377757320,2
1377772080,1
1377834600,7
1377834840,3
1377835200,8
1377858720,1
1377864000,1
1377881640,1
1377896220,1
1377902280,1
1377908520,1
1377908640,1
1377909960,1
1377923700,1
1377937680,1
1377947040,1
1377963000,1
1377979860,1
1377980100,1
1377981360,1
1377995100,1
1378016220,1
1378022400,3
1378022640,1
1378054740,1
1378063620,1
1378071780,1
1378106340,2
1378128960,1
1378153680,1
1378158840,2
1378158900,3
1378159020,5
1378159140,1
1378159260,1
1378161540,1
1378161660,1
1378168800,1
1378168920,1
1378186380,1
1378205460,1
1378209540,1
1378210440,1
1378213320,1
1378218240,2
1378236300,1
1378237980,1
1378238100,1
1378240740,1
1378241520,1
1378242480,1
1378247160,1
1378247280,1
1378248300,1
1378259700,1
1378273200,1
1378296060,1
1378297620,1
1378313040,4
1378313160,3
1378322940,1
1378324320,1
1378327200,1
1378332180,1
1378332480,1
1378332900,1
1378333560,1
1378334040,1
1378346400,1
1378356480,2
1378384260,1
1378394580,2
1378394700,4
1378395120,2
1378404540,1
1378411440,1
1378412880,1
1378413000,1
1378414380,2
1378414500,2
1378416000,1
1378418520,1
1378419900,2
1378420080,2
1378422600,1
1378427100,1
1378464240,1
1378469220,1
1378471080,1
1378495680,1
1378496580,3
1378496760,1
1378499520,1
1378500660,1
1378506360,1
1378513380,1
1378585140,2
1378586100,5
1378586340,4
1378592100,1
1378600020,1
1378660680,3
1378685280,1
1378685460,1
1378692180,1
1378745040,1
1378746360,1
1378755300,1
1378756860,1
1378787160,9
1378811160,1
1378813440,1
1378815300,1
1378827180,1
1378829880,1
1378836060,1
1378841040,1
1378843200,1
1378852200,1
1378853100,1
1378859880,1
1378866960,1
1378900260,1
1378902180,1
1378915140,1
1378915320,1
1378927680,1
1378928880,1
1378938420,1
1378938540,1
1378938780,1
1378943640,1
1378986240,1
1378996140,1
1378996260,1
1379013120,1
1379013840,1
1379014020,1
1379015820,1
1379018580,1
1379025060,1
1379038380,1
1379038500,1
1379041500,1
1379041860,1
1379070660,1
1379073480,1
1379074320,1
1379075460,1
1379088480,1
1379090940,1
1379092080,1
1379100960,1
1379103480,1
1379104020,1
1379104980,1
1379111220,1
1379111340,1
1379113080,1
1379115780,1
1379116440,1
1379118300,1
1379122920,1
1379131860,3
1379137020,1
1379191020,1
1379197680,1
1379197860,1
1379204220,1
1379204400,1
1379204460,1
1379205000,1
1379281200,1
1379339880,4
1379340000,1
1379347620,1
1379354340,1
1379360160,1
1379364780,1
1379370240,1
1379371620,1
1379372580,1
1379374500,1
1379377560,1
1379381700,1
1379395740,1
1379395860,1
1379418540,1
1379420340,1
1379420460,1
1379451240,1
1379452080,1
1379456880,1
1379457240,1
1379458560,1
1379460060,1
1379467620,1
1379468760,1
1379502120,1
1379505180,1
1379512080,1
1379520240,1
1379533680,1
1379543280,1
1379559660,1
1379591460,1
1379607960,1
1379610420,1
1379623800,1
1379624340,1
1379625120,1
1379629680,1
1379636580,1
1379636700,1
1379640900,1
1379683680,1
1379685000,1
1379688060,1
1379693280,1
1379696400,1
1379707140,1
1379708400,1
1379708760,1
1379709660,1
1379715360,1
1379717340,1
1379717760,1
1379720460,1
1379723100,1
1379727300,1
1379733180,1
1379761740,1
1379802300,1
1379808120,1
1379808300,1
1379809860,1
1379885400,2
1379937420,1
1379952240,1
1379964000,1
1379966460,1
1379968560,1
1379968620,1
1379973780,1
1379975280,1
1379978460,1
1379978940,2
1379979600,1
1379982240,1
1379986020,1
1379996640,1
1380025740,1
1380028380,1
1380038640,1
1380045960,1
1380050760,1
1380055500,1
1380055680,1
1380056640,2
1380061620,1
1380061740,1
1380062040,1
1380063300,1
1380065340,1
1380108600,1
1380124920,1
1380137160,1
1380140460,1
1380141720,1
1380145740,1
1380148740,1
1380148980,2
1380153060,1
1380156840,1
1380159000,1
1380162120,1
1380206700,3
1380206820,2
1380207000,1
1380211500,1
1380213360,1
1380217620,1
1380223380,1
1380228240,1
1380230220,1
1380230700,1
1380232500,1
1380232920,1
1380233460,1
1380234360,1
1380238260,1
1380241080,1
1380241380,1
1380245700,1
1380283140,1
1380285960,1
1380293280,1
1380310320,1
1380314340,1
1380318060,1
1380320820,1
1380328140,1
1380332100,1
1380342300,1
1380399300,1
1380414660,1
1380417000,1
1380417060,1
1380476820,1
1380488460,1
1380499260,1
1380500940,1
1380508620,1
1380542520,1
1380556680,1
