datetime,arrivals
1371154980,1
1371156300,1
1371158400,2
1371160800,1
1371163020,1
1371164820,1
1371207720,1
1371208860,1
1371212400,1
1371214320,11
1371214380,2
1371215700,1
1371217500,1
1371217800,1
1371219600,1
1371221040,1
1371221580,1
1371223980,1
1371226740,1
1371228600,1
1371229320,1
1371229380,1
1371230640,1
1371231480,1
1371233160,1
1371234240,1
1371234900,1
1371240600,1
1371240780,1
1371241800,1
1371242880,1
1371243780,1
1371244620,1
1371245040,1
1371246660,1
1371246900,1
1371247620,2
1371247980,1
1371248520,1
1371249360,1
1371250260,1
1371250500,1
1371251160,1
1371251460,1
1371251640,1
1371254100,1
1371261060,2
1371262140,1
1371265020,1
1371296340,1
1371297540,1
1371305400,1
1371307560,1
1371308940,1
1371309000,2
1371311640,1
1371313140,2
1371313380,1
1371313500,1
1371316380,2
1371317280,1
1371323580,2
1371325860,1
1371327360,1
1371327600,1
1371327900,2
1371329520,2
1371330900,2
1371331860,1
1371332160,1
1371333780,1
1371334920,1
1371336720,1
1371337140,1
1371337680,1
1371340140,1
1371342240,1
1371342360,1
1371342720,1
1371347880,1
1371353340,2
1371353400,1
1371355320,2
1371355740,2
1371355800,4
1371355920,4
1371356040,5
1371356160,2
1371356280,3
1371356340,2
1371358500,1
1371359160,1
1371360480,1
1371360600,1
1371370440,5
1371385680,2
1371390600,1
1371392640,1
1371393900,1
1371396000,1
1371396480,1
1371397980,2
1371398280,1
1371399540,1
1371400080,1
1371400200,1
1371401340,2
1371402060,1
1371406140,1
1371407280,1
1371407340,1
1371408120,1
1371409140,1
1371409740,1
1371412080,2
1371412860,1
1371413160,1
1371413340,1
1371413640,1
1371413880,1
1371415200,1
1371415980,1
1371417780,2
1371418740,1
1371418860,1
1371425400,2
1371443400,2
1371446220,1
1371452280,1
1371464580,1
1371466080,1
1371466680,1
1371466740,1
1371467100,1
1371470160,1
1371471120,1
1371471540,1
1371472140,1
1371473160,1
1371473460,1
1371473940,1
1371474300,1
1371474540,1
1371474720,1
1371474960,1
1371475800,1
1371476940,1
1371481860,1
1371493080,1
1371493320,1
1371493620,1
1371493980,1
1371494760,1
1371498660,1
1371499860,1
1371501180,1
1371501780,1
1371502800,1
1371503940,1
1371504180,1
1371504720,1
1371508200,1
1371509400,1
1371509580,1
1371511320,1
1371511380,1
1371512760,1
1371513120,1
1371513360,1
1371514020,1
1371518280,1
1371518400,1
1371532020,1
1371549840,1
1371553440,1
1371553500,1
1371553680,1
1371557100,1
1371558480,1
1371559800,1
1371560760,1
1371561540,2
1371562980,1
1371563400,1
1371565740,1
1371567300,2
1371567900,1
1371571080,1
1371571560,1
1371571980,1
1371573060,1
1371575700,1
1371579660,1
1371582180,1
1371586020,1
1371590160,1
1371595500,1
