datetime,arrivals
1371152340,1
1371153120,1
1371156360,1
1371160380,1
1371161160,1
1371164580,1
1371206940,1
1371211860,1
1371211980,1
1371213600,1
1371214020,1
1371216180,1
1371217680,1
1371217860,1
1371217980,1
1371218220,1
1371218280,1
1371219360,1
1371220260,1
1371220500,1
1371221700,1
1371222120,1
1371222300,1
1371224400,1
1371224700,1
1371225000,1
1371226920,1
1371227520,1
1371228060,1
1371230220,1
1371231720,1
1371243960,1
1371244260,1
1371247680,1
1371249780,2
1371249900,1
1371250920,1
1371251880,1
1371252600,1
1371254280,2
1371264840,1
1371265500,1
1371272280,1
1371283560,2
1371283680,6
1371299820,1
1371302580,1
1371305340,1
1371305640,1
1371307200,1
1371308580,1
1371309960,1
1371310020,1
1371310320,1
1371311820,1
1371312120,1
1371312900,1
1371314820,1
1371317100,1
1371319740,1
1371320700,2
1371321240,1
1371321840,1
1371322500,1
1371323580,1
1371323640,2
1371323760,1
1371324000,1
1371325080,2
1371325620,1
1371325680,1
1371326220,1
1371326880,3
1371327060,1
1371327600,1
1371327900,2
1371328200,1
1371329400,1
1371330660,1
1371331620,4
1371331920,2
1371334440,1
1371335940,1
1371336000,1
1371336060,2
1371336600,1
1371338580,2
1371339360,1
1371339420,1
1371340020,1
1371340320,1
1371340440,1
1371341160,1
1371341520,1
1371341880,1
1371344160,1
1371344760,1
1371345240,1
1371345720,2
1371345900,1
1371346620,2
1371348360,1
1371348420,1
1371349200,1
1371349740,1
1371350760,2
1371350820,1
1371350880,1
1371351480,2
1371351960,1
1371352320,2
1371352440,1
1371353100,2
1371356160,1
1371356940,1
1371365160,1
1371365400,1
1371375000,1
1371381780,1
1371389880,2
1371390060,1
1371395580,2
1371395640,1
1371397680,1
1371399180,1
1371400440,2
1371402720,1
1371404160,1
1371405720,1
1371406140,1
1371407220,1
1371407340,2
1371408120,1
1371409440,1
1371411120,1
1371411540,1
1371412680,2
1371413460,1
1371414300,1
1371415620,4
1371416220,1
1371416280,1
1371416520,1
1371416820,1
1371417180,1
1371417840,1
1371418080,1
1371419760,1
1371421560,1
1371423120,1
1371424320,1
1371424800,1
1371425040,2
1371427080,2
1371427380,2
1371427680,2
1371428640,1
1371429120,1
1371429180,1
1371429240,1
1371429360,1
1371429480,1
1371429600,1
1371432480,1
1371432720,1
1371435780,2
1371438240,1
1371438420,1
1371438480,2
1371440580,2
1371444840,1
1371465120,1
1371465900,1
1371467040,1
1371471180,1
1371472200,2
1371472500,1
1371473160,1
1371473460,1
1371474060,1
1371475080,1
1371475260,1
1371476040,2
