datetime,arrivals
1371152760,1
1371152880,1
1371154980,1
1371156720,1
1371157920,1
1371158100,1
1371159420,1
1371160080,1
1371161820,1
1371163200,1
1371163980,1
1371164040,2
1371165240,1
1371169320,1
1371185820,1
1371213360,1
1371217980,1
1371224340,1
1371225660,1
1371225780,1
1371226620,1
1371232080,1
1371234000,3
1371234120,1
1371234840,1
1371235920,3
1371236520,1
1371236760,2
1371237780,1
1371238440,1
1371241860,1
1371243300,1
1371243960,1
1371244020,1
1371245520,1
1371245640,1
1371245760,1
1371247680,2
1371247800,1
1371247980,1
1371253800,1
1371255180,1
1371258060,1
1371259980,1
1371263700,2
1371265500,1
1371268200,2
1371277260,1
1371277980,1
1371281040,1
1371281520,1
1371282180,1
1371298620,1
1371303180,1
1371303960,1
1371306960,1
1371307080,2
1371307560,1
1371307680,2
1371310140,2
1371311280,2
1371311400,1
1371312720,2
1371312900,2
1371313980,3
1371315840,2
1371317640,2
1371317820,1
1371318060,1
1371318660,2
1371319440,1
1371319800,1
1371319860,3
1371320040,1
1371320340,3
1371324540,1
1371324660,2
1371326700,1
1371326880,1
1371327000,2
1371327300,1
1371327360,1
1371327420,1
1371327480,2
1371327900,2
1371329640,1
1371330000,1
1371330840,1
1371332160,1
1371332220,1
1371332880,1
1371333240,4
1371333540,1
1371334680,1
1371335040,4
1371335880,1
1371336060,1
1371336720,1
1371336900,1
1371337020,1
1371338100,1
1371338940,3
1371339660,1
1371341340,2
1371341400,1
1371343140,1
1371343200,1
1371344760,1
1371345120,1
1371345240,1
1371345540,1
1371345600,1
1371346380,1
1371347460,1
1371349740,1
1371356520,1
1371356640,1
1371357000,1
1371358080,1
1371358800,1
1371371880,1
1371386580,1
1371394080,1
1371394980,1
1371395460,1
1371396240,2
1371398400,1
1371398700,1
1371398880,1
1371402600,3
1371402720,7
1371402780,3
1371402840,1
1371403200,2
1371405000,2
1371405600,1
1371405960,2
1371407220,1
1371407340,1
1371407580,3
1371407760,1
1371408000,2
1371408120,3
1371408360,1
1371408780,1
1371408900,1
1371409380,1
1371409680,2
1371409740,2
1371410100,2
1371411540,2
1371412200,1
1371413340,1
1371413820,1
1371414120,1
1371414780,1
1371414840,1
1371415740,2
1371416640,1
1371417420,1
1371417600,2
1371417840,1
1371418320,2
1371418440,1
1371418680,1
1371419160,1
1371419640,1
1371419820,1
1371419880,1
1371420240,1
1371420600,1
1371421260,3
1371421860,1
1371422040,1
1371422820,6
1371424140,2
1371424260,1
1371424320,1
1371424440,1
1371425460,1
1371425520,1
1371427620,1
1371428160,1
1371428520,1
1371428580,3
1371428880,1
1371429600,2
1371430320,2
1371430680,2
1371432420,1
1371432840,1
1371433200,2
1371438240,1
1371445620,1
1371446160,1
1371447000,1
1371467820,1
1371472020,1
1371473580,1
1371474960,1
1371476820,1
1371479640,1
1371481620,1
1371481740,1
1371485940,1
1371486540,1
1371490080,1
1371490200,1
1371490500,1
1371492720,1
1371495240,1
1371497520,1
1371501420,1
1371501660,1
1371502440,1
1371503460,2
1371503580,1
1371503820,1
1371503880,1
1371504060,1
1371504180,2
1371506640,1
1371506820,1
1371507300,1
1371507600,1
1371507660,1
1371507900,1
1371508620,1
1371509520,1
1371509700,2
1371510360,1
1371511380,1
1371512040,1
1371512880,1
1371516120,1
1371518640,1
1371518940,1
1371522120,1
1371523560,1
1371523680,1
1371524700,1
1371527520,1
1371556800,1
1371559800,1
1371560760,1
1371560820,1
1371561180,1
1371562980,1
1371563160,1
1371567000,1
1371567600,1
1371568080,1
1371570600,1
1371570720,1
1371570780,1
1371571080,1
1371572280,1
1371573420,1
1371574680,1
1371575220,1
1371577620,1
1371579960,1
1371580200,1
1371581460,1
1371581580,1
1371581760,1
1371581820,2
1371584820,1
1371591000,1
1371591120,1
1371592380,1
1371598260,1
1371598680,1
1371600300,1
1371601800,1
1371603000,2
1371621060,1
1371644520,1
1371646320,1
1371646620,1
1371647940,1
1371649200,1
1371650820,1
1371653100,1
1371655260,1
1371658620,1
1371661740,1
1371661980,1
1371662100,4
1371662160,1
1371662220,1
1371662340,5
1371662640,1
1371664740,1
1371664800,1
1371666840,1
1371667500,1
1371668880,1
1371670380,3
1371671400,1
1371671760,1
1371672900,1
1371674460,1
1371675240,3
1371677040,1
1371683100,1
1371683520,1
