datetime,arrivals
1371150660,1
1371154500,1
1371155220,1
1371156480,1
1371156960,1
1371158100,1
1371159360,1
1371160440,1
1371161460,1
1371161580,1
1371161640,1
1371161760,1
1371162360,2
1371162780,1
1371163140,1
1371163380,1
1371163740,1
1371164580,1
1371164640,1
1371164940,1
1371207180,2
1371207240,1
1371207840,1
1371209160,1
1371210780,1
1371211560,1
1371211860,1
1371212160,1
1371213000,1
1371213600,2
1371213660,1
1371213840,1
1371213900,1
1371214440,1
1371214740,1
1371215400,1
1371215520,1
1371215880,1
1371216060,2
1371216720,1
1371217020,2
1371217140,1
1371217620,1
1371217980,1
1371218460,1
1371222120,1
1371226740,1
1371227880,3
1371229320,1
1371229440,1
1371230460,2
1371230640,1
1371230940,1
1371232740,1
1371233700,1
1371234180,1
1371235320,1
1371236460,1
1371237840,2
1371239760,1
1371240900,1
1371244440,1
1371244620,2
1371244680,2
1371244860,1
1371244920,1
1371244980,1
1371245160,1
1371245580,2
1371246780,1
1371246960,1
1371247140,1
1371247380,1
1371248460,1
1371248520,1
1371250800,1
1371253140,1
1371258780,1
1371263280,1
1371277260,1
1371277320,1
1371277440,1
1371285840,2
1371285900,2
1371285960,2
1371286080,4
1371286140,2
1371286200,2
1371288600,1
1371299100,1
1371301200,1
1371307380,1
1371309420,1
1371311820,1
1371312660,2
1371312900,1
1371313680,1
1371317100,1
1371322440,2
1371322680,1
1371323100,1
1371325020,2
1371326880,2
1371327300,1
1371329520,1
1371329640,1
1371330660,1
1371331860,2
1371331920,1
1371336960,2
1371338520,1
1371338940,2
1371339900,1
1371343200,1
1371345120,2
1371345300,1
1371350520,1
1371351840,1
1371351900,1
1371355800,1
1371363540,1
1371364740,2
1371381840,1
1371382560,1
1371383400,1
1371384780,1
1371388920,1
1371389040,1
1371393360,1
1371394200,1
1371394320,1
1371394440,1
1371395400,1
1371395460,1
1371395880,1
1371398040,1
1371403140,1
1371404400,1
1371406080,1
1371409980,1
1371411480,1
1371412440,1
1371412500,1
1371416160,1
1371416880,1
1371422400,1
1371423780,1
1371427320,1
1371432780,1
1371432840,1
1371433140,1
1371439080,2
1371439200,1
1371442140,2
1371456180,1
1371456240,3
1371456360,4
1371456420,2
1371456480,2
1371458580,3
1371458640,2
1371458760,1
1371458820,2
1371458880,1
