datetime,arrivals
1371152040,1
1371159960,2
1371161760,1
1371163020,1
1371165480,3
1371216660,2
1371216720,1
1371216840,2
1371216960,2
1371230280,1
1371235500,2
1371235620,1
1371240060,1
1371241980,1
1371248760,1
1371254880,2
1371260040,2
1371260280,1
1371275400,1
1371301320,1
1371305100,2
1371308520,1
1371308640,1
1371311280,1
1371311940,1
1371321960,1
1371322440,1
1371322740,1
1371332880,1
1371335340,2
1371338940,1
1371342240,1
1371347220,1
1371347460,1
1371351780,2
1371353520,1
1371353880,3
1371353940,1
1371355500,1
1371356280,1
1371365700,2
1371388560,1
1371396180,1
1371396840,1
1371401280,1
1371402420,1
1371407460,2
1371407640,1
1371411480,1
1371412740,2
1371419580,1
1371419820,1
1371421440,1
1371422100,1
1371423840,1
1371425760,2
1371426180,2
1371427380,1
1371430140,2
1371430380,1
1371436920,2
1371440640,2
1371440700,1
1371444000,1
1371447000,2
1371477480,1
1371481800,1
1371483540,1
1371486060,1
1371489240,1
1371491340,1
1371495360,1
1371497880,1
1371498000,5
1371498120,3
1371499560,2
1371504600,1
1371506220,1
1371506820,1
1371507120,1
1371507660,1
1371507840,1
1371508800,1
1371509340,1
1371510060,1
1371510240,1
1371513480,1
1371514500,1
1371521100,2
1371521940,1
1371524640,1
1371531060,1
1371534720,1
1371557820,1
1371562560,1
1371563220,1
1371564720,1
1371566520,1
1371571620,2
1371571680,1
1371573600,1
1371574020,1
1371576900,1
1371581040,2
1371582480,1
1371583920,1
1371589020,1
1371589620,1
1371589680,1
1371592800,1
1371601680,1
1371607440,2
1371611100,1
1371618180,1
1371620940,1
1371640860,1
1371647400,1
1371649800,1
1371655740,1
1371660420,1
1371664440,1
1371665880,1
1371669960,1
1371673560,1
1371674340,1
1371676560,1
1371677940,1
1371678780,1
1371682500,1
1371684900,2
1371686280,1
1371687180,1
1371690180,1
1371693780,1
1371694380,2
1371697860,1
1371698040,1
1371702300,1
1371711360,1
1371734280,1
1371738960,1
1371742980,1
1371745080,1
1371745440,1
1371745920,1
1371747840,1
1371748740,2
1371757500,1
1371764280,1
1371765720,3
1371766980,1
1371768660,1
1371769440,4
1371771720,1
1371771840,1
1371773820,2
1371774540,3
1371775620,1
1371780180,1
1371780540,1
1371784140,2
1371788640,1
1371789720,1
1371790500,1
1371794040,1
1371794100,1
1371821340,1
1371822900,1
1371822960,1
1371824280,1
1371827340,1
1371827400,1
1371828360,1
1371830640,4
1371831300,1
1371835080,1
1371835260,1
1371835380,3
1371837240,2
1371838500,1
1371840240,1
1371840360,1
1371845100,3
1371847380,1
1371849360,1
1371850440,1
1371854400,1
1371855540,1
1371857400,1
1371860880,1
1371861240,2
1371865080,1
1371867240,1
1371868080,1
1371868140,2
1371868200,1
1371868560,1
1371869040,2
1371877440,1
1371878400,1
1371879240,1
1371879540,1
1371888540,1
1371898500,1
1371899220,1
1371899460,1
1371907320,1
1371909060,1
1371910020,1
1371910320,2
1371911580,1
1371915540,1
1371916140,1
1371918960,2
1371919740,2
1371920820,1
1371921060,1
1371924960,2
1371925500,1
1371925980,1
1371929880,1
1371931800,1
1371932820,2
1371934200,1
1371934380,1
1371935100,1
1371936780,1
1371937560,3
1371937800,1
1371939180,1
1371940080,1
1371940140,1
1371940320,1
1371941820,1
1371943860,1
1371946980,2
1371947160,2
1371948660,1
1371949500,1
1371950280,1
1371953760,3
1371955200,2
1371956160,1
1371958440,1
1371959160,1
1371965100,1
1371965940,1
1371969660,5
1371989820,1
1371992520,1
1371992640,1
1371997740,1
1371998280,1
1371999300,3
1372001460,1
1372002840,2
1372003080,1
1372003380,1
1372003500,3
1372006260,1
1372013520,1
1372015380,1
1372015560,2
1372020180,1
1372022340,1
1372024800,1
1372026240,2
1372027320,1
1372036860,2
1372039680,1
1372040340,1
1372042980,1
1372045320,1
1372066200,1
1372076040,1
1372076880,1
1372078920,1
1372080300,1
1372082460,2
1372084140,1
1372086180,1
1372086480,1
1372090620,1
1372093080,2
1372098060,1
1372100520,1
1372101180,1
1372102380,1
1372108860,1
1372109460,1
1372109580,1
1372110240,1
1372112220,1
1372112700,1
1372113300,1
1372114380,1
1372115100,2
1372118940,1
1372119120,1
1372119180,1
1372120740,1
1372122000,1
1372123260,1
1372124040,1
1372124640,1
1372124700,2
1372126020,1
1372128120,2
1372135260,1
1372151640,1
1372162500,1
1372162920,2
1372166160,1
1372167780,1
1372172880,1
1372174800,1
1372174920,1
1372187640,1
1372193040,1
1372193280,1
1372193700,1
1372193760,1
1372195140,1
1372196460,1
1372199820,2
1372204020,1
1372205340,1
1372205940,1
1372206300,2
1372206360,3
1372206420,1
1372206540,1
1372206600,1
1372207680,1
1372209540,1
1372210500,1
1372214820,1
1372216140,1
1372220520,1
1372225920,2
1372226160,1
1372237800,1
1372245960,1
1372246260,1
1372246740,1
1372251180,1
1372252440,1
1372252980,1
1372253640,2
1372253700,1
1372257240,1
1372262160,1
1372262580,1
1372264200,1
1372265700,1
1372266420,1
1372267620,1
1372270500,1
1372270860,1
1372273740,1
1372276860,1
1372279800,1
1372281840,1
1372282860,1
1372283820,1
1372284900,1
1372285380,1
1372286400,1
1372286700,1
1372288800,1
1372291800,1
1372291920,1
1372292580,1
1372293240,2
1372295400,1
1372296480,1
1372296720,1
1372297680,1
1372297800,1
1372301580,1
1372303740,1
1372310940,1
1372311960,2
1372321500,1
1372337160,1
1372337580,1
1372338120,1
1372338540,1
1372338780,1
1372349400,2
1372360320,1
1372361580,1
1372366260,1
1372370400,3
1372374060,1
1372376040,1
1372380480,1
1372381500,1
1372383840,1
1372389360,2
1372391940,1
1372398600,1
1372398660,1
1372410660,1
1372426260,1
1372432140,1
1372435380,2
1372440540,1
1372441140,1
1372441560,1
1372444380,1
1372445880,1
1372447620,1
1372449120,1
1372450200,1
1372452240,1
1372452900,1
1372453440,1
1372454340,1
1372456560,1
1372457040,1
1372457400,1
1372457820,1
1372461660,1
1372465200,1
1372466280,1
1372473840,1
1372476000,2
1372477200,2
1372477620,1
1372479300,1
1372479960,1
1372484880,1
1372496340,1
1372497240,1
1372507260,1
1372508460,1
1372511700,1
1372512540,1
1372513980,1
1372514040,1
1372516620,1
1372522800,1
1372525080,1
1372525740,2
1372526820,1
1372527360,1
1372529520,1
1372529580,1
1372532940,1
1372533780,1
1372541340,1
1372547700,2
1372548660,1
1372549380,1
1372553340,1
1372557000,1
1372557720,1
1372560180,1
1372562580,1
1372562880,1
1372567020,1
1372568340,2
1372569720,2
1372575960,1
1372589340,1
1372594860,1
1372597020,1
1372602240,1
1372607880,1
1372608420,1
1372608660,2
1372611420,3
1372612740,1
1372614300,2
1372615440,1
1372616700,1
1372616940,1
1372619220,1
1372619340,1
1372622760,1
1372623060,1
1372623240,2
1372623300,3
1372624140,1
1372631580,1
1372632420,1
1372632480,1
1372632660,1
1372633980,1
1372637520,1
1372637580,2
1372638480,1
1372641120,2
1372644000,1
1372648140,1
1372650300,1
1372652040,1
1372655160,1
1372699680,1
1372700040,1
1372706040,1
1372709280,1
1372712580,1
1372718400,1
1372720200,2
1372721040,2
1372722420,1
1372723800,1
1372724640,1
1372725540,1
1372728780,1
1372729920,1
1372730040,1
1372746600,1
1372767240,1
1372777500,1
1372781580,1
1372784220,1
1372785900,1
1372790940,1
1372791000,1
1372793580,1
1372797900,1
1372798500,2
1372801920,1
1372802700,1
1372804800,1
1372806120,1
1372806720,2
1372808580,1
1372810740,1
1372814700,1
1372816860,1
1372866300,1
1372866900,1
1372881000,1
1372881780,1
1372886760,1
1372889160,1
1372890720,1
1372899120,1
1372899180,1
1372899360,1
1372902840,1
1372912620,1
1372914720,1
1372937820,3
1372937940,6
1372938120,2
1372942620,1
1372944960,1
1372949520,1
1372949580,1
1372953660,1
1372954080,1
1372959000,2
1372960320,2
1372965000,2
1372965240,1
1372966440,1
1372967280,1
1372968000,1
1372969620,1
1372972440,1
1372972500,1
1372975020,2
1372977360,1
1372978140,2
1372984800,1
1372990260,1
1372991700,1
1372995120,1
1372995720,1
1373004480,4
1373004600,2
