datetime,arrivals
1371161640,2
1371162600,1
1371164220,2
1371170040,1
1371232080,1
1371235260,2
1371238800,1
1371238920,1
1371243480,1
1371248160,1
1371248640,1
1371259440,2
1371259500,1
1371266760,1
1371282000,1
1371282540,1
1371300840,4
1371306600,1
1371310560,1
1371310920,1
1371311700,1
1371312900,2
1371316380,1
1371316860,1
1371319920,2
1371321240,1
1371323820,1
1371324240,1
1371324540,1
1371325320,1
1371325800,1
1371326340,2
1371333600,1
1371334380,1
1371339060,1
1371340800,1
1371341700,2
1371342900,1
1371342960,1
1371386940,1
1371388980,5
1371389040,4
1371389160,4
1371400500,1
1371400740,1
1371402480,1
1371402840,1
1371409920,3
1371412980,2
1371421020,3
1371421140,1
1371421440,1
1371421500,1
1371423240,1
1371426600,1
1371426960,2
1371427320,1
1371429600,2
1371431580,1
1371432000,1
1371433500,2
1371440820,1
1371491280,2
1371497040,4
1371497100,2
1371497160,1
1371497220,1
1371500760,2
1371501480,2
1371503580,1
1371503880,1
1371509400,1
1371512400,1
1371513240,1
1371514440,1
1371518040,1
1371518400,1
1371520080,1
1371525720,2
1371527940,1
1371530700,1
1371557760,1
1371565740,1
1371565860,1
1371570180,1
1371570240,1
1371586680,1
1371586740,1
1371587220,1
1371592740,1
1371594900,1
1371609540,1
1371609780,1
1371648000,1
1371648660,1
1371659400,1
1371663240,1
1371664020,1
1371673680,7
1371678120,1
1371681180,1
1371681780,1
1371682860,1
1371684720,1
1371687900,1
1371690360,1
1371695880,1
1371698880,1
1371739980,1
1371740100,1
1371741240,1
1371741840,2
1371741900,2
1371744540,1
1371744660,3
1371748020,1
1371766860,1
1371769080,1
1371770340,4
1371770760,1
1371774060,1
1371774660,1
1371776940,1
1371777300,1
1371792000,1
1371823920,1
1371824040,1
1371830820,1
1371837780,1
1371841320,1
1371843000,2
1371844020,1
1371848040,1
1371848100,2
1371849720,1
1371850980,1
1371851820,1
1371856380,1
1371861300,3
1371866160,1
1371876060,1
1371883620,1
1371885900,1
1371888420,1
1371900720,1
1371907320,1
1371908400,1
1371914880,1
1371917280,1
1371923940,1
1371924900,3
1371928200,1
1371928740,1
1371929400,1
1371929460,1
1371929700,2
1371933600,1
1371934380,2
1371936960,2
1371937020,1
1371937800,2
1371938520,2
1371939180,1
1371940200,1
1371945240,1
1371945720,2
1371952860,1
1371953520,1
1371957060,1
1371957120,1
1371957180,1
1371960180,2
1371968640,1
1371984480,1
1371993720,1
1372003680,4
1372005120,1
1372005360,2
1372008840,1
1372009680,1
1372012680,2
1372019160,1
1372021920,1
1372022160,3
1372023120,1
1372024260,1
1372025280,1
1372028520,2
1372029120,1
1372029180,1
1372029900,1
1372033560,1
1372034340,1
1372035780,1
1372038060,1
1372038240,1
1372039440,2
1372048680,1
1372078860,1
1372087500,1
1372089300,1
1372101780,1
1372102380,1
1372105260,1
1372105560,1
1372105800,1
1372108080,1
1372109460,1
1372110720,1
1372110960,1
1372112700,1
1372114860,1
1372115400,1
1372115760,1
1372118340,1
1372119000,1
1372120740,1
1372125300,2
1372131900,1
1372135860,1
1372136520,1
1372144320,2
1372155420,1
1372169820,7
1372172280,1
1372173120,1
1372176300,1
1372177020,1
1372181220,1
1372181760,2
1372182360,1
1372192440,1
1372194360,1
1372194420,1
1372196940,1
1372198620,1
1372199040,1
1372201200,1
1372202460,1
1372205640,1
1372206180,1
1372207680,1
1372208040,3
1372208640,1
1372208760,1
1372208880,1
1372210020,1
1372215300,1
1372216800,1
1372218600,1
1372226160,1
1372226220,3
1372226280,1
1372226520,1
1372249200,1
1372260960,1
1372268040,1
1372270620,1
1372271220,2
1372271280,2
1372271400,2
1372271460,1
1372271520,3
1372275300,1
1372278840,1
1372282860,2
1372283640,1
1372284120,1
1372284180,1
1372285080,1
1372285560,1
1372286820,1
1372287540,1
1372290180,1
1372295700,1
1372296960,1
1372301280,1
1372303380,1
1372303560,1
1372304400,1
1372304880,1
1372305720,1
1372308060,1
1372308120,1
1372308780,1
1372315020,1
1372348800,1
1372348860,1
1372350540,1
1372358100,5
1372361220,1
1372370400,1
1372374060,1
1372375680,1
1372375860,1
1372380720,2
1372380840,1
1372382280,1
1372383540,5
1372384680,1
1372426140,1
1372434480,1
1372434900,4
1372435140,3
1372435620,1
1372440300,1
1372441920,1
1372442040,1
1372442340,1
1372443840,1
1372446480,1
1372446660,1
1372454640,2
1372455000,1
1372455420,1
1372455540,1
1372456560,1
1372460520,1
1372460760,1
1372464060,1
1372470600,1
1372471620,1
1372494480,1
1372497840,1
1372510860,1
1372515840,1
1372530120,2
1372532700,1
1372533240,1
1372534560,2
1372535520,1
1372535640,1
1372540260,1
1372540800,1
1372541340,1
1372541700,1
1372542060,1
1372542660,1
1372547040,1
1372547760,2
1372547820,1
1372549680,1
1372551840,1
1372552500,1
1372552740,1
1372564080,1
1372566060,1
1372580400,1
1372583820,1
1372602660,1
1372608660,2
1372609380,1
1372609620,1
1372610100,1
1372613340,1
1372615680,1
1372617600,1
1372619760,1
1372626780,1
1372627440,1
1372631040,1
1372638780,2
1372643520,1
1372649040,1
1372682040,1
1372718820,1
1372719720,1
1372734900,5
1372738440,1
1372768320,1
1372768920,1
1372769040,1
1372774500,1
1372786980,2
1372787040,1
1372787640,2
1372791000,2
1372791240,1
1372794000,1
1372800000,1
1372800540,2
1372802100,1
1372802280,1
1372802520,1
1372802940,1
1372806720,1
1372807500,1
1372809240,1
1372809420,1
1372810200,2
1372810740,1
1372814580,1
1372815120,1
1372820700,1
1372820880,2
1372821000,2
1372852200,1
1372854780,1
1372865820,1
1372868160,1
1372870560,1
1372871100,1
1372872420,1
1372872840,2
1372878900,1
1372880880,1
1372882740,1
1372884060,1
1372884900,1
1372886820,1
1372888800,1
1372888920,1
1372894560,1
1372895280,1
1372902180,1
1372903320,1
1372907760,1
1372907820,1
1372909920,1
1372943220,2
1372943340,1
1372949520,1
1372953840,1
