datetime,arrivals
1371150900,1
1371151860,1
1371162240,1
1371211260,1
1371213540,1
1371215340,1
1371224820,1
1371239040,1
1371240540,1
1371255600,1
1371255720,1
1371256500,1
1371261120,1
1371264420,1
1371264900,1
1371273180,1
1371301440,1
1371305700,1
1371307440,1
1371313260,1
1371319380,1
1371322860,1
1371326280,1
1371327600,1
1371330600,1
1371330660,4
1371330720,1
1371330840,1
1371331200,1
1371332460,1
1371335040,1
1371339360,1
1371339540,1
1371339840,1
1371343560,1
1371349080,1
1371355440,1
1371356340,1
1371359520,1
1371361500,1
1371361800,1
1371395100,1
1371398220,2
1371400380,1
1371405600,1
1371407940,1
1371408420,1
1371408480,1
1371415740,1
1371416700,1
1371419640,1
1371420180,2
1371424500,2
1371425520,1
1371430020,1
1371438600,1
1371443640,1
1371467460,1
1371470460,1
1371473220,1
1371474120,1
1371479880,1
1371485100,1
1371491340,1
1371493980,1
1371494940,1
1371500460,1
1371501360,1
1371505620,1
1371506700,1
1371512880,1
1371530220,2
1371531240,1
1371531720,1
1371545040,1
1371553620,1
1371556800,2
1371566100,1
1371566280,1
1371577020,1
1371586740,1
1371587640,1
1371590640,1
1371591240,1
1371592620,1
1371603900,1
1371616560,1
1371618780,1
1371642660,1
1371644340,1
1371647940,1
1371655200,1
1371664980,1
1371665340,1
1371667500,1
1371667920,1
1371668100,2
1371668160,3
1371668220,1
1371668280,1
1371674940,1
1371675240,1
1371675600,1
1371682620,1
1371684540,1
1371692280,4
1371693480,1
1371697200,1
1371697500,1
1371703380,1
1371713160,1
1371729480,1
1371733680,1
1371740880,2
1371752760,1
1371753300,1
1371767820,2
1371767880,3
1371768660,2
1371770760,1
1371772440,1
1371777480,2
1371781920,1
1371784080,2
1371787380,1
1371789240,1
1371799500,1
1371815700,1
1371817320,1
1371820380,1
1371842820,1
1371844620,1
1371845040,1
1371845520,1
1371847200,1
1371850380,1
1371856380,1
1371856860,1
1371860880,1
1371862560,1
1371866100,1
1371868200,1
1371873180,1
1371873360,1
1371875820,2
1371878220,1
1371882060,1
1371894900,1
1371910620,1
1371912600,1
1371917880,1
1371918960,1
1371922920,1
1371923820,3
1371925200,2
1371935820,1
1371935880,1
1371937080,1
1371937140,1
1371938460,2
1371939240,1
1371939480,2
1371939960,2
1371941280,1
1371950760,2
1371952200,1
1371955740,1
1371959760,1
1371960000,1
1371962160,1
1371963360,1
1371963960,1
1371966540,1
1371975660,1
1371994860,1
1372002600,1
1372007280,1
1372009620,1
1372014660,1
1372017240,2
1372017540,1
1372020840,1
1372023840,1
1372024800,1
1372024860,1
1372026180,2
1372030020,1
1372030080,1
1372032960,1
1372033440,1
1372034580,1
1372035960,1
1372039620,1
1372041780,1
1372045740,1
1372076280,1
1372077720,1
1372102260,1
1372105260,1
1372108380,3
1372108440,6
1372108560,1
1372108800,1
1372110000,1
1372111860,2
