datetime,arrivals
1371160080,1
1371216180,1
1371339120,1
1371379980,1
1371406980,1
1371424920,1
1371425100,1
1371468360,1
1371469560,1
1371474060,1
1371480360,1
1371493320,1
1371493980,1
1371555960,1
1371556380,1
1371562680,1
1371580080,1
1371639600,1
1371642300,1
1371648360,1
1371650100,1
1371650880,1
1371656760,1
1371664620,1
1371666120,1
1371666480,1
1371671820,1
1371674700,1
1371727980,1
1371728640,1
1371733140,1
1371753000,1
1371761760,1
1371812580,1
1371816000,1
1371822480,1
1371824040,1
1371833580,1
1371984780,1
1372072440,1
1372073580,1
1372074540,1
1372079760,1
1372081080,1
1372091760,1
1372103640,1
1372108560,1
1372160640,1
1372160880,1
1372166880,1
1372246740,1
1372247100,1
1372251840,1
1372260060,1
1372271280,1
1372274580,1
1372280400,1
1372330680,1
1372333140,1
1372419180,1
1372419840,1
1372427940,1
1372438200,1
1372589580,1
1372676220,1
1372679640,1
1372679820,1
1372696320,1
1372763760,1
1372765320,1
1372767480,1
1372773780,1
1372785180,1
1372797780,1
1372849260,1
1372851840,1
1372852620,1
1372863540,2
1372937640,1
1372939080,1
1372960080,2
1372960320,2
1372962540,1
1373024640,1
1373194440,1
1373283780,1
1373284440,1
1373288640,1
1373302080,1
1373315400,1
1373315520,1
1373370240,1
1373371320,1
1373373000,1
1373378760,1
1373402460,1
1373407980,1
1373456640,1
1373457360,1
1373457840,1
1373463120,1
1373467080,1
1373540280,1
1373540640,1
1373543040,1
1373543400,1
1373568540,1
1373626920,1
1373636820,1
1373647080,1
1373763720,1
1373803920,1
1373804040,1
1373805000,1
1373886720,1
1373888700,1
1373889180,1
1373895360,1
1373913600,1
1373972940,1
1373973900,1
1373974980,1
1373981400,1
1373983200,1
1373983800,1
1373995920,1
1373997840,1
1373998020,1
1374059160,1
1374059340,1
1374061620,1
1374069480,1
1374072480,1
1374084600,1
1374084720,1
1374085920,2
1374145500,1
1374145620,1
1374148020,1
1374148140,1
1374154380,1
1374157920,1
1374234480,1
1374254880,1
1374404040,1
1374415740,1
1374493320,1
1374493440,1
1374499620,1
1374499800,1
1374499920,1
1374502740,1
1374511260,1
1374513480,1
1374517140,1
1374518340,1
1374578040,1
1374579780,1
1374580620,1
1374585540,1
1374586560,1
1374587580,1
1374589080,1
1374604140,1
1374605880,1
1374607380,1
1374607860,1
1374608940,1
1374609120,1
1374666300,1
1374666840,1
1374671220,1
1374672960,1
1374673920,1
1374684360,1
1374689400,1
1374752700,1
1374752940,1
1374757560,1
1374758460,1
1374758820,1
1374758940,1
1374759120,1
1374771840,1
1374788520,1
1374792000,2
1374840300,1
1374848520,1
1374851520,1
1374856920,1
1374973800,1
1375008840,1
1375020240,1
1375098000,1
1375098480,1
1375098900,1
1375105920,1
1375129320,1
1375129620,1
1375184700,1
1375186800,1
1375189920,1
1375191840,1
1375205400,1
1375216200,1
1375218840,1
1375267380,1
1375271100,1
1375271220,1
1375274280,1
1375279560,1
1375325280,1
1375357320,1
1375357860,1
1375364460,1
1375365240,1
1375365960,1
1375374360,1
1375456560,3
1375457880,1
1375458000,1
1375460520,2
