datetime,arrivals
1371154080,1
1371158640,1
1371160800,1
1371167340,1
1371170160,1
1371213000,4
1371213060,2
1371213120,2
1371213360,2
1371214560,1
1371216900,1
1371217020,1
1371217320,1
1371220560,1
1371223800,1
1371224700,1
1371228900,1
1371229980,1
1371230400,1
1371231780,1
1371231960,1
1371232740,1
1371234300,2
1371235680,1
1371235800,1
1371238020,1
1371239880,1
1371240300,1
1371244380,1
1371246540,1
1371248880,1
1371251340,1
1371252060,1
1371255180,1
1371256200,1
1371259860,1
1371264960,1
1371280320,1
1371280380,2
1371280440,1
1371280560,1
1371280920,2
1371280980,3
1371281040,2
1371281160,1
1371304620,1
1371305460,2
1371305640,2
1371305880,1
1371307980,1
1371308940,1
1371309540,1
1371309600,1
1371313560,1
1371316620,1
1371317040,1
1371318480,2
1371321300,1
1371322620,1
1371323100,2
1371323580,1
1371323640,1
1371325380,1
1371329940,2
1371330300,2
1371330840,3
1371331680,3
1371332520,4
1371333000,1
1371333060,1
1371333120,3
1371333300,3
1371334140,1
1371335280,1
1371335400,2
1371335460,1
1371335520,2
1371335760,2
1371335940,1
1371338700,2
1371339420,1
1371341580,1
1371342000,2
1371344280,2
1371387780,1
1371390120,1
1371393420,1
1371394920,1
1371398220,1
1371398700,1
1371399480,1
1371399780,1
1371401100,1
1371402720,2
1371403560,1
1371403920,2
1371404160,1
1371404340,1
1371405480,3
1371406800,1
1371408660,2
1371410100,2
1371410160,1
1371411240,3
1371412080,2
1371412260,1
1371416280,1
1371416520,2
1371419640,2
1371420420,1
1371421680,1
1371421740,1
1371423540,1
1371424260,1
1371425580,1
1371428340,1
1371430440,1
1371471360,1
1371471780,1
1371472200,1
1371472620,1
1371472680,1
1371474060,1
1371474420,1
1371476460,1
1371476520,1
1371479880,1
1371480840,1
1371483600,2
1371484020,1
1371485100,1
1371485280,1
1371486360,4
1371486420,2
1371487860,1
1371490260,1
1371491460,1
1371495480,1
1371502380,1
1371502440,1
1371502740,1
1371504720,1
1371506940,1
1371508320,2
1371509340,1
1371510180,1
1371510360,2
1371512220,2
1371514380,1
1371516300,1
1371516480,1
1371516540,4
1371516660,1
1371517860,1
1371520560,5
1371523740,1
1371535380,1
1371537600,2
1371552360,1
1371556680,1
1371558420,1
1371558900,1
1371559320,1
1371559980,2
1371560400,1
1371560460,1
1371560640,1
1371561360,1
1371561840,1
1371561960,1
1371562080,1
1371563220,2
1371564240,1
1371565440,1
1371566100,2
1371566340,1
1371566520,1
1371566640,1
1371571380,1
1371571800,1
1371579180,1
1371580200,1
1371580260,1
1371580860,1
1371581220,2
1371581400,1
1371581580,1
1371581640,1
1371582000,2
1371582180,1
1371587040,1
1371589500,1
1371592500,2
1371594000,1
1371594660,1
1371594840,1
1371604020,1
1371606780,1
1371641400,1
1371644040,1
1371644220,1
1371644640,1
1371645420,1
1371645540,2
1371645900,2
1371646260,1
1371647220,1
1371648060,1
1371648240,1
1371649800,1
1371651120,1
1371651780,1
1371652320,1
1371654000,1
1371654180,1
1371655740,1
1371656040,1
1371656460,1
1371658080,1
1371658260,1
1371660480,1
1371661020,1
1371661800,6
1371662580,1
1371665880,1
1371666000,1
1371666060,1
1371666180,1
1371669840,1
1371671100,1
1371673980,1
1371675000,1
1371675120,1
1371676320,1
1371677220,3
1371678840,2
1371680580,1
1371680700,1
1371680760,1
1371681600,1
1371682200,1
1371682980,1
1371683100,1
1371686880,1
1371687480,1
1371687960,1
1371688200,1
1371695820,1
1371696420,1
1371698340,1
1371700380,1
1371701040,1
1371728280,1
1371731040,1
1371731280,1
1371731640,2
1371732060,1
1371732540,1
1371732840,1
1371733680,3
1371735480,1
1371735660,1
1371736320,1
1371736440,1
1371736860,2
1371737580,1
1371738720,1
1371739080,1
1371742680,1
1371744000,1
1371745020,1
1371746160,1
1371746280,1
1371746340,1
1371747120,1
1371747360,1
1371747480,1
1371747780,1
1371747840,2
1371748860,1
1371750060,1
1371750120,1
1371751680,2
1371754500,1
1371754680,1
1371755520,1
1371756000,1
1371757860,1
1371758220,2
1371758820,3
1371759300,1
1371760200,1
1371760620,1
1371764520,1
1371764940,1
1371765000,4
1371765420,2
1371766320,1
1371768120,1
1371769140,1
1371770460,1
1371770760,1
1371774180,1
1371775920,1
1371776760,1
1371780420,1
1371815160,1
1371815760,2
1371817320,2
1371817380,1
1371817440,1
1371818520,1
1371818580,3
1371819960,3
1371820500,1
1371821040,1
1371822480,1
1371822720,1
1371823680,2
1371824760,1
1371826080,1
1371826740,1
1371828240,1
1371829980,1
1371830940,1
1371831780,1
1371832320,1
1371832980,2
1371835080,1
1371835380,1
1371837420,1
1371837480,1
1371838320,1
1371838680,1
1371838860,1
1371840840,1
1371841860,1
1371842580,2
1371844260,2
1371845520,1
1371845640,1
1371845820,1
1371845880,1
1371848400,1
1371849060,2
1371849660,1
1371850080,1
1371854340,1
1371854400,1
1371855120,2
1371855540,1
1371855660,1
1371855960,2
1371862200,1
1371864720,1
1371865500,2
1371867780,1
1371867960,1
1371870600,1
1371871260,1
1371872820,1
1371889740,1
1371891600,1
1371898980,1
1371903780,1
1371907200,1
1371908940,1
1371909120,1
1371910020,1
1371910860,1
1371911580,1
1371912780,1
1371916020,1
1371918420,1
1371919620,1
1371925800,2
1371926220,1
1371927120,1
1371927360,1
1371927900,1
1371928560,1
1371929580,1
1371930240,1
1371936240,2
1371937020,1
1371939120,4
1371939180,1
1371942720,1
1371943020,1
1371943200,4
1371943320,1
1371943380,2
1371943500,2
1371943560,3
1371943680,3
1371943740,2
1371943860,1
1371945360,1
1371945600,2
1371945780,1
1371947580,1
1371948240,1
1371951600,2
1371952320,1
1371952440,1
1371953280,1
1371953940,1
1371954540,1
1371974100,3
1371974160,1
1371977640,2
1371996420,2
1372003920,1
1372009860,1
1372010400,2
1372010520,1
1372011600,1
1372014900,2
1372016220,1
1372016400,2
1372018380,1
1372020180,2
1372021380,2
1372022160,1
1372022640,1
1372022760,1
1372023480,1
1372026300,1
1372026360,2
1372026900,1
1372027260,1
1372027680,2
1372028940,1
1372038480,1
1372040400,1
1372065180,2
1372065240,2
1372065300,2
1372065360,4
1372069680,1
1372071720,1
1372074840,1
1372075620,1
1372076220,2
1372076280,1
1372076640,1
1372076760,1
1372076940,1
1372077540,1
1372077960,1
1372078020,1
1372078140,1
1372078920,1
1372078980,1
1372079580,1
1372080180,1
1372080300,1
1372081080,1
1372082340,2
1372082460,1
1372083600,2
1372083960,1
1372085880,1
1372088520,1
1372090980,1
1372091880,1
1372091940,1
1372092420,1
1372095720,1
1372097160,1
1372097400,1
1372097760,1
1372097820,2
1372098660,1
1372100880,1
1372101720,1
1372106100,1
1372110840,1
1372112160,1
1372112340,1
1372112520,1
1372112700,1
1372114080,1
1372114140,2
1372114320,1
1372115880,1
1372116300,1
1372116960,2
1372122420,2
1372123080,1
1372124460,1
1372127340,1
1372135860,1
1372140180,2
1372156500,1
1372157040,1
1372159920,1
1372160760,1
1372162380,1
1372162440,1
1372162860,1
1372163340,1
1372164060,1
1372164240,1
1372164360,2
1372164960,2
1372165260,1
1372166040,2
1372166880,1
1372167360,1
1372167660,1
1372167780,1
1372168140,1
1372169820,2
1372170060,1
1372170600,1
1372170960,1
1372171140,1
1372172400,1
1372175160,1
1372176060,2
1372177020,2
1372179780,1
1372180740,1
1372181220,1
1372182840,1
1372183800,1
1372185420,1
1372186860,1
1372186920,1
1372188060,1
1372188420,1
1372191240,1
1372191420,2
1372191600,1
1372191720,1
1372194600,1
1372197180,1
1372197420,1
1372197600,1
1372198020,1
1372199580,1
1372199640,1
1372199760,1
1372200480,2
1372201500,1
1372201620,2
1372203360,1
1372209120,1
1372215480,1
1372218000,5
1372218060,1
1372218120,2
1372218240,3
1372218300,1
1372218420,2
1372218540,2
1372218780,1
1372218840,1
1372218900,2
1372239780,1
1372246260,1
1372248120,1
1372248300,1
1372250100,1
1372250340,1
1372251060,1
1372251180,1
1372251240,1
1372251660,1
1372251780,1
1372252440,2
1372252560,1
1372252800,2
1372253580,2
1372253700,1
1372254420,1
1372255680,1
1372258440,1
1372260180,1
1372260780,1
1372262040,2
1372262160,1
1372265460,1
1372266780,1
1372269240,1
1372269360,1
1372271400,1
1372272300,2
1372276860,1
1372278240,1
1372280280,1
1372283100,1
1372283280,1
1372285920,1
1372288800,1
1372288980,1
1372291020,1
1372293540,1
1372300680,6
1372301580,1
1372324260,4
1372324380,5
1372329780,1
1372330680,1
1372335780,1
1372335840,1
1372336800,3
1372337100,1
1372337580,2
1372337640,2
1372337880,1
1372338000,1
1372338120,1
1372338660,1
1372338780,1
1372339800,1
1372341120,2
1372342680,1
1372343520,3
1372343760,1
1372344180,1
1372345620,1
1372346400,1
1372351440,1
1372358580,2
1372363020,1
1372365480,1
1372366020,1
1372375320,1
1372378140,2
1372379280,1
1372380840,1
1372381200,1
1372383360,1
1372387740,1
1372397820,1
1372411380,5
1372419540,1
1372419720,1
1372420920,1
1372422780,1
1372423080,1
1372423680,1
1372423740,1
1372423980,1
1372424280,1
1372424820,1
1372425000,1
1372425120,2
1372425300,1
1372425540,1
1372426140,1
1372426260,1
1372426560,1
1372427100,1
1372427280,1
1372427340,1
1372427520,1
1372428540,2
1372428840,1
1372429140,1
1372429320,1
1372429680,1
1372430280,1
1372430520,1
1372430580,1
1372431780,2
1372433220,1
1372434060,1
1372434240,1
1372434480,1
1372438500,1
1372440420,1
1372440480,1
1372442400,1
1372446180,1
1372447620,1
1372450380,2
1372452120,1
1372453080,1
1372454700,1
1372455660,1
1372455900,1
1372457700,1
1372458000,1
1372458120,1
1372458660,1
1372460580,1
1372460700,1
1372468440,1
1372470180,1
1372470660,2
1372475340,1
1372476600,1
1372507920,1
1372508760,1
1372510260,4
1372510380,6
1372510440,1
1372510620,8
1372514220,1
1372516500,1
1372517280,2
1372517760,1
1372520220,1
1372520340,1
1372523220,1
1372524600,1
1372524720,1
1372525080,2
1372527300,1
1372529520,1
1372532700,4
1372535340,1
1372537140,3
1372541520,3
1372541700,1
1372543380,3
1372543620,1
1372552740,1
1372557300,1
1372557840,1
1372557900,2
1372558020,1
1372558080,3
1372558140,3
1372558200,4
1372558320,6
1372558860,1
1372559940,1
1372568280,2
1372579920,1
1372593420,1
1372598280,1
1372598700,1
1372605240,2
1372607700,1
1372612920,2
1372614360,1
1372615800,1
1372618140,1
1372619220,1
1372619340,1
1372619760,1
1372620660,1
1372621140,1
1372621200,2
1372621320,3
1372621440,3
1372621560,1
1372623540,2
1372623600,1
1372625400,1
1372627620,1
1372627800,2
1372628880,2
1372634400,1
1372634520,1
1372638660,2
1372638780,1
1372639140,1
1372639500,1
1372640160,1
1372640460,2
1372640820,1
1372644300,2
1372668540,1
1372674360,1
1372675380,1
1372677720,1
1372677840,1
1372681440,1
1372681560,1
1372681860,1
1372682040,1
1372682520,1
1372682640,1
1372687020,6
1372688520,1
1372694460,1
1372694880,1
1372695480,1
1372696500,1
1372699860,1
1372700460,1
1372700640,1
1372701000,1
1372701480,1
1372702740,1
1372707420,1
1372708320,1
1372710240,1
1372712340,1
1372713420,1
1372723800,2
