datetime,arrivals
1371160920,1
1371163440,1
1371163860,1
1371218880,1
1371234480,1
1371234540,1
1371238020,1
1371238140,2
1371239040,2
1371240480,1
1371241200,2
1371241320,1
1371245520,2
1371252900,1
1371252960,1
1371258420,1
1371260820,1
1371271140,1
1371275760,1
1371278280,1
1371297060,1
1371306840,1
1371309540,1
1371313980,1
1371314340,2
1371316380,2
1371317520,3
1371317820,1
1371318840,2
1371319140,1
1371320460,1
1371321720,2
1371323700,1
1371325080,1
1371325440,2
1371326520,1
1371326880,2
1371329700,2
1371330720,1
1371331740,1
1371332280,1
1371333240,1
1371334200,1
1371334680,1
1371334920,2
1371335400,3
1371336720,2
1371338400,1
1371339840,1
1371339900,3
1371340020,2
1371343560,1
1371351840,1
1371352200,1
1371352740,1
1371369780,4
1371396180,1
1371399060,2
1371400620,1
1371402960,1
1371403200,1
1371403320,1
1371403560,1
1371403620,1
1371404520,1
1371410460,1
1371410520,2
1371410580,1
1371410760,2
1371411120,1
1371413160,1
1371414780,2
1371415020,1
1371415380,1
1371420180,2
1371421740,1
1371421800,1
1371423660,2
1371423780,1
1371429060,1
1371432660,1
1371439740,1
1371457680,1
1371457740,1
1371474840,1
1371497160,2
1371508380,1
1371508920,1
1371509400,1
1371509580,1
1371511920,1
1371512100,1
1371513420,1
1371513540,1
1371513840,1
1371515580,1
1371517140,1
1371520380,1
1371520860,1
1371531720,1
1371534240,1
1371534300,1
1371549540,1
1371570960,1
1371573600,2
1371574440,1
1371578880,1
1371581400,2
1371591780,2
1371599460,1
1371604380,2
1371604620,3
1371646980,1
1371656100,1
1371661440,1
1371666120,1
1371670860,1
1371672720,1
1371678120,1
1371678660,1
1371678780,1
1371679980,1
1371680040,1
1371680880,2
1371682380,1
1371682500,3
1371683700,1
1371686160,1
1371689580,1
1371690120,1
1371690960,1
1371691200,1
1371691800,1
1371692040,1
1371692460,1
1371693780,1
1371696840,1
1371698460,1
1371707040,2
1371736500,1
1371750420,1
1371752100,1
1371758820,1
1371762300,1
1371763200,1
1371766080,1
1371767400,1
1371768000,1
1371769440,1
1371773580,1
1371774060,1
1371774180,1
1371774540,1
1371775440,1
1371777420,1
1371777780,1
1371778380,2
1371779580,1
1371780540,2
1371780840,1
1371781080,1
1371781500,1
1371785280,2
1371800220,1
1371804360,2
1371826620,1
1371830400,1
1371839400,1
1371842460,1
1371851820,1
1371853260,2
1371855840,1
1371857520,1
1371858780,1
1371858900,2
1371859200,2
1371859440,1
1371859620,2
1371860520,3
1371861240,1
1371862380,2
1371862440,1
1371863880,1
1371864720,1
1371865320,1
1371866100,1
1371866760,1
1371866820,1
1371866940,1
1371869340,1
1371872280,1
1371873660,1
1371882060,1
1371913560,1
1371915840,2
1371915900,1
1371917040,1
1371917340,1
1371917400,1
1371917880,1
1371919140,1
1371919200,2
1371919740,2
1371919860,2
1371919980,2
1371920160,2
1371920340,1
1371920400,1
1371922080,1
1371928560,2
1371930660,3
1371930780,1
1371932040,3
1371932280,1
1371932520,2
1371933120,2
1371933300,1
1371933480,1
1371933780,1
1371936060,2
1371936180,1
1371938040,2
1371938280,2
1371938460,1
1371939300,1
1371940140,1
1371941040,1
1371941340,1
1371943860,3
1371944220,1
1371945600,2
1371950280,1
1371953220,1
1371957180,1
1371958620,4
1371958680,2
1371961020,2
1371961380,1
1371962640,2
1371964500,2
1371975720,2
1371990000,1
1371990960,1
1371998340,1
1371999300,1
1372001340,2
1372002840,2
1372004640,1
1372005720,1
1372005780,2
1372005900,1
1372006020,1
1372006320,1
1372006440,1
1372006560,1
1372006620,1
1372007100,1
1372007460,1
1372007880,1
1372008360,1
1372009020,1
1372012680,1
1372014540,1
1372016460,1
1372017840,1
1372017900,1
1372018380,1
1372018620,1
1372019160,1
1372019220,1
1372022160,1
1372023120,3
1372024260,1
1372024320,1
1372025280,1
1372025760,1
1372026600,1
1372027680,1
1372028160,2
1372030680,1
1372032420,1
1372035180,1
1372035300,1
1372036560,2
1372036620,1
1372038000,2
1372040640,1
1372040820,1
1372041840,2
1372046100,1
1372046280,1
1372047600,1
1372053240,1
1372073820,1
1372076340,1
1372091880,1
1372092180,1
1372092600,2
1372093020,1
1372093560,1
1372094520,1
1372096500,1
1372098180,1
1372099020,1
1372103880,1
1372114080,1
1372115220,1
1372115940,1
1372116000,1
1372116480,1
1372116900,1
1372118520,1
1372119780,1
1372119900,1
1372120320,1
1372121100,3
1372122180,1
1372124940,1
1372127880,1
1372128480,1
1372133520,2
1372175280,1
1372175940,1
1372180440,1
1372182000,1
1372185000,1
1372191960,1
1372192620,2
1372194600,1
1372199760,1
1372199940,2
1372200900,1
1372203540,1
1372204080,2
1372204260,1
1372207020,1
1372207860,1
1372212180,1
1372214520,1
1372214820,1
1372215300,1
1372215900,2
1372219680,1
1372219740,1
1372219920,1
1372221420,1
1372223880,1
1372225320,2
1372248780,1
1372254600,1
1372255320,1
1372264560,1
1372267740,1
1372273080,1
1372273260,1
1372273800,1
1372274220,1
1372277400,1
1372277520,1
1372277760,1
1372282500,1
1372283400,1
1372284840,1
1372286940,1
1372287840,1
1372289220,1
1372290120,1
1372291560,1
1372291860,1
1372292040,1
1372292220,1
1372292460,2
1372292520,1
1372292940,1
1372294560,1
1372294920,1
1372296180,2
1372297080,1
1372299540,1
1372299780,2
1372301640,2
1372308720,1
1372335120,1
1372341120,1
1372346220,1
1372347060,1
1372349760,1
1372351620,1
1372358100,1
1372360380,1
1372364880,1
1372366020,1
1372374060,1
1372375320,1
1372375860,1
1372376760,1
1372377540,2
1372377600,1
1372378140,3
1372379760,1
1372380300,1
1372381200,1
1372387680,1
1372388580,1
1372391820,1
1372396920,1
1372397640,1
1372406160,1
1372416300,1
1372426320,1
1372437660,1
1372438320,1
1372438380,1
1372440300,1
1372442280,1
1372445340,1
1372448820,1
1372451280,1
1372454520,1
1372455900,1
1372457280,1
1372457820,1
1372459500,1
1372459740,2
1372460820,1
1372461780,1
1372461900,1
1372462320,1
1372463400,2
1372469520,2
1372470000,1
1372471560,1
1372472580,1
1372476060,1
1372481820,1
1372482120,1
1372488780,1
1372492380,1
1372504500,2
1372504560,1
1372518660,2
1372519980,2
1372520760,1
1372525320,5
1372525740,1
1372525920,2
1372527480,2
1372528200,3
1372528920,1
1372529160,1
1372529820,3
1372530840,1
1372531620,1
1372531740,1
1372532940,1
1372540260,1
1372540800,1
1372541700,2
1372543380,1
1372545960,1
1372546860,3
1372548720,1
1372551120,1
1372552680,2
1372552740,2
1372556460,1
1372557300,1
1372558860,1
1372559400,1
1372564140,1
1372564680,1
1372568100,1
1372575240,1
1372581780,1
1372601640,1
1372603560,1
1372607520,1
1372609560,1
1372610820,1
1372614480,2
1372615980,1
1372616520,1
1372617120,2
1372617180,2
1372620300,2
1372621320,1
1372622460,1
1372622640,1
1372622700,2
1372623960,1
1372624260,1
1372624320,2
1372624500,1
1372625220,2
1372626480,1
1372630140,2
1372630260,2
1372631160,2
1372631220,1
1372632720,1
1372633740,1
1372634820,1
1372636800,2
1372640100,1
1372640220,2
1372642140,1
1372681800,1
1372710420,2
1372711260,1
1372718520,1
1372718580,1
1372720200,1
1372721880,1
1372722120,1
1372723800,2
1372728120,1
1372728960,1
1372729680,1
1372731900,1
1372733460,1
1372736580,1
1372736760,1
1372740540,1
1372766940,1
1372775280,1
1372777020,2
1372777380,1
1372784400,1
1372789440,1
1372791360,1
1372793040,1
1372802520,1
1372803060,2
1372804440,1
1372805400,1
1372806240,1
1372807320,1
1372808280,1
1372808580,1
1372808700,1
1372809720,1
1372810500,1
1372817100,1
1372819440,1
1372853220,1
1372876620,1
1372886940,3
1372887720,2
1372888320,1
1372889400,2
1372890000,1
1372890780,1
1372891680,1
1372892100,1
1372893480,1
1372902300,1
1372902720,1
1372912980,1
1372917720,1
1372948380,1
1372953900,1
1372959720,1
1372960980,2
1372961520,2
1372962540,2
1372965300,1
1372965420,1
1372970580,1
1372973700,1
1372974120,1
1372976340,1
1372980060,1
1372980180,2
1372980480,1
1372980660,1
1372985700,1
1372985880,2
1372987680,1
1372990260,1
1372992180,1
1372993260,1
1372997280,2
1372997940,1
1373000340,1
1373007240,1
1373011920,1
1373035140,1
1373036940,1
1373046840,1
1373048400,1
1373049780,1
1373049900,2
1373056440,1
1373062020,1
1373062740,1
1373063520,1
1373064180,2
1373064480,1
1373064840,1
1373065260,2
1373065500,1
1373065740,1
1373065920,1
1373066040,1
1373070180,1
1373075100,1
1373078520,2
1373078880,1
1373079420,1
1373079540,1
1373079780,1
1373080260,1
1373080980,2
1373082180,1
1373082600,1
1373082660,1
1373084460,2
1373112060,1
1373112240,1
1373116620,2
1373119140,1
1373119380,1
1373125860,2
1373126220,1
1373126340,1
1373127900,1
1373128080,2
1373128140,2
1373130120,1
1373130840,1
1373132340,2
1373133300,1
1373134440,2
1373136420,1
1373137620,1
1373137920,1
1373139780,1
1373142180,1
1373143620,1
1373144880,2
1373147340,1
1373150520,2
1373151420,1
1373151780,1
1373151900,1
1373151960,1
1373152080,1
1373153460,1
1373156100,1
1373156520,1
1373157660,2
1373158260,1
1373158920,1
1373159580,1
1373163000,1
1373166660,1
1373171580,2
1373174040,1
1373174100,1
1373176920,1
1373178180,1
1373204700,2
1373207100,1
1373213520,1
1373215740,1
1373216580,2
1373217300,1
1373221320,2
1373223960,1
1373225640,1
1373229540,2
1373234220,1
1373236260,1
1373238540,1
1373239680,1
1373240100,1
1373240580,1
1373244300,1
1373249700,2
1373272620,1
1373285700,1
1373293200,1
1373294400,1
1373303280,1
1373303400,1
1373319720,1
1373327340,3
1373328300,1
1373328780,1
1373329500,1
1373334240,1
1373338920,1
1373339820,1
1373382900,1
1373389980,1
1373397600,1
1373408880,1
1373409000,1
1373409180,1
1373411820,1
1373411940,1
1373412120,1
1373412480,1
1373413080,1
1373413740,1
1373414340,1
1373415000,1
1373415060,1
1373416380,1
1373416500,1
1373416740,1
1373418120,1
1373421360,1
1373422620,1
1373422680,1
1373423220,1
1373423280,1
1373425080,1
1373425320,1
1373425560,1
1373428440,1
1373429220,1
1373467260,1
1373467380,1
1373475060,1
1373477280,1
1373478180,1
1373479500,1
1373481180,1
1373483040,1
1373485920,1
1373497080,4
1373498220,1
1373498820,1
1373499120,1
1373500200,1
1373501520,1
1373501580,1
1373501880,1
1373502660,1
1373505060,1
1373506620,1
1373508060,1
1373508720,2
1373510520,1
1373514660,1
1373553420,1
1373560920,1
1373568540,1
1373569860,3
1373572740,1
1373579160,1
1373579340,1
1373580900,3
1373580960,1
1373581140,1
1373583720,1
1373584260,1
1373584920,1
1373585280,1
1373586480,2
1373588640,1
1373588820,1
1373589120,1
1373597820,1
1373599200,1
1373601240,3
1373607060,1
1373608140,1
1373633880,1
1373634000,1
1373640240,1
1373647080,1
1373648460,1
1373650680,1
1373657100,1
1373661300,1
1373665200,1
1373666520,1
1373682120,1
1373716680,1
1373727540,1
1373732400,1
1373732520,1
1373733840,1
1373734260,1
1373736180,1
1373736240,1
1373736540,2
1373736900,1
1373737260,1
1373737320,1
1373738040,1
1373738700,2
1373739000,1
1373739360,1
1373740260,2
1373740860,2
1373740920,1
1373740980,4
1373741220,1
1373741400,1
1373741520,2
1373741760,1
1373743680,1
1373745240,1
1373746080,2
1373747220,1
1373748000,1
1373748060,1
1373753220,1
1373758920,1
1373759760,1
1373760780,1
1373768700,1
1373806320,1
1373813580,2
1373813820,2
1373819820,1
1373821140,2
1373821200,1
1373821860,2
1373822520,1
1373822820,1
1373823840,3
1373823900,1
1373824380,3
1373825040,1
1373825280,1
1373826240,1
1373826480,3
1373826780,2
1373826840,1
1373827080,1
1373827260,1
1373828400,1
1373829480,1
1373830680,2
1373831520,1
1373834340,1
1373834520,1
1373835900,1
1373837040,1
1373837280,1
1373837400,3
1373837640,1
1373838840,1
1373839860,1
1373840040,1
1373841480,1
1373841540,2
1373841600,1
1373841720,1
1373844960,1
1373845140,1
1373845860,2
1373845980,1
1373846160,2
1373847180,1
1373847960,1
1373848320,1
1373848440,1
1373848800,2
1373849220,1
1373850720,1
1373850900,1
1373853660,3
1373853780,1
1373854560,2
1373857140,1
1373857200,1
1373859000,1
1373859120,1
1373859840,1
1373860560,1
1373881080,1
1373884980,1
1373892720,1
1373899980,1
1373911920,1
1373915640,2
1373916360,1
1373916540,1
1373917740,1
1373919540,1
1373926260,1
1373927880,1
1373931900,1
1373932080,1
1373934060,1
1373935980,1
1373937120,1
1373941380,1
1373943240,1
1373970480,1
1373993100,1
1373993280,3
1373993340,4
1373993460,1
1373994720,1
1374001020,2
1374001860,3
1374002040,1
1374005520,1
1374008040,1
1374009600,1
1374012240,1
1374014400,1
1374015720,1
1374018240,1
1374018480,2
1374018720,1
1374018840,1
1374018960,1
1374019980,1
1374020100,1
1374020160,1
1374021120,1
1374021180,1
1374021540,1
1374021960,1
1374024600,1
1374024720,1
1374027360,1
1374029040,1
1374033900,1
1374034620,1
1374037200,3
1374037980,1
1374038220,1
1374063660,1
1374064140,1
1374080400,1
1374080460,1
1374082620,1
1374083100,1
1374086700,1
1374087420,1
1374093000,1
1374093120,1
1374094200,1
1374098640,1
1374100020,1
1374104820,1
1374105480,2
1374106320,1
1374106800,1
1374106980,1
1374108960,1
1374109320,1
1374110640,1
1374111000,3
1374111180,1
1374111480,1
1374112560,1
1374113760,1
1374118320,1
1374118620,2
1374118860,1
1374122820,1
1374141660,1
1374148980,1
1374149100,1
1374184560,1
1374184680,1
1374185220,2
1374186300,2
1374186360,3
1374186660,1
1374187020,1
1374189060,1
1374190500,1
1374191700,1
1374192060,3
1374192840,1
1374193020,1
1374193200,1
1374193260,1
1374194520,2
1374197880,1
1374198420,2
1374199440,1
1374202920,1
1374240000,1
1374260580,1
1374262200,1
1374264660,1
1374266460,1
1374266580,1
1374269640,3
1374274320,1
1374275100,1
1374277200,1
1374278400,2
1374280500,1
1374280620,1
1374280860,1
1374281220,1
1374283140,1
1374288840,1
1374291540,1
1374327720,1
1374329100,1
1374333000,1
1374333120,1
1374333960,1
1374340140,1
1374342240,1
1374342300,1
1374342720,2
1374342960,1
1374344280,1
1374345360,2
1374349920,1
1374351540,2
1374354000,1
1374354120,1
1374354600,1
1374355680,1
1374356100,1
1374361440,1
1374363240,1
1374363780,1
1374365460,2
1374368100,1
1374368760,1
1374372960,1
1374380820,1
1374383160,1
1374389400,1
1374398040,1
1374417000,1
1374419100,1
1374421860,1
1374422340,1
1374423540,4
1374428580,1
1374430140,1
1374430260,1
1374431460,1
1374432120,1
1374432180,3
1374432480,1
1374433260,3
1374438000,1
1374438120,3
1374438720,1
1374439740,1
1374446160,1
1374447000,1
1374448260,1
1374451560,1
1374453180,1
1374453780,1
1374454140,1
1374455700,1
1374457380,2
1374464280,1
1374464400,1
1374514800,1
