datetime,arrivals
1371152220,1
1371217320,1
1371241980,1
1371249000,2
1371251640,1
1371251760,1
1371252180,1
1371256680,1
1371261300,2
1371262740,1
1371283680,2
1371294420,1
1371310740,1
1371310800,1
1371314220,1
1371315240,1
1371315300,2
1371317040,1
1371319380,1
1371319440,1
1371319920,2
1371321720,1
1371325680,2
1371326160,1
1371327300,2
1371329220,1
1371330960,2
1371333300,1
1371333360,1
1371333600,1
1371334260,1
1371337620,2
1371339600,2
1371340680,3
1371346380,1
1371349680,1
1371356640,1
1371395580,3
1371403920,1
1371404040,1
1371404820,1
1371410160,2
1371414120,1
1371418860,2
1371426480,2
1371427980,1
1371428160,1
1371429060,1
1371439860,1
1371443280,1
1371443400,2
1371444000,1
1371445740,1
1371469920,1
1371497100,1
1371511200,1
1371526440,1
1371559020,1
1371585360,1
1371595200,2
1371600600,1
1371604500,1
1371644880,1
1371646260,1
1371647220,1
1371656820,1
1371658260,1
1371663480,1
1371668220,1
1371680580,1
1371682080,1
1371682860,1
1371685380,2
1371688920,1
1371691500,1
1371698520,1
1371724860,1
1371728400,1
1371737880,1
1371739200,1
1371740100,1
1371742980,1
1371745620,1
1371747360,1
1371750900,1
1371778560,1
1371784620,1
1371822480,1
1371824280,1
1371838380,1
1371847380,1
1371848820,1
1371853500,1
1371854400,1
1371855660,1
1371914400,1
1371919200,1
1371920820,1
1371926220,1
1371926340,1
1371926640,1
1371927060,2
1371931680,1
1371932400,2
1371934080,1
1371936420,1
1371936720,1
1371937860,1
1371938940,1
1371946320,2
1371949680,1
1371949980,2
1371954300,2
1371960900,1
1371969060,1
1371969420,1
1371989100,1
1371990000,1
1371999180,2
1372001340,2
1372001640,1
1372001760,1
1372005180,1
1372007640,1
1372009620,1
1372009680,1
1372010880,1
1372011060,1
1372012200,1
1372012260,1
1372012440,1
1372012920,2
1372021200,1
1372021380,1
1372022580,1
1372027740,1
1372034040,3
1372037760,1
1372093320,1
1372096200,1
1372098240,1
1372103940,1
1372113600,1
1372115520,2
1372130100,1
