datetime,arrivals
1373729520,2
1373730420,1
1373739540,1
1373742960,1
1373753520,1
1373803920,1
1373813820,2
1373818740,1
1373828640,1
1373833740,1
1373834820,1
1373835060,1
1373842920,1
1373886840,1
1373888400,1
1373889840,1
1373893020,1
1373898240,1
1373901300,1
1373907180,1
1373907540,1
1373912100,1
1373916360,1
1373916660,1
1373917500,1
1373920500,1
1373927400,1
1373928060,1
1373928540,1
1373929260,1
1373952480,1
1373975820,1
1373976480,1
1373977020,1
1373978580,1
1373979780,1
1373981580,1
1373982060,1
1373982240,1
1373982840,1
1373988900,1
1374006360,1
1374006840,1
1374010860,1
1374011040,1
1374011340,1
1374015720,1
1374018180,1
1374019620,1
1374020760,1
1374021720,1
1374054120,1
1374059760,1
1374060240,1
1374061620,1
1374064740,1
1374065100,1
1374065760,1
1374067260,1
1374074640,1
1374075120,1
1374080940,1
1374090900,1
1374093180,1
1374096540,1
1374097440,1
1374099420,1
1374100500,1
1374116940,1
1374119640,1
1374122460,1
1374143040,1
1374148200,1
1374149940,1
1374152100,1
1374152340,1
1374153840,1
1374155160,1
1374157680,1
1374159060,1
1374163380,1
1374171900,1
1374177960,1
1374181920,1
1374185040,1
1374191580,1
1374193560,1
1374197160,1
1374219240,2
1374230820,2
1374232380,1
1374234780,1
1374235200,1
1374236820,1
1374237300,1
1374238560,1
1374238800,1
1374239160,1
1374239520,3
1374242820,1
1374261240,1
1374271560,1
1374277860,20
1374278220,1
1374279240,1
1374279600,1
1374279840,4
1374279900,1
1374282360,1
1374283560,1
1374284640,1
1374285420,1
1374286140,1
1374294360,1
1374322500,1
1374323580,1
1374324720,1
1374327840,1
1374329100,1
1374329580,1
1374330420,1
1374330900,1
1374333120,1
1374333720,1
1374334020,1
1374334140,1
1374334260,1
1374334440,1
1374334800,1
1374336180,2
1374337080,3
1374338040,1
1374338940,2
1374340200,1
1374340260,1
1374340500,1
1374340800,1
1374340920,2
1374342540,2
1374342840,1
1374343260,1
1374343500,1
1374343560,1
1374343620,1
1374345840,1
1374346980,1
1374347400,1
1374347640,1
1374348480,1
1374348900,2
1374349920,2
1374350460,1
1374351540,1
1374351600,2
1374351660,2
1374353820,1
1374353940,1
1374354360,1
1374354660,1
1374357120,4
1374357180,1
1374357720,1
1374358080,1
1374358740,1
1374359940,3
1374362220,1
1374362280,1
1374363480,1
1374366600,1
1374367260,1
1374367920,2
1374369240,3
1374370200,1
1374370260,3
1374370980,1
1374375300,1
1374376800,2
1374377880,1
1374387660,2
1374390000,2
1374404100,1
1374409800,1
1374411900,1
1374412260,1
1374414060,1
1374415020,1
1374415740,4
1374416580,1
1374418140,1
1374419640,1
1374421080,1
1374421320,1
1374421500,3
1374421920,1
1374422700,1
1374424200,1
1374424380,2
1374424500,1
1374425640,2
1374426000,1
1374426480,1
1374426660,2
1374426960,1
1374427140,1
1374427500,2
1374428700,2
1374429300,1
1374429420,2
1374430020,4
1374430140,2
1374430260,1
1374431040,1
1374431640,1
1374432840,3
1374433740,2
1374434040,1
1374435300,2
1374435600,1
1374436740,1
1374436860,1
1374437580,1
1374438060,1
1374438360,1
1374438720,1
1374439560,1
1374440400,2
1374440760,1
1374441360,1
1374442200,1
1374445380,1
1374446160,1
1374446400,1
1374446700,1
1374446760,1
1374447240,1
1374447360,1
1374447480,2
1374448140,1
1374451140,1
1374451380,2
1374452100,1
1374452460,1
1374452880,1
1374453660,1
1374454620,3
1374454740,3
1374455580,1
1374456240,2
1374456420,1
1374456840,1
1374458820,3
1374459780,2
1374461880,1
1374462540,1
1374491700,1
1374492000,1
1374492180,1
1374493320,1
1374493440,1
1374493980,1
1374494580,1
1374494940,1
1374495540,2
1374495960,1
1374496080,1
1374496440,2
1374496500,1
1374496920,1
1374497100,1
1374497580,2
1374498120,1
1374498480,1
1374498780,1
1374499020,2
1374499620,1
1374499860,1
1374500220,1
1374500340,1
1374500880,1
1374501060,1
1374501180,1
1374502080,1
1374503700,1
1374505200,1
1374505860,1
1374508260,1
1374508380,2
1374509040,1
1374509820,1
1374509940,1
1374510420,1
1374511260,1
1374511500,1
1374513360,1
1374514800,3
1374515280,3
1374515700,1
1374517080,1
1374517260,1
1374518820,2
1374520380,1
1374520500,1
1374520740,1
1374523140,2
1374523500,2
1374524460,1
1374524940,1
1374526320,1
1374526860,1
1374528000,1
1374528600,1
1374529200,1
1374529260,1
1374531300,1
1374531660,2
1374531960,1
1374532200,1
1374532920,2
1374533160,1
1374533640,1
1374533820,1
1374534480,1
1374534780,2
1374535440,1
1374535620,1
1374536580,1
1374536760,1
1374537000,1
1374537300,2
1374540300,2
1374541200,1
1374542700,1
1374579660,1
1374579960,1
1374580620,1
1374582540,1
1374582600,2
1374582660,1
1374583980,1
1374584160,1
1374585120,2
1374585420,1
1374586500,1
1374586620,1
1374586800,1
1374588060,1
1374588900,1
1374589920,2
1374590100,3
1374590580,1
1374591300,2
1374592560,2
1374594300,1
1374594540,1
1374594900,1
1374596280,1
1374597240,1
1374597480,1
1374600480,1
1374601440,1
1374602460,1
1374602760,1
1374603360,1
1374604860,1
1374607200,1
1374608220,1
1374609840,1
1374610320,1
1374611040,1
1374611520,1
1374612180,1
1374612540,1
1374613320,1
1374613680,1
1374613800,1
1374614400,1
1374614940,2
1374615780,1
1374616020,1
1374616980,2
1374617160,1
1374617400,1
1374618420,1
1374618660,1
1374619320,1
1374619380,1
1374619560,1
1374619680,1
1374621540,1
1374623400,1
1374623760,1
1374624300,1
1374624360,1
1374624720,1
1374624900,1
1374624960,1
1374626280,1
1374628140,1
1374628680,1
1374630180,1
1374630540,1
1374631740,2
1374632100,2
1374632280,1
1374632460,3
1374632640,1
1374641400,1
1374657960,1
1374663720,2
1374664680,1
1374664920,1
1374664980,2
1374665700,1
1374666180,1
1374668760,1
1374669420,1
1374670620,1
1374670980,1
1374671220,1
1374671280,1
1374671640,1
1374672960,2
1374673620,1
1374673980,1
1374674640,1
1374676500,2
1374677220,1
1374678120,2
1374678360,2
1374679320,1
1374679380,1
1374679860,1
1374680460,1
1374683100,1
1374683580,1
1374684300,1
1374684960,1
1374686100,3
1374687420,1
1374687840,1
1374688080,2
1374688620,1
1374689340,1
1374690420,1
1374691320,1
1374691560,1
1374692100,1
1374694620,1
1374694920,1
1374694980,1
1374695880,1
1374696240,1
1374696900,1
1374700020,1
1374700680,1
1374700800,1
1374701400,2
1374701640,1
1374703680,1
1374704040,1
1374704340,1
1374704940,1
1374705480,1
1374706320,1
1374706860,1
1374707040,1
1374708780,1
1374709380,1
1374709440,1
1374709680,1
1374709920,1
1374710340,1
1374710760,1
1374711720,1
1374711900,1
1374712560,1
1374712920,1
1374713820,1
1374713940,1
1374714720,1
1374717720,1
1374718380,1
1374719520,1
1374720420,1
1374724320,1
1374724680,1
1374725040,1
1374727200,1
1374731880,1
1374751440,1
1374751860,1
1374752460,1
1374752640,1
1374752700,1
1374753120,1
1374756360,1
1374756480,1
1374756540,2
1374756660,1
1374756840,2
1374757320,1
1374757560,1
1374757920,1
1374758040,1
1374759120,1
1374760320,1
1374761880,1
1374767820,1
1374768540,1
1374768660,1
1374769560,1
1374772380,1
1374772860,1
1374773460,2
1374773520,1
1374774120,1
1374775440,1
1374775980,1
1374776760,1
1374778320,1
1374779580,2
1374780240,1
1374780720,1
1374780900,1
1374781500,1
1374781980,1
1374782160,1
1374782640,1
1374782880,1
1374783120,1
1374783420,4
1374783720,2
1374784800,1
1374784860,1
1374784980,2
1374786300,1
1374788760,1
1374789420,1
1374789840,1
1374791460,1
1374791880,1
1374792720,1
1374793200,1
1374793560,1
1374794460,1
1374795720,1
1374796140,1
1374796800,1
1374796980,1
1374797880,1
1374799080,1
1374799800,1
1374800040,1
1374801240,1
1374801900,1
1374802920,1
1374803100,1
1374803340,1
1374803400,1
1374803520,1
1374804120,2
1374804240,1
1374806160,2
