datetime,arrivals
1371151080,1
1371152220,1
1371152340,3
1371155760,1
1371156300,1
1371156780,1
1371156900,1
1371157020,1
1371158580,1
1371158940,1
1371161280,1
1371162240,2
1371166200,1
1371197520,1
1371209400,1
1371210780,1
1371217020,1
1371217200,2
1371217500,1
1371219180,1
1371227700,2
1371227940,1
1371228000,1
1371229860,1
1371229920,1
1371230820,1
1371232860,2
1371235380,1
1371235560,1
1371236700,1
1371236820,1
1371240480,1
1371240600,1
1371241080,1
1371241800,1
1371241860,1
1371242100,1
1371242220,1
1371242340,1
1371244560,1
1371245160,1
1371247200,1
1371248160,1
1371249360,1
1371249660,1
1371249960,1
1371250800,1
1371252420,1
1371253080,1
1371254340,2
1371259860,1
1371297420,1
1371301080,1
1371303300,1
1371303780,2
1371304320,1
1371304380,1
1371305820,1
1371307200,1
1371307800,2
1371308700,1
1371308940,1
1371309240,1
1371310740,1
1371313140,2
1371314520,1
1371314880,1
1371315180,1
1371315840,1
1371316380,2
1371317820,1
1371318360,4
1371318720,2
1371319980,3
1371320340,1
1371320460,1
1371320700,1
1371321300,1
1371321900,1
1371321960,4
1371322380,2
1371322620,2
1371323340,1
1371324660,1
1371324720,2
1371324780,4
1371325680,1
1371325740,2
1371325920,1
1371326760,1
1371327120,2
1371327300,2
1371327720,1
1371328020,3
1371328200,1
1371328680,1
1371328800,1
1371330600,2
1371330660,1
1371332160,2
1371332220,1
1371333060,1
1371333720,3
1371333780,1
1371334140,1
1371334500,1
1371335460,1
1371336120,2
1371337620,1
1371337740,2
1371340200,1
1371341880,2
1371342600,2
1371342720,1
1371342900,1
1371343020,1
1371348300,1
1371348360,1
1371348420,1
1371348840,2
1371354840,2
1371354900,1
1371354960,1
1371355020,1
1371355080,2
1371355200,1
1371355260,1
1371359340,1
1371359580,1
1371388380,1
1371388560,1
1371389160,1
1371391080,1
1371392400,1
1371392820,1
1371393360,1
1371393480,1
1371393960,1
1371394080,1
1371394380,2
1371395700,1
1371395820,1
1371395880,1
1371396540,1
1371397800,1
1371397860,1
1371398580,1
1371399180,2
1371401040,1
1371401340,1
1371401640,1
1371402840,2
1371402960,1
1371403380,1
1371403860,4
1371404100,1
1371404580,2
1371405180,1
1371405240,1
1371405420,2
1371405720,2
1371405960,1
1371406440,1
1371407040,2
1371407280,1
1371407340,1
1371407580,1
1371408480,1
1371409500,1
1371409980,1
1371410100,3
1371410580,1
1371411120,1
1371411720,1
1371411840,1
1371412020,2
1371412680,2
1371413100,1
1371413160,2
1371413640,1
1371414540,1
1371414780,1
1371414840,1
1371416400,1
1371416580,1
1371416640,1
1371417360,1
1371417420,1
1371417780,2
1371418680,2
1371422220,1
1371422280,1
1371423600,1
1371423780,2
1371424080,2
1371425640,1
1371426660,1
1371434340,2
1371434400,1
1371434460,1
1371435780,2
1371436560,3
1371437400,1
1371437520,1
1371437820,1
1371445740,2
1371471780,8
1371472200,5
1371472800,2
1371474240,2
1371474660,1
1371476580,1
1371477840,1
1371478920,1
1371479400,1
1371481140,1
1371482160,1
1371483060,1
1371486660,2
1371488280,1
1371488520,1
1371489060,2
1371489540,1
1371493320,2
1371494220,1
1371494280,2
1371494700,1
1371496080,1
1371496140,1
1371497040,1
1371498360,1
1371498480,1
1371498840,1
1371499080,1
1371502620,2
1371502680,1
1371504240,1
1371504720,1
1371504900,1
1371505920,1
1371506460,1
1371507120,2
1371507360,2
1371507660,1
1371508320,1
1371508800,1
1371509880,2
1371512640,1
1371512880,1
1371513540,1
1371517140,1
1371523800,3
1371551940,1
1371553080,1
1371555000,1
1371555660,2
1371555780,4
1371558780,1
1371559680,1
1371559800,2
1371560460,2
1371560580,1
1371560700,2
1371561060,1
1371561420,1
1371561720,1
1371561840,1
1371562080,1
1371562440,1
1371562680,1
1371562980,1
1371564540,1
1371565260,1
1371572520,2
1371573420,1
1371574740,1
1371575880,1
1371578340,4
1371578460,2
1371588960,1
1371592920,1
1371596580,1
1371606120,2
1371616560,1
1371618660,1
1371644340,1
1371648300,1
1371648840,2
1371649020,1
1371649800,1
1371650220,1
1371650580,2
1371650880,1
1371651420,1
1371651720,2
1371651780,1
1371659520,3
1371662160,2
1371662520,1
1371664140,1
1371664800,2
1371666120,2
1371667080,2
1371667260,1
1371667380,1
1371667740,1
1371669120,3
1371669420,1
1371669480,1
1371672060,1
1371673380,2
1371674400,1
1371674460,1
1371675480,1
1371675540,1
1371676440,1
1371676740,1
1371677040,1
1371677400,1
1371677640,2
1371677940,1
1371678780,1
1371679080,1
1371679620,1
1371679860,1
1371680700,3
1371681120,2
1371681480,2
1371681600,1
1371682140,1
1371682260,1
1371682320,1
1371682500,1
1371682620,2
1371682860,3
1371683040,1
1371683400,1
1371685380,1
1371686400,1
1371686820,1
1371687540,1
1371688140,2
1371692880,1
1371692940,1
1371693540,1
1371695340,2
1371698580,1
1371699960,1
1371724860,1
1371725400,1
1371730380,1
1371730620,1
1371733260,1
1371733680,1
1371734040,1
1371734640,2
1371735780,1
1371736140,1
1371736440,2
1371736680,1
1371738060,2
1371738900,1
1371740340,2
1371742320,2
1371743640,1
1371744480,1
1371744960,1
1371745200,2
1371745500,1
1371746340,1
1371747060,1
1371747360,1
1371747540,2
1371748200,1
1371748560,1
1371748740,1
1371748860,1
1371748980,1
1371750540,1
1371752340,1
1371753420,1
1371753900,1
1371754560,1
1371755100,2
1371755160,1
1371755220,1
1371755400,1
1371757080,2
1371757380,1
1371757440,2
1371757740,1
1371758100,1
1371760920,1
1371761100,2
1371766080,1
1371766320,1
1371766500,1
1371767400,3
1371769140,1
1371770760,1
1371771120,1
1371771360,1
1371771540,1
1371773040,1
1371774660,1
1371775080,1
1371778200,1
1371778920,1
1371779040,1
1371812580,1
1371813300,1
1371813780,1
1371814140,1
1371816600,1
1371820020,1
1371820260,1
1371820500,1
1371820860,1
1371821100,1
1371821160,2
1371821220,1
1371821580,1
1371821700,1
1371822540,1
1371822900,1
1371822960,1
1371827640,2
1371830940,1
1371831180,1
1371831240,1
1371831300,1
1371831360,1
1371833640,1
1371834420,2
1371834720,1
1371835620,2
1371836220,3
1371836280,1
1371836580,2
1371837180,1
1371839580,1
1371839640,1
1371840660,1
1371842460,3
1371843060,1
1371843360,1
1371843420,1
1371844380,1
1371845160,2
1371846600,1
1371847920,2
1371848400,2
1371848820,1
1371848880,1
1371849540,1
1371849780,1
1371851820,2
1371852180,1
1371853380,1
1371853860,2
1371854100,2
1371854700,2
1371854940,1
1371855480,2
1371856080,1
1371856440,2
1371856500,1
1371856620,1
1371857280,1
1371857640,1
1371860160,1
1371860280,3
1371861480,1
1371862200,1
1371863160,1
1371864240,1
1371866160,1
1371866460,1
1371866580,1
1371869940,1
1371870000,1
1371872280,2
1371899220,1
1371905700,2
1371906300,1
1371910320,1
1371913140,1
1371913260,1
1371913560,1
1371914280,2
1371915540,1
1371916800,2
1371917580,2
1371918240,1
1371918300,1
1371920520,3
1371921780,1
1371921960,1
1371922200,1
1371923280,1
1371923580,1
1371923760,2
1371923940,1
1371924900,2
1371925200,2
1371925500,3
1371925860,1
1371926220,1
1371927120,1
1371927240,1
1371928020,1
1371928260,3
1371928380,1
1371928500,1
1371928560,1
1371928740,1
1371928800,1
1371928920,2
1371930480,2
1371930780,2
1371930960,2
1371931440,2
1371931500,2
1371932520,1
1371932640,1
1371932700,1
1371933240,1
1371934020,2
1371934560,2
1371935040,3
1371935340,3
1371936000,1
1371936600,2
1371936780,1
1371937320,2
1371937560,2
1371938220,3
1371939060,1
1371940020,2
1371940080,1
1371940620,3
1371941820,2
1371942900,1
1371943320,2
1371943380,1
1371943680,1
1371944400,2
1371944520,2
1371944640,1
1371945120,1
1371946140,2
1371947100,1
1371947640,1
1371948660,2
1371951780,1
1371953400,1
1371954840,1
1371956460,1
1371956760,2
1371959640,1
1371963000,1
1371966180,2
1371986160,1
1371992220,1
1371992400,1
1371994200,1
1371994980,1
1371995160,1
1371996300,1
1371996780,1
1371996840,1
1371997980,1
1371998280,2
1371998940,1
1371999540,1
1372000020,1
1372001760,3
1372001940,2
1372002120,1
1372002240,1
1372002300,1
1372002660,2
1372003020,1
1372003080,3
1372003680,1
1372003800,1
1372003980,1
1372005660,1
1372005840,1
1372006800,1
1372007220,1
1372007460,2
1372008600,1
1372009800,1
1372009860,1
1372010400,2
1372010520,1
1372010640,1
1372011960,1
1372013040,2
1372013520,1
1372014180,1
1372015560,1
1372015920,2
1372017840,2
1372020300,3
1372020420,1
1372022040,2
1372022100,1
1372023360,1
1372023960,1
1372024740,1
1372024980,1
1372025640,5
1372025940,1
1372027020,1
1372027440,2
1372027860,1
1372028520,1
1372029540,1
1372030380,1
1372030680,1
1372031100,2
1372031280,1
1372031760,1
1372032000,1
1372032960,1
1372033200,3
1372033500,1
1372033560,2
1372034100,3
1372035060,1
1372038840,1
1372044660,2
1372044720,1
1372063620,1
1372070520,2
1372074480,1
1372074840,1
1372077060,1
1372077780,1
1372078260,1
1372078500,2
1372078560,2
1372078860,1
1372079280,1
1372079460,1
1372079820,1
1372080300,1
1372080420,1
1372080480,1
1372081080,2
1372081680,1
1372082820,1
1372086780,1
1372087200,1
1372087380,1
1372087860,3
1372091700,2
1372092060,1
1372092120,1
1372092360,1
1372092420,1
1372092720,2
1372092900,1
1372093200,2
1372093380,1
1372096380,1
1372097160,1
1372097400,1
1372097520,1
1372097700,1
1372098600,1
1372099680,2
1372099740,1
1372100040,1
1372100700,4
1372102980,1
1372103040,1
1372106280,1
1372107060,1
1372108200,1
1372108740,2
1372110480,2
1372111440,1
1372112100,1
1372113120,1
1372113960,1
1372114020,1
1372114680,1
1372114860,1
1372115040,1
1372115160,1
1372116000,1
1372116300,2
1372116960,1
1372117260,1
1372119180,1
1372120800,1
1372122960,1
1372123260,1
1372125300,1
1372125780,1
1372126140,2
1372127820,4
1372129740,2
1372159320,1
1372160220,1
1372161300,1
1372162920,1
1372163280,1
1372163460,1
1372164900,1
1372165260,1
1372165500,1
1372165740,2
1372166880,1
1372167180,1
1372167240,1
1372167360,1
1372167780,2
1372170060,1
1372173240,1
1372174620,1
1372176300,2
1372176360,1
1372176480,1
1372181760,3
1372182360,1
1372184040,2
1372184280,1
1372184460,1
1372187220,1
1372187940,1
1372188720,1
1372191960,1
1372192200,1
1372192620,1
1372193760,1
1372193880,1
1372194240,1
1372194300,1
1372195320,1
1372195620,1
1372195800,1
1372195920,1
1372196160,1
1372196280,1
1372197180,1
1372197480,3
1372198200,1
1372198860,1
1372199820,1
1372200000,1
1372200240,1
1372202760,1
1372202940,1
1372203060,1
1372205760,1
1372205820,2
1372206360,2
1372206900,1
1372206960,1
1372208160,1
1372211940,2
1372213560,1
1372244220,1
1372249140,1
1372249860,1
1372249980,1
1372251000,1
1372251540,1
1372252440,1
1372253160,1
1372253580,1
1372254120,2
1372254360,1
1372254720,1
1372255680,1
1372256040,1
1372257960,1
1372258260,1
1372259460,2
1372259760,1
1372261800,1
1372261920,1
1372263000,1
1372265100,1
1372265160,1
1372265640,1
1372266240,2
1372269060,1
1372269480,1
1372269780,1
1372271400,2
1372271520,1
1372271700,2
1372272000,3
1372272720,1
1372272840,1
1372274580,1
1372274760,1
1372276740,1
1372277220,1
1372279020,1
1372279800,2
1372280220,2
1372280280,1
1372280760,2
1372281060,1
1372281120,2
1372282500,2
1372283820,1
1372284000,2
1372284600,1
1372285860,1
1372285920,1
1372286280,1
1372286700,1
1372287060,1
1372287540,4
1372289340,1
1372290420,2
1372292040,1
1372294380,2
1372294860,1
1372295760,1
1372298040,1
1372299000,1
1372299660,2
1372302720,2
1372308240,1
1372308300,1
1372314780,1
1372334220,1
1372335660,1
1372335780,1
1372338000,1
1372339080,1
1372339680,1
1372339800,1
1372342680,1
1372345860,1
1372347120,1
1372347840,1
1372349400,1
1372350960,1
1372351140,1
1372351260,2
1372351680,1
1372351740,1
1372358100,3
1372359240,1
1372362840,1
1372363020,1
1372363260,1
1372364400,1
1372370520,1
1372374060,1
1372374720,1
1372375860,1
1372376280,1
1372376640,1
1372376700,1
1372378140,1
1372379520,1
1372381080,1
1372407660,1
1372407720,2
1372407840,1
1372419000,1
1372419180,1
1372422180,1
1372423200,1
1372424280,1
1372424640,1
1372424760,1
1372425720,1
1372426440,1
1372426500,1
1372426560,1
1372426680,2
1372427340,1
1372428240,1
1372428660,1
1372428840,1
1372430640,1
1372436100,1
1372438380,1
1372439340,1
1372440000,2
1372440300,2
1372440480,1
1372441800,2
1372442220,1
1372444620,1
1372446660,1
1372446840,1
1372447920,2
1372447980,1
1372448280,1
1372449480,1
1372449840,1
1372450380,2
1372450860,1
1372450980,1
1372451220,2
1372451280,1
1372451520,1
1372451640,1
1372451760,1
1372452840,1
1372453560,2
1372453800,2
1372453860,2
1372454580,1
1372454640,1
1372455000,1
1372458660,1
1372460520,1
1372462200,2
1372463160,1
1372463340,1
1372463880,1
1372468860,1
1372469220,1
1372469880,1
1372472280,2
1372485180,2
1372485240,1
1372485300,1
1372509660,1
1372514040,1
1372515060,1
1372515120,1
1372516320,1
1372518240,2
1372519080,1
1372519620,1
1372519920,1
1372519980,2
1372520520,1
1372521300,2
1372521900,1
1372522560,1
1372522980,2
1372523400,2
1372524720,1
1372525560,2
1372525740,4
1372525800,2
1372526820,4
1372527060,1
1372527120,1
1372527240,1
1372528920,2
1372528980,1
1372529520,2
1372529700,2
1372530420,1
1372530720,2
1372531020,1
1372531140,1
1372532940,3
1372533600,3
1372533660,6
1372534320,5
1372534440,1
1372534680,1
1372537140,3
1372537260,1
1372537560,1
1372540860,2
1372541340,1
1372541940,1
1372542060,2
1372546020,1
1372549260,1
1372550220,1
1372555200,1
1372555920,1
1372558320,1
1372563000,1
1372565700,1
1372566540,1
1372566780,2
1372569540,1
1372593480,1
1372596300,1
1372597020,1
1372599780,1
1372600740,1
1372606620,1
1372607940,2
1372609500,1
1372610940,1
1372614000,1
1372614360,3
1372614960,1
1372615140,1
1372616520,2
1372616700,1
1372618140,1
1372618560,1
1372618740,1
1372619220,1
1372619280,1
1372619340,2
1372620300,4
1372621200,1
1372621920,1
1372623540,1
1372623780,2
1372623900,1
1372625640,1
1372626060,1
1372626720,1
1372627440,2
1372627620,1
1372628280,3
1372628580,1
1372628820,1
1372629360,1
1372630560,2
1372631160,1
1372631220,1
1372631640,1
1372633740,1
1372634100,2
1372635240,2
1372635360,4
1372638120,1
1372638420,1
1372638780,2
1372639140,1
1372640100,1
1372640280,1
1372641060,1
1372641120,4
1372641480,1
1372641780,1
1372642380,1
1372642800,1
1372646280,1
1372646700,2
1372678140,1
1372681080,1
1372681260,1
1372687020,8
1372687740,1
1372687980,1
1372688040,2
1372688280,1
1372688520,2
1372697340,1
1372697400,1
1372701720,1
1372702920,1
1372702980,1
1372709820,1
1372712460,1
1372718280,1
1372719000,1
1372719840,1
1372720440,1
1372721700,1
1372724940,1
1372729920,2
1372730700,2
1372764900,1
1372765560,1
1372768740,1
1372774500,1
1372776120,1
1372776900,1
1372779540,1
1372779720,1
1372781700,2
1372784400,1
1372784640,1
1372786500,1
1372786740,1
1372787520,1
1372788300,1
1372789020,2
1372792440,1
1372794840,1
1372796100,1
1372796160,1
1372796340,1
1372796940,1
1372798440,1
1372798980,2
1372799580,2
1372799820,3
1372799880,1
1372800000,1
1372800120,2
1372800360,1
1372800480,1
1372801920,1
1372803540,1
1372804440,3
1372805640,1
1372806600,1
1372810260,2
1372819980,2
1372820160,3
1372820280,1
1372847820,1
1372852260,1
1372854540,1
1372854780,1
1372855740,1
1372856940,2
1372857300,1
1372858200,1
1372859100,1
1372859700,1
1372860900,2
1372861500,1
1372862520,1
1372866840,2
1372867740,1
1372872840,1
1372873500,1
1372876620,1
1372876860,1
1372881420,1
1372881840,1
1372882020,1
1372883340,1
1372883580,1
1372885740,2
1372886040,1
1372886220,1
1372886340,1
1372886580,1
1372886700,1
1372887120,1
1372887960,1
1372889520,1
1372890240,1
1372891260,1
1372891440,1
1372891560,1
1372892580,1
1372893060,2
1372896060,2
1372896360,1
1372896540,2
1372897500,2
1372898040,1
1372898340,1
1372900740,1
1372919820,1
1372919880,3
1372919940,2
1372920000,1
1372920060,1
1372920120,1
1372920240,7
1372920300,1
1372920420,3
1372920480,1
1372931880,5
1372945560,1
1372946340,1
1372946880,1
1372947960,1
1372949940,1
1372951500,1
1372952040,2
1372952220,1
1372952760,1
1372952880,2
1372953300,1
1372953360,1
1372953900,3
1372955520,1
1372955640,1
1372955700,1
1372956840,1
1372959000,3
1372959240,1
1372959540,1
1372959900,1
1372960020,1
1372960380,2
1372960560,1
1372962000,2
1372962180,1
1372962300,1
1372965480,1
1372965600,2
1372965960,1
1372966080,5
1372966140,3
1372966920,1
1372967040,1
1372967100,1
1372967400,1
1372967520,2
1372967640,1
1372967940,1
1372968120,1
1372968660,1
1372969200,1
1372969440,1
1372969500,2
1372970220,1
1372970280,1
1372971000,1
1372972500,1
1372973700,1
1372974120,2
1372974300,2
1372975260,1
1372975740,1
1372976580,1
1372977240,1
1372978020,1
1372978980,2
1372979460,1
1372979700,1
1372980000,1
1372980660,1
1372980900,2
1372981440,4
1372983360,2
1372983900,1
1372985280,2
1372985400,1
1372985460,1
1372985940,1
1372987740,1
1372988400,1
1372988520,1
1373002740,1
1373002800,5
1373002920,6
1373002980,3
1373003040,4
1373003100,1
1373003340,1
1373003520,1
1373005200,1
1373024460,1
1373026800,1
1373027280,1
1373028840,1
1373029080,1
1373030100,2
1373035140,1
1373035320,1
1373035920,1
1373035980,1
1373036940,1
1373037900,2
1373039220,1
1373039340,1
1373039460,1
1373039880,1
1373040180,1
1373041200,3
1373041320,3
1373041680,1
1373043360,4
1373043660,2
1373043780,3
1373043900,2
1373044380,2
1373044680,1
1373045280,2
1373045640,2
1373046240,4
1373046360,3
1373046660,2
1373046960,1
1373047260,1
1373047320,1
1373047920,2
1373048280,1
1373049060,1
1373049360,1
1373050080,1
1373050260,1
1373050620,1
1373050860,2
1373051700,1
1373053920,4
1373054280,1
1373054580,1
1373054880,1
1373058360,1
1373061780,2
1373062020,2
1373062620,2
1373063580,1
1373063640,1
1373064480,2
1373065080,1
1373065200,1
1373065380,1
1373065740,4
1373065920,2
1373066040,3
1373066340,4
1373070660,1
1373072460,2
1373075640,2
1373075760,3
1373079780,1
1373080680,2
1373083800,2
1373085120,2
1373113980,1
1373115840,1
1373116740,2
1373121120,1
1373121480,2
1373121780,1
1373121900,3
1373122080,2
1373122680,3
1373123100,1
1373123760,1
1373124480,1
1373124600,2
1373124780,2
1373124840,1
1373125020,5
1373125920,1
1373127000,1
1373127480,1
1373128080,1
1373128140,1
1373128200,2
1373129220,2
1373129280,1
1373129340,2
1373129880,1
1373130120,1
1373130240,1
1373131020,1
1373131320,2
1373131440,1
1373131740,1
1373132040,1
1373132100,1
1373132520,3
1373132580,3
1373133000,2
1373133900,1
1373134740,1
1373139120,2
1373139600,1
1373141280,1
1373141940,2
1373142180,2
1373142240,1
1373142300,1
1373143500,1
1373143740,3
