datetime,arrivals
1371150900,1
1371153420,1
1371156120,1
1371157680,1
1371160080,1
1371160500,1
1371160920,2
1371162660,1
1371185040,1
1371185100,4
1371185220,6
1371185820,3
1371185880,4
1371185940,2
1371186000,4
1371186060,3
1371186120,1
1371186240,1
1371210120,1
1371211740,2
1371212520,1
1371214140,1
1371214380,1
1371215340,1
1371216240,1
1371216600,1
1371217320,1
1371217800,1
1371219240,1
1371222300,1
1371231240,1
1371235380,1
1371235500,1
1371237840,1
1371237960,1
1371240060,1
1371242460,1
1371245100,1
1371245280,1
1371246900,1
1371247200,1
1371249000,1
1371249960,1
1371251160,1
1371257640,1
1371263220,1
1371266880,1
1371269520,1
1371295500,1
1371297720,1
1371299100,1
1371299580,1
1371300900,1
1371302400,1
1371303540,1
1371307980,1
1371308700,1
1371309240,2
1371313380,1
1371314760,1
1371316140,1
1371316740,1
1371316860,1
1371317100,1
1371318960,1
1371319020,1
1371319980,1
1371321600,2
1371321960,1
1371323580,2
1371325020,1
1371325980,2
1371326580,1
1371327060,4
1371327120,1
1371327600,4
1371327720,1
1371328200,2
1371328440,2
1371328620,2
1371330840,1
1371331080,1
1371331620,1
1371333540,1
1371333600,2
1371333840,2
1371334200,1
1371335280,1
1371336060,2
1371336600,1
1371337440,1
1371337740,1
1371337920,1
1371338100,3
1371339120,2
1371340320,1
1371340980,1
1371341160,1
1371341700,1
1371343800,2
1371344160,1
1371344340,2
1371346080,2
1371348780,2
1371349080,2
1371353340,1
1371356340,1
1371386340,1
1371388800,1
1371389340,1
1371390420,1
1371394080,1
1371394620,1
1371395100,1
1371395580,2
1371397200,1
1371397440,2
1371397680,2
1371397740,1
1371398040,1
1371399900,2
1371400440,1
1371401760,2
1371402420,1
1371402960,2
1371404640,2
1371407460,1
1371407760,2
1371408120,2
1371408780,1
1371410520,1
1371412500,2
1371412860,2
1371413040,1
1371413100,1
1371413520,2
1371413820,3
1371414780,1
1371416580,1
1371417780,2
1371417840,1
1371418500,1
1371418920,1
1371418980,1
1371419580,1
1371421980,1
1371422940,1
1371425040,1
1371425940,1
1371427680,1
1371427980,2
1371429600,1
1371431520,1
1371431940,1
1371432120,1
1371473340,13
1371473760,1
1371474840,1
1371475140,1
1371475680,1
1371475800,2
1371476100,1
1371476220,1
1371478260,1
1371479280,1
1371479580,1
1371482340,1
1371484440,1
1371485400,1
1371491640,2
1371494100,1
1371494760,1
1371495780,1
1371496560,1
1371497520,1
1371498420,1
1371499440,1
1371502620,1
1371502800,2
1371502980,3
1371504420,1
1371505380,1
1371505680,1
1371505740,1
1371506040,1
1371506160,1
1371507780,1
1371508200,1
1371508860,1
1371510000,2
1371510360,1
1371510960,1
1371512880,1
1371513120,1
1371513600,1
1371514740,1
1371515340,3
1371515460,2
1371516780,1
1371518460,1
1371519480,1
1371529740,1
1371548400,1
1371552600,1
1371553020,1
1371556500,1
1371556560,2
1371556620,3
1371556680,2
1371558780,1
1371559800,2
1371560160,1
1371560280,1
1371561060,2
1371561960,1
1371562440,2
1371562860,1
1371563040,1
1371563580,1
1371563940,1
1371564240,1
1371564600,1
1371566640,1
1371566760,1
1371567600,1
1371567900,1
1371569520,1
1371571200,2
1371572160,1
1371575520,1
1371575700,1
1371581220,1
1371581520,1
1371581640,1
1371581820,1
1371582480,3
1371583620,1
1371585840,3
1371585900,1
1371589680,1
1371596340,1
1371606900,2
1371607200,1
1371635220,1
1371639060,1
1371640920,1
1371642540,1
1371647220,1
1371648120,1
1371649440,1
1371649560,1
1371651780,1
1371653100,1
1371653580,2
1371658440,1
1371661800,2
1371663480,1
1371665640,1
1371667740,1
1371669120,1
1371669960,1
1371670620,1
1371671820,1
1371672660,1
1371673080,1
1371673380,1
1371674460,1
1371675000,1
1371675720,1
1371676440,2
1371677220,1
1371678480,2
1371679620,1
1371680280,1
1371682320,2
1371683520,1
1371684240,1
1371687540,1
1371687780,1
1371688140,2
1371689940,1
1371691080,2
1371693600,1
1371695160,1
1371696600,2
1371700620,1
1371724860,1
1371726780,2
1371728940,1
1371729480,2
1371729840,1
1371730680,1
1371730980,1
1371731220,1
1371732660,1
1371733380,1
1371733500,1
1371733680,1
1371733920,1
1371734580,1
1371734940,1
1371735180,1
1371735300,1
1371735420,1
1371735780,1
1371736500,1
1371737520,1
1371737700,1
1371738180,1
1371742440,1
1371742740,1
1371744960,2
1371746340,1
1371748440,1
1371750480,2
1371751320,1
1371754680,1
1371755220,1
1371759540,1
1371766140,1
1371766320,1
1371767400,1
1371768840,1
1371769980,1
1371770100,3
1371770160,3
1371770220,2
1371771420,1
1371777780,2
1371777840,1
1371783480,1
1371810120,1
1371812580,1
1371813780,1
1371814920,1
1371815940,1
1371816600,1
1371816900,1
1371817980,1
1371818580,1
1371819960,5
1371820380,1
1371820620,1
1371822540,1
1371823920,1
1371824760,1
1371824880,1
1371827520,1
1371827760,1
1371828480,1
1371829080,1
1371832560,1
1371833100,1
1371833280,1
1371833520,1
1371834960,1
1371836700,1
1371840660,2
1371840840,1
1371841320,2
1371842460,2
1371844740,1
1371846480,1
1371846600,1
1371846960,1
1371847620,1
1371848280,1
1371848460,1
1371850740,1
1371850980,2
1371851820,1
1371854280,1
1371855120,1
1371855480,1
1371856320,1
1371856740,2
1371857220,2
1371857280,1
1371857820,1
1371862320,1
1371862740,1
1371862920,1
1371863340,2
1371864600,1
1371874620,1
1371878400,1
1371902760,1
1371903660,2
1371905880,1
