datetime,arrivals
1371150960,1
1371153780,1
1371156480,1
1371158880,1
1371160320,1
1371160440,1
1371160500,1
1371160920,1
1371161160,1
1371161580,1
1371161880,1
1371162240,1
1371162360,1
1371164100,1
1371164280,1
1371165180,1
1371165480,1
1371166500,1
1371174300,1
1371183540,1
1371210540,1
1371210900,1
1371213540,1
1371214500,1
1371214740,1
1371215520,1
1371217560,1
1371224340,1
1371224880,1
1371229380,2
1371229860,1
1371234000,1
1371236040,1
1371236160,1
1371236760,1
1371237480,1
1371238500,1
1371239040,2
1371242340,1
1371242880,1
1371244260,1
1371245100,1
1371245160,1
1371245460,1
1371246180,1
1371246540,2
1371246660,1
1371247440,2
1371247680,1
1371248040,1
1371248640,2
1371248760,1
1371249060,1
1371249120,1
1371249300,1
1371249480,1
1371250500,1
1371250920,3
1371251520,1
1371252480,1
1371252840,1
1371253200,2
1371253620,1
1371253920,3
1371253980,1
1371254040,2
1371254220,2
1371254280,3
1371255360,1
1371255540,1
1371255720,1
1371257880,1
1371258120,2
1371261060,1
1371261720,1
1371261900,1
1371262440,1
1371262800,1
1371264660,1
1371265380,1
1371265680,2
1371265740,2
1371268020,1
1371273540,1
1371277260,1
1371277320,2
1371278940,1
1371283440,1
1371287580,1
1371296160,1
1371304260,1
1371308040,1
1371308460,1
1371310020,1
1371310740,1
1371310980,1
1371311160,1
1371312000,1
1371312360,1
1371312660,2
1371313500,2
1371313560,1
1371313800,1
1371314760,1
1371315240,2
1371315420,3
1371316200,1
1371316620,1
1371317280,1
1371318000,1
1371318060,2
1371318540,1
1371319620,4
1371322080,1
1371324180,1
1371324480,1
1371324780,2
1371324900,4
1371325740,1
1371327300,1
1371329040,1
1371329520,1
1371329940,2
1371330660,1
1371331080,1
1371331860,1
1371332100,1
1371332580,1
1371333240,2
1371333720,1
1371334260,2
1371334620,1
1371334800,2
1371334860,3
1371334920,1
1371335160,1
1371335400,1
1371335460,1
1371338280,1
1371338760,2
1371339540,1
1371339900,2
1371340140,1
1371340200,1
1371340260,1
1371341160,1
1371341700,1
1371342120,1
1371342900,2
1371343440,2
1371343500,1
1371344280,1
1371344520,1
1371344640,1
1371345960,4
1371346080,1
1371348300,1
1371348480,1
1371348720,2
1371348780,2
1371348840,2
1371350160,1
1371350520,2
1371352320,1
1371358380,2
1371361800,1
1371364200,1
1371366840,1
1371379800,1
1371381540,1
1371389700,1
1371390300,1
1371391680,1
1371392460,2
1371393300,1
1371393600,1
1371393660,1
1371394980,1
1371395280,1
1371395700,1
1371395820,1
1371396540,1
1371397680,1
1371399360,2
1371401100,1
1371401160,1
1371401280,1
1371402120,1
1371403860,2
1371403920,1
1371404160,4
1371404280,1
1371405000,3
1371405360,1
1371405960,1
1371406140,4
1371406260,2
1371406320,1
1371407040,1
1371407220,1
1371407280,1
1371407760,1
1371408000,2
1371409080,1
1371409260,1
1371410220,1
1371410280,2
1371410940,1
1371412200,3
1371415020,1
1371415200,1
1371415320,1
1371415920,1
1371416040,1
1371416520,1
1371417240,1
1371418320,2
1371418500,1
1371419280,1
1371420960,1
1371422160,1
1371423780,1
1371423840,1
1371424260,1
1371424560,1
1371425040,1
1371426060,1
1371426660,1
1371427080,2
1371427620,1
1371429840,1
1371429960,1
1371430080,1
1371430260,1
1371430500,1
1371430800,1
1371431100,2
1371431340,1
1371431400,1
1371431700,1
1371433860,2
1371434040,1
1371434760,1
1371435660,1
1371437580,2
1371438060,1
1371439860,1
1371439980,1
1371440220,2
1371440640,1
1371441840,2
1371442020,1
1371443700,1
1371444840,1
1371444900,1
1371445200,1
1371470940,1
1371472680,1
1371473220,1
1371478920,1
1371479400,1
1371488040,1
1371488580,1
1371490740,5
1371490800,2
1371490860,2
1371490980,4
1371493440,1
1371493740,2
1371494460,1
1371495300,1
1371495600,1
1371496860,1
1371498840,1
1371499380,1
1371500160,1
1371500580,1
1371500760,1
1371501720,1
1371502620,1
1371502680,2
1371505440,1
1371507540,1
1371507600,2
1371507900,1
1371508560,1
1371508620,1
1371508800,1
1371509100,1
1371509220,1
1371509340,1
1371509400,1
1371509880,1
1371510660,2
1371510840,1
1371511200,1
1371511380,1
1371511560,1
1371511920,1
1371512220,1
1371512880,1
1371512940,2
1371513420,1
1371513840,1
1371514020,1
1371514140,1
1371514500,1
1371514980,1
1371515580,2
1371516000,1
1371517080,1
1371517800,1
1371518100,1
1371518640,1
1371519000,1
1371519060,1
1371519960,1
1371521520,1
1371521580,2
1371522240,1
1371522720,1
1371523620,1
1371523800,1
1371525060,1
1371526440,1
1371527940,1
1371528480,2
1371530340,1
1371532800,1
1371536160,1
1371538920,1
1371544020,1
1371556980,1
1371559320,1
1371561660,1
1371562680,1
1371564720,1
1371566460,1
1371566940,1
1371568020,1
1371570180,1
1371570420,2
1371571380,1
1371572940,1
1371573960,1
1371574740,1
1371575520,1
1371575640,2
1371575760,1
1371576420,1
1371577800,1
1371578760,2
1371579240,1
1371579960,1
1371580920,1
1371581880,1
1371583020,1
1371583080,1
1371583140,1
1371584400,1
1371584640,1
1371584760,1
1371585240,1
1371587220,1
1371588240,1
1371588780,1
1371589740,1
1371592380,1
1371595740,1
1371597180,1
1371597300,1
1371599340,2
1371600780,1
1371602700,1
1371603480,1
1371603660,1
1371604920,1
1371605340,1
1371605820,1
1371606180,1
1371606720,1
1371607080,1
1371607320,1
1371609540,4
1371609780,1
1371611340,1
1371612960,1
1371616020,2
1371617520,1
1371634380,5
1371634440,2
1371634500,3
1371639480,1
1371639720,1
1371645540,1
1371646560,1
1371647820,1
1371650760,1
1371651120,1
1371652620,1
1371655260,1
1371655560,1
1371655860,1
1371656820,1
1371657060,1
1371657180,1
1371658200,1
1371658980,1
1371660000,1
1371660240,1
1371660480,1
1371660660,1
1371661020,1
1371661200,3
1371662100,1
1371662160,1
1371662460,1
1371662700,1
1371663180,2
1371663660,1
1371666180,1
1371668700,1
1371669960,1
1371674040,1
1371676020,1
1371676560,3
1371678000,1
1371678240,1
1371678540,1
1371678660,1
1371678960,1
1371679140,1
1371679380,1
1371679620,1
1371679680,2
1371680580,1
1371680820,1
1371681600,1
1371681900,1
1371682080,1
1371682320,1
1371682380,2
1371682500,1
1371682740,2
1371683040,3
1371683340,2
1371683580,2
1371683700,1
1371683880,2
1371684180,3
1371684780,1
1371685080,1
