datetime,arrivals
1371153840,1
1371154080,1
1371158580,1
1371160740,1
1371161160,1
1371161280,1
1371162600,1
1371163200,1
1371165240,1
1371165480,1
1371166200,1
1371166620,1
1371171840,1
1371214020,1
1371215220,1
1371217440,1
1371217980,1
1371219480,1
1371221880,1
1371222540,2
1371224220,1
1371228660,1
1371231720,1
1371234000,1
1371235440,1
1371235500,2
1371239640,1
1371241440,1
1371242580,3
1371244800,1
1371245100,2
1371246180,1
1371248640,1
1371249000,2
1371249300,1
1371250800,1
1371250920,1
1371251520,2
1371255720,3
1371256320,1
1371257220,1
1371258060,2
1371260040,1
1371261900,1
1371261960,1
1371262980,1
1371263040,1
1371263460,1
1371269580,1
1371269700,1
1371270540,1
1371273000,2
1371276840,1
1371276900,1
1371286560,1
1371300900,5
1371301200,1
1371301260,1
1371301500,1
1371304500,1
1371306480,1
1371308040,1
1371308520,1
1371310680,2
1371310740,2
1371311100,1
1371313140,2
1371313500,1
1371313620,3
1371313920,4
1371314340,1
1371315060,1
1371315840,1
1371317040,1
1371317100,2
1371317580,1
1371318600,1
1371319140,3
1371319260,1
1371319320,1
1371320040,2
1371321000,1
1371322260,4
1371322680,1
1371322980,1
1371323340,1
1371323820,1
1371324180,1
1371324660,1
1371324780,2
1371325080,2
1371325620,2
1371325740,1
1371325980,1
1371326100,1
1371326160,1
1371326280,1
1371327600,1
1371327900,2
1371328440,2
1371328800,1
1371329160,1
1371330120,1
1371330600,2
1371330840,1
1371331380,1
1371331500,1
1371332100,1
1371332460,1
1371332700,1
1371333300,1
1371333780,1
1371333840,2
1371334380,1
1371334440,1
1371334500,2
1371334980,1
1371335040,2
1371335160,2
1371335400,2
1371335760,1
1371336480,1
1371336960,1
1371337440,2
1371337620,1
1371338940,2
1371339540,2
1371340080,2
1371340200,2
1371340680,2
1371345600,1
1371345840,1
1371348120,1
1371348600,2
1371351000,1
1371352140,1
1371352440,1
1371352560,1
1371352680,1
1371352740,1
1371353520,2
1371358560,1
1371359880,1
1371362100,1
1371363660,1
1371364380,1
1371367560,1
1371371340,2
1371371580,2
1371389880,1
1371391200,1
1371394920,1
1371395100,1
1371395700,1
1371397020,1
1371399060,1
1371400080,1
1371400200,1
1371402780,1
1371404820,1
1371405360,2
1371405480,1
1371407040,1
1371407460,1
1371407880,1
1371408600,2
1371408900,2
1371409440,1
1371409800,2
1371409920,1
1371409980,1
1371410460,1
1371412260,1
1371412380,1
1371412860,1
1371413040,1
1371413340,1
1371414120,2
1371414780,1
1371414960,1
1371417060,1
1371417240,1
1371417780,1
1371417900,1
1371418500,1
1371418920,1
1371419940,2
1371420960,2
1371421020,1
1371421260,1
1371421320,1
1371421620,1
1371421860,1
1371424080,1
1371424620,1
1371425640,1
1371425760,1
1371426900,1
1371427800,2
1371428040,2
1371431880,2
1371432840,2
1371433440,1
1371464280,1
1371468120,1
1371468240,1
1371469140,1
1371488100,7
1371488520,2
1371489600,1
1371489720,2
1371489840,1
1371493140,1
1371494760,1
1371494940,2
1371495660,1
1371500340,1
1371502260,1
1371503580,1
1371505680,1
1371507120,2
1371507600,1
1371508560,1
1371509700,1
1371509880,1
1371510000,1
1371510480,1
1371510900,1
1371512280,1
1371513480,1
1371513600,2
1371513840,1
1371513900,1
1371515700,1
1371516480,1
1371516540,1
1371517740,1
1371517860,1
1371518940,1
1371521040,1
1371522960,2
1371523200,2
1371525360,1
1371530880,1
1371532200,1
1371551700,1
1371554880,1
1371555600,1
1371556260,1
1371557100,1
1371566760,1
1371570480,1
1371571020,1
1371575880,1
1371577020,1
1371578880,1
1371579300,2
1371584220,1
1371585840,1
1371586200,1
1371586500,1
1371590040,1
1371602940,1
1371603900,1
1371604320,1
1371604680,1
1371606000,1
1371606120,1
1371606780,1
1371607320,1
1371611940,1
1371613680,1
1371614100,1
1371618060,1
1371626820,1
1371640080,1
1371641040,1
1371642180,1
1371642480,1
1371642960,1
1371645900,1
1371646500,1
1371650820,1
1371651360,1
1371656340,1
1371657360,1
1371658860,1
1371660840,1
1371660960,1
1371662220,1
1371664320,1
1371666480,1
1371672300,1
1371673680,1
1371674340,1
1371674700,1
1371675900,2
1371676440,1
1371676560,2
1371677340,1
1371677700,1
1371678000,1
1371678240,1
1371678540,2
1371679860,2
1371680580,1
1371682140,2
1371710580,17
1371727380,1
1371728400,1
1371731700,1
1371733380,1
1371734100,1
1371734520,1
1371736320,1
1371736980,2
1371739560,1
1371741600,2
1371743040,1
1371743580,1
1371743880,1
1371746100,1
1371746160,1
1371747660,2
1371748980,2
1371749220,1
1371749280,1
1371749940,1
1371752580,1
1371753060,1
1371753720,1
1371754260,1
1371755340,1
1371756960,1
1371757980,2
1371761040,1
1371761460,1
1371762120,1
1371762300,1
1371762420,1
1371762900,2
1371764940,1
1371765420,1
1371765840,1
1371767280,1
1371767640,1
1371768120,1
1371768240,1
1371768480,1
1371769680,1
1371769920,1
1371770340,1
1371770460,1
1371771120,1
1371771360,1
1371772140,1
1371773040,1
1371773160,1
1371774060,1
1371775680,1
1371775800,1
1371777420,1
1371777840,1
1371778080,1
1371779580,2
1371779640,1
1371781140,1
1371782580,1
1371784680,1
1371787500,1
1371787620,1
1371788940,1
1371790440,1
1371791100,2
1371792000,2
1371797820,1
1371814800,1
1371816000,1
1371816900,1
1371818220,1
1371821460,1
1371824040,1
1371826380,1
1371826440,1
1371827100,1
1371827340,1
1371829740,1
1371831180,1
1371835440,3
1371836700,1
1371836760,1
1371836880,1
1371838380,1
1371842460,3
1371843000,1
1371843240,1
1371846300,1
1371846960,1
1371847380,1
1371847620,1
1371847920,2
1371849060,1
1371849360,1
1371849660,1
1371850140,1
1371850980,1
1371851820,2
1371852120,1
1371853860,1
1371854280,2
1371854940,2
1371855300,1
1371855660,1
1371856260,2
1371856380,1
1371856440,1
1371856740,1
1371856860,1
1371857160,1
1371857280,1
1371857640,1
1371857940,3
1371858000,1
1371860100,1
1371860700,1
1371861240,1
1371861840,1
1371865920,2
1371867180,2
1371867420,2
1371867780,2
1371869340,1
1371869700,1
1371870360,1
1371871800,1
1371872760,1
1371873780,1
1371875100,1
1371876300,1
1371876480,1
1371876960,1
1371881460,1
1371890700,2
1371901380,1
1371902880,1
1371903840,1
1371905700,1
1371910020,1
1371910680,1
1371910920,1
1371912540,1
1371913920,1
1371914940,2
1371915240,1
1371915420,1
1371916440,2
1371917220,1
1371917580,1
1371918060,1
1371921960,2
1371922560,4
1371922920,2
1371923460,1
1371923880,2
1371924120,1
1371924600,1
1371924780,1
1371925140,1
1371926400,1
1371926580,2
1371926760,1
1371926940,1
1371927240,2
1371927600,1
1371929040,1
1371930420,1
1371930780,1
1371932220,1
1371932940,1
1371933300,1
1371933420,1
1371933600,1
1371934440,2
1371934620,2
1371935040,2
1371936300,1
1371936480,1
1371937140,1
1371937320,1
1371937680,1
1371937860,2
1371938280,1
1371941640,1
1371941820,1
1371942780,1
1371943560,1
1371943860,2
1371944280,1
1371944520,1
1371945420,1
1371945480,2
1371948120,1
1371948240,2
1371949200,1
1371949560,1
1371949800,1
1371949860,2
1371950160,2
1371950520,1
1371951240,1
1371951360,1
1371952680,2
1371952740,1
1371954000,1
1371956640,2
1371959100,1
1371962880,1
1371990360,1
1371990600,1
1371994440,1
1371995940,1
1371996000,1
1371996420,1
1371996540,1
1371996960,1
1371997260,1
1371997500,1
1371998220,1
1371999960,1
1372000080,1
1372001340,1
1372001460,2
1372002240,1
1372002600,1
1372003200,2
1372003980,1
1372004400,1
1372005180,1
1372005420,1
1372005780,1
1372006200,1
