datetime,arrivals
1371153840,1
1371154680,1
1371158640,2
1371160500,2
1371164340,1
1371164460,1
1371169800,1
1371198360,3
1371198420,1
1371198540,5
1371198600,1
1371209040,1
1371210840,1
1371210960,1
1371211320,2
1371213240,1
1371213360,1
1371214560,1
1371218820,1
1371224340,1
1371225000,1
1371225060,1
1371225960,1
1371227580,1
1371232620,1
1371236520,1
1371236940,1
1371237360,1
1371238140,1
1371238860,1
1371240300,1
1371241980,3
1371242760,2
1371242880,1
1371244800,2
1371244920,2
1371247800,2
1371248220,2
1371249000,4
1371249240,1
1371250080,1
1371250500,1
1371252060,1
1371252360,1
1371254520,2
1371256680,1
1371257400,1
1371273420,2
1371292080,2
1371296520,1
1371299880,1
1371299940,1
1371303000,1
1371304740,1
1371305220,1
1371306240,2
1371306480,1
1371307860,1
1371308520,1
1371308640,1
1371308700,1
1371309060,1
1371309240,4
1371309420,2
1371309720,1
1371310800,1
1371310920,1
1371311820,2
1371312420,1
1371312540,1
1371312600,2
1371312720,2
1371313620,1
1371314220,1
1371314280,2
1371314580,1
1371316440,1
1371317280,1
1371317400,1
1371318000,1
1371318540,2
1371318600,1
1371319320,2
1371320040,2
1371320280,5
1371320700,1
1371321180,2
1371321300,3
1371323040,1
1371323400,2
1371323460,2
1371323820,1
1371323940,2
1371324900,1
1371325140,2
1371325800,1
1371326220,1
1371326520,1
1371326640,2
1371327120,1
1371327180,1
1371328680,1
1371329160,1
1371329820,1
1371329940,1
1371330720,1
1371331620,1
1371332160,1
1371332340,1
1371332580,1
1371332820,1
1371332880,2
1371333000,1
1371333180,1
1371333240,3
1371333840,2
1371334080,2
1371334260,2
1371334440,1
1371335340,2
1371336000,1
1371336720,1
1371336900,1
1371337140,2
1371337500,2
1371337740,1
1371338280,1
1371338700,2
1371339120,2
1371339180,1
1371340800,2
1371341160,1
1371341220,1
1371342780,2
1371343080,1
1371343140,1
1371343200,1
1371343260,2
1371344040,1
1371344160,2
1371344280,1
1371344820,1
1371346920,1
1371349860,1
1371350580,2
1371364260,1
1371365100,1
1371365220,1
