datetime,arrivals
1371152220,1
1371153600,1
1371156300,1
1371157740,1
1371158340,1
1371158880,1
1371159780,1
1371160500,1
1371160680,1
1371161700,1
1371162360,1
1371162720,1
1371163440,1
1371163560,2
1371163740,1
1371163800,1
1371163980,2
1371176040,1
1371183240,1
1371184080,1
1371208080,1
1371216720,1
1371224220,1
1371228720,1
1371229200,1
1371231840,2
1371231960,4
1371232080,3
1371232860,1
1371233760,1
1371235500,1
1371238140,1
1371238500,1
1371238620,1
1371239040,1
1371239400,2
1371239820,1
1371241200,1
1371241860,1
1371243120,1
1371243240,1
1371244680,2
1371247800,2
1371248160,1
1371248220,1
1371249000,1
1371249660,1
1371249720,1
1371250020,1
1371251340,1
1371252360,1
1371252420,1
1371253680,1
1371254700,1
1371255180,1
1371256800,1
1371257280,1
1371257400,1
1371257520,1
1371260640,2
1371260880,1
1371261120,1
1371263100,1
1371263820,1
1371264360,2
1371264840,1
1371265380,2
1371266820,1
1371267420,2
1371267900,1
1371274320,1
1371275580,1
1371276300,1
1371276360,1
1371277140,1
1371279540,1
1371280020,1
1371302220,1
1371306720,1
1371307260,1
1371307380,1
1371307740,1
1371308040,1
1371308100,1
1371309420,1
1371311580,1
1371312660,1
1371313140,2
1371313800,1
1371314040,1
1371314520,1
1371314820,2
1371316740,1
1371317280,1
1371317700,2
1371317820,2
1371318000,2
1371318660,1
1371320580,1
1371321240,1
1371321600,1
1371322080,1
1371322740,2
1371323460,1
1371324660,1
1371326460,1
1371327060,2
1371328500,1
1371328560,1
1371328980,2
1371329520,1
1371329880,1
1371330300,1
1371330360,4
1371330960,1
1371331620,1
1371332580,1
1371332760,1
1371333060,1
1371333420,3
1371333720,1
1371334080,1
1371335400,1
1371335640,3
1371335940,2
1371336600,1
1371336960,1
1371338100,1
1371339240,1
1371339600,1
1371339720,2
1371339840,1
1371341340,1
1371342360,1
1371344580,1
1371344760,1
1371345060,1
1371345540,1
1371346620,1
1371346860,1
1371346920,1
1371346980,1
1371347400,1
1371348360,1
1371348960,1
1371350160,1
1371350940,2
1371352080,2
1371352440,1
1371352560,1
1371353880,1
1371354720,3
1371359160,1
1371359640,1
1371361200,1
1371384240,1
1371387540,2
1371387660,1
1371390900,1
1371392460,1
1371393420,1
1371393600,1
1371394560,1
1371394620,1
1371394860,1
1371396840,1
1371397020,2
1371397740,1
1371398220,2
1371398760,1
1371399480,1
1371402120,2
1371402720,1
1371403200,2
1371403860,1
1371404160,1
1371404640,1
1371405120,3
1371406320,2
1371406560,1
1371407160,1
1371407280,1
1371407760,1
1371409620,1
1371409680,1
1371410460,2
1371410520,1
1371410940,1
1371411420,1
1371412260,1
1371412440,2
1371413220,1
1371414120,1
1371414180,3
1371414300,1
1371415320,1
1371415380,1
1371415980,1
1371420600,1
1371420780,2
1371421380,1
1371422100,1
1371422640,1
1371423840,2
1371423960,1
1371424320,1
1371425220,2
1371425280,1
1371428040,1
1371429480,2
1371429600,1
1371431880,5
1371431940,3
1371432000,2
1371432120,1
1371432300,2
1371432420,2
1371432540,1
1371433140,1
1371433440,2
1371433680,1
1371433860,1
1371434760,1
1371435300,1
1371435360,1
1371438600,1
1371439500,1
1371441900,1
1371445020,1
1371446160,1
1371447420,1
1371470460,1
1371473160,1
1371478440,1
1371479640,1
1371483480,3
1371484380,1
1371488460,1
1371493500,1
1371494880,1
1371496440,1
1371498360,2
1371499320,1
1371499560,1
1371499740,1
1371502140,1
1371503100,1
1371504420,1
1371504780,2
1371505200,1
1371505620,1
1371505680,1
1371506040,1
1371507840,1
1371507900,1
1371508560,1
1371508620,1
1371508980,1
1371509220,1
1371509520,1
1371509760,1
1371510360,1
1371510960,1
1371511320,2
1371512040,1
1371512400,1
1371513720,1
1371514320,1
1371514440,1
1371515220,1
1371515460,1
1371515580,1
1371516000,1
1371516120,1
1371516300,1
1371516660,1
1371516720,1
1371516960,2
1371517140,1
1371518760,23
1371518940,1
1371519180,5
1371519360,1
1371519660,1
1371520380,2
1371521700,1
1371521760,1
1371522360,2
1371523920,1
1371525060,1
1371525300,1
1371526860,2
1371528060,1
1371529920,1
1371530700,1
1371532740,1
1371554340,1
1371556440,1
1371556620,1
1371557760,1
1371560100,1
1371560460,1
1371561420,1
1371564060,1
1371567120,1
1371567540,1
1371569280,2
1371570060,1
1371570840,1
1371571440,2
1371573660,1
1371576240,1
1371576840,1
1371578400,1
1371579900,1
1371580800,1
1371581280,1
1371582840,1
1371583680,1
1371587760,1
1371588300,1
1371590580,1
1371590880,1
1371591780,1
1371591840,1
1371594780,1
1371594840,1
1371594900,1
1371596580,1
1371596940,1
1371597180,1
1371601200,1
1371601380,1
1371603660,1
1371603960,1
1371604020,1
1371604920,1
1371606480,1
1371607200,1
1371613380,1
1371620340,1
1371621720,2
1371628440,2
1371628500,3
1371628620,4
1371628680,2
1371628800,1
1371628860,3
1371628980,2
1371642720,1
1371643440,1
1371644820,1
1371646500,1
1371648300,1
1371649140,2
1371651360,1
1371652320,1
1371653340,1
1371654300,1
1371655740,1
1371657240,1
1371659640,1
1371660000,2
1371660540,1
1371661860,1
1371664500,1
1371664860,1
1371665340,2
1371665640,1
1371669480,1
1371670620,1
1371671100,1
1371671700,1
1371672180,1
1371673200,1
1371673440,1
1371674940,1
1371675240,1
1371676860,1
1371678480,2
1371678780,1
1371679500,1
1371679680,1
1371679980,1
1371680520,1
1371680700,1
1371681180,1
1371681600,1
1371682140,1
1371682380,2
1371682500,1
1371682740,1
1371682860,1
1371683400,1
1371683700,1
1371683880,1
1371684300,1
1371684540,1
1371685260,1
1371685500,1
1371685860,1
1371686160,1
1371686280,1
1371686580,1
1371686940,1
1371687000,1
1371687180,2
1371687960,1
1371690000,1
1371690120,1
1371690360,1
1371690540,5
1371692280,2
1371692340,1
1371692580,1
1371693840,1
1371694500,1
1371695340,1
1371696480,1
1371697500,1
1371697740,1
1371697800,1
1371698220,1
1371699120,1
1371699720,1
1371702120,1
1371702480,1
1371702600,2
1371703560,1
1371703680,1
1371703860,1
1371704520,1
1371706680,1
1371706800,1
1371711060,1
1371711480,1
1371712680,1
1371729480,1
1371731580,1
1371733080,2
1371735180,1
1371736980,1
1371740880,1
1371741780,1
1371742800,1
1371744660,2
1371744720,4
1371744840,3
1371744960,1
1371746940,1
1371747240,1
1371747780,1
1371748140,2
1371748740,1
1371750120,1
1371751080,1
1371751380,2
1371752340,1
1371752580,1
1371753180,1
1371753420,1
1371753780,1
1371753900,1
1371754740,1
1371756240,1
1371756480,1
1371757980,1
1371758220,1
1371758520,1
1371759660,1
1371759840,1
1371760320,1
1371762120,1
1371764100,1
1371764280,2
1371764820,1
1371765720,1
1371765840,2
1371766440,1
1371766500,2
1371767220,1
1371768000,2
1371768060,1
1371768540,1
1371768840,1
1371769140,1
1371769740,2
1371769920,1
1371770040,2
1371771300,1
1371771600,2
1371771780,1
1371771840,1
1371772320,1
1371772860,1
1371773160,1
1371773940,1
1371774480,1
1371775080,2
1371776040,1
1371777180,1
1371777720,1
1371779040,1
