datetime,arrivals
1371151080,1
1371151860,1
1371152640,1
1371152700,1
1371153840,1
1371154320,2
1371154500,4
1371156540,1
1371156960,1
1371158220,1
1371160200,1
1371161640,2
1371161760,1
1371161820,2
1371162000,1
1371163380,1
1371163980,1
1371164040,1
1371164940,1
1371167580,1
1371177900,1
1371181020,1
1371194700,1
1371207000,1
1371207180,1
1371207300,1
1371209160,1
1371210000,1
1371210300,1
1371210480,1
1371210960,1
1371211920,1
1371212100,1
1371212280,1
1371213900,1
1371214380,1
1371214500,1
1371214740,1
1371215100,2
1371216480,1
1371217320,1
1371217860,1
1371218340,1
1371219540,1
1371219600,2
1371220380,1
1371220920,1
1371222360,1
1371223320,1
1371224100,1
1371225600,1
1371225840,1
1371227400,1
1371227640,1
1371228960,2
1371229200,1
1371229320,1
1371230280,1
1371230400,1
1371230580,1
1371232200,2
1371232680,1
1371232860,1
1371233400,1
1371234540,1
1371234960,1
1371235020,1
1371235860,1
1371236100,1
1371236940,1
1371237000,1
1371237960,1
1371238140,1
1371238260,1
1371239100,1
1371239160,1
1371239880,1
1371240120,1
1371240480,1
1371241200,1
1371241620,2
1371241800,1
1371241860,1
1371242640,1
1371242760,1
1371242940,1
1371246240,1
1371246540,1
1371246960,1
1371247080,1
1371247200,1
1371247680,2
1371247920,1
1371248220,1
1371249120,1
1371249420,1
1371249480,1
1371250440,1
1371251640,1
1371251880,1
1371252180,1
1371252960,1
1371253080,1
1371253980,1
1371254400,1
1371254520,1
1371255780,1
1371257160,2
1371260280,1
1371260340,1
1371260580,2
1371260820,1
1371264900,1
1371266040,2
1371268020,2
1371273780,1
1371276120,1
1371293880,1
1371297960,1
1371300000,1
1371302520,1
1371302820,1
1371303420,1
1371303960,1
1371304380,1
1371305880,1
1371306540,1
1371307080,1
1371307200,1
1371308520,1
1371308700,2
1371308940,1
1371309540,1
1371309600,1
1371309720,1
1371309840,2
1371310020,1
1371310140,2
1371310800,1
1371310920,1
1371311100,2
1371311160,1
1371311340,1
1371311460,1
1371311820,1
1371312180,1
1371312360,1
1371312900,1
1371312960,1
1371316140,1
1371316920,1
