datetime,arrivals
1371152220,1
1371152400,1
1371159120,1
1371160980,1
1371161340,1
1371164580,2
1371205860,1
1371206760,1
1371207180,1
1371214620,1
1371214860,1
1371221520,1
1371223500,1
1371224400,1
1371224700,1
1371231360,2
1371231540,1
1371231660,1
1371232080,1
1371232140,1
1371233760,1
1371233880,1
1371234120,1
1371234660,1
1371237300,1
1371237360,1
1371239460,1
1371241500,1
1371242940,2
1371243300,2
1371243420,1
1371244560,1
1371244620,1
1371244680,2
1371244740,1
1371245280,1
1371245340,1
1371245880,1
1371247800,1
1371248280,1
1371250500,2
1371252000,1
1371253080,1
1371253620,1
1371254340,1
1371254640,1
1371255600,2
1371255840,1
1371256020,1
1371262560,1
1371264180,1
1371268380,1
1371268680,1
1371271800,1
1371272940,2
1371274680,1
1371279480,3
1371293880,1
1371293940,1
1371300600,2
1371304980,2
1371305340,1
1371305580,1
1371305700,1
1371305880,2
1371306060,1
1371306180,1
1371308460,1
1371308640,2
1371309240,1
1371309600,2
1371309660,2
1371309720,1
1371309780,2
1371310620,1
1371311400,1
1371311700,1
1371311820,1
1371312060,1
1371312540,2
1371313680,1
1371313920,2
1371313980,1
1371314100,2
1371314760,2
1371314820,2
1371315480,2
1371315720,2
1371315840,1
1371317100,1
1371317700,1
1371318240,2
1371318360,1
1371319140,2
1371321600,1
1371321960,2
1371322140,1
1371322440,1
1371322740,1
1371322980,2
1371323700,4
1371324180,4
1371324480,1
1371326700,1
1371326760,1
1371327480,1
1371328800,1
1371329220,2
1371329640,1
1371329940,1
1371330060,1
1371330300,1
1371330360,2
1371330900,1
1371331200,2
1371331320,3
1371331380,2
1371331500,1
1371331620,2
1371333720,1
1371333960,1
1371334200,1
1371334440,1
1371334620,1
1371336900,1
1371337380,1
1371337680,4
1371338100,1
1371338520,1
1371339540,4
1371339660,1
1371339900,2
1371340320,2
1371340440,4
1371340800,3
1371340980,1
1371341160,1
1371341700,2
1371341880,2
1371341940,4
1371342240,3
1371345300,1
1371346620,1
1371348600,2
1371348720,4
1371349680,1
1371350340,1
1371350400,1
1371351720,2
1371355740,5
1371355800,1
1371361380,1
1371361500,1
1371361860,1
1371363240,2
1371382800,1
1371385920,1
1371385980,1
1371390300,1
1371394320,1
1371395700,1
1371395820,1
1371395880,1
1371395940,2
1371396000,1
1371396960,2
1371398520,1
1371398580,1
1371398880,2
1371399540,4
1371399900,1
1371400320,1
1371400620,2
1371400740,2
1371400860,1
1371400980,1
1371401280,2
1371401700,1
1371401820,3
1371402960,2
1371403320,1
1371403620,3
1371403740,2
1371403860,1
1371404040,1
1371405780,2
1371406080,1
1371406440,1
1371406800,1
1371407100,1
1371407760,2
1371408780,1
1371409260,1
1371409800,1
1371410220,1
1371411000,2
1371411300,1
1371411420,1
1371412200,1
1371412440,1
1371412500,1
1371412560,1
1371413340,1
1371414060,2
1371414900,1
1371414960,1
1371416760,1
1371418080,1
1371419640,1
1371420360,1
1371420960,1
1371421380,2
1371421500,2
1371421560,2
1371422040,2
1371422100,3
1371422160,2
1371423300,3
1371423360,3
1371423840,3
1371424080,1
1371424140,1
1371424860,1
1371424980,2
1371425100,1
1371425220,1
1371425280,1
1371425880,1
1371425940,1
1371427320,2
1371428100,1
1371428640,1
1371428700,1
1371429000,1
1371429900,1
1371432420,1
1371438660,1
1371438780,1
1371443160,2
1371444540,2
1371445020,1
1371446580,2
1371460680,1
1371468780,1
1371471180,1
1371471780,1
1371472680,1
1371473160,1
1371473400,1
1371476400,1
1371477480,1
1371477840,1
1371478140,1
1371480000,1
1371480960,1
1371481260,1
1371481380,1
1371482160,1
1371482340,1
1371482460,2
1371483360,1
1371483780,1
1371484560,1
1371484800,1
1371486660,1
1371491760,1
1371492180,1
1371495960,2
1371496620,1
1371502320,2
1371502680,1
1371502800,1
1371504720,1
1371505680,4
1371507780,1
1371508320,1
1371508620,1
1371509220,2
1371509400,1
1371509520,2
1371509580,1
1371509700,1
1371510240,1
1371510600,1
1371512040,1
1371514680,1
1371515220,1
1371516240,1
1371516900,1
1371518220,1
1371518280,1
1371518940,1
1371521520,1
1371552480,1
1371555360,1
1371557880,1
1371558780,1
1371559980,1
1371560460,1
1371561300,1
1371562440,1
1371562680,1
1371567840,1
1371569700,1
1371570060,1
1371571260,1
1371571980,2
1371572280,1
1371573540,1
1371573720,1
1371573840,1
1371574200,1
1371574560,1
1371576900,1
1371579540,1
1371580080,2
1371582000,2
1371582720,1
1371585360,1
1371589320,1
1371591360,1
1371602520,1
1371603420,1
1371605580,1
1371607080,1
1371612420,1
1371626340,1
1371626520,1
1371639540,1
1371640080,1
1371640260,1
1371644220,1
1371644340,1
1371645120,1
1371645240,1
1371647520,1
1371647700,1
1371648120,1
1371649020,2
1371649560,1
1371649980,1
1371650040,1
1371651240,1
1371651720,1
1371652680,1
1371653100,1
1371655440,1
1371655560,1
1371657480,1
1371657540,1
1371659640,1
1371659820,1
1371659940,1
1371660000,2
1371660180,1
1371660240,1
1371661200,2
1371661620,1
1371661800,1
1371661860,1
1371663360,1
1371664020,1
1371664440,1
1371664680,1
1371664860,1
1371666120,1
1371667200,1
1371668760,1
1371669960,1
1371672000,1
1371672780,1
1371672900,1
1371672960,3
1371674160,2
1371674880,1
1371675120,2
1371675840,1
1371677940,1
1371678660,2
1371678960,1
1371679380,2
1371679500,1
1371679680,1
1371680220,1
1371680580,1
1371681000,2
1371681120,1
1371681300,1
1371681780,1
1371681960,1
1371682200,1
1371682500,2
1371682860,1
1371682980,1
1371683400,1
1371684180,1
1371685740,2
1371686820,2
1371687000,1
1371687600,1
1371687900,2
1371688020,1
1371688140,2
1371688320,1
1371688440,1
