datetime,arrivals
1371150420,1
1371150660,1
1371151440,1
1371151680,1
1371153120,1
1371154800,1
1371157260,1
1371157320,1
1371158100,1
1371158160,1
1371158580,1
1371159000,1
1371160320,1
1371160500,1
1371160680,3
1371161340,2
1371162840,2
1371163140,1
1371163980,2
1371164700,1
1371205200,1
1371212100,1
1371212280,2
1371212400,1
1371212520,1
1371214200,1
1371214560,1
1371214860,1
1371216000,1
1371216060,1
1371216360,1
1371216480,1
1371216720,1
1371217440,1
1371218160,1
1371218460,1
1371219600,1
1371219840,1
1371219900,1
1371219960,1
1371220440,1
1371221460,1
1371222780,1
1371225120,2
1371225300,1
1371226200,1
1371226500,1
1371226920,1
1371228960,1
1371229080,1
1371229320,1
1371229620,1
1371230400,1
1371231060,1
1371231720,1
1371232080,1
1371232860,1
1371233400,1
1371235800,1
1371236040,1
1371236100,1
1371236220,1
1371236880,1
1371237060,1
1371237480,2
1371237660,2
1371237960,1
1371238560,1
1371238680,2
1371239400,1
1371239760,1
1371241440,1
1371241860,1
1371242880,1
1371242940,1
1371243120,1
1371243720,1
1371244380,1
1371244620,1
1371244920,1
1371245040,1
1371246300,1
1371250020,1
1371250920,1
1371251220,1
1371251340,1
1371252480,2
1371253500,1
1371254220,1
1371255360,1
1371256320,2
1371259140,1
1371264600,1
1371268140,1
1371269280,1
1371271680,1
1371271740,1
1371273540,1
1371294180,1
1371298980,1
1371302820,1
1371303000,2
1371303180,1
1371303720,1
1371303960,1
1371304680,1
1371305220,1
1371306240,2
1371306840,2
1371307200,1
1371307440,2
1371307860,2
1371308100,1
1371308220,1
1371308340,2
1371308940,2
1371311100,1
1371311580,1
1371312960,1
1371313560,1
1371313620,1
1371313740,1
1371314280,1
1371314940,1
1371315060,1
1371315900,1
1371316140,2
1371316200,1
1371316380,1
1371316440,1
1371317040,1
1371317580,3
1371317820,1
1371318360,1
1371319740,1
1371320340,3
1371321720,1
1371322140,1
1371322380,3
1371323640,2
1371324000,1
1371324540,2
1371325440,1
1371325620,1
1371325920,2
1371326340,2
1371326580,2
1371327180,1
1371327300,1
1371327480,1
1371328200,2
1371328260,1
1371328440,2
1371328740,1
1371329880,1
1371329940,1
1371330000,2
1371330060,1
1371330600,1
1371330660,3
1371330960,1
1371331080,1
1371331200,1
1371332040,1
1371332580,1
1371333720,1
1371333840,2
1371334080,2
1371334860,1
1371335520,1
1371336240,2
1371336600,1
1371337260,1
1371337380,1
1371337500,1
1371337620,1
1371338880,1
1371339600,1
1371340440,1
1371341520,1
1371341640,1
1371342600,2
1371343140,1
1371344640,1
1371348360,1
1371349080,1
1371350940,1
1371351540,1
1371351660,1
1371351720,1
1371359580,2
1371375420,1
1371387900,1
1371388800,2
1371389340,1
1371393060,1
1371393300,1
1371394200,2
1371394320,2
1371395400,1
1371395880,1
1371396780,1
1371397680,1
1371398040,1
1371398520,1
1371398880,1
1371399000,1
1371399480,1
1371399660,3
1371401760,1
1371402240,1
1371402480,1
1371403200,1
1371403380,1
1371403440,1
1371403860,1
1371404040,3
1371404100,1
1371404580,1
1371404700,1
1371405420,1
1371405960,2
1371406080,1
1371406260,1
1371406500,1
1371407040,1
1371407100,1
1371407760,1
1371408240,1
1371408900,1
1371408960,1
1371410160,1
1371410640,1
1371411000,1
1371411420,1
1371411600,1
1371413820,1
1371413880,1
1371414000,1
1371414120,1
1371414420,1
1371414960,1
1371415140,1
1371416520,1
1371416580,1
1371417360,1
1371417540,1
1371417780,1
1371418140,1
1371419460,1
1371419760,1
1371420060,2
1371421380,1
1371424440,1
1371425520,1
1371425760,2
1371426660,1
1371427320,1
1371428520,1
1371429720,1
1371432540,1
1371434220,1
1371437580,1
1371470160,1
1371470760,1
1371471600,1
1371472320,1
1371472620,1
1371473460,1
1371473580,2
1371473880,1
1371475080,1
1371475200,1
1371475560,1
1371475620,2
1371476340,1
1371476400,1
1371476580,1
1371476700,1
1371477060,2
1371477300,1
1371477660,1
1371478080,1
1371478560,1
1371479160,1
1371481200,1
1371481800,1
1371483900,1
1371484920,1
1371485820,1
1371486120,1
1371486480,1
1371487740,2
1371488280,1
1371490980,1
1371492480,1
1371493140,1
1371493260,1
1371493320,1
1371493680,2
1371493980,1
1371495360,1
1371495780,1
1371498540,1
1371499680,1
1371500220,1
1371500940,2
1371501060,1
1371501660,1
1371502140,1
1371502320,1
1371502440,1
1371505260,1
1371505380,1
1371505740,4
1371506640,1
1371507060,1
1371507420,1
1371507540,1
1371507600,1
1371508020,1
1371508440,2
1371508620,2
1371509220,1
1371509880,1
1371510000,1
1371510240,1
1371510360,1
1371511380,1
1371511620,1
1371511920,1
1371512040,1
1371512100,2
1371512760,1
1371513540,1
1371513840,1
1371515340,1
1371518040,1
1371521280,1
1371522660,1
1371523080,1
1371552600,1
1371552780,1
1371553980,1
1371555900,1
1371556260,1
1371556920,1
1371557100,1
1371557220,1
1371557340,1
1371558720,1
1371559080,1
1371559560,1
1371559680,2
1371559800,1
1371559980,4
1371560100,2
1371560160,1
1371560580,1
1371561180,1
1371561300,1
1371561420,1
1371561720,1
1371562440,2
1371562560,1
1371563280,1
1371563880,1
1371564240,1
1371564840,1
1371565260,1
1371566640,1
1371566880,1
1371566940,1
1371567480,1
1371568260,1
1371568380,1
1371568680,1
1371570960,1
1371571200,1
1371571800,1
1371571980,1
1371572340,1
1371572820,1
1371573120,1
1371573720,1
1371574440,2
1371574560,1
1371574980,1
1371576240,1
1371576420,1
1371577620,2
1371577980,1
1371578040,1
1371578700,1
1371578880,2
1371579660,1
1371580980,1
1371581640,1
