datetime,arrivals
1379001960,1
1379002080,3
1379002380,1
1379003880,1
1379004300,1
1379005260,2
1379006340,1
1379007900,2
1379008560,1
1379009760,1
1379010600,2
1379010660,1
1379010780,2
1379011020,2
1379011980,1
1379012460,1
1379012760,1
1379012820,2
1379013840,1
1379014080,2
1379014860,1
1379015400,1
1379015520,1
1379015640,1
1379015940,1
1379016240,1
1379016300,1
1379016840,1
1379017140,1
1379017380,1
1379017860,1
1379017920,1
1379018100,1
1379018580,1
1379018640,1
1379019180,1
1379019540,1
1379019840,1
1379020260,1
1379020740,1
1379021160,1
1379021820,1
1379022000,1
1379022180,1
1379022360,2
1379022540,1
1379022780,1
1379023200,2
1379023560,1
1379023920,2
1379024580,1
1379024700,1
1379025000,1
1379025660,1
1379026020,1
1379026680,1
1379026740,2
1379027220,1
1379027400,1
1379028060,2
1379028360,1
1379028420,1
1379028660,1
1379029020,1
1379029320,1
1379030160,1
1379031060,1
1379031240,1
1379031720,1
1379032020,1
1379032260,1
1379034180,1
1379035560,1
1379045160,1
1379046060,1
1379049660,3
1379051460,1
1379052180,1
1379052300,1
1379065500,1
1379067660,1
1379069040,1
1379069220,1
1379070900,1
1379071080,1
1379071620,2
1379071680,1
1379072400,1
1379072820,1
1379073300,1
1379073420,1
1379073600,1
1379073840,1
1379074260,1
1379074440,1
1379074620,1
1379075400,1
1379075700,1
1379075820,1
1379076240,1
1379076480,1
1379076540,1
1379076660,2
1379076840,3
1379077320,2
1379077500,1
1379077560,1
1379077740,2
1379077860,1
1379077980,2
1379078160,1
1379078280,1
1379078400,2
1379078460,1
1379078880,1
1379079060,1
1379079180,2
1379079780,1
1379079960,1
1379080260,1
1379080380,1
1379080620,1
1379080680,1
1379083680,1
1379083860,3
1379084460,1
1379084940,1
1379085240,1
1379085480,1
1379085780,1
1379085960,1
1379086380,1
1379086560,2
1379088060,1
1379089020,17
1379089500,1
1379089560,1
1379089860,2
1379090040,3
1379090160,2
1379090700,1
1379091060,1
1379091420,1
1379091540,1
1379091780,1
1379091960,2
1379092380,2
1379092620,1
1379092980,1
1379093100,2
1379094120,2
1379095140,2
1379095620,1
1379095680,1
1379096100,1
1379096160,1
1379096220,2
1379096400,1
1379096520,3
1379096640,2
1379096940,1
1379097240,1
1379097360,1
1379097420,1
1379097540,2
1379098380,2
1379099040,1
1379099100,1
1379099160,1
1379099520,1
1379100060,1
1379100600,1
1379100960,1
1379101020,1
1379101620,5
1379101680,1
1379101920,1
1379102820,1
1379102940,1
1379103480,1
1379103600,2
1379103660,1
1379103780,2
1379103900,1
1379104020,3
1379104500,1
1379104680,1
1379104980,1
1379105220,2
1379105400,1
1379106360,1
1379106960,1
1379107500,3
1379107740,1
1379107980,2
1379108160,2
1379108580,1
1379109120,1
1379109420,1
1379109900,1
1379110560,1
1379110680,1
1379110860,2
1379111460,1
1379111640,1
1379112120,2
1379112540,2
1379112720,3
1379113080,1
1379113200,1
1379113980,1
1379114280,1
1379114580,2
1379114700,2
1379114880,2
1379114940,3
1379115480,2
1379115660,2
1379115900,1
1379116440,2
1379116620,1
1379116680,1
1379117220,1
1379117640,1
1379117820,1
1379118060,1
1379118900,1
1379120160,1
1379120460,1
1379120580,1
1379121360,2
1379121660,1
1379126220,1
1379126280,1
1379126940,1
1379128020,1
1379128860,1
1379144100,1
1379144220,1
1379155980,1
1379157600,1
1379161920,1
1379164860,1
1379164920,2
1379165100,2
1379165160,10
1379165280,2
1379165580,1
1379166300,1
1379167200,1
1379167980,2
1379168160,1
1379168220,1
1379168340,1
1379168400,2
1379168640,4
1379169060,1
1379169180,1
1379169480,1
1379169720,2
1379170020,1
1379170200,1
1379170740,2
1379170860,1
1379171220,1
1379171280,1
1379171700,1
1379171940,1
1379172180,1
1379172840,1
1379173080,1
1379173200,1
1379173680,1
1379174040,2
1379174400,1
1379174760,1
1379175120,1
1379175360,2
1379175600,1
1379176260,3
1379176380,1
1379176440,1
1379176620,1
1379176920,1
1379177040,2
1379177460,1
1379177520,1
1379177700,1
1379177880,1
1379178480,2
1379178720,2
1379178840,1
1379179860,1
1379180040,1
1379180160,1
1379180640,1
1379180820,1
1379181120,1
1379181360,2
1379181540,1
1379181720,1
1379181960,1
1379182620,1
1379183040,1
1379183160,2
1379183220,1
1379183580,1
1379183880,1
1379184420,1
1379184540,1
1379185140,4
1379185380,2
1379185440,1
1379185740,3
1379186160,1
1379186220,1
1379186940,2
1379187240,1
1379187360,1
1379187780,1
1379187840,2
1379188080,1
1379188200,2
1379188320,1
1379188560,1
1379188620,1
1379188680,2
1379188800,1
1379189100,1
1379189760,1
1379189880,1
1379192400,1
1379192460,6
1379192580,6
1379192700,1
1379192880,1
1379193240,1
1379193540,1
1379194440,2
1379194920,2
1379194980,1
1379195340,1
1379195640,2
1379195760,3
1379196660,1
1379197200,2
1379197320,2
1379197500,4
1379197680,1
1379197800,1
1379197920,3
1379198040,2
1379198640,1
1379200560,1
1379200740,1
1379200860,2
1379201040,2
1379201280,2
1379202480,1
1379203860,1
1379204760,1
1379205360,1
1379205960,1
1379208180,1
1379217180,1
1379217780,1
1379219460,1
1379231460,2
1379237100,1
1379250900,1
1379251320,1
1379251620,2
1379251860,1
1379252640,1
1379252820,1
1379253360,1
1379253540,1
1379254260,1
1379254440,1
1379255700,1
1379255880,2
1379256420,1
1379256540,1
1379256720,1
1379256840,1
1379256900,1
1379257020,3
1379257260,1
1379257380,1
1379257560,1
1379257800,2
1379257920,1
1379257980,2
1379258220,1
1379258340,1
1379258460,1
1379258880,1
1379259360,1
1379259420,2
1379259540,2
1379259660,1
1379259840,1
1379260200,2
1379260620,1
1379260680,1
1379261700,1
1379261820,1
1379262360,1
1379263380,2
1379263800,5
1379264040,1
1379264400,1
1379264820,1
1379264880,2
1379265420,1
1379266020,2
1379266560,1
1379266740,1
1379266800,1
1379267400,1
1379267700,1
1379268000,1
1379268180,1
1379268660,1
1379268960,2
1379269140,1
1379269200,1
1379269740,1
1379269920,1
1379269980,2
1379270880,3
1379271300,2
1379271420,2
1379271840,1
1379272020,1
1379272680,2
1379273580,1
1379274240,1
1379274600,1
1379275740,1
1379276760,1
1379277240,1
1379277540,1
1379278140,1
1379278560,2
1379279280,1
1379280420,11
1379280840,2
1379281560,2
1379282100,1
1379282160,2
1379282280,2
1379282580,1
1379282640,1
1379282820,1
1379282940,2
1379283120,3
1379283420,1
1379283480,1
1379283720,1
1379283780,3
1379284140,1
1379284680,2
1379284800,2
1379284980,1
1379285220,1
1379285400,1
1379285700,1
1379286480,2
1379286840,2
1379288040,1
1379288520,1
1379288700,1
1379288820,1
1379289420,1
1379289840,1
1379294580,1
1379296740,1
1379296920,1
1379297100,1
1379298240,1
1379299260,1
1379300220,1
1379305080,1
1379326800,1
1379327040,1
1379329200,1
1379330100,1
1379330760,1
1379330880,1
1379331000,1
1379331120,2
1379331780,1
1379332560,1
1379332920,1
1379333040,1
1379333340,1
1379333580,1
1379334420,1
1379334780,1
1379335140,1
1379335680,1
1379336100,1
1379336460,1
1379336520,1
1379336640,1
1379336700,2
1379336820,2
1379337240,1
1379337540,1
1379338080,2
1379338260,1
1379338380,1
1379338440,1
1379338500,1
1379338620,2
1379338800,1
1379339280,1
1379339700,1
1379340000,1
1379340180,1
1379340480,2
1379340660,1
1379340900,1
1379340960,1
1379341080,1
1379341260,1
1379341620,1
1379342520,1
1379342760,1
1379343180,1
1379343360,1
1379343600,1
1379343660,1
1379343960,1
1379344320,1
1379344620,1
1379346000,1
1379346180,1
1379346600,1
1379346780,1
1379347440,1
1379348160,1
1379348220,1
1379348640,1
1379349240,1
1379349540,1
1379349780,3
1379350020,1
1379350680,1
1379350860,1
1379351040,2
1379351520,1
1379352120,1
1379352420,1
1379352480,1
1379352900,1
1379353020,1
1379353560,1
1379353620,2
1379353800,1
1379353980,2
1379354220,1
1379354580,1
1379354640,1
1379354820,1
1379356020,1
1379356200,1
1379356260,1
1379357340,1
1379357760,1
1379357940,1
1379358180,2
1379358720,1
1379358840,2
1379359080,1
1379359980,1
1379360640,1
1379361000,1
1379361120,2
1379361900,1
1379363040,1
1379363160,1
1379363400,3
1379364060,1
1379364120,1
1379364300,1
1379364480,1
1379364780,1
1379365380,1
1379365500,1
1379365920,1
1379366100,1
1379366760,1
1379366880,1
1379367420,1
1379367540,1
1379367600,2
1379367840,1
1379368320,2
1379368500,1
1379368560,1
1379369280,1
1379369700,1
1379369880,1
1379369940,1
1379370120,1
1379370240,1
1379370600,1
1379371020,1
1379372100,1
1379372220,2
1379372520,1
1379373360,1
1379373780,1
1379374020,1
1379374080,1
1379374260,1
1379375280,1
1379375880,1
1379377200,1
1379377440,1
1379377980,9
1379378520,10
1379378700,1
1379378880,1
1379379060,1
1379379240,3
1379379360,1
1379380440,1
1379380980,1
1379381820,3
1379381940,3
1379382240,1
1379382300,1
1379383980,1
1379384580,2
1379385540,1
1379386260,1
1379387040,2
1379387160,1
1379387220,1
1379393820,1
1379394120,2
1379397780,1
1379412120,1
1379413440,1
1379416200,1
1379416440,1
1379416560,1
1379417280,1
1379417400,1
1379418060,1
1379418480,1
1379418540,1
1379418960,1
1379419080,1
1379419200,1
1379419560,1
1379419800,2
1379420280,1
1379420340,3
1379420460,1
1379420580,2
1379420640,1
1379421000,1
1379421180,1
1379421660,1
1379421840,2
1379421960,2
1379422020,1
1379422200,2
1379422260,1
1379422440,3
1379422500,1
1379422860,1
1379423280,2
1379423940,1
1379424180,3
1379424360,2
1379424660,1
1379424720,1
1379424960,1
1379425260,1
1379425560,1
1379425680,2
1379425860,1
1379425980,1
1379426280,3
1379426400,1
1379427420,2
1379427600,1
1379427780,2
1379428140,1
1379428620,1
1379428920,1
1379429100,1
1379429400,1
1379429640,1
1379430000,1
1379430420,1
1379430480,1
1379430540,1
1379430720,2
1379430780,1
1379431020,1
1379431620,1
1379432040,1
1379432280,1
1379432760,2
1379433120,1
1379433240,1
1379433780,1
1379433960,1
1379434020,1
1379434200,1
1379434440,1
1379434560,1
1379435100,1
1379435640,2
1379435700,1
1379435880,1
1379436300,1
1379437380,2
1379437980,1
1379438460,1
1379438700,2
1379438820,1
1379439000,1
1379439480,2
1379439900,1
1379440320,1
1379440860,2
1379441100,1
1379441520,1
1379441820,1
1379442060,1
1379442120,1
1379442360,1
1379442720,1
1379442780,1
1379443020,1
1379443680,1
1379443800,1
1379444220,1
1379444760,1
1379445060,2
1379445720,1
1379445840,1
1379446200,3
1379446680,1
1379446800,1
1379447880,1
1379448120,1
1379448300,2
1379448660,1
1379449020,3
1379449260,1
1379449440,2
1379450040,1
1379450280,1
1379450520,2
1379450580,1
1379450820,1
1379451360,1
1379451420,2
1379451720,1
1379452080,1
1379452800,1
1379452860,1
1379453040,1
1379453880,1
1379453940,2
1379454060,1
1379455140,1
1379455320,1
1379455980,3
1379456580,1
1379457060,1
1379457180,2
1379457300,1
1379457420,1
1379457720,1
1379457900,1
1379458140,1
1379458560,1
1379459100,1
1379459640,1
1379459880,2
1379460420,1
1379460480,1
1379460900,2
1379461320,2
1379461380,2
1379461500,1
1379461740,1
1379462220,1
1379462640,2
1379462820,1
1379463900,1
1379464380,1
1379464620,1
1379465340,1
1379465940,1
1379466300,1
1379466780,1
1379469780,1
1379470140,1
1379470380,1
1379470500,1
1379471280,1
1379474580,1
1379478180,2
1379493600,1
1379499480,1
1379501940,1
1379502900,1
1379503140,1
1379503560,3
1379503740,1
1379503920,1
1379504220,1
1379504880,1
1379504940,1
1379505540,1
1379505840,1
1379505960,2
1379506560,1
1379506740,1
1379506980,1
1379507520,1
1379508060,1
1379508180,1
1379508300,1
1379508480,2
1379508780,2
1379509020,4
1379509140,1
1379509260,1
1379509800,1
1379510520,4
1379510640,1
1379510820,1
1379510940,1
1379511480,1
1379511540,2
1379511780,1
1379512020,2
1379512320,1
1379512440,1
1379512860,1
1379512920,1
1379513280,2
1379513760,1
1379513940,1
1379514180,1
1379514600,1
1379514960,1
1379515320,1
1379515680,1
1379515740,2
1379515860,2
1379516040,1
1379516100,1
1379516160,2
1379516580,1
1379517060,1
1379517300,2
1379517600,1
1379517780,2
1379517960,1
1379518320,2
1379518380,1
1379518560,1
1379518620,1
1379519040,1
1379519160,1
1379519400,1
1379520060,1
1379522760,1
1379522880,1
1379523000,1
1379523360,2
1379523420,1
1379524080,1
1379525040,1
1379525280,2
1379525400,1
1379525580,1
1379526240,1
1379526540,1
1379526600,1
1379527260,1
1379528460,4
1379528700,1
1379528940,1
1379529420,1
1379529900,1
1379530620,2
1379530680,1
1379530860,2
1379530920,1
1379531820,1
1379532960,1
1379533860,1
1379534040,1
1379534580,1
1379534880,1
1379535360,1
1379535600,1
1379535900,1
1379536020,1
1379536080,1
1379536320,1
1379536920,2
1379537340,1
1379537520,1
1379537880,1
1379538000,1
1379538240,1
1379538300,1
1379538540,2
1379538840,1
1379539020,4
1379539440,1
1379539500,1
1379539620,2
1379539800,1
1379539920,1
1379540580,2
1379541000,2
1379541060,2
1379541480,1
1379542080,2
1379542560,1
1379542680,1
1379543940,1
1379544180,1
1379544360,1
1379544480,2
1379544600,2
1379545080,1
1379546520,1
1379546580,3
1379546760,2
1379546880,2
1379547000,1
1379547120,2
1379547240,3
1379547420,1
1379547900,1
1379548080,1
1379548320,1
1379548500,1
1379549520,1
1379550780,1
1379550840,1
1379551980,1
1379553840,2
1379557500,1
1379558160,1
1379558400,1
1379558520,1
1379558880,1
1379559960,1
1379563680,1
1379567880,1
1379580540,1
1379585700,1
1379587140,1
1379588760,1
1379589960,3
1379590080,1
1379591520,1
1379591640,1
1379591700,1
1379591880,1
1379591940,2
1379592840,1
1379593260,1
1379593440,1
1379593800,1
1379594160,2
1379594280,1
1379594400,3
1379594820,1
1379594940,2
1379595120,1
1379595300,1
1379595600,1
1379595780,1
1379595900,3
1379596020,1
1379596260,1
1379596380,1
1379596800,1
1379597040,1
1379597160,1
1379597340,1
1379597460,1
1379597700,1
1379597940,1
1379598180,1
1379598420,1
1379598840,2
1379598900,1
1379599200,1
1379599620,1
1379599680,1
1379599920,1
1379600040,1
1379600220,1
1379600520,1
1379600820,1
1379601840,2
1379601960,4
1379602020,1
1379602440,2
1379603100,1
1379604840,1
1379605140,1
1379605320,2
1379605500,1
1379605560,1
1379605680,1
1379605800,1
1379606220,1
1379606880,1
1379607120,1
1379607240,1
1379607300,1
1379607420,2
1379608800,3
1379609280,1
1379609400,1
1379610060,1
1379610420,1
1379610480,1
1379610900,1
1379611080,1
1379611140,1
1379611200,1
1379611320,1
1379611620,1
1379611680,1
1379611860,1
1379611920,2
1379612100,1
1379612160,1
1379612700,1
1379612880,1
1379613060,1
1379613360,1
1379613660,1
1379613840,1
1379614320,1
1379614980,1
1379615040,1
1379615340,1
1379615580,1
1379616000,1
1379616240,1
1379616420,1
1379617200,1
1379617380,1
1379617500,1
1379617680,1
1379617800,4
