datetime,arrivals
1371159060,1
1371160320,1
1371161760,1
1371164760,1
1371188520,1
1371188580,2
1371188640,4
1371210300,1
1371211320,1
1371212100,1
1371212160,1
1371212640,1
1371213600,1
1371213720,1
1371215100,1
1371215340,1
1371219000,1
1371221940,1
1371225060,1
1371226440,1
1371226980,1
1371228660,1
1371230520,1
1371237060,3
1371238860,1
1371238920,3
1371242100,1
1371244740,2
1371245160,3
1371245280,1
1371247200,1
1371251160,1
1371251220,2
1371252420,1
1371255480,1
1371255540,1
1371261900,1
1371264720,1
1371265920,2
1371282540,1
1371284640,1
1371284700,1
1371297240,1
1371307440,1
1371307980,1
1371319980,2
1371321180,1
1371322200,1
1371322980,1
1371324060,2
1371327600,1
1371329700,1
1371330300,1
1371330360,1
1371330840,1
1371331140,2
1371331620,1
1371339120,1
1371339660,1
1371340980,1
1371346620,1
1371354720,1
1371354780,1
1371362580,2
1371386520,1
1371388560,1
1371393000,1
1371393300,2
1371394980,1
1371395100,1
1371402600,2
1371403200,1
1371403320,1
1371409920,1
1371412200,1
1371414960,1
1371416820,2
1371421560,1
1371422160,1
1371425220,1
1371427320,2
1371434760,2
1371435480,3
1371435840,1
1371438480,2
1371438780,1
1371465480,1
1371471720,1
1371473760,1
1371474060,2
1371474180,1
1371474420,1
1371474540,2
1371475260,1
1371476400,1
1371477240,1
1371480120,1
1371481620,1
1371482580,1
1371482940,1
1371486240,1
1371487680,1
1371489780,2
1371490980,1
1371491040,1
1371491640,2
1371493140,1
1371499140,1
1371499200,1
1371500460,1
1371504060,1
1371504300,1
1371504420,1
1371504720,1
1371505020,1
1371505260,1
1371505800,1
1371506940,1
1371507360,1
1371507540,1
1371507660,1
1371508560,1
1371509700,2
1371511560,1
1371511620,1
1371518760,2
1371522240,1
1371533580,1
1371552480,1
1371555360,1
1371558000,1
1371559140,1
1371559380,1
1371560820,1
1371561720,1
1371563940,1
1371566280,1
1371571140,1
1371574560,1
1371575880,1
1371580380,1
1371580860,2
1371582480,2
1371590280,1
1371590580,1
1371591360,1
1371591480,1
1371603240,1
1371605460,1
1371615060,1
1371641220,1
1371642660,1
1371644880,1
1371645960,1
1371646980,2
1371647820,1
1371647940,1
1371648480,1
1371649260,1
1371649440,1
1371649560,1
1371650100,1
1371651540,1
1371657240,1
1371657720,1
1371658500,1
1371659040,1
1371660120,2
1371660960,1
1371662820,1
1371663900,1
1371665640,1
1371667140,1
1371669840,1
1371671700,1
1371676440,1
1371678240,1
1371679860,1
1371680040,1
1371682260,1
1371683280,1
1371683880,1
1371684540,1
1371685560,1
1371685740,1
1371686040,1
1371687600,1
1371688080,1
1371689400,1
1371691200,1
1371694200,1
1371698220,1
1371725280,1
1371725820,1
1371730020,1
1371730380,1
1371731400,1
1371731820,1
1371731940,1
1371732720,1
1371732960,1
1371733260,1
1371734640,1
1371734940,1
1371735300,1
1371735420,1
1371736140,1
1371736500,1
1371736620,1
1371737100,1
1371737640,1
1371738180,1
1371739440,1
1371740280,1
1371742020,1
1371747120,1
1371748200,1
1371748860,6
1371749460,2
1371749820,1
1371750360,1
1371751380,1
1371754560,1
1371755160,1
1371760020,1
1371761040,1
1371763980,1
1371764100,1
1371764760,1
1371766080,1
1371768480,1
1371768840,1
1371770100,1
1371770220,1
1371772440,1
1371772620,1
1371772980,1
1371775560,1
1371776040,2
1371776460,1
1371777240,1
1371778680,1
1371779460,1
1371781020,1
1371783540,1
1371784320,1
1371784980,1
1371785820,1
1371787800,1
1371811020,1
1371816180,1
1371816360,1
1371816600,1
1371817920,1
1371820920,1
1371821160,1
1371822480,2
1371825660,1
1371826620,1
1371827220,1
1371836580,1
1371836640,1
1371837180,1
1371838320,1
1371838680,1
1371841140,1
1371841320,1
1371842580,1
1371843240,1
1371843780,1
1371844080,1
1371844680,1
1371845220,1
1371846000,1
1371847740,1
1371848100,1
1371848460,1
1371848820,3
1371849120,1
1371849780,1
1371850140,1
1371852060,1
1371852180,1
1371853860,1
1371854280,1
1371855240,2
1371855540,1
1371856500,1
1371856860,1
1371857460,1
1371858120,1
1371859500,1
1371862560,1
1371863760,1
1371866220,1
1371867420,1
1371869280,2
1371869700,1
1371872280,1
1371875880,1
1371902220,1
1371912780,1
1371913320,1
1371914820,1
1371915720,2
1371918900,1
1371918960,1
1371919140,1
1371921300,1
1371924600,1
1371926220,1
1371926880,1
1371927060,1
1371927720,1
1371928200,1
1371930480,1
1371930960,2
1371932400,1
1371933720,1
1371934380,1
1371935280,2
1371935940,1
1371938880,2
1371940200,2
1371941280,2
1371947580,1
1371948240,1
1371954480,1
1371954540,5
1371955560,3
1371964800,1
1371988620,1
1371990300,1
1371991980,1
1371992700,2
1371994260,1
1371994860,2
1371994980,1
1371995700,1
1371996660,1
1371997380,1
1371997680,1
1371998520,2
1372000140,1
1372001340,1
1372001640,1
1372002720,2
1372004460,1
1372006980,1
1372007100,2
1372009680,1
1372013400,1
1372013520,2
1372013640,1
1372015680,2
1372016400,2
1372016460,1
1372019640,1
1372019880,1
1372020420,1
1372020900,1
1372021140,1
1372023120,1
1372025280,1
1372025580,1
1372026240,1
1372028340,1
1372028520,2
1372030020,1
1372033080,2
1372033860,2
1372035480,1
1372036200,1
1372036260,2
1372037220,3
1372037280,1
1372037760,1
1372041660,1
1372042500,1
1372043820,1
1372044660,1
1372046880,1
1372053480,5
1372069980,1
1372073340,1
1372073940,1
1372074480,1
1372075440,1
1372078620,1
1372079460,1
1372081200,1
1372082040,2
1372082160,1
1372085880,1
1372087140,1
1372087260,1
1372087920,1
1372089300,1
1372089480,1
1372093620,2
1372094040,1
1372101180,1
1372102320,1
1372102860,1
1372105740,1
1372105920,1
1372107360,1
1372108860,1
1372108980,1
1372110120,1
1372110720,1
1372110960,1
1372111320,1
1372111440,1
1372111740,1
1372111980,1
1372112580,1
1372112880,1
1372113300,1
1372113660,2
1372113720,1
1372114020,1
1372115100,2
1372116000,1
1372117740,1
1372118280,1
1372118940,2
1372119300,1
1372119660,1
1372121460,1
1372121520,1
1372122060,1
1372122180,1
1372124520,1
1372124820,1
1372126020,1
1372129440,1
1372134180,1
1372157220,1
1372157700,1
1372163100,1
1372163280,1
1372163640,1
1372164540,1
1372164600,1
1372165920,1
1372167900,1
1372172580,1
1372175100,1
1372177260,1
1372178100,1
1372179360,1
1372179420,1
1372182840,1
1372183440,1
1372184160,2
1372184340,1
1372185480,1
1372189140,1
1372192260,2
1372193460,1
1372194660,1
1372195680,1
1372196940,1
1372197180,1
1372197420,1
1372197660,2
1372198080,1
1372199580,1
1372200240,1
1372200480,1
1372200600,1
1372201620,1
1372202520,1
1372203300,1
1372203840,2
1372204260,2
1372206420,1
1372207860,1
1372208400,1
1372209840,1
1372218540,1
1372218840,1
1372218900,1
1372236240,1
1372239060,1
1372245840,1
1372249860,1
1372251420,1
1372251840,1
1372252320,2
1372252440,1
1372252560,1
1372253640,2
1372254300,1
1372254900,1
1372255500,1
1372255680,1
1372258620,1
1372258860,1
