datetime,arrivals
1371212520,1
1371228420,2
1371228540,7
1371233700,1
1371233760,1
1371249660,1
1371253620,1
1371264900,1
1371269100,1
1371301440,1
1371306540,1
1371310740,2
1371310800,2
1371310920,4
1371320340,1
1371322260,1
1371322860,1
1371323100,1
1371324420,2
1371327900,1
1371330360,1
1371335760,1
1371337380,1
1371339060,2
1371346920,1
1371354480,2
1371359160,1
1371365700,1
1371391500,2
1371396180,2
1371401820,1
1371404400,1
1371410520,1
1371413640,1
1371413880,2
1371437820,1
1371444720,1
1371480960,1
1371497520,1
1371509700,2
1371509760,3
1371509880,4
1371511740,1
1371513900,1
1371526260,1
1371529560,1
1371559560,1
1371587640,1
1371596820,1
1371620460,1
1371665520,1
1371670560,1
1371677040,1
1371677520,1
1371680040,1
1371680700,1
1371681000,1
1371687000,1
1371687360,1
1371687600,1
1371689100,1
1371689700,1
1371691620,1
1371702840,1
1371702900,1
1371703020,2
1371706920,1
1371730200,1
1371749040,1
1371751080,2
1371757740,1
1371765480,1
1371766860,2
1371766920,2
1371766980,3
1371767280,1
1371768000,1
1371769680,1
1371771180,1
1371780540,1
1371781980,1
1371786180,1
1371786480,1
1371786660,1
1371787920,1
1371811380,1
1371833520,1
1371838740,1
1371843960,1
1371848880,1
1371851820,1
1371853260,1
1371856260,1
1371857760,1
1371860820,1
1371863220,2
1371871620,1
1371875400,1
1371881040,1
1371912480,1
1371914940,1
1371923100,1
1371931020,1
1371933600,1
1371933660,2
1371933720,1
1371933780,1
1371934440,1
1371935820,1
1371939480,1
1371939780,1
1371942300,1
1371942720,1
1371947100,1
1371947460,1
1371959580,1
1371960120,1
1372001460,1
1372004280,1
1372005540,1
1372005780,1
1372007400,1
1372014840,1
1372015140,1
1372018620,1
1372019520,1
1372028940,2
1372029180,1
1372029540,1
1372029840,2
1372032720,1
1372033140,1
1372034580,1
1372034880,1
1372044660,1
1372045380,1
1372047720,1
1372050960,1
1372095720,1
1372095840,1
1372112040,1
1372113120,1
1372113900,1
1372114620,1
1372114800,1
1372116600,1
1372117920,1
1372118100,1
1372125780,1
1372130820,1
1372163880,1
1372186500,1
1372198440,1
1372200180,1
1372200300,1
1372201620,1
1372204380,1
1372209840,1
1372212060,1
1372212360,2
1372213320,1
1372214700,1
1372217640,1
1372241100,1
1372241460,1
1372278360,1
1372281060,1
1372281300,1
1372282860,1
1372283940,1
1372290120,1
1372295640,1
1372299840,1
1372300020,1
1372329720,1
1372335360,1
1372358100,1
1372370520,1
1372374060,1
1372375980,1
1372377420,1
1372387260,1
1372389840,1
1372399260,1
1372429920,1
1372434480,1
1372442940,1
1372443600,1
1372454520,1
1372458300,1
1372459260,1
1372459800,1
1372464420,1
1372468320,1
1372472640,1
1372473300,1
1372514640,1
1372524720,1
1372528920,1
1372530120,1
1372530420,1
1372530780,2
1372532700,1
1372542600,1
1372543020,1
1372546860,2
1372561920,1
1372570260,1
1372572180,1
1372607160,1
1372607220,1
1372609320,1
1372610700,1
1372610820,1
1372615860,1
1372621080,1
1372623720,1
1372625760,1
1372626060,1
1372629360,1
1372631340,1
1372632060,1
1372635360,1
1372658280,1
1372680120,1
1372687020,1
1372699020,1
1372704480,1
1372709880,1
1372718520,1
1372720440,1
1372720800,1
1372722480,1
1372723800,1
1372729320,1
1372733700,1
1372737840,1
1372764960,1
1372783440,1
1372783680,1
1372783920,1
1372783980,1
1372785300,1
1372789080,1
1372798680,1
1372802220,1
1372802580,1
1372802820,1
1372807140,1
1372811820,1
1372814940,1
1372815420,1
1372833780,1
1372854780,1
1372862520,1
1372877520,1
1372878420,1
1372881180,1
1372885740,1
1372888320,1
1372891020,1
1372898640,1
1372912860,1
1372916460,1
1372917480,1
1372953720,1
1372955280,1
1372970460,1
1372975620,1
1372980000,1
1372982340,1
1372999620,1
1372999800,2
1373000280,1
1373034480,1
1373035800,1
1373042520,2
1373042580,2
1373042640,4
1373047080,1
1373047320,1
1373047620,1
1373065740,1
1373065920,1
1373066040,2
1373067360,1
1373070600,1
1373072040,1
1373085480,1
1373089080,1
1373125020,1
1373132520,1
1373147700,1
1373154840,1
1373155080,1
1373159280,1
1373159880,1
1373165520,1
1373170800,1
1373209320,1
1373209440,1
1373212680,1
1373217780,1
1373222040,1
1373222280,1
1373228280,1
1373229780,1
1373232840,1
1373233860,1
1373234040,1
1373235720,1
1373235840,1
1373236980,1
1373238480,2
1373238720,1
1373238780,1
1373238900,1
1373239080,1
1373239980,1
1373240100,1
1373242380,1
1373247840,1
1373249040,1
1373251500,1
1373288640,1
1373307480,1
1373316960,1
1373319720,1
1373327340,1
1373328300,1
1373328660,1
1373329140,1
1373330880,1
1373335080,1
1373336520,1
1373341860,1
1373350980,1
1373372040,1
1373372700,1
1373389920,5
1373389980,2
1373390040,2
1373390220,1
1373400300,1
1373401320,1
1373408580,1
1373408880,1
1373409000,1
1373409660,1
1373411220,1
1373412660,1
1373414040,1
1373414160,1
1373414640,2
1373414700,1
1373416260,1
1373416380,1
1373417640,1
1373419200,1
1373457840,1
1373476080,1
1373484480,2
1373484540,3
1373490900,1
1373493420,1
1373493660,1
1373498340,1
1373498760,1
1373499300,1
