datetime,arrivals
1371153660,1
1371154800,1
1371163560,1
1371166260,1
1371167100,1
1371179280,1
1371208560,1
1371223500,2
1371223560,4
1371225960,1
1371245160,1
1371248640,1
1371250140,1
1371250260,1
1371252600,1
1371254580,1
1371262020,1
1371262980,1
1371269880,1
1371270180,1
1371270720,2
1371277140,1
1371310140,1
1371311400,1
1371317580,1
1371318660,1
1371318840,1
1371321960,1
1371325500,1
1371326520,1
1371330480,1
1371330960,2
1371336480,1
1371348600,1
1371359880,2
1371364140,1
1371398700,1
1371412440,1
1371419760,1
1371426960,1
1371429600,2
1371432480,1
1371443220,1
1371443400,1
1371443700,6
1371443760,1
1371443820,1
1371477660,1
1371483480,1
1371485940,1
1371486840,1
1371490680,1
1371506520,1
1371507600,1
1371508380,1
1371509880,1
1371514740,1
1371516420,1
1371519120,1
1371520200,1
1371527520,1
1371552480,1
1371560460,6
1371560580,1
1371563580,1
1371565260,1
1371565860,1
1371565920,1
1371567120,2
1371568080,1
1371568980,1
1371569940,1
1371582780,1
1371594180,1
1371598800,1
1371600060,1
1371600300,1
1371601080,1
1371609540,1
1371612540,1
1371616740,1
1371646200,1
1371656100,1
1371656880,1
1371667200,1
1371675420,1
1371675600,1
1371675840,1
1371676680,1
1371677040,1
1371677220,1
1371677700,1
1371678120,1
1371680040,1
1371680760,1
1371680820,1
1371681420,1
1371682560,1
1371684780,1
1371684900,1
1371685080,3
1371686880,1
1371687480,1
1371693420,1
1371695100,2
1371733260,1
1371735600,1
1371740100,1
1371741840,1
1371743760,1
1371751200,1
1371757680,1
1371758640,1
1371766860,1
1371766920,1
1371767280,1
1371769680,1
1371769740,2
1371769860,1
1371769980,2
1371770160,1
1371770220,1
1371771420,2
1371772020,1
1371772860,1
1371773100,1
1371773220,2
1371773820,1
1371776640,1
1371780420,1
1371782520,1
1371783120,1
1371787620,1
1371788820,1
1371814020,1
1371827280,1
1371837060,2
1371840000,1
1371843420,1
1371845520,1
1371848100,1
1371851820,1
1371854100,1
1371856260,1
1371856620,1
1371856860,1
1371859920,1
1371860280,1
1371862560,1
1371871020,1
1371874920,1
1371875580,1
1371877260,1
1371878460,1
1371882480,1
1371884220,1
1371911580,2
1371917340,1
1371917580,1
1371918900,1
1371919680,2
1371920880,1
1371923160,1
1371923280,1
1371923880,2
1371925800,1
1371925860,1
1371926340,2
1371926880,1
1371927780,1
1371927840,1
1371928020,1
1371928200,1
1371929040,2
1371929580,1
1371931020,1
1371931860,2
1371933180,1
