datetime,arrivals
1371150720,1
1371151020,1
1371155880,1
1371159120,1
1371160680,1
1371160800,2
1371161760,1
1371162240,1
1371162360,1
1371163980,1
1371167100,1
1371168540,2
1371172380,1
1371174060,4
1371174120,1
1371174180,3
1371174240,1
1371174780,1
1371174840,3
1371213360,1
1371214320,1
1371215400,1
1371216180,1
1371217500,1
1371220140,1
1371222000,1
1371222480,1
1371225660,1
1371226200,1
1371226440,1
1371227100,1
1371227400,1
1371228300,1
1371228660,1
1371229620,1
1371229680,1
1371230280,1
1371230940,1
1371233580,1
1371234720,1
1371235440,1
1371235860,1
1371235980,1
1371236340,1
1371241500,1
1371242340,2
1371242760,1
1371244620,3
1371245100,1
1371245580,1
1371246180,1
1371247800,1
1371248460,1
1371249060,1
1371249360,1
1371252000,1
1371252840,2
1371254280,1
1371254400,1
1371260160,1
1371262140,2
1371264240,2
1371266280,1
1371267420,2
1371275220,1
1371302700,1
1371303240,2
1371305040,1
1371308520,1
1371309600,1
1371310080,1
1371310560,1
1371311340,1
1371312180,1
1371312660,1
1371313500,2
1371314280,1
1371316140,1
1371318360,1
1371319680,1
1371319740,1
1371322800,3
1371323640,1
1371324420,1
1371326340,1
1371326580,1
1371326700,2
1371327180,1
1371327420,2
1371328320,1
1371328740,1
1371328920,1
1371331680,1
1371331860,1
1371333600,1
1371333720,2
1371334380,1
1371335160,1
1371337020,2
1371338100,1
1371338940,1
1371339660,1
1371340140,1
1371341880,1
1371342960,2
1371343020,1
1371343740,2
1371346080,1
1371346200,1
1371350400,1
1371350520,1
1371358380,1
1371363120,1
1371387780,1
1371390480,1
1371394620,1
1371395100,1
1371395220,2
1371396480,1
1371399540,2
1371400200,1
1371400620,1
1371401280,1
1371404100,1
1371404160,1
1371405600,5
1371405960,1
1371406080,1
1371408120,1
1371409380,2
1371409740,1
1371410520,1
1371411600,1
1371412500,2
1371414900,1
1371415320,1
1371417060,1
1371417420,1
1371417540,1
1371418500,1
1371418740,1
1371419040,2
1371419640,1
1371419820,1
1371421260,1
1371423360,1
1371423960,2
1371425280,1
1371426660,1
1371428400,1
1371431280,1
1371431580,1
1371433680,3
1371433740,3
1371435780,1
1371437280,2
1371468720,3
1371468780,5
1371468840,3
1371468960,2
1371470220,1
1371470760,1
1371471600,1
1371472500,1
1371472800,1
1371473940,1
1371474060,1
1371474420,1
1371479400,1
1371479520,3
1371481140,1
1371483000,1
1371483660,1
1371484440,1
1371484980,1
1371485520,1
1371486120,1
1371486480,1
1371488100,1
1371488820,1
1371489120,1
1371490380,1
1371492180,1
1371492300,1
1371493320,1
1371494580,1
1371496560,1
1371499860,1
1371501360,1
1371502320,1
1371502380,3
1371504240,2
1371504600,1
1371505800,1
1371505920,1
1371507660,1
1371508380,1
1371508440,1
1371508800,1
1371508980,1
1371509160,1
1371509220,3
1371509580,1
1371510540,1
1371510900,1
1371511620,1
1371511920,1
1371512520,1
1371513240,1
1371513540,1
1371513720,1
1371514680,1
1371514920,1
1371517020,1
1371518820,1
1371524880,1
1371536580,1
1371536700,2
1371536820,4
1371536880,1
1371536940,1
1371555060,1
1371556200,1
1371557100,1
1371558300,1
1371559380,1
1371559800,1
1371560760,1
1371562680,1
1371563040,1
1371563220,2
1371566040,1
1371566280,1
1371566340,1
1371566640,1
1371570060,1
1371572280,1
1371572400,1
1371573300,1
1371573420,1
1371573840,1
1371575100,1
1371580800,2
1371581160,1
1371582120,1
1371583500,1
1371585000,1
1371587220,1
1371590820,1
1371591600,1
1371593760,1
1371598200,3
1371598260,2
1371598320,1
1371606480,1
1371609960,1
1371611640,1
1371614340,1
1371618840,1
1371643500,1
1371644940,1
1371646560,3
1371646620,4
1371646740,1
1371646980,1
1371648120,1
