datetime,arrivals
1371153600,1
1371153660,1
1371164940,1
1371171900,1
1371196380,2
1371196500,4
1371196620,3
1371196680,2
1371207960,1
1371210420,1
1371210600,1
1371210720,2
1371210780,1
1371213000,1
1371213720,1
1371213840,2
1371214020,1
1371214860,1
1371215100,1
1371216300,2
1371217020,1
1371220560,1
1371220680,1
1371225240,1
1371225960,1
1371226500,1
1371228720,1
1371229320,1
1371230280,1
1371231660,1
1371232860,1
1371237360,1
1371238020,1
1371238320,1
1371248700,1
1371249960,1
1371251760,1
1371259740,1
1371268560,2
1371277320,1
1371282240,1
1371298080,1
1371306180,1
1371312120,1
1371312180,1
1371315420,2
1371316200,2
1371317280,3
1371317700,1
1371321240,1
1371327720,2
1371328320,2
1371329040,1
1371329640,2
1371329880,1
1371329940,1
1371330000,1
1371330120,1
1371330660,1
1371331140,3
1371333000,2
1371333300,1
1371334440,1
1371335640,1
1371336480,1
1371338520,1
1371341160,1
1371343020,1
1371345060,2
1371345240,2
1371345960,1
1371356400,1
1371360840,5
1371360900,3
1371361020,2
1371364260,1
1371375060,1
1371390780,1
1371394860,2
1371401040,1
1371401100,2
1371401160,1
1371401940,1
1371402360,1
1371405480,1
1371407460,1
1371408360,3
1371408600,2
1371410700,2
1371413640,1
1371416280,1
1371417540,4
1371417660,1
1371419820,1
1371421020,2
1371423240,2
1371425640,1
1371426480,3
1371426960,1
1371430260,1
1371467340,1
1371467880,1
1371468060,1
1371470220,1
1371471180,1
1371471360,2
1371471720,1
1371471960,1
1371472200,1
1371472260,1
1371472500,1
1371472800,1
1371473160,1
1371473460,1
1371473580,1
1371473760,1
1371473880,2
1371474240,1
1371474540,1
1371474780,1
1371475080,2
1371481080,1
1371482760,1
1371484140,2
1371488040,2
1371488700,1
1371488820,1
1371490500,2
1371491820,2
1371492360,1
1371492480,1
1371499560,1
1371499980,3
1371500280,1
1371500580,2
1371505500,1
1371508140,1
1371508620,1
1371508860,1
1371518460,1
1371519060,2
1371521820,1
1371522420,1
1371523800,2
1371525480,1
1371529200,1
1371533580,1
1371539100,1
1371543480,1
1371543540,3
1371543600,1
1371548220,1
1371548460,1
1371553980,1
1371554220,1
1371555540,1
1371555600,1
1371556740,1
1371557820,1
1371557880,3
1371557940,1
1371558000,2
1371558600,1
1371559680,1
1371559800,1
1371559920,1
1371559980,2
1371579660,1
1371580860,1
1371598740,1
1371601500,1
1371602820,1
1371610620,1
1371640500,2
1371641400,1
1371643140,1
1371644580,1
1371645000,1
1371645480,1
1371645660,2
1371646260,1
1371646320,1
1371647040,1
1371647460,1
1371647520,1
1371649140,1
1371649260,1
1371649800,1
1371649920,1
1371650160,1
1371650640,1
1371650820,1
1371651120,1
1371651420,1
1371651780,2
1371657240,1
1371658380,1
1371661200,1
1371664680,1
1371665280,2
1371665820,1
1371666720,2
1371666840,1
1371667500,1
1371671160,1
1371671940,1
1371672960,1
1371676140,1
1371677760,1
1371677880,2
1371677940,1
1371679500,2
1371683340,1
1371684480,1
1371685320,1
1371687180,1
1371693060,1
1371694140,2
1371704580,3
1371711840,1
1371724860,8
1371726840,1
1371726960,1
1371727740,1
1371727980,1
1371728700,2
1371729000,1
1371729660,1
1371730740,1
1371730920,1
1371731040,1
1371731580,1
1371731640,1
1371731820,1
1371732600,1
1371732720,1
1371733080,1
1371733140,1
1371733380,1
1371733500,1
1371734820,1
1371740160,1
1371746040,2
1371747360,1
1371750780,1
1371751140,1
1371752640,1
1371753540,1
1371756720,1
1371756780,1
1371758640,1
1371759120,1
1371759600,2
1371760080,1
1371760560,1
1371761160,1
1371771720,4
1371772800,1
1371773820,1
1371774000,1
1371780300,1
1371781020,1
1371788640,1
1371797580,1
1371800040,1
1371807720,1
1371808080,1
1371812880,1
1371813360,2
1371815400,1
1371815640,1
1371816840,1
1371817080,1
1371817200,1
1371818520,1
1371818580,2
1371819960,1
1371820500,1
1371820620,1
1371820740,1
1371821220,1
1371822480,2
1371823620,1
1371826740,1
1371828660,1
1371831300,1
1371831840,1
1371832260,2
1371834840,1
1371837000,1
1371837960,1
1371838080,1
1371838800,1
1371839040,1
1371839160,1
1371841860,1
1371842160,1
1371842340,1
1371842460,3
1371843660,2
1371845520,1
1371850080,1
1371850860,1
1371852180,1
1371853440,1
1371853500,1
1371856740,1
1371857940,1
1371858540,1
1371859860,2
1371861120,1
1371871380,1
1371871800,2
1371874560,2
1371874620,1
1371874740,1
1371874860,3
1371874920,3
1371875100,4
1371875160,2
1371875760,1
1371875820,1
1371885060,1
1371901740,1
1371911700,1
1371913740,1
1371917460,2
1371918180,1
1371919140,1
1371921960,2
1371923760,1
1371925020,1
1371930540,1
1371934740,3
1371937080,1
1371937320,1
1371937980,1
1371940560,2
1371940920,1
1371941280,2
1371941700,1
1371942060,1
1371942720,4
1371942900,1
1371943140,2
1371944100,2
1371949860,1
1371952020,2
1371952440,1
1371954180,1
1371957900,1
1371960240,1
1371963900,1
1371964800,1
1371965580,2
1371965640,1
1371965760,4
1371965880,3
1371965940,1
1371966060,3
1371966120,1
1371976680,1
1371985620,1
1371987540,1
1371994200,1
1371996540,1
1371999480,1
1372002840,3
1372003680,1
1372003920,1
1372007940,1
1372010280,1
1372010640,1
1372013160,1
1372013520,1
1372013880,1
1372013940,1
1372017780,1
1372018560,1
1372020180,1
1372020840,2
1372021560,7
1372021680,1
1372022220,2
1372022760,2
1372023660,1
1372023780,1
1372023840,1
1372024560,2
1372026540,1
1372027500,1
1372031160,1
1372031760,1
1372031940,1
1372033260,2
1372037340,2
1372069380,1
1372071480,1
1372071660,1
1372072620,1
1372073100,1
1372074000,1
1372074120,1
1372074540,1
1372075080,1
1372075860,1
1372076040,1
1372077240,1
1372077900,1
1372078320,1
1372079040,2
1372079160,1
1372079580,2
1372079760,1
1372080060,2
1372081080,2
1372081200,1
1372081260,1
1372082100,1
1372084440,1
1372084680,1
1372085520,2
1372090080,1
1372090380,1
1372094220,1
1372095120,1
1372099920,1
1372100520,1
1372100640,1
1372100880,1
1372102320,1
1372102380,1
1372104900,1
1372105440,1
1372108620,1
1372109280,1
1372109460,1
1372109880,2
1372111020,1
1372112760,1
1372116480,1
1372116960,1
1372117020,1
1372123680,1
1372125240,2
1372130100,1
1372132440,1
1372134600,1
1372153980,1
1372155180,1
1372157040,1
1372157580,1
1372157820,1
1372158480,1
1372158720,1
1372158960,1
1372160760,1
1372160880,1
1372161360,2
1372161720,1
1372162500,1
1372162800,1
1372162920,1
1372163640,1
1372163880,2
1372164480,2
1372165020,1
1372165080,2
1372165140,1
1372165260,1
1372165320,1
1372165620,1
1372170600,1
1372172100,1
1372172760,1
1372173780,1
1372177260,2
1372177620,1
1372178580,1
1372179060,3
1372179480,1
1372180080,2
1372180200,1
1372182540,1
1372182960,1
1372183920,1
1372188420,1
1372189740,1
1372190460,1
1372191180,1
1372191300,1
1372191960,1
1372192440,1
1372194960,2
1372197960,1
1372199940,1
1372201500,1
1372206960,2
1372221240,2
1372221300,1
1372221360,2
1372239660,1
1372240560,1
1372241760,1
1372243740,1
1372244640,1
1372245060,1
1372245780,1
1372246020,1
1372246140,1
1372246440,1
1372247280,1
1372248000,1
1372248480,1
1372249020,1
1372249080,1
1372249200,1
1372249380,2
1372249740,1
1372249860,1
1372250100,1
1372251420,1
1372251900,1
1372252320,1
1372252560,1
1372252740,1
1372252920,1
1372253100,1
1372255020,1
1372257240,1
1372258440,1
1372258500,1
1372260960,1
1372263720,1
1372263780,1
1372264440,1
1372265580,1
1372267080,2
1372272420,1
1372273020,1
1372273680,1
1372275780,1
1372276080,2
1372277040,1
1372277520,1
1372279980,1
1372280940,1
1372283280,1
1372283700,1
1372284180,1
1372285560,1
1372287720,1
1372294620,1
1372299540,1
1372299720,1
1372301580,2
1372305720,4
1372305840,1
1372307100,1
1372310700,1
1372324560,1
1372326600,1
1372327740,1
1372329420,1
1372330680,1
1372331700,1
1372331760,1
1372333140,1
1372333860,1
1372334220,1
1372334520,1
1372335120,1
1372336320,1
1372336800,2
1372337580,1
1372338540,1
1372338840,3
1372339200,1
1372339740,1
1372339800,1
1372340400,2
1372341120,1
1372342680,2
1372349460,1
1372363800,2
1372363920,1
1372376760,1
1372378380,1
1372378500,1
1372379220,2
1372379280,1
1372379760,4
1372382400,1
1372384140,1
1372386660,1
1372386720,1
1372412760,1
1372413360,1
1372416960,1
1372418280,1
1372418820,2
1372420440,1
1372421460,1
1372421880,1
1372422060,1
1372422420,1
1372422540,1
1372422660,1
1372422900,1
1372423020,1
1372423200,1
1372423440,1
1372423680,1
1372423740,2
1372424460,1
1372425060,1
1372425120,1
1372425780,1
1372425840,1
1372426020,2
1372426140,1
1372426620,1
1372426800,1
1372426860,1
1372428060,1
1372428420,1
1372429980,1
1372431540,1
1372433940,1
1372434720,1
1372436760,1
1372438020,2
1372439220,1
1372441080,1
1372450680,1
1372450800,1
1372453260,1
1372454220,2
1372455180,1
1372456620,1
1372457520,1
1372458780,1
1372461660,1
1372466040,1
1372494780,2
1372506120,1
1372517220,1
1372522800,1
1372522980,1
1372523580,1
1372527180,1
1372527240,2
1372530000,1
1372537320,1
1372540260,2
1372541340,2
1372542060,1
1372542840,4
1372543500,1
1372543680,1
1372543740,3
1372546860,4
1372546920,1
1372549080,1
1372549800,1
1372551600,2
1372552080,2
1372556460,1
1372561140,1
1372570080,1
1372575540,2
1372594020,1
1372594260,1
1372602660,1
1372605900,1
1372606020,1
1372606500,1
1372606920,1
1372614720,2
1372615740,1
1372616520,2
1372620420,2
1372623300,1
1372623360,1
1372630140,2
1372630560,1
1372633860,1
1372634820,4
1372636080,1
1372637940,1
1372638720,1
1372640940,1
1372641120,1
1372641480,1
1372641960,1
1372647720,1
1372649940,1
1372650360,1
1372654380,1
1372654440,5
1372654560,1
1372654620,1
1372662960,1
1372663080,1
1372663260,1
1372672860,1
1372678020,1
1372679760,1
1372679940,1
1372680300,1
1372680960,1
1372682040,2
1372682520,2
1372687020,3
1372705260,1
1372713840,1
1372718100,1
1372722180,1
1372724340,1
1372725660,1
1372728240,1
1372728480,1
1372731000,1
1372731480,1
1372759260,1
1372759380,1
1372764720,3
1372764840,1
1372765620,1
1372766220,2
1372767240,1
1372767360,1
1372767420,1
1372768320,3
1372768740,2
1372768800,1
1372768860,1
1372768980,1
1372769100,1
1372773720,8
1372781400,1
1372781760,1
1372782660,1
1372785960,2
1372786080,1
1372793220,1
1372795320,1
1372796520,1
1372797120,1
1372801440,1
1372803360,1
1372808940,2
1372809420,1
1372813080,4
1372813140,1
1372823100,1
1372837740,1
1372846320,1
1372848720,1
1372849620,1
1372849980,2
1372850640,1
1372851060,1
1372853340,1
1372853700,1
1372854120,2
1372854660,1
1372855080,2
1372855560,1
1372855800,1
1372856520,1
1372856940,1
1372857000,1
1372857120,1
1372857240,1
1372857300,2
1372857480,1
1372857600,1
1372859700,1
1372860780,1
1372861020,1
1372863000,1
1372863540,1
1372867620,1
1372868700,1
1372869060,1
1372869180,1
1372871220,1
1372873860,1
1372874340,1
1372875240,1
1372879380,1
1372881420,2
1372889160,1
1372889640,1
1372890060,1
1372890180,1
1372891440,1
1372891500,1
1372891560,1
1372891620,2
1372891680,2
1372891740,1
1372891920,3
1372892040,1
1372892100,4
1372892340,1
1372895640,1
1372896420,1
1372911540,1
1372920420,1
1372920480,1
1372926480,2
1372926840,2
1372929540,1
1372929780,2
1372929900,1
1372935780,1
1372936800,5
1372938420,1
1372938780,1
1372939200,1
1372941720,1
1372944480,1
1372947900,2
1372952220,1
1372953180,1
1372954200,1
1372956420,1
1372956660,3
1372959000,2
1372960140,1
1372964520,4
1372964640,2
1372973640,1
1372974660,1
1372981440,1
1372984140,2
1372990200,1
1372990740,3
1372992540,2
1372992720,1
1373001240,2
1373001300,2
1373019120,1
1373022240,1
1373022720,1
1373022780,1
1373023140,1
1373024700,1
1373026800,1
1373027100,1
1373028480,1
1373028660,1
1373028840,1
1373029680,1
1373029920,2
1373030220,2
1373030700,1
1373030820,1
1373031060,1
1373031480,1
1373032860,1
1373034240,1
1373036940,1
1373038920,1
1373040180,1
1373042520,1
1373046180,1
1373047560,2
1373047800,2
1373054460,1
1373060040,1
1373060220,1
1373062740,1
1373063640,1
1373065980,1
1373067240,1
1373072460,1
1373073900,1
1373077680,2
1373079900,1
1373089560,5
1373089680,3
1373089800,1
1373089860,1
1373100240,1
1373111280,1
1373116380,1
1373116740,1
1373119920,1
1373127780,2
1373129760,1
1373131860,2
1373133060,5
1373134620,3
1373136420,1
1373136480,1
1373136600,1
1373137080,1
1373137620,1
1373137920,1
1373138340,3
1373138460,1
1373139180,1
1373141460,1
1373142060,1
1373143080,2
1373143860,2
1373145780,1
1373147220,1
1373147340,1
1373149320,1
1373150520,1
1373151420,1
1373151960,4
1373152860,5
1373153820,2
1373155320,2
1373163840,1
1373165700,1
1373168820,2
1373174880,1
1373201220,1
1373204400,1
1373207100,1
1373208180,1
1373210280,2
1373210760,1
1373211420,1
1373212200,1
1373214060,1
1373218380,1
1373218740,3
1373219580,2
1373222880,3
1373224920,1
1373226000,1
1373229720,1
1373235180,1
1373235720,2
1373238780,1
1373238900,1
1373245440,2
1373245980,1
1373246100,1
1373246520,2
1373252820,1
1373254860,1
1373258700,1
1373276520,1
1373280900,1
1373281440,2
1373281800,1
1373282280,1
1373282700,1
1373283840,1
1373284440,1
1373286600,3
1373286660,1
1373287200,1
1373287440,1
1373288640,3
1373288700,1
1373289180,1
1373290020,2
1373290140,2
1373290440,1
1373290740,1
1373292900,3
1373293380,1
1373294400,2
1373298540,1
1373300040,1
1373301120,1
1373303340,1
1373303460,1
1373305020,1
1373306280,1
1373306520,1
1373307000,1
1373308560,2
1373308800,1
1373313240,1
1373314320,1
1373317980,1
1373318100,2
1373318160,2
1373318280,1
1373319120,1
1373319720,1
1373328480,1
1373332680,1
1373336340,1
1373336760,1
1373337900,1
