datetime,arrivals
1371152400,1
1371152580,1
1371153540,1
1371154860,1
1371159060,1
1371159900,1
1371160140,1
1371160380,1
1371160800,1
1371161580,1
1371162240,1
1371162660,1
1371162900,1
1371163440,1
1371208080,1
1371210780,1
1371210960,1
1371211980,1
1371214020,1
1371214920,1
1371216060,1
1371216660,1
1371217200,1
1371219600,1
1371223200,1
1371227160,1
1371229020,1
1371231240,1
1371231720,2
1371232740,1
1371234240,1
1371235140,1
1371237000,1
1371238440,1
1371239760,3
1371241080,1
1371243600,2
1371244260,1
1371244800,1
1371245280,3
1371245580,1
1371246180,1
1371248040,1
1371254100,1
1371255540,1
1371257760,1
1371258060,1
1371266760,2
1371272220,2
1371273360,1
1371276600,1
1371302220,1
1371303180,3
1371303540,1
1371304020,1
1371305580,1
1371306600,2
1371307200,1
1371312360,2
1371314820,1
1371315600,2
1371315900,1
1371316620,2
1371318000,2
1371318300,1
1371321300,1
1371321420,1
1371322380,2
1371322440,1
1371323040,1
1371323400,1
1371323700,1
1371324240,2
1371324420,1
1371325320,2
1371327060,4
1371327120,1
1371327180,1
1371328500,1
1371328920,3
1371328980,1
1371329160,2
1371329640,1
1371329700,2
1371329940,1
1371331200,1
1371331320,3
1371331620,1
1371332220,2
1371332340,1
1371332700,1
1371334500,1
1371334800,2
1371336240,1
1371336600,1
1371336720,2
1371338520,1
1371338580,1
1371340140,1
1371340800,1
1371341580,1
1371341640,2
1371342060,1
1371343560,1
1371343680,1
1371344520,1
1371344940,1
1371347040,2
1371348120,1
1371348180,1
1371352320,2
1371354720,2
1371359640,1
1371365040,1
1371382800,1
1371387780,1
1371389580,1
1371391200,1
1371393960,2
1371396780,1
1371397680,1
1371398100,1
1371399180,1
1371400200,2
1371401760,1
1371402240,1
1371405120,2
1371408180,1
1371408240,1
1371409380,2
1371410100,1
1371411300,1
1371411900,1
1371412740,1
1371413520,1
1371414060,2
1371415200,5
1371415320,1
1371415380,2
1371417180,1
1371420240,2
1371420360,2
1371420420,1
1371420840,1
1371421680,1
1371422520,1
1371424260,1
1371424620,1
1371425760,1
1371427080,1
1371428100,1
1371429060,1
1371430020,1
1371437820,1
1371438780,3
1371467700,1
1371469380,1
1371470460,1
1371471600,1
1371473580,1
1371473940,1
1371474720,1
1371475080,1
1371482460,1
1371485520,1
1371487320,1
1371492360,4
1371492900,1
1371493680,1
1371494460,1
1371496080,1
1371500400,1
1371503100,2
1371505020,1
1371505140,2
1371505200,1
1371505740,1
1371506520,1
1371506580,2
1371506700,1
1371507300,2
1371507780,1
1371508860,1
1371509160,1
1371509400,1
1371509520,1
1371511620,2
1371512100,1
1371512220,2
1371513600,1
1371513840,1
1371515220,1
1371517140,1
1371518160,2
1371519480,1
1371519780,1
1371521220,1
1371521340,1
1371524040,2
1371529200,1
1371529320,1
1371530820,1
1371531720,1
1371541680,1
1371545400,2
1371549780,1
1371552120,1
1371554220,1
1371554280,1
1371556680,1
1371556920,1
1371557100,1
1371558420,1
1371558480,1
1371558600,1
1371558720,1
1371559200,1
1371563760,1
1371564300,1
1371568080,1
1371568260,1
1371568740,1
1371571920,1
1371573480,1
1371580080,2
1371582780,2
1371585780,1
1371586740,1
1371589320,1
1371590700,1
1371592260,1
1371594480,1
1371596040,2
1371602520,1
1371609540,1
1371611460,1
1371617100,1
1371640740,1
1371642660,1
1371643080,1
1371643380,1
1371644340,1
1371644400,1
1371644520,1
1371645480,1
1371645960,1
1371646080,1
1371646860,2
1371647160,1
1371647520,1
1371648360,1
1371652320,2
1371652800,1
1371655740,1
1371657720,1
1371658260,1
1371662160,1
1371663240,1
1371663900,1
1371664380,1
1371664500,1
1371665280,1
1371665760,1
1371667440,2
1371667800,1
1371668100,1
1371668160,1
1371668280,1
1371668820,1
1371669480,1
1371670200,1
1371671760,1
1371671820,1
1371672600,1
1371673500,1
1371677880,1
1371678780,1
1371679740,1
1371680040,1
1371680520,1
1371681900,1
1371682320,1
1371682500,1
1371684600,1
1371684720,1
1371685560,1
1371687000,1
1371687360,1
1371688080,1
1371688440,1
1371688800,1
1371690120,2
1371691320,1
1371691620,1
1371692640,1
1371693240,1
1371695640,1
1371700500,1
1371703560,1
1371727380,1
1371728220,1
1371729600,1
1371729780,1
1371730020,1
1371730680,1
1371732180,1
1371732540,1
1371732600,1
1371742620,14
1371742680,1
1371743340,1
1371743580,1
1371746160,1
1371747000,1
1371747660,1
1371748440,1
1371748800,1
1371748860,1
1371749520,1
1371749580,1
1371751140,1
1371751380,1
1371751860,1
1371752460,1
1371754680,1
1371756120,1
1371757440,1
1371757680,2
1371757920,1
1371758220,1
1371758280,1
1371758760,1
1371760740,1
1371761040,1
1371761160,1
1371762900,1
1371764340,1
1371764760,1
1371765000,1
1371767280,1
1371768060,1
1371768120,1
1371768300,1
1371769020,1
1371769440,1
1371769500,2
1371769980,1
1371771180,1
1371771540,1
1371772320,1
1371772500,1
1371773400,2
1371773700,1
1371774960,1
1371775200,1
1371776640,3
1371776700,1
1371777180,1
1371778800,1
1371779160,1
1371783840,2
1371784620,1
1371789420,1
1371789780,1
1371790800,1
1371790860,1
1371792240,4
1371809340,1
1371812820,1
1371815100,1
1371815220,2
1371815400,1
1371816360,1
1371817140,1
1371818340,1
1371818460,1
1371818520,1
1371819960,7
1371820500,1
1371820860,1
1371821580,1
1371823620,1
1371824760,1
1371832980,1
1371833940,1
1371834420,2
1371835800,2
1371835860,1
1371836340,1
1371838980,1
1371839340,1
1371840960,1
1371841980,1
1371843960,1
1371844440,1
1371845220,1
1371845640,1
1371846120,1
1371847740,1
1371847860,1
1371848040,1
1371848100,1
1371848220,1
1371848820,2
1371848940,1
1371849360,1
1371849900,1
1371850140,1
1371850920,1
1371852060,1
1371853740,1
1371855840,1
1371856080,1
1371856620,3
1371857040,1
1371857280,1
1371858240,1
1371858360,1
1371860280,1
1371860580,2
1371860880,1
1371861180,1
1371862320,1
1371865380,1
1371866460,1
1371867360,1
1371868560,1
1371868920,1
1371869400,1
1371873060,1
1371875340,1
1371877860,1
1371891060,1
1371899340,1
1371902160,1
1371902220,1
1371906960,1
1371907320,2
1371907440,2
1371909060,1
1371910920,1
1371912180,1
1371912300,3
1371913560,1
1371913740,1
1371914160,1
1371914220,1
1371914640,1
1371914940,2
1371920160,3
1371920880,2
1371921180,1
1371921780,2
1371921960,1
1371923280,2
1371924180,2
1371924900,2
1371926400,2
1371926760,3
1371927060,1
1371927540,2
1371927840,2
1371927900,1
1371928620,1
1371929580,1
1371929760,2
1371930000,1
1371930120,1
1371930240,2
1371930480,1
1371930540,1
1371932100,1
1371933900,1
1371934380,1
