datetime,arrivals
1371150420,2
1371151560,1
1371152400,1
1371152880,1
1371153420,1
1371154740,1
1371155340,1
1371155880,1
1371156240,1
1371157920,1
1371159000,1
1371160320,1
1371161640,1
1371162240,1
1371162360,2
1371162780,1
1371162840,1
1371164460,2
1371164760,2
1371164940,1
1371165060,1
1371181140,1
1371200400,1
1371204540,1
1371213360,1
1371213840,1
1371217320,1
1371217620,1
1371219180,1
1371223320,1
1371224040,1
1371225180,1
1371228720,1
1371228840,1
1371229320,1
1371229740,1
1371230220,1
1371230280,1
1371231060,2
1371231360,1
1371231480,2
1371233460,1
1371233880,2
1371234120,2
1371235140,1
1371237360,1
1371237660,2
1371237840,1
1371238620,1
1371238800,1
1371239100,2
1371239460,1
1371239640,1
1371240900,2
1371241080,1
1371242880,1
1371242940,1
1371243420,1
1371243600,2
1371243660,1
1371243840,1
1371244260,1
1371244920,3
1371244980,2
1371245040,2
1371246180,2
1371246600,1
1371246960,1
1371247020,2
1371247920,1
1371248400,2
1371248520,1
1371248700,1
1371249660,2
1371250020,1
1371250080,2
1371250800,1
1371251340,3
1371251400,1
1371252120,2
1371252420,1
1371252480,1
1371252900,2
1371253080,1
1371253500,1
1371253620,1
1371253740,1
1371253860,1
1371253980,2
1371254400,1
1371255360,1
1371255720,1
1371256740,1
1371257160,1
1371257400,1
1371258780,1
1371259620,1
1371260580,1
1371260760,1
1371261900,1
1371262380,1
1371262680,2
1371264780,2
1371265200,1
1371265500,1
1371267540,2
1371267660,1
1371268740,1
1371270600,1
1371271980,1
1371281880,1
1371293280,1
1371295860,1
1371296640,2
1371298620,1
1371298980,1
1371299580,1
1371301560,1
1371302520,1
1371302580,2
1371304200,2
1371304620,1
1371304800,3
1371305340,1
1371306600,1
1371306960,3
1371307200,1
1371308220,1
1371308460,2
1371310140,1
1371310680,1
1371310740,2
1371311100,2
1371311460,1
1371312420,1
1371313140,2
1371313380,3
1371313560,1
1371314340,1
1371314640,1
1371314700,1
1371314760,1
1371314820,1
1371315240,2
1371315420,2
1371316140,1
1371316320,2
1371316620,3
1371316740,1
1371316860,1
1371317280,1
1371317700,1
1371318000,2
1371318540,2
1371319260,2
1371319500,1
1371319740,2
1371319920,1
1371319980,3
1371320040,1
1371320280,5
1371321300,1
1371321420,1
1371321480,1
1371321540,1
1371321900,2
1371322260,1
1371322680,2
1371323820,1
1371324060,1
1371324180,2
1371324420,1
1371324480,1
1371325080,1
1371325620,2
1371325680,2
1371325740,3
1371326100,2
1371326160,2
1371326220,3
1371326280,1
1371326460,1
1371326580,1
1371327120,2
1371327420,3
1371328020,2
1371328740,1
1371328920,2
1371329400,1
1371329640,2
1371329700,1
1371330360,2
1371331140,2
1371331440,1
1371332160,1
1371332280,2
1371332340,1
1371332520,3
1371332760,1
1371333240,1
1371333540,2
1371334080,1
1371334140,3
1371334200,1
1371334800,5
1371335160,1
1371335460,2
1371335640,1
1371335880,2
1371336000,2
1371336240,4
1371337020,1
1371337080,2
1371337680,1
1371337860,2
1371337920,1
1371337980,1
1371338520,1
1371338580,2
1371338940,1
1371339060,2
1371339540,2
1371339660,2
1371339720,2
1371339840,2
1371340020,1
1371341160,3
1371342120,1
1371342600,1
1371342960,2
1371343140,2
1371343560,1
1371343740,2
1371344040,1
1371344580,1
1371345000,1
1371345060,2
1371345900,2
1371346200,2
1371346560,1
1371346920,1
1371347100,1
1371348240,2
1371349080,3
1371349140,2
1371350280,1
1371350520,1
1371352620,2
1371353160,3
1371354600,1
1371355500,1
1371356280,1
1371357180,2
1371360600,2
1371367680,2
1371368640,4
1371378000,1
1371378900,1
1371380940,1
1371384660,1
1371386580,1
1371387120,1
1371388920,1
1371390420,2
1371390720,1
1371390960,1
1371391680,2
1371392580,2
1371392640,1
1371393480,1
1371394080,1
1371394380,1
1371394620,3
1371394740,1
1371394980,2
1371395400,2
1371395580,3
1371395820,1
1371395880,1
1371396180,1
1371397740,1
1371397980,1
1371398280,2
1371398580,1
1371399360,1
1371400080,1
1371400320,2
1371400740,1
1371400980,1
1371401580,1
1371402120,1
1371402240,3
1371402420,2
1371402480,1
1371402840,1
1371403020,1
1371403440,1
1371404040,2
1371404580,4
1371404820,1
1371405120,1
1371405360,5
1371405480,1
1371405960,2
1371407460,5
1371407700,1
1371407760,1
1371408000,1
1371408120,2
1371409620,1
1371409920,3
1371410220,1
1371410520,1
1371410580,5
1371410940,1
1371411180,3
1371411240,2
1371411480,1
1371411780,1
1371411840,1
1371412260,2
1371412560,4
1371412980,1
1371413100,2
1371413460,1
1371414180,1
1371414660,1
1371414780,1
1371414900,2
1371415620,1
1371415800,2
1371416220,2
1371416580,1
1371416820,1
1371417480,1
1371417780,4
1371417900,1
1371418500,1
1371418680,2
1371418980,2
1371419160,1
1371419820,2
1371420360,1
1371420420,1
1371420540,2
1371421140,1
1371421200,2
1371421320,1
1371421440,1
1371421680,1
1371421860,2
1371422280,1
1371422820,2
1371423000,1
1371423240,1
1371423360,1
1371423840,2
1371423900,3
1371423960,4
1371424200,1
1371424500,1
1371424920,1
1371425160,1
1371425580,1
1371425760,4
1371426120,1
1371426480,2
1371426600,1
1371427080,4
1371427620,1
1371427680,1
1371427980,5
1371428100,2
1371428580,3
1371429180,2
1371429600,1
1371429900,1
1371430080,2
1371430440,1
1371430500,2
1371430560,1
1371431280,1
1371431400,1
1371432540,2
1371434940,1
1371435600,1
1371436080,4
1371436920,2
1371437100,1
1371438000,1
1371438240,1
1371438660,1
1371444060,1
1371454560,1
1371455400,1
1371463680,1
1371464040,1
1371468540,1
1371470340,1
1371472800,2
1371472980,1
1371473100,2
1371474120,1
1371476040,1
1371476460,1
1371478560,1
1371479880,1
1371480240,1
1371480720,1
1371482580,1
1371485040,1
1371485400,1
1371485940,1
1371486060,1
1371486360,1
1371488040,3
1371488940,1
1371489120,2
1371489420,1
1371489720,1
1371489900,1
1371492360,2
1371493860,1
1371494520,2
1371494760,1
1371494880,2
1371495420,1
1371495600,1
1371496080,1
1371496560,1
1371499560,2
1371499860,2
1371500220,1
1371500820,1
1371500940,1
1371501180,4
1371501660,1
1371501840,1
1371502260,1
1371502320,1
1371502740,3
1371502800,1
1371502920,1
1371503100,1
1371503160,1
1371503280,1
1371504240,1
1371504300,2
1371504900,1
1371505620,1
1371506640,1
1371507300,1
1371507840,1
1371508140,1
1371508440,1
1371509400,2
1371509880,1
1371510360,1
1371511620,1
1371511740,1
1371511980,1
1371512040,1
1371512220,1
1371512520,1
1371513060,2
1371513540,1
1371514200,1
1371514260,1
1371514620,1
1371515580,1
1371516000,1
1371516300,1
1371516420,2
1371516480,1
1371517260,1
1371517320,1
