datetime,arrivals
1379017380,1
1379021580,1
1379021820,2
1379021880,4
1379022000,2
1379022360,1
1379050380,1
1379065920,1
1379068440,1
1379070300,2
1379071860,1
1379073180,1
1379073480,1
1379073720,1
1379073840,2
1379073960,1
1379074260,1
1379074380,1
1379074560,1
1379074800,1
1379074860,1
1379074920,1
1379075520,1
1379075940,1
1379076120,1
1379076420,1
1379077260,1
1379078040,1
1379078580,2
1379079180,1
1379079480,1
1379080260,1
1379081460,1
1379084820,1
1379085780,1
1379092140,1
1379095140,1
1379107920,1
1379108040,1
1379113200,1
1379113680,1
1379114340,1
1379124360,2
1379127600,1
1379130480,1
1379132880,3
1379133240,2
1379154780,1
1379158140,1
1379167440,1
1379168640,1
1379176260,2
1379178900,1
1379179260,1
1379181840,1
1379183940,1
1379189520,1
1379190840,3
1379190900,2
1379191080,3
1379191140,1
1379191320,1
1379193600,1
1379197080,1
1379203320,1
1379203440,1
1379211360,1
1379224920,1
1379241540,1
1379252280,1
1379255700,1
1379255880,1
1379259180,1
1379261940,1
1379262840,1
1379263020,1
1379264040,2
1379269320,1
1379269440,1
1379270700,1
1379274300,1
1379276280,1
1379283000,1
1379286300,1
1379308500,1
1379325240,1
1379328120,1
1379328480,1
1379329320,1
1379331060,1
1379331360,1
1379331900,1
1379332320,1
1379332560,1
1379332680,1
1379333520,1
1379333640,1
1379333880,1
1379333940,1
1379334060,1
1379334780,1
1379335080,1
1379336280,1
1379339100,2
1379340780,1
1379344860,1
1379347740,1
1379347920,1
1379348880,1
1379349780,1
1379350860,1
1379356140,2
1379362080,1
1379367300,1
1379367360,3
1379367780,2
1379369880,1
1379370360,1
1379371740,1
1379372640,1
1379375820,1
1379376900,6
1379377080,2
1379377140,1
1379380620,1
1379389380,1
1379411520,1
1379413860,1
1379414520,1
1379415120,1
1379416500,1
1379416620,1
1379416740,1
1379417520,1
1379417760,1
1379419080,1
1379419380,1
1379419800,1
1379419980,1
1379420340,2
1379420460,1
1379420640,1
1379421060,1
1379421180,1
1379421660,1
1379421780,1
1379421840,1
1379422200,1
1379422380,1
1379422440,1
1379422860,1
1379422920,1
1379423760,1
1379425920,1
1379426160,1
1379433120,1
1379434200,1
1379435460,1
1379437920,1
1379438040,1
1379438400,1
1379440560,1
1379441820,1
1379441940,2
1379442060,1
1379442420,1
1379442600,1
1379443260,1
1379443740,1
1379443860,1
1379444580,1
1379446680,1
1379446800,1
1379452140,1
1379453220,1
1379453640,1
1379454480,1
1379454960,1
1379455200,1
1379456100,1
1379456280,1
1379456760,1
1379456820,1
1379462640,1
1379463180,1
1379463300,2
1379463360,2
1379463420,1
1379472180,1
1379497920,1
1379500620,1
1379504040,2
1379504580,1
1379505420,1
1379505480,1
1379505840,1
1379506800,1
1379506980,1
1379507100,1
1379507520,1
1379508780,1
1379509140,3
1379509260,1
1379509800,1
1379509920,1
1379510340,2
1379511540,1
1379511660,1
1379512200,1
1379512860,1
1379517900,1
1379541000,1
1379541780,1
1379542200,1
1379543160,1
1379544240,1
1379552820,1
1379554080,1
1379554800,1
1379555040,1
1379566800,1
1379584320,1
1379586600,1
1379586900,1
1379587320,1
1379588760,1
1379588880,1
1379590680,1
1379592120,1
1379592360,1
1379592840,1
1379593020,1
1379593080,1
1379593260,1
1379593500,2
1379593680,1
1379593800,2
1379594340,1
1379594460,1
1379594640,1
1379595120,1
1379595360,1
1379595540,1
1379596080,1
1379596140,1
1379596740,1
1379596860,2
1379597220,1
1379598240,1
1379599920,1
1379602800,1
1379614860,1
1379622240,1
1379623560,1
1379623920,2
1379624580,1
1379625840,1
1379627700,1
1379628600,1
1379629560,1
1379630100,1
1379630820,1
1379631540,1
1379632980,1
1379633760,1
1379637120,1
1379637300,1
1379639640,1
1379643480,2
1379670540,1
1379670660,1
1379673120,1
1379674620,1
1379676060,1
1379678220,1
1379679720,1
1379680620,1
1379680860,1
1379681280,1
1379681580,2
1379681760,2
1379681880,1
1379682060,1
1379682300,1
1379683620,1
1379683920,1
1379683980,1
1379684700,1
1379685240,1
1379685900,1
1379686260,1
1379688600,1
1379689860,1
1379700300,1
1379700420,1
1379704560,1
1379709900,1
1379713320,1
1379714220,2
1379716860,1
1379717640,1
1379717760,1
1379718120,1
1379720280,1
1379720340,5
1379720460,1
1379720580,2
1379720880,2
1379721240,2
1379731140,2
1379732760,1
1379732880,1
1379736060,1
1379736180,1
1379736720,1
1379764380,1
1379774520,1
1379780040,1
1379783340,1
1379785500,1
1379793240,1
1379793300,1
1379794440,1
1379794860,1
1379799720,2
1379799900,1
1379806380,1
1379811360,1
1379811960,1
1379812200,3
1379812320,2
1379812380,3
1379812440,2
1379817420,1
1379821620,1
1379846700,1
1379853480,1
1379868480,1
1379870040,1
1379871060,1
1379874660,1
1379875680,1
1379877360,1
1379880180,1
1379883120,1
1379883660,2
1379884800,1
1379886300,2
1379887500,1
1379889720,1
1379929200,1
1379929860,1
1379932500,1
1379932920,1
1379933760,1
1379934720,1
1379934900,1
1379936760,1
1379937420,1
1379937780,3
1379938020,1
1379938200,1
1379938980,1
1379939160,1
1379939340,1
1379939580,1
1379939760,1
1379939880,1
1379940120,1
1379940480,1
1379941080,1
1379942400,1
1379943120,1
1379943960,1
1379944800,1
