datetime,available_bikes
1379713020,4
1379713080,4
1379713200,4
1379713260,5
1379713320,5
1379713380,4
1379713500,4
1379713560,4
1379713680,4
1379713740,4
1379713860,3
1379713980,2
1379714100,2
1379714160,2
1379714220,2
1379714340,2
1379714400,2
1379714460,1
1379714520,1
1379714640,1
1379714700,0
1379714820,0
1379714880,0
1379715060,0
1379715120,0
1379715240,0
1379715360,0
1379715420,0
1379715540,0
1379715600,0
1379715720,0
1379715840,0
1379715900,0
1379715960,1
1379716020,1
1379716080,1
1379716200,2
1379716380,3
1379716500,3
1379716560,3
1379716620,3
1379716740,3
1379716800,3
1379716860,3
1379716920,5
1379717040,3
1379717100,2
1379717160,1
1379717220,0
1379717280,0
1379717340,0
1379717400,0
1379717520,0
1379717580,0
1379717640,0
1379717760,0
1379717820,0
1379717880,0
1379718000,0
1379718060,0
1379718120,0
1379718240,0
1379718300,2
1379718360,2
1379718420,2
1379718540,2
1379718600,2
1379718660,2
1379718780,1
1379718900,0
1379718960,0
1379719020,0
1379719080,0
1379719200,0
1379719260,0
1379719320,0
1379719440,0
1379719500,0
1379719560,0
1379719680,0
1379719740,0
1379719860,0
1379719920,0
1379719980,0
1379720040,0
1379720160,0
1379720280,0
1379720340,0
1379720460,0
1379720580,0
1379720640,0
1379720700,0
1379720820,0
1379720880,0
1379720940,0
1379721060,0
1379721180,0
1379721240,0
1379721360,0
1379721420,0
1379721600,0
1379721660,0
1379721780,0
1379721840,0
1379721900,0
1379722020,0
1379722080,0
1379722200,0
1379722260,0
1379722380,0
1379722440,0
1379722620,0
1379722680,0
1379722740,0
1379722860,0
1379722980,0
1379723040,0
1379723100,0
1379723220,0
1379723340,0
1379723400,0
1379723460,0
1379723520,0
1379723580,0
1379723640,0
1379723820,0
1379723880,0
1379724060,0
1379724120,0
1379724180,0
1379724240,0
1379724360,0
1379724480,0
1379724540,0
1379724600,0
1379724720,0
1379724780,0
1379724900,0
1379724960,2
1379725080,2
1379725140,2
1379725260,2
1379725320,2
1379725380,2
1379725440,2
1379725560,2
1379725740,2
1379725800,2
1379725860,2
1379725920,2
1379726040,1
1379726160,1
1379726280,1
1379726340,1
1379726400,1
1379726460,1
1379726520,1
1379726580,1
1379726640,1
1379726700,1
1379726760,1
1379726880,1
1379726940,1
1379727060,1
1379727120,1
1379727240,1
1379727300,1
1379727420,1
1379727480,1
1379727540,1
1379727600,1
1379727720,1
1379727780,1
1379727840,1
1379727900,1
1379727960,1
1379728080,1
1379728140,1
1379728200,1
1379728260,1
1379728320,1
1379728380,1
1379728560,1
1379728620,1
1379728740,1
1379728800,1
1379728860,1
1379728920,1
1379729040,1
1379729100,1
1379729160,1
1379729220,1
1379729400,1
1379729460,1
1379729520,1
1379729640,1
1379729760,1
1379729820,1
1379729880,1
1379729940,1
1379730060,1
1379730120,1
1379730240,1
1379730300,1
1379730360,1
1379730480,1
1379730540,1
1379730600,1
1379730660,1
1379730780,1
1379730840,1
1379730900,1
1379730960,1
1379731020,1
1379731080,1
1379731140,1
1379731200,1
1379731260,1
1379731440,1
1379731500,1
1379731560,1
1379731680,1
1379731740,1
1379731860,1
1379731920,1
1379731980,1
1379732040,1
1379732100,1
1379732160,1
1379732220,1
1379732280,1
1379732340,1
1379732400,1
1379732460,1
1379732640,1
1379732700,1
1379732760,2
1379732820,2
1379732880,2
1379733000,2
1379733060,2
1379733120,2
1379733180,2
1379733240,2
1379733300,2
1379733360,2
1379733480,2
1379733540,2
1379733600,2
1379733660,2
1379733720,2
1379733780,2
1379733840,2
1379733960,2
1379734020,2
1379734080,2
1379734140,2
1379734260,2
1379734320,2
1379734440,2
1379734560,2
1379734620,2
1379734740,2
1379734860,2
1379734920,2
1379735040,2
1379735100,2
1379735220,2
1379735280,2
1379735340,2
1379735400,2
1379735520,2
1379735580,2
1379735640,2
1379735700,2
1379735760,2
1379735880,2
1379736000,2
1379736060,2
1379736180,2
1379736300,2
1379736420,2
1379736480,2
1379736600,2
1379736720,2
1379736780,2
1379736900,2
1379736960,2
1379737020,2
1379737080,2
1379737140,2
1379737260,2
1379737320,2
1379737440,2
1379737560,2
1379737620,2
1379737680,2
1379737740,2
1379737860,2
1379737920,2
1379738040,2
1379738100,2
1379738160,2
1379738220,2
1379738280,2
1379738340,2
1379738400,2
1379738460,2
1379738580,2
1379738700,2
1379738760,2
1379738820,2
1379738880,2
1379738940,2
1379739000,2
1379739120,2
1379739240,2
1379739300,2
1379739360,2
1379739480,2
1379739600,2
1379739660,2
1379739780,2
1379739840,2
1379739900,2
1379740020,2
1379740080,2
1379740140,2
1379740200,2
1379740260,2
1379740380,2
1379740440,2
1379740500,2
1379740620,2
1379740680,2
1379740740,2
1379740860,2
1379740920,2
1379740980,2
1379741100,2
1379741160,2
1379741280,2
1379741400,2
1379741460,2
1379741580,2
1379741640,2
1379741760,1
1379741880,1
1379742060,1
1379742120,1
1379742180,1
1379742300,1
1379742360,1
1379742420,1
1379742540,1
1379742600,1
1379742660,1
1379742720,1
1379742780,1
1379742900,1
1379743020,1
1379743080,0
1379743200,0
1379743260,0
1379743320,0
1379743380,0
1379743440,0
1379743560,0
1379743620,0
1379743740,0
1379743800,0
1379743860,0
1379743980,0
1379744040,0
1379744160,0
1379744280,0
1379744340,0
1379744400,0
1379744520,0
1379744580,0
1379744640,0
1379744760,0
1379744820,0
1379744880,0
1379744940,0
1379745120,0
1379745180,0
1379745240,0
1379745360,0
1379745420,0
1379745540,0
1379745660,0
1379745720,0
1379745780,0
1379745900,0
1379745960,0
1379746080,0
1379746140,0
1379746200,0
1379746380,0
1379746440,0
1379746500,0
1379746620,0
1379746680,0
1379746860,0
1379746920,0
1379747040,0
1379747100,0
1379747160,0
1379747220,0
1379747280,0
1379747340,0
1379747400,0
1379747460,0
1379747520,0
1379747580,0
1379747640,0
1379747700,0
1379747760,0
1379747820,0
1379747940,0
1379748000,0
1379748060,0
1379748120,0
1379748240,0
1379748300,0
1379748360,0
1379748420,0
1379748480,0
1379748540,0
1379748600,0
1379748780,0
1379748840,0
1379748900,0
1379748960,0
1379749020,0
1379749080,0
1379749140,0
1379749200,0
1379749260,0
1379749380,0
1379749440,0
1379749500,0
1379749680,0
1379749740,0
1379749800,0
1379749860,0
1379749980,0
1379750040,0
1379750100,0
1379750220,0
1379750280,0
1379750340,0
1379750460,0
1379750520,0
1379750580,0
1379750700,0
1379750760,0
1379750880,0
1379750940,0
1379751120,0
1379751180,0
1379751240,0
1379751360,0
1379751420,0
1379751480,0
1379751600,0
1379751660,0
1379751780,0
1379751840,0
1379751900,0
1379752020,0
1379752080,0
1379752140,0
1379752200,0
1379752320,0
1379752440,0
1379752500,0
1379752560,0
1379752680,0
1379752740,0
1379752800,0
1379752920,0
1379752980,0
1379753100,0
1379753220,0
1379753340,0
1379753460,0
1379753520,0
1379753580,0
1379753700,0
1379753820,0
1379753880,0
1379754060,0
1379754120,0
1379754180,0
1379754240,0
1379754420,0
1379754480,0
1379754540,0
1379754600,0
1379754660,0
1379754780,0
1379754840,0
1379754900,0
1379754960,0
1379755080,0
1379755200,0
1379755260,0
1379755620,0
1379755680,0
1379755740,0
1379755800,0
1379755860,0
1379755920,0
1379755980,0
1379756100,0
1379756220,0
1379756280,0
1379756400,0
1379756520,0
1379756640,0
1379756700,0
1379756820,0
1379756880,0
1379757000,0
1379757060,0
1379757120,0
1379757240,0
1379757300,0
1379757360,0
1379757480,0
1379757540,0
1379757660,0
1379757720,0
1379757780,0
1379757900,0
1379758020,0
1379758080,0
1379758140,0
1379758260,0
1379758380,0
1379758500,0
1379758560,0
1379758620,0
1379758740,0
1379758800,0
1379758920,0
1379758980,0
1379759100,0
1379759160,0
1379759220,0
1379759400,0
1379759460,0
1379759520,0
1379759580,0
1379759640,0
1379759700,0
1379759820,0
1379759880,0
1379759940,0
1379760060,0
1379760180,0
1379760360,0
1379760420,0
1379760480,0
1379760600,0
1379760660,0
1379760720,0
1379760780,0
1379760960,0
1379761080,0
1379761140,0
1379761260,0
1379761440,0
1379761500,0
1379761560,0
1379761680,0
1379761740,0
1379761800,0
1379761860,0
1379761980,0
1379762100,0
1379762160,0
1379762340,0
1379762400,0
1379762520,0
1379762580,0
1379762640,0
1379762700,0
1379762760,0
1379762880,0
1379762940,0
1379763000,0
1379763120,0
1379763180,0
1379763300,0
1379763420,0
1379763480,0
1379763540,0
1379763600,0
1379763660,0
1379763780,0
1379763840,0
1379763960,0
1379764080,0
1379764140,0
1379764200,0
1379764260,0
1379764380,0
1379764440,0
1379764560,0
1379764620,0
1379764680,0
1379764740,0
1379764800,0
1379764860,0
1379765040,0
1379765100,0
1379765160,0
1379765220,0
1379765340,0
1379765400,0
1379765520,0
1379765580,0
1379765640,0
1379765760,0
1379765820,0
1379765880,0
1379765940,0
1379766000,0
1379766180,0
1379766300,0
1379766360,0
1379766420,0
1379766480,0
1379766600,0
1379766660,0
1379766720,0
1379766840,0
1379766960,0
1379767080,0
1379767140,0
1379767200,0
1379767260,0
1379767380,0
1379767440,0
1379767560,0
1379767620,0
1379767740,0
1379767800,0
1379767860,0
1379767920,0
1379768040,0
1379768100,0
1379768220,0
1379768340,0
1379768400,0
1379768460,0
1379768520,0
1379768700,0
1379768820,0
1379768880,0
1379768940,0
1379769000,0
1379769120,0
1379769180,1
1379769240,1
1379769360,1
1379769480,1
1379769540,1
1379769600,1
1379769780,3
1379769900,3
1379770020,3
1379770080,3
1379770140,2
1379770200,2
1379770260,2
1379770320,2
1379770440,2
1379770500,2
1379770680,2
1379770740,3
1379770800,3
1379770860,3
1379770920,3
1379770980,3
1379771100,3
1379771220,3
1379771280,3
1379771340,3
1379771400,3
1379771460,3
1379771580,3
1379771640,3
1379771820,3
1379771940,3
1379772120,3
1379772180,3
1379772240,3
1379772360,3
1379772420,3
1379772480,3
1379772540,3
1379772600,3
1379772660,3
1379772720,3
1379772780,4
1379772900,4
1379772960,4
1379773020,4
1379773080,4
1379773140,4
1379773200,4
1379773260,4
1379773380,4
1379773440,4
1379773500,4
1379773560,4
1379773620,3
1379773740,3
1379773800,3
1379773860,3
1379773920,4
1379773980,4
1379774040,4
1379774100,4
1379774160,4
1379774220,5
1379774280,5
1379774340,5
1379774460,5
1379774520,6
1379774580,6
1379774640,6
1379774700,6
1379774820,6
1379774880,4
1379774940,4
1379775060,5
1379775120,4
1379775180,5
1379775300,5
1379775360,5
1379775420,5
1379775540,5
1379775600,5
1379775660,5
1379775720,5
1379775780,5
1379775840,5
1379775960,5
1379776080,4
1379776140,4
1379776200,4
1379776320,4
1379776380,4
1379776500,4
1379776560,4
1379776620,4
1379776680,5
1379776740,6
1379776800,5
1379776860,3
1379776920,3
1379776980,3
1379777100,3
1379777160,3
1379777220,3
1379777280,3
1379777340,3
1379777400,3
1379777460,3
1379777520,3
1379777640,3
1379777700,3
1379777760,3
1379777820,3
1379777940,4
1379778000,5
1379778180,6
1379778240,6
1379778360,6
1379778480,6
1379778540,6
1379778600,6
1379778720,6
1379778840,6
1379778900,8
1379779020,8
1379779080,8
1379779140,8
1379779260,8
1379779320,8
1379779380,8
1379779440,8
1379779500,8
1379779620,7
1379779680,7
1379779800,7
1379779860,7
1379779980,7
1379780040,7
1379780100,7
1379780160,7
1379780220,8
1379780340,8
1379780460,8
1379780520,8
1379780640,8
1379780700,8
1379780760,8
1379780820,8
1379780880,8
1379780940,8
1379781060,8
1379781120,8
1379781180,8
1379781300,8
1379781420,8
1379781480,8
1379781600,8
1379781660,8
1379781720,8
1379781780,8
1379781840,8
1379781960,8
1379782020,8
1379782080,8
1379782140,8
1379782200,8
1379782260,8
1379782380,8
1379782500,9
1379782560,9
1379782620,10
1379782680,11
1379782800,9
1379782860,9
1379782920,9
1379783040,9
1379783160,9
1379783220,9
1379783280,9
1379783340,8
1379783400,8
1379783520,8
1379783580,8
1379783700,8
1379783760,8
1379783820,8
1379783880,8
1379783940,8
1379784000,8
1379784120,8
1379784180,8
1379784240,8
1379784300,8
1379784420,8
1379784600,8
1379784660,8
1379784720,8
1379784840,8
1379784900,7
1379784960,8
1379785020,8
1379785080,8
1379785140,8
1379785200,8
1379785260,8
1379785380,8
1379785440,8
1379785500,8
1379785560,8
1379785680,9
1379785800,9
1379785860,9
1379785920,10
1379786040,10
1379786100,10
1379786220,10
1379786280,10
1379786340,10
1379786400,10
1379786460,10
1379786520,10
1379786580,10
1379786640,11
1379786700,11
1379786760,11
1379786820,11
1379786940,11
1379787000,11
1379787060,11
1379787180,11
1379787240,10
1379787300,10
1379787360,10
1379787420,10
1379787480,9
1379787540,9
1379787660,9
1379787840,10
1379787900,10
1379787960,10
1379788080,10
1379788140,10
1379788200,13
1379788260,12
1379788380,10
1379788440,11
1379788560,12
1379788620,12
1379788800,12
1379788860,14
1379788920,14
1379789100,15
1379789160,14
1379789220,13
1379789400,13
1379789460,14
1379789520,13
1379789640,14
1379789700,14
1379789760,14
1379789820,15
1379789880,15
1379790000,17
1379790120,17
1379790180,15
1379790240,15
1379790300,15
1379790360,15
1379790480,15
1379790540,14
1379790600,16
1379790660,12
1379790720,14
1379790840,12
1379790900,11
1379791020,11
1379791080,12
1379791200,12
1379791260,11
1379791380,11
1379791440,11
1379791560,11
1379791620,11
1379791740,11
1379791800,11
1379791860,11
1379791920,11
1379792040,10
1379792100,10
1379792160,10
1379792220,9
1379792340,9
1379792460,10
1379792520,10
1379792580,10
1379792640,10
1379792700,10
1379792760,10
1379792820,10
1379792880,10
1379792940,10
1379793000,10
1379793120,8
1379793240,8
1379793300,11
1379793420,11
1379793480,13
1379793540,13
1379793600,12
1379793660,11
1379793720,10
1379793780,9
1379793900,12
1379793960,9
1379794020,7
1379794080,7
1379794140,7
1379794200,7
1379794320,7
1379794380,7
1379794440,8
1379794500,8
1379794620,8
1379794680,8
1379794740,8
1379794800,8
1379794860,8
1379794920,7
1379794980,6
1379795160,6
1379795220,6
1379795340,6
1379795400,6
1379795520,6
1379795580,6
1379795640,6
1379795700,6
1379795760,6
1379795820,6
1379795940,6
1379796060,6
1379796120,6
1379796240,6
1379796300,5
1379796360,4
1379796480,4
1379796540,4
1379796660,10
1379796720,7
1379796780,10
1379796900,10
1379796960,10
1379797080,10
1379797140,10
1379797200,10
1379797260,10
1379797320,10
1379797380,10
1379797560,10
1379797680,10
1379797800,10
1379797980,9
1379798040,11
1379798100,7
1379798160,7
1379798280,7
1379798340,7
1379798400,7
1379798520,6
1379798640,6
1379798700,6
1379798820,6
1379798880,7
1379798940,7
1379799000,7
1379799060,7
1379799180,8
1379799240,8
1379799300,8
1379799360,8
1379799420,8
1379799540,9
1379799600,9
1379799660,8
1379799720,8
1379799900,7
1379799960,7
1379800080,7
1379800140,7
1379800200,7
1379800260,8
1379800320,8
1379800440,8
1379800500,8
1379800680,8
1379800740,8
1379800920,10
1379801040,10
1379801100,10
1379801160,10
1379801220,10
1379801280,10
1379801400,10
1379801580,11
1379801640,11
1379801760,11
1379801820,11
1379801880,11
1379801940,11
1379802000,11
1379802060,11
1379802120,11
1379802180,12
1379802300,12
1379802360,11
1379802420,11
1379802540,11
1379802600,11
1379802780,11
1379802840,11
1379802900,11
1379803020,11
1379803080,11
1379803140,11
1379803260,12
1379803380,14
1379803500,13
1379803560,13
1379803620,13
1379803680,12
1379803800,12
1379803860,14
1379803920,12
1379803980,11
1379804100,11
1379804160,11
1379804220,11
1379804340,11
1379804460,11
1379804520,11
1379804640,8
1379804700,7
1379804820,7
1379804940,8
1379805000,8
1379805060,8
1379805180,8
1379805240,5
1379805300,2
1379805420,1
1379805480,1
1379805540,1
1379805600,1
1379805660,1
1379805720,1
1379805780,1
1379805840,1
1379805900,1
1379806020,2
1379806140,2
1379806200,2
1379806320,1
1379806380,1
1379806500,0
1379806620,0
1379806680,0
1379806800,0
1379806920,0
1379806980,0
1379807040,0
1379807100,0
1379807220,1
1379807280,0
1379807340,1
1379807460,2
1379807580,3
1379807640,3
1379807700,4
1379807820,4
1379807880,4
1379808000,4
1379808060,4
1379808120,4
1379808180,4
1379808300,4
1379808360,4
1379808480,4
1379808540,3
1379808660,3
1379808780,3
1379808900,3
1379808960,3
1379809080,3
1379809200,3
1379809260,3
1379809320,3
1379809380,3
1379809440,3
1379809560,3
1379809620,3
1379809680,3
1379809740,3
1379809860,4
1379809980,4
1379810040,4
