datetime,available_bikes
1371317700,0
1371317820,0
1371317880,0
1371318000,0
1371318060,0
1371318120,0
1371318180,0
1371318240,0
1371318300,0
1371318360,0
1371318480,0
1371318540,0
1371318600,0
1371318660,0
1371318720,0
1371318840,2
1371318960,2
1371319020,1
1371319140,0
1371319260,0
1371319320,0
1371319380,0
1371319440,0
1371319500,0
1371319620,0
1371319680,0
1371319740,0
1371319800,0
1371319860,0
1371319920,0
1371319980,0
1371320040,0
1371320100,0
1371320220,1
1371320280,1
1371320340,1
1371320460,1
1371320580,1
1371320700,1
1371320760,1
1371320820,1
1371320940,1
1371321000,2
1371321120,4
1371321180,4
1371321240,2
1371321300,2
1371321420,2
1371321480,2
1371321540,2
1371321600,2
1371321720,2
1371321840,2
1371321900,2
1371321960,3
1371322080,3
1371322140,3
1371322200,4
1371322260,1
1371322380,1
1371322440,1
1371322500,0
1371322620,0
1371322680,0
1371322740,0
1371322800,0
1371322860,0
1371322980,0
1371323040,0
1371323100,0
1371323220,0
1371323280,0
1371323340,0
1371323400,0
1371323460,0
1371323580,0
1371323640,0
1371323700,0
1371323760,0
1371323820,0
1371323940,0
1371324000,1
1371324060,2
1371324180,2
1371324240,1
1371324300,1
1371324420,1
1371324480,1
1371324540,1
1371324660,1
1371324720,1
1371324780,1
1371324900,1
1371325020,1
1371325080,2
1371325140,0
1371325260,0
1371325320,0
1371325380,0
1371325440,2
1371325500,1
1371325620,0
1371325680,0
1371325740,0
1371325800,0
1371325860,0
1371325920,0
1371325980,0
1371326100,0
1371326160,0
1371326220,0
1371326280,0
1371326340,0
1371326460,0
1371326520,0
1371326580,0
1371326640,0
1371326700,0
1371326760,1
1371326880,1
1371327000,1
1371327060,1
1371327120,1
1371327180,1
1371327300,1
1371327360,1
1371327420,1
1371327480,1
1371327600,1
1371327720,0
1371327840,0
1371327900,0
1371328020,2
1371328080,2
1371328200,2
1371328260,2
1371328320,2
1371328440,2
1371328500,2
1371328560,2
1371328620,2
1371328680,2
1371328740,2
1371328800,2
1371328920,2
1371328980,2
1371329040,2
1371329100,2
1371329160,2
1371329220,2
1371329340,2
1371329400,2
1371329520,2
1371329640,2
1371329700,2
1371329820,2
1371329880,2
1371329940,2
1371330000,3
1371330060,3
1371330120,3
1371330180,3
1371330300,3
1371330360,3
1371330480,3
1371330600,3
1371330660,4
1371330720,4
1371330840,5
1371330900,5
1371330960,5
1371331080,4
1371331140,6
1371331200,7
1371331320,7
1371331380,8
1371331440,8
1371331500,8
1371331620,11
1371331680,12
1371331740,12
1371331860,13
1371331920,13
1371332040,13
1371332100,13
1371332160,13
1371332220,13
1371332280,13
1371332340,13
1371332460,13
1371332520,13
1371332580,13
1371332640,13
1371332700,13
1371332760,13
1371332820,13
1371332880,13
1371333000,13
1371333060,13
1371333120,13
1371333180,13
1371333240,13
1371333300,13
1371333360,13
1371333420,13
1371333540,13
1371333600,13
1371333720,14
1371333780,14
1371333840,14
1371333900,14
1371333960,14
1371334080,14
1371334140,14
1371334200,14
1371334260,14
1371334380,14
1371334440,14
1371334500,14
1371334620,14
1371334680,14
1371334800,16
1371334860,16
1371334920,16
1371334980,16
1371335040,17
1371335160,19
1371335280,19
1371335340,19
1371335400,19
1371335460,19
1371335520,19
1371335640,20
1371335760,20
1371335880,19
1371335940,19
1371336000,19
1371336060,19
1371336120,19
1371336240,19
1371336360,19
1371336480,19
1371336540,19
1371336600,20
1371336720,20
1371336780,20
1371336900,20
1371336960,20
1371337020,20
1371337080,20
1371337140,20
1371337260,20
1371337380,20
1371337440,20
1371337500,20
1371337620,20
1371337680,20
1371337740,20
1371337800,20
1371337860,20
1371337920,19
1371337980,19
1371338100,20
1371338220,19
1371338280,17
1371338400,17
1371338520,17
1371338580,17
1371338700,17
1371338760,19
1371338880,19
1371338940,19
1371339060,19
1371339120,19
1371339180,19
1371339240,19
1371339300,19
1371339360,19
1371339420,19
1371339540,19
1371339600,19
1371339660,19
1371339720,19
1371339840,19
1371339900,18
1371340020,18
1371340080,18
1371340140,19
1371340200,19
1371340260,19
1371340320,21
1371340440,21
1371340500,21
1371340620,21
1371340680,21
1371340800,21
1371340860,22
1371340980,21
1371341040,21
1371341160,21
1371341220,21
1371341340,21
1371341400,21
1371341520,21
1371341580,21
1371341640,21
1371341700,21
1371341820,22
1371341880,22
1371341940,22
1371342000,23
1371342060,23
1371342120,23
1371342240,23
1371342360,23
1371342420,23
1371342540,25
1371342600,23
1371342720,23
1371342780,23
1371342840,23
1371342900,23
1371342960,23
1371343020,23
1371343080,23
1371343140,23
1371343200,23
1371343260,23
1371343320,23
1371343380,23
1371343440,23
1371343500,23
1371343560,24
1371343680,24
1371343740,24
1371343800,24
1371343920,24
1371343980,24
1371344040,26
1371344160,26
1371344280,23
1371344340,20
1371344400,17
1371344520,15
1371344580,14
1371344640,14
1371344760,14
1371344820,14
1371344880,14
1371344940,14
1371345000,14
1371345060,14
1371345120,14
1371345180,14
1371345240,15
1371345300,15
1371345360,15
1371345420,15
1371345540,15
1371345600,15
1371345720,15
1371345780,15
1371345840,15
1371345900,15
1371345960,15
1371346080,15
1371346200,14
1371346320,17
1371346380,15
1371346440,15
1371346560,15
1371346620,16
1371346680,17
1371346800,16
1371346860,16
1371346920,16
1371346980,17
1371347040,19
1371347100,20
1371347220,20
1371347340,19
1371347400,19
1371347460,19
1371347520,19
1371347580,19
1371347640,19
1371347700,19
1371347760,19
1371347880,19
1371347940,19
1371348000,19
1371348120,19
1371348180,19
1371348240,19
1371348300,19
1371348360,19
1371348420,19
1371348480,19
1371348600,19
1371348660,19
1371348720,19
1371348780,19
1371348840,19
1371348900,21
1371348960,22
1371349080,23
1371349140,23
1371349200,23
1371349320,23
1371349440,23
1371349560,24
1371349620,24
1371349680,23
1371349740,24
1371349800,24
1371349860,24
1371349980,23
1371350100,22
1371350160,22
1371350280,22
1371350340,22
1371350400,22
1371350520,23
1371350580,23
1371350640,23
1371350700,23
1371350760,22
1371350820,24
1371350880,24
1371350940,24
1371351000,24
1371351060,24
1371351120,24
1371351180,24
1371351240,24
1371351300,24
1371351360,24
1371351420,24
1371351480,24
1371351540,24
1371351660,25
1371351720,26
1371351780,26
1371351840,26
1371351900,26
1371351960,26
1371352080,26
1371352140,26
1371352200,26
1371352320,26
1371352440,26
1371352560,26
1371352620,26
1371352680,26
1371352740,26
1371352800,26
1371352860,26
1371352920,26
1371353040,26
1371353100,26
1371353160,26
1371353280,26
1371353340,26
1371353400,26
1371353520,26
1371353580,26
1371353640,26
1371353700,26
1371353760,26
1371353820,26
1371353880,26
1371353940,26
1371354060,26
1371354180,26
1371354240,26
1371354360,26
1371354420,26
1371354480,26
1371354600,26
1371354660,26
1371354720,26
1371354780,26
1371354840,26
1371354900,26
1371354960,26
1371355020,26
1371355080,26
1371355200,26
1371355260,26
1371355320,26
1371355440,26
1371355500,26
1371355620,26
1371355740,26
1371355800,26
1371355920,26
1371356040,26
1371356100,26
1371356160,26
1371356280,26
1371356340,26
1371356400,26
1371356520,26
1371356640,26
1371356700,26
1371356760,26
1371356820,26
1371356940,26
1371357000,26
1371357120,26
1371357180,26
1371357300,26
1371357360,26
1371357480,26
1371357540,26
1371357600,26
1371357660,26
1371357780,26
1371357840,26
1371357900,26
1371357960,26
1371358080,25
1371358140,25
1371358200,25
1371358260,25
1371358380,25
1371358500,25
1371358560,25
1371358680,25
1371358740,25
1371358800,25
1371358860,25
1371358920,25
1371358980,25
1371359040,25
1371359160,25
1371359220,25
1371359280,25
1371359340,25
1371359460,25
1371359520,25
1371359580,25
1371359640,25
1371359700,25
1371359760,25
1371359880,25
1371359940,25
1371360000,25
1371360060,25
1371360120,25
1371360180,25
1371360240,25
1371360360,25
1371360420,25
1371360480,25
1371360600,25
1371360660,25
1371360780,25
1371360840,25
1371360900,25
1371361020,25
1371361140,25
1371361200,25
1371361260,25
1371361320,25
1371361380,25
1371361500,25
1371361620,25
1371361680,25
1371361740,25
1371361800,25
1371361860,25
1371361920,25
1371362040,25
1371362100,25
1371362160,25
1371362220,25
1371362280,25
1371362340,25
1371362400,25
1371362520,25
1371362580,25
1371362640,25
1371362700,25
1371362760,25
1371362820,25
1371362880,25
1371362940,25
1371363000,25
1371363120,25
1371363180,25
1371363240,25
1371363300,25
1371363420,25
1371363480,25
1371363540,25
1371363600,25
