datetime,available_bikes
1372035180,3
1372035300,3
1372035420,3
1372035480,3
1372035600,3
1372035660,3
1372035720,3
1372035780,3
1372035840,3
1372035960,3
1372036020,3
1372036080,3
1372036200,3
1372036260,3
1372036320,3
1372036380,3
1372036500,3
1372036560,3
1372036620,3
1372036680,3
1372036800,3
1372036860,3
1372036920,3
1372036980,3
1372037040,3
1372037100,3
1372037160,3
1372037220,3
1372037280,3
1372037340,3
1372037400,3
1372037520,3
1372037580,3
1372037640,3
1372037700,4
1372037760,4
1372037820,4
1372037880,4
1372037940,4
1372038000,4
1372038060,4
1372038120,4
1372038180,4
1372038240,4
1372038360,4
1372038420,4
1372038480,4
1372038540,4
1372038660,4
1372038720,4
1372038780,4
1372038840,4
1372038900,4
1372038960,4
1372039020,4
1372039080,4
1372039200,4
1372039260,4
1372039320,4
1372039380,4
1372039440,4
1372039500,4
1372039560,4
1372039620,4
1372039680,4
1372039800,4
1372039860,4
1372039920,4
1372040220,4
1372040280,4
1372040340,4
1372040400,4
1372040460,4
1372040520,4
1372040580,4
1372040640,4
1372040700,4
1372040760,4
1372040820,4
1372040880,4
1372040940,4
1372041060,4
1372041120,4
1372041180,4
1372041240,4
1372041300,4
1372041420,4
1372041480,4
1372041600,4
1372041660,4
1372041720,4
1372041780,4
1372041840,4
1372041900,4
1372041960,4
1372042020,4
1372042080,4
1372042140,4
1372042260,4
1372042320,4
1372042380,4
1372042440,4
1372042500,4
1372042560,4
1372042620,4
1372042680,4
1372042740,4
1372042800,4
1372042860,4
1372042920,4
1372042980,4
1372043040,4
1372043100,4
1372043220,4
1372043280,4
1372043400,4
1372043460,4
1372043520,4
1372043580,4
1372043700,4
1372043760,4
1372043820,4
1372043880,4
1372043940,4
1372044000,4
1372044120,4
1372044180,4
1372044240,4
1372044360,4
1372044420,4
1372044480,4
1372044540,4
1372044600,4
1372044660,4
1372044720,4
1372044780,4
1372044840,4
1372044960,4
1372045020,4
1372045080,4
1372045200,4
1372045260,4
1372045320,4
1372045380,4
1372045440,4
1372045500,4
1372045560,4
1372045680,4
1372045740,4
1372045800,4
1372045920,4
1372045980,4
1372046040,4
1372046100,4
1372046160,4
1372046220,4
1372046280,4
1372046340,4
1372046460,4
1372046520,4
1372046580,4
1372046640,4
1372046760,4
1372046880,4
1372046940,4
1372047000,4
1372047060,4
1372047120,4
1372047180,4
1372047240,4
1372047300,4
1372047360,4
1372047420,4
1372047480,4
1372047540,4
1372047600,4
1372047660,4
1372047720,4
1372047780,4
1372047840,4
1372047900,4
1372047960,4
1372048020,4
1372048080,4
1372048140,4
1372048200,4
1372048260,4
1372048320,4
1372048380,4
1372048440,4
1372048500,4
1372048560,4
1372048620,4
1372048680,4
1372048740,4
1372048800,4
1372048860,4
1372048920,4
1372048980,4
1372049040,4
1372049100,4
1372049160,4
1372049220,4
1372049280,4
1372049400,4
1372049460,4
1372049520,4
1372049580,4
1372049700,4
1372049760,4
1372049820,4
1372049880,4
1372049940,4
1372050000,4
1372050120,4
1372050180,4
1372050300,4
1372050360,4
1372050480,4
1372050540,4
1372050600,4
1372050660,4
1372050720,4
1372050840,4
1372050900,4
1372050960,4
1372051020,4
1372051140,4
1372051200,4
1372051320,4
1372051380,4
1372051440,4
1372051560,4
1372051620,4
1372051680,4
1372051740,4
1372051800,4
1372051860,4
1372051980,4
1372052040,4
1372052100,4
1372052220,4
1372052280,4
1372052340,4
1372052400,4
1372052460,4
1372052520,4
1372052580,4
1372052640,4
1372052700,4
1372052760,4
1372052820,4
1372052880,4
1372053000,4
1372053060,4
1372053120,4
1372053180,4
1372053240,4
1372053300,4
1372053420,4
1372053480,4
1372053600,4
1372053660,4
1372053720,4
1372053780,4
1372053900,4
1372053960,4
1372054020,4
1372054140,4
1372054200,4
1372054320,4
1372054380,4
1372054500,4
1372054620,4
1372054740,4
1372054800,4
1372054860,4
1372054920,4
1372054980,4
1372055040,4
1372055160,4
1372055220,4
1372055280,4
1372055340,4
1372055400,4
1372055520,4
1372055580,4
1372055700,4
1372055880,4
1372055940,4
1372056060,4
1372056120,4
1372056180,4
1372056240,4
1372056360,4
1372056420,4
1372056480,4
1372056540,4
1372056660,4
1372056720,4
