datetime,available_bikes
1375312800,0
1375312860,0
1375312920,0
1375312980,0
1375313100,0
1375313160,0
1375313220,0
1375313340,0
1375313400,0
1375313460,0
1375313580,0
1375313640,0
1375313700,0
1375313760,0
1375313820,0
1375313940,0
1375314000,0
1375314060,0
1375314180,0
1375314240,0
1375314300,0
1375314420,0
1375314540,0
1375314600,0
1375314660,0
1375314720,1
1375314900,1
1375314960,1
1375315080,1
1375315140,2
1375315260,2
1375315380,2
1375315440,2
1375315500,2
1375315620,2
1375315680,2
1375315740,2
1375315860,2
1375315920,2
1375315980,2
1375316040,2
1375316100,2
1375316220,2
1375316280,2
1375316400,2
1375316460,2
1375316580,2
1375316640,2
1375316700,2
1375316760,2
1375316820,2
1375316880,2
1375316940,2
1375317000,2
1375317060,3
1375317120,3
1375317180,3
1375317240,3
1375317300,3
1375317360,3
1375317480,3
1375317540,4
1375317660,3
1375317720,4
1375317780,2
1375317840,2
1375317900,2
1375317960,2
1375318020,2
1375318140,2
1375318200,2
1375318260,2
1375318320,2
1375318380,3
1375318440,3
1375318500,3
1375318620,3
1375318800,3
1375318920,2
1375318980,2
1375319040,4
1375319100,4
1375319160,4
1375319220,4
1375319280,4
1375319340,4
1375319400,4
1375319460,4
1375319580,4
1375319640,4
1375319820,4
1375319940,4
1375320000,3
1375320060,4
1375320120,4
1375320180,5
1375320240,5
1375320300,5
1375320360,5
1375320480,5
1375320540,5
1375320600,5
1375320720,5
1375320780,5
1375320840,5
1375320960,5
1375321020,5
1375321080,5
1375321140,5
1375321260,5
1375321320,5
1375321380,5
1375321500,5
1375321560,5
1375321620,5
1375321680,5
1375321800,5
1375321860,5
1375321920,5
1375321980,5
1375322100,5
1375322160,5
1375322280,5
1375322340,5
1375322460,5
1375322520,5
1375322640,5
1375322700,5
1375322760,5
1375322820,6
1375322880,5
1375322940,5
1375323060,5
1375323180,5
1375323300,5
1375323360,5
1375323420,5
1375323480,5
1375323660,6
1375323720,6
1375323780,6
1375323840,6
1375323960,6
1375324020,6
1375324140,6
1375324200,6
1375324260,6
1375324320,6
1375324440,6
1375324500,6
1375324560,6
1375324620,6
1375324680,6
1375324740,6
1375324860,6
1375324920,6
1375325040,6
1375325100,6
1375325160,6
1375325220,6
1375325280,6
1375325340,6
1375325400,6
1375325460,6
1375325520,6
1375325700,6
1375325760,6
1375325820,6
1375325940,6
1375326060,6
1375326120,6
1375326240,6
1375326300,6
1375326420,6
1375326540,6
1375326660,6
1375326780,6
1375326840,6
1375326960,6
1375327020,6
1375327140,7
1375327260,7
1375327320,7
1375327380,7
1375327440,7
1375327500,7
1375327560,7
1375327680,7
1375327740,7
1375327800,7
1375327920,7
1375327980,7
1375328040,7
1375328100,7
1375328160,7
1375328280,7
1375328340,7
1375328400,7
1375328460,7
1375328520,7
1375328580,7
1375328640,7
1375328760,7
1375328820,7
1375328880,7
1375328940,7
1375329060,7
1375329120,7
1375329180,7
1375329240,7
1375329300,7
1375329420,7
1375329480,7
1375329540,7
1375329600,7
1375329660,7
1375329720,7
1375329780,7
1375329900,7
1375330020,7
1375330080,7
1375330200,7
1375330320,7
1375330380,7
1375330440,7
1375330500,7
1375330560,7
1375330680,7
1375330800,7
1375330860,7
1375330920,7
1375330980,7
1375331100,8
1375331220,8
1375331280,8
1375331340,8
1375331400,8
1375331520,8
1375331640,8
1375331760,8
1375331820,8
1375331880,8
1375332000,8
1375332060,8
1375332120,8
1375332180,8
1375332300,8
1375332420,8
1375332480,8
1375332540,8
1375332600,8
1375332720,8
1375332840,8
1375332900,8
1375332960,8
1375333020,8
1375333080,8
1375333140,8
1375333260,8
1375333440,8
1375333500,8
1375333560,8
1375333620,8
1375333680,8
1375333740,8
1375333800,8
1375333920,8
1375333980,8
1375334040,8
1375334100,8
1375334220,8
1375334340,8
1375334400,8
1375334460,8
1375334520,8
1375334640,8
1375334700,8
1375334760,8
1375334820,8
1375334880,8
1375334940,8
1375335000,8
1375335060,8
1375335120,8
1375335180,8
1375335240,8
1375335300,8
1375335420,8
1375335540,8
1375335600,8
1375335720,8
1375335840,8
1375335900,8
1375335960,8
1375336080,8
1375336140,8
1375336260,8
1375336380,8
1375336440,8
1375336560,8
1375336620,8
