datetime,departures
1371150660,1
1371155520,1
1371155580,2
1371157920,1
1371159540,1
1371159660,1
1371159840,1
1371160440,1
1371160980,1
1371161460,2
1371163980,1
1371164340,1
1371164580,1
1371211560,1
1371212280,2
1371215520,1
1371218700,1
1371224040,1
1371224880,1
1371227100,1
1371227640,2
1371229440,4
1371229500,2
1371229560,3
1371229620,2
1371231360,1
1371231540,2
1371235560,2
1371236940,1
1371238320,1
1371238560,1
1371239760,1
1371239880,1
1371240420,1
1371241860,1
1371242100,1
1371242340,1
1371242460,1
1371242580,1
1371242760,1
1371243720,1
1371243780,1
1371244140,1
1371244740,1
1371245160,1
1371245760,1
1371245880,1
1371246420,1
1371247020,1
1371247380,2
1371247620,1
1371247680,1
1371247800,1
1371248160,1
1371249120,1
1371250140,1
1371250800,1
1371253500,1
1371254280,1
1371254340,1
1371256680,1
1371257940,1
1371258120,1
1371258660,1
1371258720,2
1371258840,1
1371262200,1
1371263940,1
1371272580,1
1371274980,1
1371275400,1
1371276240,1
1371277500,1
1371286920,1
1371287100,1
1371299460,1
1371300840,1
1371300960,1
1371305040,1
1371305880,2
1371306960,1
1371307080,1
1371307680,1
1371310920,1
1371311040,1
1371312060,1
1371313260,2
1371313680,1
1371313800,1
1371313920,1
1371313980,1
1371314340,1
1371316020,1
1371317580,1
1371318180,1
1371318360,1
1371318480,1
1371319440,2
1371320460,1
1371320700,2
1371321000,1
1371321120,1
1371322740,1
1371322800,1
1371322980,1
1371323040,2
1371323760,2
1371324060,1
1371325440,2
1371328620,2
1371329700,1
1371330300,2
1371332880,1
1371333420,2
1371333600,1
1371333720,1
1371335400,1
1371336900,4
1371337680,1
1371338280,1
1371338520,1
1371338700,1
1371340980,1
1371342720,1
1371343800,1
1371343980,1
1371344400,1
1371345240,1
1371346200,2
1371348960,1
1371349080,1
1371351960,1
1371354660,1
1371356040,2
1371372480,1
1371372540,1
1371382740,1
1371387540,1
1371390000,1
1371392880,1
1371398880,2
1371399780,2
1371400620,2
1371401340,1
1371401460,1
1371401760,1
1371401940,1
