datetime,departures
1371150660,1
1371154980,1
1371155820,1
1371157560,1
1371157740,1
1371161580,2
1371162660,1
1371163140,2
1371164040,1
1371179880,1
1371180540,1
1371184860,1
1371204480,1
1371217440,1
1371217980,1
1371223320,2
1371224460,1
1371225480,1
1371227100,1
1371227520,1
1371229380,1
1371231840,1
1371234540,1
1371235680,1
1371236460,1
1371239640,1
1371240780,1
1371243900,1
1371244020,1
1371244620,1
1371246060,2
1371246180,2
1371246540,1
1371247320,1
1371247620,2
1371248400,1
1371249300,1
1371249960,1
1371250140,1
1371250680,2
1371251040,1
1371251700,1
1371251880,1
1371252780,1
1371252900,1
1371255000,1
1371257160,1
1371260100,1
1371263220,1
1371263580,1
1371265500,1
1371272700,1
1371283980,1
1371297420,1
1371298080,1
1371298860,2
1371304980,2
1371305700,1
1371309240,1
1371309840,1
1371310320,2
1371312060,1
1371312240,1
1371312360,1
1371312600,1
1371313560,1
1371316380,1
1371316440,1
1371318360,1
1371319320,1
1371319500,1
1371319860,1
1371320280,1
1371320340,1
1371320460,1
1371321420,1
1371323580,1
1371324060,1
1371324480,1
1371324540,1
1371324720,3
1371324780,1
1371325320,1
1371326760,1
1371327360,2
1371327420,2
1371328440,1
1371329940,2
1371330000,1
1371330120,2
1371330840,2
1371331080,2
1371331380,2
1371331440,2
1371331620,3
1371331680,1
1371331860,1
1371332460,1
1371332580,1
1371332820,1
1371333060,1
1371336060,1
1371336780,1
1371336900,1
1371337920,1
1371338100,1
1371338520,1
1371338760,2
1371339300,3
1371340080,1
1371340200,1
1371341220,2
1371343260,2
1371343980,1
1371346380,1
1371346860,2
1371346980,1
1371347580,1
1371351780,1
1371352560,1
1371355020,1
1371355440,2
1371356100,2
1371356520,1
1371359580,2
1371360180,1
1371360780,3
1371368220,1
1371390780,1
1371390960,1
1371393780,1
1371393840,1
1371394560,1
1371396000,1
1371396180,1
1371396420,1
1371397860,1
1371398880,2
1371399540,1
1371400140,3
1371402000,1
1371402720,1
1371404340,1
1371404820,3
1371405600,1
1371405720,1
1371407220,1
1371409260,1
1371409620,1
1371409680,1
1371410220,1
1371410580,1
1371411000,1
1371411240,1
1371412380,1
1371415980,1
1371416040,1
1371417060,1
1371418020,2
1371419040,1
1371421620,1
1371422820,1
1371422940,1
1371424320,1
1371426060,1
1371429540,1
1371429840,2
1371429960,1
1371431520,1
1371432300,1
1371432780,1
1371447000,1
1371457920,1
1371470520,1
1371471720,1
1371475380,1
1371478920,1
1371479880,1
1371480720,1
1371481320,2
1371485400,1
1371490080,1
1371498780,1
1371499980,1
1371500160,1
1371500400,1
1371500580,1
1371500940,1
1371502140,1
1371503280,2
1371504600,2
1371504720,2
1371504780,2
1371504900,1
1371505020,2
1371506160,1
1371506820,1
1371506940,1
1371507120,2
1371507540,1
1371507660,1
1371508620,1
1371508920,1
1371509880,1
1371510540,1
1371510660,1
1371511500,2
1371512040,3
1371512100,1
1371512460,1
1371512640,1
1371512940,1
1371513060,1
1371513540,2
1371514020,2
1371514440,1
1371517320,1
1371518460,2
1371518760,1
1371520800,1
1371520920,1
1371522000,1
1371522360,1
1371522840,1
1371523560,1
1371523800,1
1371524580,1
1371546840,2
1371553260,1
1371554700,1
1371559980,1
1371560760,1
1371562740,1
1371563220,1
1371563580,1
1371565320,1
1371566520,1
1371568200,1
1371569220,1
1371570600,1
1371571560,1
1371571800,1
1371572520,1
1371574560,1
1371574680,1
1371575280,1
1371575400,1
1371578640,1
1371579180,1
1371579780,1
1371580260,1
1371580560,1
1371584760,1
1371596820,1
1371597720,1
1371600540,1
1371601380,1
1371603180,1
1371604800,1
1371607380,1
1371612240,1
1371613680,1
1371614940,1
1371618780,4
1371618840,2
1371618900,2
1371618960,1
1371619020,2
1371619080,2
1371619140,2
1371625260,1
1371635520,1
1371640020,1
1371643440,1
1371644940,1
1371646080,1
1371647040,1
1371647400,1
1371649620,1
1371654180,1
1371655920,1
1371656340,1
1371657000,1
1371657720,1
1371657960,1
1371660540,1
1371660660,1
1371660720,1
1371660840,1
1371661080,1
1371661980,1
1371662340,1
1371663900,1
1371664620,1
1371665280,1
1371667500,1
1371668820,1
1371668880,1
1371671940,2
1371672660,1
