datetime,departures
1371152820,1
1371154020,1
1371157680,1
1371158220,2
1371160560,1
1371161160,1
1371162360,1
1371163020,1
1371163680,1
1371163800,1
1371165060,1
1371165660,1
1371174000,1
1371203340,1
1371207060,1
1371209580,1
1371209700,1
1371209760,1
1371210540,1
1371212400,2
1371213360,1
1371213900,1
1371214980,1
1371215400,1
1371215580,1
1371216300,1
1371216480,1
1371216660,1
1371218460,1
1371219300,2
1371220200,1
1371222060,1
1371223500,1
1371223800,1
1371225720,1
1371227280,1
1371228420,1
1371232740,1
1371236520,1
1371237840,2
1371239280,2
1371240240,1
1371240480,1
1371242220,2
1371243240,1
1371243480,1
1371244740,1
1371245040,1
1371246600,1
1371247320,1
1371248520,1
1371248700,1
1371249420,1
1371249960,1
1371250080,1
1371250980,1
1371252420,1
1371252600,1
1371252840,1
1371253980,1
1371254100,1
1371254640,1
1371257220,3
1371257880,1
1371258660,1
1371259920,1
1371260820,1
1371261840,1
1371264420,1
1371264840,1
1371271980,1
1371274980,1
1371289620,2
1371289680,1
1371295560,1
1371301800,1
1371302700,1
1371304500,1
1371309060,2
1371309420,1
1371310680,1
1371311280,1
1371311640,1
1371312780,2
1371315420,2
1371316380,2
1371316920,1
1371317040,2
