datetime,departures
1371150420,1
1371151260,1
1371151380,1
1371151980,1
1371153120,1
1371153900,1
1371154020,1
1371154140,1
1371154680,1
1371156480,1
1371157260,1
1371158160,1
1371159060,1
1371160020,1
1371160740,1
1371161580,1
1371162900,1
1371164820,1
1371206580,1
1371209400,1
1371211320,1
1371213120,1
1371215340,1
1371215520,2
1371216180,1
1371218460,1
1371219960,1
1371222600,1
1371224880,1
1371225480,1
1371225960,1
1371226080,1
1371227280,1
1371227760,1
1371228840,2
1371229380,1
1371232740,2
1371233100,1
1371233280,1
1371233640,1
1371234000,1
1371234180,1
1371236160,2
1371236220,1
1371236700,1
1371236760,1
1371239400,1
1371239940,1
1371240180,1
1371240960,1
1371241080,1
1371241140,1
1371242220,1
1371243600,1
1371243660,1
1371244020,1
1371245280,1
1371246360,1
1371247080,1
1371247380,1
1371247800,1
1371249480,1
1371249720,1
1371251100,1
1371251340,1
1371251400,1
1371252420,1
1371252660,2
1371252900,2
1371252960,1
1371253800,1
1371253860,1
1371255000,1
1371255540,2
1371256320,1
1371297420,2
1371301680,1
1371303960,1
1371304500,2
1371305340,3
1371305580,1
1371305940,2
1371306180,1
1371306240,1
1371306360,1
1371307080,1
1371307380,1
1371307800,1
1371308100,1
1371309420,1
1371310020,1
1371310620,1
1371310740,1
1371311040,1
1371311100,1
1371312120,1
1371312180,1
1371312420,1
1371313560,1
1371313680,1
1371315420,1
1371315720,1
1371316020,1
1371316920,1
1371317820,1
1371318540,1
1371319740,2
1371321180,1
1371321240,2
1371321300,1
1371321840,2
1371321900,1
1371322080,2
1371322380,1
1371322860,1
1371324480,1
1371325320,2
1371326160,1
1371327180,1
1371327900,1
1371328320,1
1371328500,1
1371328740,1
1371331080,2
1371332820,1
1371332880,1
1371333420,1
1371333540,1
1371334620,1
1371336120,1
1371337080,1
1371337380,1
1371337620,1
1371338220,1
1371338400,1
1371338520,1
1371339120,1
1371339300,2
1371340020,1
1371340440,1
1371341520,1
1371341820,1
1371341880,1
1371342060,1
1371346320,1
1371347340,1
1371347580,1
1371348240,1
1371348300,1
1371349620,1
1371349860,1
1371350520,2
1371350580,1
1371352440,4
1371352800,1
1371354960,1
1371356280,1
1371357300,1
1371365820,2
1371366300,1
1371379380,1
1371385140,1
1371389280,1
1371391500,1
1371392700,1
1371393060,1
1371394080,1
1371396000,1
1371396420,1
1371396480,2
1371397320,1
1371397680,2
1371398700,1
1371400680,1
1371400860,2
1371401400,1
1371402420,1
1371402720,2
1371402840,2
1371403200,1
1371403320,1
1371403620,1
1371404520,1
1371404580,1
1371404940,2
1371405000,1
1371405120,1
1371405240,1
1371406080,2
1371410160,1
1371410280,1
1371410580,1
1371411240,1
1371411780,1
1371412500,1
1371414060,1
1371414420,1
1371415200,2
1371415380,1
1371415620,1
1371415920,1
1371416280,1
1371416400,1
1371416580,1
1371416640,2
1371417060,1
1371417420,1
1371417600,2
1371417840,1
1371418440,1
1371418680,2
1371418740,1
1371419160,1
1371419760,1
1371419820,1
1371419880,1
1371420600,3
1371420660,1
1371420900,1
1371421140,1
1371421440,2
1371421560,1
1371422820,2
1371423960,1
1371424320,1
1371426780,2
1371426900,1
1371428400,1
1371428820,2
1371429360,1
1371430080,1
1371430380,1
1371431040,1
1371431400,1
1371432480,1
1371432960,1
1371433980,1
1371436800,1
1371437940,1
1371440280,2
1371440340,1
1371442080,1
1371444240,1
1371462540,1
1371467700,1
1371467760,1
1371468360,1
1371468720,1
1371468780,1
1371469140,1
1371469560,1
1371469620,1
1371470160,2
1371470520,1
1371470760,1
1371472440,1
1371472680,1
1371473040,1
1371473400,1
1371481800,1
1371481980,1
1371482040,1
1371482880,1
1371484260,1
1371485280,3
1371485640,1
1371485700,1
1371486600,1
1371488040,2
1371488280,1
1371488400,1
1371488820,1
1371489420,1
1371490140,1
1371491100,1
1371492180,1
1371493260,1
1371494520,1
1371495660,1
1371500160,1
1371500640,1
1371501000,1
1371501180,2
1371501420,1
1371502140,1
1371503880,1
1371504600,1
1371504900,1
1371505740,1
1371505920,1
1371506280,1
1371507420,1
1371507540,1
1371508680,1
1371508860,1
1371508980,1
1371509340,1
1371509880,1
1371510540,1
1371510780,1
1371511080,3
1371511740,1
1371512640,1
1371513060,1
1371513540,1
1371513900,2
1371515280,1
1371516660,1
1371516840,1
1371517740,2
1371518100,2
1371519120,1
1371519240,2
1371519960,1
1371522240,1
1371523140,1
1371525000,1
1371530460,1
1371531780,1
1371540180,1
1371540300,5
1371540360,1
1371540420,2
1371540480,1
1371540600,1
1371541080,1
1371541320,1
1371550980,1
1371553380,1
1371554640,1
1371554820,1
1371555300,1
1371555600,1
1371556080,1
1371556200,1
1371556260,1
1371557100,1
1371557160,1
1371557640,1
1371559440,1
1371560640,1
1371560820,1
1371561540,1
1371561960,1
1371562440,1
1371562680,1
1371565740,1
1371572160,1
1371573840,1
1371574320,1
1371574440,1
1371574740,1
1371574860,1
1371575640,1
1371575700,1
1371577560,1
1371577800,1
1371578640,1
1371578700,1
1371579240,2
1371580200,1
1371581820,1
1371583080,1
1371583380,1
1371583620,2
1371584760,1
1371584820,1
1371585480,1
1371590220,1
1371591480,1
1371595500,1
1371598320,2
1371599340,1
1371601140,2
1371601380,1
1371602460,1
1371604620,3
1371604920,1
1371606420,1
1371606600,1
1371607080,1
1371617400,1
1371624240,1
1371638280,1
1371640980,1
1371641040,1
1371641820,1
1371642060,1
1371642480,1
1371643680,1
1371644220,2
1371644340,2
1371644400,1
1371645000,1
1371645240,2
1371646620,1
1371646800,1
1371647700,1
1371648300,1
1371648540,1
1371650580,1
1371650820,1
1371651780,1
1371653580,1
1371653700,1
1371655980,1
1371656220,1
1371658020,1
1371658260,1
1371659400,1
1371659520,1
1371659940,1
1371660420,1
1371660540,1
1371661020,1
1371661440,1
1371661620,2
1371663600,1
1371664260,1
1371664860,1
1371664980,1
1371665220,1
1371665460,1
1371665580,1
1371666000,1
1371666120,1
1371666480,1
1371666600,1
1371666840,1
1371666900,1
1371667920,1
1371668580,1
1371670560,1
1371670620,1
1371670860,1
1371672360,1
1371673740,1
1371674820,1
1371675480,1
1371676560,1
1371677160,1
1371677520,1
1371678000,1
1371678240,1
1371678540,1
1371678960,1
1371679080,1
1371679620,1
1371679860,1
1371680700,2
1371680880,1
1371681240,1
1371681300,1
1371681600,1
1371681720,1
1371682140,1
1371682320,1
1371682500,1
1371682740,1
1371682980,2
1371683220,1
1371683280,1
1371683340,1
1371683520,1
1371684240,1
1371684780,2
1371685080,1
1371685380,1
1371685740,1
1371686400,1
1371686820,1
1371687060,1
1371687780,1
1371689460,1
1371690540,1
1371690900,2
1371692040,1
1371692640,2
1371692880,1
1371693060,1
