datetime,departures
1371153000,1
1371157920,1
1371159840,1
1371160080,1
1371160680,1
1371161820,1
1371162420,1
1371205440,1
1371209220,2
1371209280,2
1371209400,2
1371209460,1
1371209640,2
1371209760,1
1371214200,1
1371219180,1
1371220020,1
1371227580,1
1371228600,1
1371228960,1
1371229140,1
1371229320,2
1371229980,1
1371230040,1
1371231720,1
1371232560,1
1371233340,1
1371234120,1
1371235080,1
1371235500,1
1371240000,1
1371253500,1
1371254700,1
1371255840,2
1371259560,1
1371261840,1
1371262680,1
1371264000,1
1371264060,1
1371264360,1
1371264420,1
1371264540,1
1371264780,2
1371265020,1
1371265200,1
1371267660,1
1371274860,1
1371303000,1
1371303840,1
1371306240,1
1371307560,1
1371314220,1
1371314460,1
1371314700,1
1371315000,1
1371315060,1
1371315900,1
1371317040,2
1371317700,1
1371317880,1
1371319320,2
1371319740,1
1371319800,1
1371320280,1
1371320340,2
1371320460,1
1371322080,1
1371322260,2
1371322980,1
1371324180,1
1371325860,1
1371325920,1
1371326160,1
1371326220,1
1371326280,2
1371326580,1
1371328200,1
1371330360,2
1371330480,1
1371331860,1
1371332580,1
1371333120,1
1371333540,1
1371333780,2
1371335400,1
1371335940,1
1371337860,1
1371338220,1
1371341340,1
1371341520,1
1371342720,1
1371343500,1
1371343920,1
1371344400,1
1371345120,1
1371348840,2
1371349980,1
1371350160,2
1371350340,1
1371350580,1
1371350640,1
1371351480,1
1371351660,1
1371351840,1
1371352080,2
1371355200,1
1371357000,1
1371397200,1
1371398940,2
1371399480,1
1371402720,1
1371403020,1
1371404520,1
1371406260,2
1371407580,1
1371407640,1
1371409500,2
1371410700,1
1371410820,1
1371411000,3
1371411120,1
1371413640,1
1371416520,1
1371417660,1
1371417780,1
1371418140,1
1371418200,1
1371418500,2
1371418680,2
1371419460,1
1371420420,1
1371420540,2
1371421020,1
1371421260,1
1371422640,1
1371427680,1
1371428340,1
1371429120,1
1371429360,1
1371432240,1
1371433500,1
1371438360,1
1371439080,2
1371439320,2
1371449880,5
1371449940,4
1371450180,5
1371450240,4
1371471840,1
1371474420,1
1371480360,1
1371488280,1
1371489840,1
1371489960,1
1371490080,1
1371493440,1
1371498480,1
1371498780,1
1371498840,1
1371508020,1
1371512520,1
1371514320,1
1371514980,1
1371515100,1
1371516240,1
1371516300,1
1371519000,1
1371520620,1
1371521700,1
1371522000,1
1371522060,1
1371532140,1
1371557760,1
1371559440,1
1371563400,1
1371563700,1
1371567720,1
1371570840,1
1371574260,1
1371575160,1
1371581160,1
1371581400,3
1371584280,1
1371585360,1
1371591000,1
1371593880,1
1371603780,1
1371609540,1
1371614880,1
1371640740,1
1371642060,1
1371645900,1
1371646260,1
1371648240,1
1371648600,1
1371652320,1
1371654660,1
1371657480,1
1371660300,1
1371664080,1
1371666300,1
1371667380,1
1371668580,1
1371673200,2
1371675840,1
1371679740,1
1371681120,1
1371681900,1
1371682080,1
1371683100,1
1371690540,1
1371690960,1
1371691200,1
1371691800,1
1371692040,1
1371693060,1
1371693300,1
1371724860,1
1371726840,2
1371734100,1
1371736800,1
1371742020,1
1371745920,1
1371747780,2
1371748560,1
1371748980,1
1371755100,1
1371758220,1
1371759120,1
1371759660,2
1371760260,1
1371764640,1
1371767100,1
1371767400,2
1371767520,1
1371767880,1
1371771780,1
1371771840,1
1371773460,2
1371773700,1
1371773760,1
1371774780,1
1371777060,1
1371781020,1
1371801900,1
1371802020,2
1371802140,1
1371802200,2
1371802380,2
1371802440,2
1371802620,2
1371802800,2
1371813360,1
1371813720,1
1371816720,1
1371817740,1
1371818580,1
1371821340,1
1371821460,1
1371821700,2
1371822540,3
1371822660,1
1371822840,1
1371823080,1
1371825960,1
1371826620,1
1371829500,1
1371829980,1
1371832020,1
1371832920,1
1371833040,2
1371836460,1
1371836880,1
1371837180,1
1371838200,1
1371839640,1
1371841980,1
1371843420,2
1371849120,1
1371853260,1
1371858180,2
1371858420,1
1371860700,2
1371862500,1
1371864120,1
1371866880,1
1371869880,1
1371873660,1
1371875700,1
1371875760,1
1371875820,1
1371875880,2
1371876000,2
1371876060,4
1371876180,3
1371876300,2
1371876420,1
1371876480,1
1371876540,1
1371880980,1
1371881760,1
1371885180,1
1371900300,1
1371900540,5
1371900600,1
1371900720,2
1371904860,1
1371906540,1
1371907560,1
1371908580,1
1371911820,1
1371912420,1
1371916020,1
1371917460,1
1371918120,1
1371919380,1
1371920940,3
1371921000,1
1371921300,1
1371922440,1
1371923280,1
1371923700,1
1371923760,1
1371924360,1
1371924720,1
1371925320,2
1371926160,1
1371926220,3
1371926340,1
1371926580,2
1371928020,1
1371929220,2
1371930060,1
1371930780,1
1371930840,2
1371931200,1
1371932460,1
1371934020,2
1371934980,1
1371936420,1
1371937020,1
1371938160,1
1371938640,1
1371938820,1
1371939720,1
1371939840,1
1371940140,1
1371940500,1
1371945240,1
1371945360,1
1371945900,1
1371949020,2
1371953280,1
1371954120,1
1371954840,1
1371959940,1
1371961800,1
1371974100,1
1371987540,1
1371993060,1
1371994500,1
1371996120,1
1371996960,1
1371997260,1
1371997500,2
1371997560,1
1371997680,2
1371997800,1
1371997920,1
1371997980,1
1371998100,2
1371998160,2
1371998220,2
1371998280,2
1371999720,1
1372000200,1
1372001340,1
1372003020,2
1372003380,2
1372005840,2
1372005960,1
1372006440,1
1372006620,1
1372006680,1
1372008420,1
1372008960,1
1372010160,1
1372010520,2
1372010760,1
1372011480,1
1372012440,1
1372012620,1
1372012680,1
1372012860,1
1372013280,1
1372013460,1
1372013640,2
1372015200,2
1372015500,1
1372016760,1
1372018200,1
1372018620,1
1372018860,1
1372020300,1
1372020420,1
1372023480,1
1372024860,1
1372026060,1
1372026240,1
1372026720,2
1372027560,1
1372035000,1
1372041960,1
1372074840,1
1372076580,1
1372081080,1
1372085520,1
1372089300,1
1372091820,2
1372093080,1
1372094520,1
1372099800,1
1372103340,1
1372106160,1
1372109580,1
1372109640,1
1372114500,1
1372115700,1
1372117440,1
1372118220,1
1372119420,1
1372121160,1
1372122000,2
1372122900,1
1372123620,1
1372127340,1
1372154760,1
1372157880,1
1372158120,1
1372160940,1
1372164120,1
1372170060,1
1372176300,1
1372177320,1
1372180560,1
1372181280,1
1372184760,1
1372186500,1
1372187220,1
1372190100,1
1372194360,1
1372196820,1
1372198980,1
1372199520,1
1372200240,1
1372203660,1
1372207020,1
1372207380,1
1372208580,2
1372210020,1
1372210200,1
1372211640,1
1372245660,1
1372246860,1
1372249020,1
1372253340,3
1372253580,1
1372253700,2
1372253940,1
1372254120,2
1372254840,1
1372255680,1
1372259580,1
1372263360,1
1372268700,1
1372269960,1
1372273620,2
1372273680,2
1372273740,3
1372273800,2
1372273860,3
1372273920,2
1372274100,4
1372274220,2
1372275180,1
1372275540,3
1372275660,2
1372275720,1
1372275780,1
1372276020,2
1372276080,1
1372276200,1
1372276260,2
1372277280,1
1372282860,1
1372285020,1
1372285920,1
1372286820,1
1372291920,1
1372294080,1
1372295820,1
1372314840,1
1372327500,1
1372331280,1
1372333500,1
1372347900,1
1372348080,1
1372358100,10
1372365120,1
1372370760,1
1372374060,1
1372375740,1
1372375860,1
1372378740,1
1372380780,2
1372383540,2
1372384260,1
1372388580,1
1372389120,1
1372389360,1
1372401360,1
1372414200,1
1372419180,1
1372422060,1
1372423020,1
1372423380,1
1372426020,1
1372428600,1
1372429980,1
1372433460,1
1372434720,1
1372435380,1
1372435800,1
1372442040,1
1372447320,1
1372447380,1
1372447440,2
1372447620,4
1372448580,1
1372448640,1
1372450860,3
1372450980,5
1372451100,1
1372451220,5
1372451280,1
1372451520,3
1372451760,1
1372468860,1
1372470300,1
1372471140,2
1372471320,1
1372474320,1
1372474380,4
1372474620,8
1372474740,1
1372474800,1
1372474860,1
1372474920,2
1372474980,1
1372475160,1
1372512000,1
1372512840,1
1372513920,1
1372515000,8
1372515060,1
1372515420,1
1372518420,1
1372518840,2
1372520460,1
1372523580,1
1372525920,2
1372532700,2
1372533180,2
1372541700,1
1372542600,1
1372545960,3
1372546860,2
1372546920,1
1372547220,1
1372547400,2
1372548660,1
1372548780,1
1372550040,1
1372550220,1
1372551600,1
1372554840,1
1372555080,1
1372557300,1
1372561380,1
1372561440,1
1372561500,1
1372566780,1
1372566840,1
1372567140,2
1372574760,2
1372575060,1
1372575120,1
1372575240,2
1372575360,2
1372575420,1
1372575480,1
1372575600,1
1372575660,1
1372575780,2
1372584360,1
1372585080,1
1372585140,2
1372590060,1
1372593720,1
1372593780,2
1372593900,2
1372594020,3
1372594620,1
1372595220,1
1372597680,4
1372597740,3
1372597920,3
1372603260,1
1372603440,1
1372604100,1
1372605240,2
1372606920,1
1372607100,1
1372607940,1
1372609080,1
1372609140,1
1372609980,3
1372610220,1
1372611660,1
1372614540,2
1372614720,2
1372615140,2
1372615320,1
1372618140,1
1372620420,2
1372620660,1
1372620720,2
1372620840,1
1372621560,1
1372622520,1
1372625460,1
1372627320,1
1372627620,1
1372627920,1
1372628100,1
1372628400,1
1372629180,1
1372631700,1
1372632060,1
1372632420,1
1372633380,3
1372633680,1
1372634400,1
1372634820,1
1372635180,2
1372635480,1
1372635660,2
1372635840,1
1372636800,2
1372637640,1
1372639680,1
1372639800,2
1372640820,1
1372642380,1
1372677540,1
1372678020,1
1372681800,1
1372687020,3
1372697160,1
1372698420,1
1372707240,1
1372707780,1
1372709640,1
1372712580,1
1372721220,1
1372723920,1
1372725900,1
1372726320,1
