datetime,departures
1371161400,1
1371170520,1
1371215340,1
1371216060,1
1371221940,1
1371228900,1
1371232140,1
1371236700,3
1371237960,1
1371241800,1
1371246180,1
1371247920,1
1371252360,1
1371255180,1
1371304500,1
1371308340,1
1371310320,1
1371313800,1
1371313920,1
1371315300,1
1371318300,1
1371321000,1
1371323400,1
1371329520,2
1371333720,1
1371336480,1
1371343260,1
1371352560,1
1371361380,1
1371362040,1
1371375900,1
1371393540,2
1371394860,2
1371402060,1
1371407160,1
1371409620,1
1371411180,1
1371412560,1
1371413160,1
1371415560,1
1371415620,1
1371417180,2
1371417360,1
1371417420,1
1371417480,1
1371417780,3
1371420180,1
1371420240,1
1371420900,1
1371421440,1
1371421560,1
1371421800,1
1371421980,1
1371422040,1
1371423780,2
1371425580,1
1371435300,1
1371462720,1
1371471780,1
1371472680,1
1371478740,1
1371483780,1
1371489540,1
1371491280,1
1371492600,1
1371496620,1
1371510840,1
1371516000,1
1371521520,1
1371523500,1
1371548220,1
1371559140,1
1371559680,1
1371561180,1
1371564360,1
1371568380,1
1371568680,1
1371569160,1
1371571140,1
1371575880,2
1371576420,1
1371578640,1
1371583920,1
1371584040,1
1371584160,1
1371584760,1
1371604620,1
1371604920,1
1371626220,1
1371634380,1
1371643200,1
1371646740,1
1371648000,1
1371648300,1
1371648480,1
1371668160,1
1371668760,1
1371669840,1
1371669960,1
1371671340,1
1371671820,2
1371672480,1
1371673680,1
1371674100,1
1371681960,1
1371686640,1
1371686760,1
1371692220,1
1371696060,1
1371697440,1
1371700860,1
1371724860,1
1371726900,1
1371728880,1
1371731640,1
1371732600,1
1371733680,1
1371736140,1
1371742980,1
1371743100,1
1371751020,1
1371751380,1
1371753900,1
1371756480,1
1371756540,1
1371756600,1
1371761340,1
1371766020,1
1371768840,1
1371771540,1
1371771600,1
1371771720,1
1371772440,1
1371786300,1
1371813600,1
1371815400,1
1371817200,1
1371818580,1
1371824520,1
1371827100,1
1371827340,1
1371830220,1
1371831840,1
1371834240,1
1371834960,1
1371837660,2
1371840720,1
1371842460,1
1371843240,1
1371845520,1
1371851820,1
1371854460,1
1371856740,1
1371859200,1
1371863880,3
1371868140,1
1371871140,1
1371886860,1
1371907860,1
1371910560,1
1371918060,1
1371918120,1
1371920820,1
1371922560,1
1371923100,1
1371923280,2
1371926700,1
1371931080,2
1371933420,1
1371934440,2
1371934560,1
1371936420,1
1371936900,1
1371938160,1
1371940440,1
1371940680,1
1371940800,1
1371941940,1
1371943380,1
1371944100,1
1371952200,1
1371960660,2
1371963360,1
1371966180,1
1371978240,1
1371986040,2
1371986160,2
1371986220,3
1371986280,1
1371986340,1
1371986460,1
1371986580,1
1371997560,2
1371998160,2
1372000380,1
1372001940,1
1372002900,1
1372002960,1
1372003080,1
1372003380,1
1372003920,1
1372006920,1
1372010880,1
1372011120,3
1372011480,3
1372011600,1
1372016400,1
1372019520,1
1372020840,1
1372022160,1
1372024440,1
1372024860,1
1372025880,1
1372026060,1
1372026600,1
