datetime,departures
1371155760,1
1371157260,1
1371158040,1
1371158760,1
1371159000,1
1371159180,1
1371160020,1
1371162540,1
1371162660,1
1371163860,2
1371164640,1
1371165180,1
1371165300,1
1371184440,1
1371194820,2
1371194880,2
1371194940,3
1371195000,2
1371195060,1
1371202620,1
1371203400,1
1371206940,1
1371210540,1
1371210600,1
1371211020,1
1371212160,1
1371212400,1
1371212760,2
1371213360,1
1371213480,2
1371213660,1
1371214440,1
1371215520,1
1371216840,2
1371217440,1
1371217500,1
1371218160,1
1371219240,1
1371219540,1
1371221100,1
1371225300,1
1371226200,1
1371227100,1
1371227160,1
1371228420,1
1371228540,1
1371228840,1
1371230940,1
1371232980,1
1371233280,1
1371233640,1
1371233880,1
1371234120,2
1371234300,1
1371234720,1
1371235020,1
1371235080,1
1371235620,1
1371235680,2
1371237180,2
1371237360,1
1371238560,1
1371238620,1
1371239580,1
1371241260,1
1371242640,1
1371243420,1
1371243720,1
1371243780,1
1371244140,1
1371244740,1
1371246420,2
1371248280,1
1371248460,2
1371248820,2
1371248880,1
1371249420,1
1371249660,2
1371249720,1
1371250740,1
1371251460,1
1371252180,1
1371252420,1
1371252600,1
1371253320,2
1371254220,1
1371254400,1
1371255360,1
1371257760,1
1371259140,1
1371259440,1
1371259500,1
1371261480,1
1371262200,1
1371264420,2
1371264660,1
1371270240,1
1371271140,1
1371271740,1
1371271980,1
1371297540,1
1371299400,1
1371299460,1
1371300480,1
1371301320,1
1371302340,1
1371303000,1
1371304980,1
1371306360,1
1371306480,1
1371306960,2
1371307200,2
1371308100,1
1371308340,1
1371310440,1
1371310620,1
1371310680,1
1371310800,1
1371310980,1
1371311820,1
1371312180,1
1371312540,1
1371313260,2
1371314520,1
1371314580,1
1371314760,1
1371314940,1
1371315300,1
1371315600,1
1371316140,1
1371316740,1
1371316860,1
1371316920,1
1371317100,1
1371317400,1
1371318000,1
1371318360,1
1371318480,1
1371318540,1
1371318660,1
1371318720,1
1371319860,1
1371320220,1
1371320580,1
1371322200,1
1371324480,1
1371325080,1
1371325440,2
1371325500,1
1371325680,1
1371326640,1
1371326700,1
1371327900,1
1371328440,1
1371330480,1
1371330720,1
1371331080,1
1371331440,1
1371331620,1
1371331680,1
1371332160,1
1371332220,1
1371332520,1
1371332880,1
1371333000,1
1371333300,2
1371334260,1
1371334440,1
1371334680,2
1371334800,1
1371336600,1
1371338100,1
1371338880,1
1371339360,1
1371339840,1
1371341160,1
1371341640,1
1371341820,1
1371341940,1
1371342600,1
1371342900,1
1371351060,1
1371351960,1
1371352860,1
1371357480,1
1371382620,1
1371386220,1
1371389160,1
1371389880,1
1371390900,1
1371391800,1
1371392580,1
1371393180,2
1371394380,2
1371395460,1
1371398040,1
1371398520,1
1371399360,1
1371400260,1
1371401040,1
1371401100,1
1371401940,1
1371402240,1
1371402600,1
1371403140,1
1371403380,1
1371403920,1
1371404040,1
1371404520,1
1371404640,1
1371405120,1
1371405600,1
1371405840,1
1371405960,1
1371406140,2
1371406320,2
1371407160,1
1371408180,1
1371409080,1
1371409260,1
1371409380,2
1371410520,1
1371410760,1
1371411000,1
1371412440,1
1371413820,1
1371414120,1
1371414600,1
1371416520,1
1371416940,1
1371418020,1
1371418440,1
1371419460,3
1371419940,1
1371420000,1
1371421140,1
1371421980,1
1371423840,1
1371424620,1
1371426360,1
1371427080,1
1371427620,1
1371428160,1
1371428580,1
1371428640,1
1371429240,1
1371429360,1
1371429600,2
1371433440,2
1371433680,1
1371443880,1
1371465480,1
1371469920,1
1371470040,1
1371470340,1
1371470700,1
1371471240,1
1371471840,1
1371472140,1
1371472200,1
1371472440,1
1371472500,1
1371472620,1
1371472680,1
1371472800,1
1371472860,1
1371473040,1
1371473340,1
1371473400,2
1371475140,1
1371475260,1
1371475560,1
1371476580,1
1371476820,1
1371477060,1
1371477300,1
1371477660,2
1371478080,1
1371479640,1
1371481980,1
1371482040,1
1371483000,1
1371483600,1
1371484920,1
1371487380,1
1371489420,1
1371489720,1
1371491280,1
1371491820,1
1371494700,1
1371498660,1
1371499860,1
1371502380,1
1371503340,2
1371503460,1
1371504180,1
1371507240,1
1371507360,1
1371507420,1
1371508380,1
1371508620,1
1371509340,1
1371509700,1
1371509760,1
1371509880,1
1371510000,1
1371510240,1
1371510360,1
1371511260,1
1371511620,2
1371511680,1
1371511980,1
1371512040,1
1371512220,1
1371512280,1
1371513480,1
1371513540,1
1371514020,1
1371514680,2
1371514980,1
1371515220,1
1371515400,1
1371516000,1
1371516420,1
1371516480,1
1371516720,1
1371518520,1
1371520440,1
1371526440,1
1371527280,1
1371528060,1
1371532200,1
1371532440,1
1371550080,1
1371552120,1
1371552240,1
1371552300,1
1371552960,1
1371554100,1
1371555300,1
1371556560,1
1371556680,1
1371558120,1
1371558420,3
1371558480,1
1371558600,1
1371559080,3
1371559380,2
1371559680,1
1371559800,1
1371559980,1
1371560640,1
1371561180,2
1371561540,2
1371563940,1
1371564720,1
1371565740,1
1371566220,1
1371566340,1
1371566640,1
1371567720,1
1371568800,1
1371569400,1
1371569940,1
1371570060,2
1371570720,1
1371571440,1
1371572100,1
1371573300,1
1371573600,1
1371574020,1
1371574140,1
1371574200,1
1371575700,1
1371576840,1
1371580860,1
1371581640,1
1371583680,1
1371584400,1
1371584580,1
1371585660,1
1371590100,1
1371590280,1
1371592020,1
1371594360,1
1371596640,1
1371598080,1
1371602520,1
1371603360,1
1371605940,2
1371607440,2
1371609900,1
1371611640,1
1371616140,1
1371616200,2
1371616260,2
1371636120,1
1371637620,1
1371638460,1
1371638580,1
1371638640,1
1371640500,1
1371641820,1
1371642180,1
1371642660,1
1371643140,1
1371643500,1
1371644340,1
1371645240,1
1371645480,1
1371645540,3
1371645660,1
1371646080,2
1371646320,1
1371646800,1
1371647100,1
1371647460,1
1371648120,1
1371648240,1
1371648900,1
1371650220,1
1371650280,1
1371650580,1
1371650640,2
1371650880,1
1371651420,1
1371651900,2
1371652440,1
1371652680,1
1371652800,1
1371652980,2
1371653100,1
1371653700,2
1371654000,1
1371654900,1
1371655740,1
1371656700,1
1371657120,1
1371657240,1
1371660000,1
1371660120,1
1371660300,1
1371661980,1
1371663480,1
1371665460,1
1371666240,1
1371666480,1
1371666600,1
1371668280,2
1371668820,1
1371670200,2
1371670560,1
1371672480,1
1371673200,1
1371673440,1
1371673680,1
1371673980,1
1371676140,1
1371676320,2
1371676440,1
1371676680,2
1371677940,1
1371678000,1
1371678240,1
1371679080,1
1371680880,1
1371681180,1
1371681480,2
1371681720,1
1371683340,1
1371683400,1
1371684420,1
1371686640,1
1371686760,1
1371687180,1
1371688140,1
1371688800,2
1371689760,1
1371689880,1
1371689940,1
1371690540,1
1371690780,1
1371691080,1
1371692280,1
1371694200,1
1371695280,1
1371696480,1
1371699480,1
1371702720,1
1371724860,1
1371726000,1
1371728040,1
1371728340,1
1371728700,1
1371729660,1
1371730620,2
1371730740,1
1371730800,1
1371730920,1
1371731100,1
1371731520,1
1371731580,1
1371731640,1
1371731820,1
1371732060,1
1371733500,1
1371733680,2
1371733920,1
1371734100,4
1371734280,1
1371734340,1
1371734460,1
1371734640,1
1371734940,1
1371735180,1
1371735960,1
1371736140,1
1371736260,1
1371736440,1
1371736680,1
1371736860,1
1371737520,2
1371737760,1
1371738060,2
1371738120,1
1371738300,1
1371739200,1
1371740460,1
1371740520,1
1371741540,1
1371742980,1
1371743160,1
1371743580,1
1371744000,1
1371744180,1
1371744240,1
1371744480,1
1371745380,1
1371746280,1
1371746640,1
1371749280,1
1371750240,1
1371750480,1
1371753240,1
1371753300,1
1371753900,1
1371754500,1
1371755640,1
1371756840,1
1371758820,4
1371759060,1
1371761160,1
1371762420,1
1371762780,2
1371763920,1
1371764400,1
1371764640,1
1371765840,1
1371766140,2
1371766440,1
1371766980,1
1371767400,1
1371767880,1
1371768000,1
1371768120,1
1371768300,2
1371768600,1
1371768780,1
1371768840,2
1371769080,1
1371769620,1
1371770040,3
1371770460,1
1371770760,1
1371770880,1
1371771720,1
1371771960,1
1371772020,2
1371772140,1
1371772260,1
1371772440,1
1371772740,1
1371773100,1
1371773460,1
1371773820,1
1371774540,1
1371775560,1
1371776160,1
1371776340,1
1371776640,2
1371777240,1
1371779880,1
1371781980,1
1371783240,1
1371810180,1
1371810420,1
1371811860,1
1371813480,1
1371813600,1
1371814440,1
1371815160,1
1371815760,1
1371815880,1
1371817320,2
1371818100,1
1371818220,2
1371818340,2
1371818520,1
1371820260,1
1371821040,1
1371821100,1
1371821580,1
1371821640,2
1371821700,1
1371824040,1
1371824100,1
1371824520,4
1371824580,2
1371824880,3
1371825660,1
1371825840,1
1371826080,1
1371826440,2
1371828480,2
1371829740,1
1371830940,1
1371832020,1
1371833040,2
1371833820,2
1371833940,1
1371834060,1
1371834840,1
1371835200,1
1371836580,1
1371836760,1
1371837840,2
1371838800,1
1371839580,1
1371840180,1
1371841920,1
1371842460,1
1371842820,1
1371845520,1
1371845640,1
1371846120,1
1371847680,1
1371848940,1
1371849360,1
1371849480,1
1371849900,1
1371850380,1
1371853260,1
1371854100,3
1371854160,1
1371854940,1
1371855000,1
1371855840,1
1371856980,1
1371858780,1
1371859920,2
1371860700,1
1371862560,1
1371862920,1
1371863400,1
1371863760,1
1371864180,1
1371864480,2
1371866160,1
1371870120,1
1371871020,1
1371871620,1
1371872520,1
1371873060,1
1371873420,1
1371873600,1
1371874740,1
1371875820,1
1371876660,1
1371883680,2
1371888540,1
1371890460,1
1371900600,8
1371900720,2
1371901080,1
1371903540,1
1371905520,1
1371907560,1
