datetime,departures
1371150480,1
1371152100,1
1371158040,1
1371159060,1
1371163080,1
1371163140,1
1371163380,1
1371170100,1
1371212100,1
1371214740,1
1371216060,1
1371225420,1
1371228060,1
1371230220,1
1371230640,1
1371231960,1
1371234240,1
1371236460,1
1371236520,1
1371236640,1
1371236820,1
1371238440,1
1371238500,1
1371238560,1
1371239040,1
1371239940,1
1371241620,1
1371241680,1
1371242340,1
1371244680,1
1371249180,1
1371251100,1
1371251160,1
1371253080,1
1371260760,1
1371260940,2
1371275280,1
1371277020,1
1371292140,1
1371298980,1
1371300180,1
1371303420,1
1371304380,1
1371310080,1
1371311280,1
1371311460,1
1371311820,1
1371312120,1
1371314220,1
1371315180,2
1371315720,2
1371316320,1
1371317100,1
1371317280,1
1371318840,1
1371318960,1
1371320820,1
1371321300,1
1371321540,1
1371321720,2
1371324900,2
1371325080,1
1371325380,1
1371326760,1
1371328200,1
1371330300,1
1371330360,1
1371331860,1
1371332040,1
1371332160,1
1371332280,1
1371332340,3
1371334920,2
1371334980,1
1371335280,1
1371335400,1
1371339660,1
1371340860,1
1371341040,1
1371344160,1
1371344520,1
1371344580,1
1371344880,1
1371345120,1
1371347220,1
1371348420,1
1371348780,1
1371354780,1
1371357840,1
1371360660,1
1371367560,1
1371367860,1
1371370620,4
1371385560,1
1371389460,1
1371390480,1
1371396120,1
1371396480,1
1371397800,1
1371399180,1
1371399900,1
1371400080,1
1371400860,1
1371402720,3
1371402960,1
1371403020,1
1371403200,1
1371403860,2
1371405180,1
1371405480,2
1371407100,1
1371407880,1
1371408240,2
1371408360,1
1371408960,1
1371409260,1
1371409500,2
1371409680,1
1371410280,1
1371411840,1
1371411900,1
1371412440,2
1371412860,1
1371414480,1
1371415560,1
1371415680,1
1371416160,1
1371416220,1
1371416880,1
1371417540,1
1371418080,2
1371418440,2
1371418860,1
1371418920,1
1371419580,1
1371420180,1
1371421380,1
1371421440,1
1371422100,2
1371422160,2
1371422400,2
1371422460,2
1371422640,3
1371423240,2
1371424620,1
1371425280,2
1371425760,1
1371427680,3
1371428100,1
1371428340,1
1371429540,1
1371431340,1
1371431520,1
1371431940,1
1371433080,1
1371441600,1
1371444540,1
1371444600,1
1371444840,1
1371444900,1
1371445200,1
1371464160,1
1371468060,1
1371471600,1
1371471780,1
1371473460,1
1371475380,1
1371476100,1
1371476340,1
1371476520,1
1371477600,1
1371482940,1
1371485700,1
1371485940,1
1371486840,1
1371489960,1
1371490380,3
1371490740,1
1371491460,1
1371493740,1
1371499140,1
1371499560,1
1371499680,1
1371502140,1
1371502260,1
1371503580,1
1371504060,1
1371504180,1
1371504720,1
1371505020,1
1371505680,1
1371506940,1
1371508440,1
1371510000,3
1371511980,2
1371513060,1
1371513540,1
1371513840,1
1371515880,1
1371516000,1
1371516120,1
1371517860,1
1371518760,1
1371519480,1
1371520440,1
1371520680,1
1371523560,1
1371524760,1
1371525720,1
1371526980,1
1371554100,1
1371558000,1
1371558300,1
1371559200,1
1371559620,1
1371562080,2
1371562740,1
1371566340,1
1371566880,1
1371567120,1
1371567540,1
1371571680,1
1371572280,1
1371572580,1
1371573180,1
1371573720,2
1371574860,1
1371575100,1
1371576240,2
1371576840,1
1371578700,1
1371579000,1
1371579300,1
1371583800,1
1371584160,1
1371587280,1
1371596400,1
1371599280,1
1371618780,1
1371629640,4
1371629700,2
1371629820,3
1371629880,4
1371630060,4
1371640260,1
1371643920,1
1371644220,1
1371644880,1
1371645360,1
1371645780,1
1371646200,1
1371647460,1
1371648660,1
1371649620,1
1371651720,1
1371654540,1
1371656460,1
1371659940,1
1371660000,1
1371661500,1
1371661860,1
1371662940,1
1371663600,1
1371664260,1
1371665520,1
1371666180,1
1371666720,1
1371668460,1
