datetime,departures
1371150840,1
1371151860,1
1371152220,3
1371154260,1
1371155520,1
1371156000,1
1371156120,1
1371157080,1
1371157740,1
1371159120,1
1371159480,1
1371160140,1
1371160200,1
1371160560,1
1371160920,1
1371161400,1
1371161460,1
1371161700,1
1371161820,2
1371161940,2
1371162000,1
1371162120,1
1371162240,1
1371162540,1
1371162840,1
1371163140,2
1371163440,1
1371164640,2
1371164940,1
1371169800,1
1371212100,1
1371213060,1
1371213540,1
1371214740,1
1371214920,1
1371215220,1
1371216060,1
1371218040,1
1371221040,1
1371222300,1
1371223560,1
1371223680,1
1371223860,1
1371224220,1
1371225660,2
1371225780,1
1371226080,1
1371226860,1
1371228420,1
1371229020,1
1371229320,1
1371231780,1
1371231960,1
1371232380,2
1371234240,1
1371236700,1
1371236880,1
1371237660,1
1371239640,1
1371242100,1
1371242460,1
1371243840,3
1371244140,1
1371244260,2
1371244380,1
1371244560,1
1371245280,1
1371246960,1
1371247140,2
1371247200,1
1371247380,1
1371247500,1
1371247800,1
1371247920,1
1371247980,1
1371248040,1
1371248220,1
1371248640,1
1371250080,2
1371250260,1
1371250440,1
1371255780,1
1371256920,3
1371257040,2
1371257220,1
1371260940,1
1371261840,1
1371263100,1
1371264960,1
1371268080,1
1371283080,1
1371305340,2
1371305820,1
1371308940,1
1371309240,1
1371309300,1
1371309780,1
1371314460,1
1371314640,1
1371315060,2
1371315240,1
1371315300,1
1371316320,1
1371316380,1
1371317280,3
1371318600,1
1371319140,1
1371319260,2
1371319680,1
1371320100,1
1371320580,1
1371320820,1
1371321960,1
1371322140,1
1371322440,1
1371324540,2
1371324780,1
1371325380,2
1371325440,2
1371325740,2
1371325980,1
1371326340,1
1371326520,1
1371326640,1
1371327480,1
1371328020,1
1371328200,2
1371329820,3
1371330600,1
1371330720,1
1371331080,1
1371331440,1
1371331860,2
1371331920,2
1371332340,1
1371333120,3
1371333180,1
1371333300,1
1371333360,1
1371333420,1
1371333600,1
1371334440,1
1371334500,2
1371335460,1
1371336000,1
1371336600,1
1371336720,1
1371336960,1
1371338520,1
1371338880,1
1371338940,1
1371340020,1
1371340260,1
1371340620,1
1371340980,2
1371341940,1
1371343140,2
1371343380,1
1371344820,1
1371345420,1
1371345720,1
1371353040,1
1371353100,1
1371353160,1
1371353280,3
1371353880,1
1371356640,1
1371357180,2
1371357300,1
1371359880,3
1371359940,2
1371360000,1
1371360120,2
1371361140,1
1371379740,1
1371391920,1
1371392280,2
1371392580,1
1371393240,1
1371393660,2
1371395460,1
1371395880,1
1371396480,1
1371397440,1
1371397860,2
1371397980,2
1371398100,1
1371399180,1
1371399900,1
1371399960,1
1371400200,1
1371400440,1
1371401280,2
1371402480,1
1371402960,1
1371403020,1
1371404100,2
1371404940,1
1371405000,1
1371406260,1
1371406680,1
1371407640,1
1371408180,1
1371408240,1
1371408360,1
1371408480,1
1371409800,2
1371409980,1
1371410700,1
1371410760,1
1371411420,1
1371411540,1
1371411600,1
1371412680,1
1371413220,1
1371413760,1
1371413820,1
1371414300,1
1371415620,1
1371415740,1
1371415800,1
1371417540,1
1371417840,1
1371418020,1
1371418140,1
1371418440,1
1371418680,2
1371419040,1
1371419100,1
1371419820,2
1371420180,2
1371421200,2
1371426600,1
1371428700,1
1371429060,1
1371430500,1
1371430560,1
1371430680,1
1371430920,1
1371432720,1
1371433080,1
1371434400,1
1371434640,1
1371436920,3
1371441540,1
1371443580,1
1371443700,1
1371447240,1
1371447300,1
1371450000,1
1371457560,2
1371457860,3
1371466680,1
1371470040,1
1371470940,1
1371473760,1
1371475560,1
1371484260,1
1371485640,1
1371487080,2
1371487140,1
1371487740,3
1371488940,1
1371489240,1
1371489420,1
1371489540,1
1371489840,1
1371491820,1
1371492000,1
1371492360,2
1371492900,1
1371493860,1
1371493980,2
1371495780,1
1371496380,1
1371498240,1
1371499680,2
1371499860,1
1371500220,1
1371500580,1
1371501360,1
1371501720,1
1371501900,1
1371502080,1
1371502920,1
1371503280,1
1371503340,1
1371503460,1
1371503820,1
1371503880,1
1371504840,2
1371504900,1
1371505140,1
1371505200,1
1371505500,1
1371505740,1
1371505800,1
1371505920,2
1371506040,1
1371506520,1
1371506580,1
1371506640,1
1371507060,1
1371507300,1
1371508080,1
1371508140,1
1371509880,1
1371511320,1
1371511620,1
1371511920,1
1371512100,1
1371512520,1
1371512940,3
1371513420,1
1371514260,1
1371515280,1
1371515580,1
1371519660,2
1371521280,1
1371523620,1
1371526020,1
1371534540,1
1371534660,2
1371556620,1
1371558600,1
1371559320,1
1371565080,1
1371566760,1
1371567360,1
1371568380,1
1371569220,1
1371570060,2
1371570180,1
1371572940,1
1371573300,1
1371573540,1
1371573600,1
1371574200,1
1371575160,2
1371575760,2
1371576120,1
1371576540,1
1371578460,1
1371578880,1
1371580320,1
1371580800,1
1371580860,1
1371582300,1
1371583260,1
1371583620,1
1371588240,1
1371590460,1
1371590640,1
1371591600,1
1371591960,1
1371592620,1
1371593280,1
1371593520,1
1371599820,1
1371599880,1
1371601680,1
1371606720,1
1371617460,2
1371623280,1
1371641340,1
1371643740,1
1371644040,1
1371644220,1
1371644340,1
1371645780,1
1371645900,1
1371646500,1
1371646740,1
1371646800,2
1371646920,1
1371654180,1
1371657000,1
1371658440,1
1371658800,1
1371658980,1
1371659280,1
1371659400,1
1371660180,1
1371660660,1
1371660960,1
1371661020,1
1371661080,1
1371661980,1
1371662580,2
1371662940,1
1371663420,1
1371664860,1
1371665820,2
1371666300,1
1371666360,1
1371666480,1
1371667440,2
1371668880,1
1371669840,1
1371670560,2
1371671760,1
1371671820,1
1371671940,1
1371672780,1
1371672900,1
1371673200,1
1371674040,1
1371674160,2
1371674220,2
1371674280,1
1371674340,1
1371674400,1
1371675180,1
1371675240,1
1371675840,1
1371675900,1
1371676140,1
1371676440,1
1371676560,1
1371676680,1
1371677220,1
1371677340,1
1371677760,1
1371677880,1
1371678120,1
1371678780,2
1371678960,1
1371679080,1
1371680040,1
1371680220,1
1371680580,1
1371681900,1
1371682080,1
1371682620,2
1371682740,2
1371683100,1
1371683880,2
1371685080,1
1371685260,1
1371685740,2
1371686280,2
1371686880,2
1371687000,1
1371689700,1
1371690600,1
1371690660,1
1371692040,1
1371692880,1
1371694140,1
1371694680,1
1371702300,1
1371702720,2
1371726360,1
1371728280,1
1371730620,1
1371730740,1
1371731280,2
1371733140,1
1371733380,1
1371733500,2
1371733680,1
1371734640,1
1371739380,1
1371739980,1
1371742680,1
1371742980,1
1371743940,1
1371744000,2
1371744180,1
1371744240,1
1371745200,2
1371746040,1
1371746400,1
1371747120,1
1371747240,2
1371747420,1
1371747480,1
1371747780,1
1371747840,1
1371748560,3
1371748860,1
1371749520,1
1371749640,1
1371749820,1
1371750900,2
1371751500,1
1371752100,1
1371752340,1
1371752400,1
1371752640,1
1371753360,1
1371753540,1
1371754380,1
1371754680,1
1371754860,1
1371755340,1
1371755640,1
1371755880,1
1371755940,1
1371756720,1
1371756780,2
1371757080,1
1371757380,1
1371757740,1
1371757860,1
1371758220,2
1371758520,2
1371758820,1
1371759300,1
1371759420,1
1371759660,1
1371760620,1
1371760680,1
1371760860,2
1371761100,1
1371761460,4
1371762120,2
1371762300,1
1371762420,1
1371762480,1
1371763080,1
1371763260,1
1371763980,1
1371764520,1
1371765420,1
1371766020,1
1371766260,2
1371766500,1
1371766560,2
1371766860,1
1371766920,1
1371767100,1
1371767400,2
1371768840,1
1371769140,2
1371769500,1
1371769620,2
1371772140,2
1371772800,1
1371773160,1
1371773220,1
1371773280,1
1371773820,1
1371774480,1
1371774540,1
1371775260,2
1371775620,1
1371775860,1
1371780240,1
1371780600,1
1371780720,1
1371785400,1
1371788640,1
1371793980,1
1371794100,2
1371802380,1
1371808980,1
1371817620,1
1371817980,2
1371820860,1
1371823140,1
1371823200,1
1371824340,1
1371825360,1
1371826800,1
1371827100,1
1371827520,1
1371829740,1
1371831060,2
1371831180,1
1371831840,1
1371832980,1
1371833040,1
1371833820,2
1371834360,1
1371834660,1
1371834900,1
1371834960,2
1371835200,1
1371835500,1
1371836580,2
1371837000,2
1371837060,1
1371837840,1
1371839520,1
1371839880,1
1371841140,2
1371842160,1
1371843840,2
1371844260,1
1371844740,1
1371845520,1
1371845640,1
1371846960,1
1371847260,1
1371847860,2
1371848400,1
1371848820,2
1371849060,2
1371849360,2
1371849660,1
1371849720,1
1371850680,1
1371850740,1
1371850920,1
1371852180,1
1371853500,1
1371853680,2
1371853740,1
1371854160,2
1371854280,3
1371854700,1
1371854940,1
1371855240,1
1371855300,1
1371855840,1
1371855960,1
1371856080,1
1371856200,1
1371856560,1
1371858240,1
1371859440,1
1371859500,2
1371859800,1
1371860040,1
1371861840,1
1371861900,1
1371862440,1
1371862680,1
1371862980,1
1371863220,1
1371865080,1
1371865320,1
1371865740,1
1371866940,1
1371867240,1
1371867540,1
1371867900,1
1371870000,1
1371871020,1
1371872100,1
1371872280,1
1371877260,1
1371902820,1
1371903240,2
1371904140,1
1371904860,1
1371909480,1
1371910200,1
1371911160,1
1371911220,1
1371911580,2
1371911940,1
1371912060,1
1371913980,1
1371916860,1
1371917580,1
1371917700,1
1371918900,4
1371919140,1
1371920340,1
1371920640,1
1371921600,1
1371923100,2
1371923760,2
1371924180,1
1371924720,3
1371925680,3
1371926640,1
1371926820,2
1371926880,1
1371927300,1
1371927360,1
1371927480,5
1371927600,1
1371928380,1
1371928440,1
1371928560,2
1371928620,1
1371928800,1
1371929040,1
1371929280,1
1371929340,1
1371929700,1
1371930300,1
1371930780,1
1371931020,2
1371931440,1
1371931680,1
1371931800,2
1371931860,2
1371932220,1
1371932640,2
1371933420,1
1371933480,1
1371933600,2
1371933780,1
1371934740,3
1371935100,1
1371936180,1
1371936600,2
1371936720,1
1371937020,2
1371938160,1
1371938340,2
1371938640,1
1371939180,1
1371939600,1
1371939720,1
1371940200,1
1371941280,1
1371941340,1
1371941580,1
1371941940,2
1371942240,1
1371942720,1
1371942900,1
1371943380,1
1371943560,1
1371943680,1
1371946380,1
1371946980,1
1371947340,1
1371947760,1
1371947880,1
1371948060,1
1371949080,1
1371951180,1
1371951840,2
1371951900,1
1371953040,2
1371954000,1
1371955200,1
1371955440,1
1371957180,2
1371958260,1
1371960900,2
1371961980,2
1371963000,1
1371964380,1
1371973080,1
1371973200,2
1371973320,2
1371989520,1
1371990600,1
1371993780,1
1371996780,1
1371996960,2
1371997560,1
1371999120,3
1371999180,1
1371999420,1
1371999660,1
1372000140,2
1372000380,1
1372001340,6
1372001580,2
1372001640,1
1372002060,1
1372002240,1
1372002360,1
1372002420,1
1372002480,1
1372002840,1
1372003080,1
1372004160,1
1372004400,2
1372004580,1
1372005060,1
1372005360,1
1372005420,1
1372007220,1
1372007940,1
1372008060,1
1372008240,1
1372009140,1
1372009860,1
1372010640,2
1372012440,1
1372013760,1
1372014060,2
1372014180,1
1372014960,1
1372015500,2
1372015800,2
1372017060,1
1372017240,1
1372017540,1
1372017780,1
1372017840,2
1372018380,2
1372018860,1
1372019100,1
1372019940,2
1372021560,1
1372021680,1
1372021860,2
1372022340,1
1372022760,2
1372023300,1
1372023540,1
1372024740,1
1372025220,1
1372026360,1
1372026720,1
1372027680,1
1372027860,1
1372029240,2
1372029600,2
1372029780,1
1372029900,1
1372030020,3
1372030140,3
1372030380,1
1372030500,1
1372031220,2
1372031280,2
1372031520,1
1372031700,1
1372032540,1
1372035300,2
1372035660,1
1372035720,1
1372036020,1
1372040220,2
1372047000,2
1372071180,1
1372075320,1
1372075440,1
1372075740,1
1372077900,1
1372078680,1
1372079400,1
1372080420,3
1372081440,2
1372082280,1
1372082640,1
1372083720,1
1372085820,1
1372087860,1
1372087920,2
1372087980,1
1372088040,4
1372088100,2
1372089060,1
1372089840,1
1372089960,1
1372090080,1
1372090620,1
1372091340,1
1372091400,1
1372093500,1
1372094760,1
1372095420,1
1372098240,1
1372099740,1
1372100040,1
1372101600,1
1372101660,1
1372101900,2
1372102080,1
1372102140,1
1372102380,2
1372102860,2
1372103040,1
1372103580,1
1372103700,1
1372104000,1
1372104720,1
1372105200,1
1372105560,1
1372105680,2
1372106340,1
1372106400,1
1372106580,1
1372106880,1
1372107480,1
1372107600,1
1372107720,1
1372108140,1
1372109040,2
1372109280,1
1372109820,1
1372109940,1
1372110300,1
1372110540,1
1372110600,1
1372111080,2
1372111140,1
1372111500,1
1372112460,1
1372112940,1
1372113720,1
1372114080,1
1372115520,1
1372116000,1
1372116240,1
1372117260,1
1372117980,1
1372118220,1
1372118400,1
1372119300,1
1372121580,1
1372122240,1
1372122420,1
1372123620,1
1372124760,1
1372125180,1
1372134660,1
1372135380,1
1372155960,1
1372161180,1
1372162080,1
1372164240,1
1372164600,1
1372165080,1
1372165260,1
1372165380,1
1372165920,1
1372167300,1
1372172460,1
1372173660,1
1372173780,1
1372177920,1
1372178460,1
1372178760,2
1372179420,1
1372179960,1
1372180560,2
1372181820,1
1372182120,1
1372183380,1
1372183680,1
1372184760,1
1372184940,1
1372187940,1
1372188120,1
1372188900,1
1372189680,1
1372191000,1
1372191240,1
1372191480,1
1372191960,3
1372192620,2
1372192680,1
1372193160,2
1372193280,1
1372193760,1
1372194720,2
1372194960,1
1372195140,2
1372195440,1
1372196400,1
1372196520,1
1372196820,2
1372196940,1
1372197060,1
1372198080,1
1372198440,1
1372198620,1
1372198800,2
1372199400,1
1372199760,1
1372199940,1
1372200000,2
1372200240,1
1372200300,1
1372200600,2
1372200900,1
1372201200,1
1372201260,1
1372201620,3
1372201980,1
1372204200,1
1372205340,1
1372205520,1
1372205760,1
1372205940,2
1372206840,1
1372207800,1
1372209480,1
1372209840,1
1372212120,1
1372212780,1
1372213020,1
1372213080,1
1372215840,3
1372215960,1
1372216140,1
1372216800,1
1372217760,1
1372218780,1
1372219260,1
1372219560,2
1372220400,1
1372241220,1
1372243440,1
1372244040,1
1372245060,1
1372246740,1
1372246800,2
1372246980,1
1372247820,1
1372249020,1
1372251180,1
1372251780,1
1372253640,1
1372253700,1
1372253820,1
1372254840,1
1372255920,1
1372257540,2
1372257720,1
1372259340,2
1372259400,2
1372259580,2
1372260960,1
