datetime,departures
1371150480,1
1371150600,1
1371152040,1
1371152520,1
1371154140,1
1371155940,1
1371157380,1
1371157680,1
1371157740,1
1371158340,1
1371158580,2
1371159060,1
1371159240,1
1371159480,1
1371159540,1
1371159780,1
1371159900,1
1371160140,1
1371160380,1
1371160800,1
1371160920,1
1371160980,1
1371161160,1
1371162480,1
1371163680,1
1371164100,1
1371164700,1
1371164760,1
1371169320,1
1371170520,1
1371172080,1
1371172440,1
1371180780,1
1371211980,1
1371212640,1
1371213240,1
1371214560,1
1371214620,1
1371214740,1
1371214980,1
1371216660,1
1371217860,1
1371219300,1
1371220800,1
1371220920,1
1371221280,1
1371221640,1
1371221880,1
1371221940,1
1371224700,1
1371225060,1
1371225420,1
1371225660,1
1371226320,1
1371226620,2
1371226860,1
1371226980,1
1371227880,1
1371228000,1
1371228060,2
1371228240,1
1371228840,1
1371229140,1
1371229980,1
1371231660,1
1371231960,2
1371232140,1
1371232440,1
1371233220,1
1371233400,1
1371233820,1
1371233880,2
1371234180,2
1371234840,1
1371234960,1
1371235320,1
1371235800,1
1371236160,2
1371236220,1
1371236460,2
1371236520,1
1371237360,1
1371237660,2
1371238140,1
1371238560,1
1371238800,1
1371239100,1
1371241260,1
1371241620,2
1371242340,1
1371242880,1
1371243060,1
1371243240,1
1371243300,1
1371243480,2
1371243660,1
1371243780,1
1371243960,1
1371244320,1
1371244560,1
1371247320,1
1371259080,2
1371259260,1
1371259380,3
1371259440,1
1371259500,2
1371260340,2
1371263100,1
1371263760,1
1371266280,1
1371276600,1
1371277140,1
1371291180,1
1371300420,1
1371301380,1
1371307680,1
1371308760,1
1371308940,1
1371309180,1
1371309540,1
1371310740,2
1371311400,1
1371311940,3
1371312600,1
1371312660,1
1371313140,2
1371313380,1
1371314100,2
1371314460,1
1371315480,1
1371316440,2
1371316740,2
1371316860,2
1371316920,1
1371317040,1
1371317280,1
1371317340,3
1371317400,1
1371318240,1
1371318300,2
1371318540,1
1371318720,1
1371319140,1
1371319260,1
1371319740,1
1371319860,1
1371319920,2
1371319980,1
1371320700,1
1371322140,1
1371322380,1
1371322500,3
1371322680,2
1371322740,2
1371322800,1
1371323580,1
1371325740,2
1371325860,1
1371326160,1
1371326340,1
1371326880,3
1371327480,1
1371327600,1
1371327720,2
1371327840,1
1371327900,2
1371328980,1
1371329040,1
1371329100,1
1371329220,1
1371329400,4
1371329520,1
1371329640,1
1371329880,1
1371330300,1
1371330660,2
1371331380,1
1371331500,2
1371331860,2
1371332700,1
1371333300,1
1371333360,2
1371333420,1
1371333720,1
1371333780,1
1371333840,1
1371335280,2
1371335760,2
1371335880,1
1371335940,1
1371336060,1
1371336360,1
1371336480,1
1371337620,1
1371342060,1
1371342540,1
1371343140,1
1371346680,2
1371347220,1
1371347400,1
1371348780,1
1371353520,2
1371355620,2
1371358680,2
1371359280,1
1371373320,1
1371380040,1
1371383760,1
1371389460,1
1371389880,1
1371390480,1
1371391080,2
1371391320,1
1371392280,1
1371393360,1
1371393840,1
1371393900,1
1371394200,1
1371394740,1
1371395220,1
1371395640,2
1371396120,1
1371397680,1
1371398040,1
1371398400,1
1371398880,1
1371399540,1
1371399780,1
1371400980,1
1371401400,1
1371401760,2
1371402240,2
1371402480,2
1371402720,1
1371403560,1
1371403740,1
1371404340,1
1371404580,1
1371404700,2
1371404820,2
1371405420,1
1371405780,1
1371405840,2
1371406140,1
1371406320,1
1371406860,1
1371407220,1
1371407340,1
1371407760,1
1371407880,3
1371408120,3
1371408360,1
1371408600,1
1371408900,1
1371409680,1
1371410160,1
1371410520,1
1371410700,1
1371410760,2
1371410820,1
1371410940,1
1371411000,1
1371411300,1
1371411540,1
1371411900,2
1371412020,1
1371412260,1
1371412680,2
1371413160,1
1371413460,1
1371413520,1
1371413760,2
1371413880,1
1371414120,3
1371414900,1
1371414960,1
1371415620,1
1371415800,1
1371416280,1
1371416580,2
1371416760,1
1371417060,2
1371417360,2
1371417420,2
1371417540,1
1371417780,1
1371417840,1
1371418320,1
1371419460,1
1371420000,1
1371420840,1
1371421140,2
1371421200,1
1371422940,1
1371423480,1
1371423900,1
1371424920,1
1371425280,2
1371425520,1
