datetime,departures
1371152460,1
1371153300,2
1371154080,1
1371155220,1
1371156240,1
1371156540,1
1371157920,1
1371159660,1
1371160500,1
1371163140,1
1371166080,1
1371175260,1
1371175800,1
1371206520,1
1371213120,1
1371216840,1
1371224340,1
1371225120,2
1371225360,1
1371226620,1
1371226860,1
1371227100,1
1371227220,1
1371227400,1
1371227640,1
1371227700,1
1371227880,1
1371231060,2
1371231780,1
1371232440,1
1371232740,1
1371232980,1
1371234840,1
1371234900,1
1371235800,1
1371236340,2
1371236460,1
1371237960,1
1371240840,1
1371242220,1
1371242340,1
1371243120,2
1371243240,1
1371243600,1
1371243720,1
1371243780,1
1371243900,1
1371244020,1
1371244380,1
1371244440,1
1371244620,2
1371245880,1
1371246180,1
1371246240,1
1371246780,1
1371248220,1
1371249420,1
1371250680,1
1371252180,1
1371252420,2
1371252900,1
1371254340,1
1371255060,1
1371256320,1
1371257040,1
1371260160,1
1371260460,2
1371264780,1
1371267540,1
1371268320,1
1371269520,1
1371271380,2
1371274380,1
1371283980,1
1371296460,1
1371300900,1
1371306180,1
1371307260,1
1371308760,1
1371310320,1
1371311280,1
1371311460,1
1371312660,1
1371314760,1
1371315900,1
1371316020,1
1371317040,1
1371317700,1
1371317820,1
1371324480,2
1371324540,1
1371324900,2
1371325020,1
1371325080,2
1371326700,1
1371326880,1
1371328080,1
1371328440,1
1371330060,2
1371330120,1
1371330660,1
1371334620,2
1371334920,1
1371334980,1
1371335400,1
1371336060,1
1371338940,1
1371339060,1
1371341520,1
1371344940,1
1371348720,1
1371350520,1
1371351900,2
1371355500,2
1371355740,1
1371356520,2
1371358080,4
1371361020,1
1371361380,1
1371361620,1
1371362040,2
1371362160,1
1371364140,2
1371375120,2
1371384780,1
1371384900,1
1371390180,2
1371391500,1
1371391800,2
1371392880,2
1371392940,1
1371393420,3
1371395100,1
1371395220,1
1371396000,2
1371396420,1
1371396720,2
1371397560,1
1371398220,1
1371398880,1
1371401580,2
1371401640,1
1371401760,1
1371402720,1
1371408120,1
1371408240,1
1371412560,1
1371413640,2
1371414180,2
1371414300,1
1371415920,2
1371417180,1
1371418200,1
1371420180,3
1371421620,4
1371421680,1
1371421740,2
1371423240,1
1371425220,1
1371426240,1
1371426480,1
1371426660,1
1371429960,1
1371430680,1
