datetime,departures
1371150660,1
1371151560,1
1371151680,1
1371152220,1
1371152400,1
1371153240,1
1371154740,1
1371156000,1
1371156600,2
1371157920,1
1371158220,1
1371159660,2
1371160320,1
1371160380,2
1371160680,1
1371161460,2
1371161820,1
1371163680,3
1371164160,2
1371164580,1
1371166980,1
1371183120,1
1371207540,1
1371212640,1
1371213240,1
1371213420,1
1371213600,1
1371213780,1
1371214740,1
1371215100,1
1371216660,1
1371217200,1
1371217560,1
1371221100,2
1371224100,1
1371225480,1
1371226200,1
1371226980,1
1371227580,1
1371228300,1
1371228540,1
1371229380,2
1371230760,2
1371230820,1
1371230940,1
1371231960,1
1371232080,2
1371232560,2
1371232680,1
1371232740,2
1371233280,1
1371234000,1
1371234180,1
1371234300,1
1371234360,4
1371234420,1
1371234660,1
1371235680,1
1371235800,1
1371235920,2
1371236520,3
1371236880,1
1371236940,1
1371237060,1
1371237300,1
1371237480,3
1371238560,1
1371238620,1
1371238860,3
1371238920,1
1371239160,1
1371239880,1
1371240060,1
1371241320,1
1371241440,3
1371241620,2
1371242340,2
1371242760,1
1371243120,1
1371243240,1
1371243480,1
1371244260,1
1371244800,1
1371245700,1
1371246000,1
1371246060,1
1371248400,2
1371248520,1
1371248760,1
1371249300,1
1371249720,2
1371250260,2
1371251640,2
1371252600,2
1371252780,1
1371254340,1
1371254520,1
1371255480,1
1371256920,1
1371257280,1
1371257400,2
1371257640,1
1371258060,1
1371258300,1
1371259080,3
1371259380,1
1371259440,1
1371259980,1
1371261360,1
1371262500,1
1371264240,1
1371264540,2
1371268020,1
1371268620,1
1371273960,2
1371294240,1
1371298560,1
1371303720,1
1371304080,1
1371304380,1
1371305400,1
1371305640,1
1371305940,1
1371306240,2
1371306780,2
1371307200,1
1371307740,1
1371308340,1
1371310200,2
1371310320,1
1371310920,2
1371311400,1
1371311460,1
1371313020,1
1371313140,1
1371314220,1
1371314280,3
1371314760,3
1371315240,4
1371315480,2
1371315600,2
1371316860,1
1371316920,1
1371317100,1
1371317280,1
1371317400,2
1371317580,1
1371318000,1
1371318600,2
1371318660,1
1371319020,2
1371319800,2
1371319980,1
1371320700,1
1371321120,1
1371321420,1
1371321480,1
1371321720,1
1371322140,1
1371322380,3
1371322740,1
1371322980,1
1371323280,1
1371323340,3
1371323580,2
1371323700,3
1371324060,1
1371324420,3
1371324480,2
1371324780,1
1371324900,4
1371325260,1
1371325440,1
1371325680,1
1371325920,1
1371325980,2
1371326640,1
1371326880,1
1371327300,1
1371327360,1
1371327600,1
1371327840,3
1371327900,2
1371328560,1
1371328680,2
1371328740,1
1371328800,1
1371328920,1
1371330360,1
1371330900,2
1371331080,1
1371331380,1
1371332460,1
1371333000,1
1371333300,1
1371334080,2
1371334620,2
1371335040,1
1371335880,1
1371336120,2
1371336600,1
1371336900,3
1371337020,1
1371337080,1
1371337140,1
1371337440,2
1371337500,1
1371337680,1
1371337920,1
1371338880,1
1371339120,1
1371339300,1
1371339420,1
1371342240,1
1371343080,1
1371343440,1
1371345120,2
1371346920,2
1371347040,1
1371347940,3
1371348000,2
1371348480,1
1371348780,1
1371348900,1
1371349080,1
1371349560,1
1371349980,4
1371350280,1
1371350340,1
1371351360,1
1371351420,4
1371352320,2
1371353040,2
1371354360,3
1371354600,1
1371354660,1
1371354720,1
1371355500,1
1371355920,1
1371359040,1
1371359160,1
1371359700,2
1371360780,3
1371361200,1
1371362580,2
1371363120,1
1371363420,1
1371363480,1
1371363900,2
1371364260,3
1371367740,2
1371367860,2
1371386820,1
1371387780,1
1371389880,1
1371390480,1
1371390720,1
1371391080,1
1371391680,2
1371391920,2
1371392580,1
1371393360,1
1371393480,1
1371393600,1
1371393660,1
1371394740,2
1371395880,1
1371396540,2
1371396840,1
1371397320,1
1371397800,2
1371398220,2
1371399660,1
1371399780,1
1371400020,1
1371401160,2
1371401280,1
1371401340,1
1371401760,1
1371403560,2
1371403740,2
1371404160,1
1371404520,1
1371404580,1
1371404880,1
1371405120,1
1371406080,1
1371406140,1
1371406980,1
1371407160,1
1371407640,1
1371407760,1
1371408660,1
1371408780,1
1371409080,1
1371410220,2
1371410460,2
1371410760,1
1371411120,1
1371412080,2
1371412200,2
1371412440,1
1371412500,1
1371412680,1
1371413340,3
1371414180,1
1371414300,3
1371414480,1
1371414540,1
1371414600,2
1371414840,1
1371415620,1
1371419100,3
1371419280,1
1371419460,1
1371420000,2
1371420600,1
1371420660,2
1371420840,2
1371421020,1
1371421200,1
1371421320,5
1371421380,1
1371421800,1
1371422640,2
1371422700,1
1371422940,1
1371423180,1
1371423360,2
1371423600,3
1371423780,2
1371423840,1
1371424140,1
1371424260,1
1371424860,2
1371424920,1
1371425220,2
1371427140,1
1371427200,1
1371427680,1
1371427800,1
1371428280,1
1371428520,1
1371428580,1
1371429720,6
1371430500,1
1371430740,1
1371430800,1
1371431100,1
1371431880,2
1371432960,3
1371433320,1
1371433800,1
1371435060,1
1371435180,2
1371435240,1
1371436740,1
1371445680,2
1371465420,1
1371466200,1
1371466860,1
1371468480,1
1371471120,2
1371471180,2
1371472500,1
1371472680,1
1371473220,2
1371473400,1
1371473880,1
1371474540,1
1371475620,2
1371475680,2
1371476880,2
1371477240,1
1371478560,1
1371480960,1
1371481080,3
1371481200,1
1371481800,1
1371482340,1
1371483240,1
1371484680,1
1371484740,1
1371485400,1
1371486360,2
1371486480,3
1371486540,1
1371486780,4
1371486960,3
1371488340,1
1371489540,2
1371490080,1
1371490140,2
1371490680,1
1371491640,1
1371491820,2
1371494880,2
1371495900,1
1371498120,1
1371498240,1
1371499320,3
1371499380,1
1371499440,2
1371500640,3
1371501360,1
1371501660,1
1371501960,1
1371502140,1
1371502320,1
1371502980,1
1371503160,1
1371503340,1
1371504720,1
1371505020,1
1371505440,1
1371505740,2
1371505800,1
1371506160,2
1371506580,2
1371506820,1
1371507360,1
1371507660,3
1371507840,2
1371508020,1
1371508140,3
1371508200,2
1371509340,1
1371509580,1
1371509760,2
1371509880,2
1371510660,1
1371510780,1
1371511620,2
1371512280,1
1371512400,1
1371512760,1
1371512940,2
1371513420,2
1371513720,1
1371514260,1
1371514800,1
1371515340,1
1371515580,1
1371516000,1
1371516120,1
1371516780,1
1371516900,2
1371517740,1
1371518460,1
1371518640,1
1371522960,2
1371525000,2
1371525840,1
1371526740,2
1371528840,3
1371529080,1
1371529200,2
1371529320,1
1371534360,1
1371534420,2
1371537960,1
1371538020,1
1371551160,1
1371553080,1
1371553380,2
1371558960,1
1371560580,1
1371560640,2
1371561420,1
1371562440,1
1371563160,1
1371563220,1
1371563700,1
1371564000,1
1371564240,1
1371564540,1
1371565200,1
1371566520,2
1371567960,1
1371570600,1
1371570780,2
1371571080,1
1371571620,1
1371571800,1
1371572040,2
1371573300,2
1371573480,1
1371574020,1
1371574080,1
1371574260,1
1371574320,3
1371574560,1
1371574680,2
1371575100,1
1371575220,1
1371576540,2
1371576600,2
1371577680,3
1371578400,1
1371581460,1
1371582240,2
1371583020,1
1371583140,1
1371583440,1
1371584220,3
1371584820,1
1371585240,1
1371585480,1
1371586200,2
1371588540,1
1371589140,1
1371594060,1
1371594780,1
1371595080,1
1371597360,1
1371597420,1
1371598200,3
1371598260,5
1371598320,3
1371598740,1
1371599280,1
1371604680,1
1371606420,1
1371606480,2
1371609540,2
1371612840,1
1371614760,1
1371617760,2
1371637320,1
1371640140,1
1371641460,1
1371642180,1
1371642540,1
1371644100,1
1371645660,1
1371645720,1
1371647400,1
1371647640,1
1371648060,1
1371649260,1
1371649560,1
1371649620,1
1371649680,1
1371650160,1
1371650940,1
1371652380,1
1371652440,1
1371652680,2
1371652800,1
1371654660,1
1371654780,1
1371655560,1
1371656340,1
1371656520,1
1371657360,1
1371657540,1
1371657960,1
1371658200,1
1371658260,1
1371658980,2
1371659760,1
1371659820,1
1371660480,1
1371661020,1
1371663360,2
1371663600,1
1371663660,1
1371664740,1
1371665460,1
1371665520,2
1371666060,2
1371666480,1
1371666780,1
1371666840,1
1371666900,1
1371667260,1
1371669540,1
1371669600,1
1371669780,1
1371670080,1
1371670380,1
1371670500,1
1371670920,1
1371671160,1
1371671580,1
1371671940,1
1371672060,1
1371672480,1
1371672960,1
1371673200,1
1371673560,2
1371674880,1
1371674940,1
1371675600,1
1371675660,1
1371675840,1
1371676140,2
1371676500,1
1371676680,1
1371677520,1
1371677640,1
1371677880,1
1371680040,1
1371680100,1
1371680220,1
1371680280,1
1371681780,1
1371682140,1
1371682560,1
1371682980,1
1371683340,1
1371684240,1
1371684300,1
1371684420,1
1371684540,1
1371685020,1
1371685860,1
1371686160,1
1371689220,1
1371689460,1
1371693180,1
1371694920,1
1371696180,1
1371697080,1
1371724860,19
1371726360,1
1371726480,1
1371727500,1
1371729480,1
1371729660,1
1371729900,1
1371730020,1
1371730800,1
1371730980,1
1371732060,1
1371732780,1
1371733140,1
1371733380,1
1371733680,1
1371734520,2
1371734760,1
1371735420,1
1371735780,1
1371737880,1
1371738360,1
1371739800,1
1371740100,1
1371740220,1
1371742320,1
1371742500,1
1371742980,1
1371743040,2
1371743160,1
1371743880,1
