datetime,departures
1371151140,1
1371153300,1
1371154500,1
1371156480,1
1371158100,1
1371159000,1
1371159120,1
1371159240,1
1371159540,1
1371159900,1
1371160560,1
1371161640,1
1371161760,1
1371162120,1
1371163080,1
1371163140,1
1371163200,1
1371163740,1
1371163980,1
1371164340,1
1371164580,1
1371172860,1
1371179700,2
1371179760,3
1371179820,1
1371179940,3
1371180000,1
1371180240,2
1371182580,1
1371203760,1
1371204480,1
1371205740,1
1371207840,1
1371208500,1
1371208800,1
1371209040,1
1371211080,1
1371211440,1
1371211920,1
1371212280,1
1371212880,2
1371213540,2
1371213600,1
1371213720,1
1371213840,1
1371213960,1
1371214380,1
1371214440,1
1371214560,1
1371214740,1
1371215700,1
1371216240,1
1371220260,1
1371222420,1
1371222900,1
1371223380,2
1371223560,1
1371226080,1
1371226320,1
1371226440,1
1371226620,2
1371226740,1
1371226980,1
1371227460,1
1371228840,2
1371229500,1
1371229740,1
1371230460,1
1371230820,2
1371231060,2
1371231180,1
1371232560,2
1371232740,1
1371232980,1
1371234120,1
1371234240,1
1371234840,1
1371235320,2
1371235500,1
1371236160,1
1371237300,1
1371239280,1
1371239580,1
1371239640,1
1371240180,1
1371240240,1
1371240300,1
1371240660,1
1371241500,1
1371242640,1
1371243240,1
1371243480,1
1371244080,1
1371246600,1
1371247920,1
1371248640,1
1371248820,2
1371249720,2
1371250680,1
1371250980,1
1371251040,1
1371251640,2
1371251880,2
1371252420,1
1371252600,6
1371252660,3
1371253680,2
1371254040,1
1371254100,1
1371255480,1
1371255600,2
1371255900,1
1371256200,1
1371256680,1
1371257880,1
1371258900,1
1371260820,1
1371261960,1
1371262140,1
1371263820,2
1371264540,1
1371264960,1
1371266460,1
1371267180,1
1371270600,1
1371270660,2
1371271020,1
1371271080,3
1371271140,2
1371271320,2
1371271440,1
1371271560,4
1371272640,1
1371274380,1
1371276840,1
1371294060,1
1371296640,2
1371300180,1
1371300480,1
1371302340,2
1371303180,1
1371303300,1
1371304020,1
1371304200,1
1371305220,1
1371305640,1
1371305700,3
1371306360,1
1371306480,1
1371306780,1
1371307260,1
1371307680,1
1371309240,1
1371309660,1
1371309780,2
1371310920,1
1371311100,2
1371311280,1
1371311580,2
1371312060,1
1371312240,1
1371312420,1
1371312600,1
1371313020,1
1371313140,2
1371313260,1
1371313380,1
1371313800,1
1371315180,1
1371315600,1
1371315840,1
1371315900,1
1371316020,2
1371316380,4
1371316440,1
1371316740,1
1371316860,1
1371316920,3
1371317640,1
1371317820,1
1371317880,1
1371318060,1
1371318540,1
1371319140,1
1371319260,1
1371319800,2
1371319980,3
1371320040,1
1371320280,1
1371320340,2
1371321120,1
1371321180,1
1371321300,1
1371322080,2
1371323340,1
1371323940,1
1371324000,1
1371324180,2
1371324540,2
1371325080,3
1371325740,3
1371326220,1
1371326280,1
1371326640,2
1371327840,1
1371328020,2
1371329940,1
1371332100,7
1371332160,1
1371333060,2
1371333120,1
1371333240,7
1371333300,3
1371333420,4
1371334200,1
1371334440,2
1371334920,1
1371334980,1
1371335400,1
1371335520,1
1371335880,1
1371335940,3
1371336060,1
1371336480,1
1371337020,3
1371337380,1
1371337980,1
1371338700,2
1371339060,1
1371340140,1
1371340680,1
1371341040,1
1371341160,1
1371341880,1
1371341940,1
1371342060,1
1371342120,1
1371342240,4
1371342360,1
1371342420,2
1371342600,1
1371342780,1
1371342840,1
1371342900,1
1371343080,1
1371343260,1
1371343560,1
1371343740,1
1371344160,1
1371344760,1
1371345120,1
1371345600,1
1371345780,1
1371345840,1
1371346080,2
1371346380,1
1371348660,2
1371348780,2
1371349440,1
1371351360,2
1371352080,1
1371352140,1
1371353100,1
1371353340,1
1371353400,2
1371355260,1
1371356040,1
1371356340,1
1371357120,1
1371357360,1
1371357480,3
1371357600,1
1371358740,1
1371359460,1
1371359580,1
1371359640,1
1371359880,1
1371360000,1
1371360360,3
1371360660,1
1371361680,1
1371367740,1
1371367920,1
1371379200,1
1371388920,2
1371390720,2
1371391140,2
1371393060,1
1371393240,1
1371393600,1
1371394020,1
1371394200,1
1371395400,2
1371396960,2
1371397200,1
1371397740,1
1371397980,1
1371398400,1
1371398580,1
1371398880,1
1371399180,1
1371399240,1
1371400020,1
1371400980,1
1371401820,1
1371402060,2
1371402360,1
1371402480,2
1371403320,1
1371403440,1
1371403740,2
1371403860,3
1371404280,1
1371404340,1
1371404520,1
1371404640,1
1371404820,1
1371405180,1
1371405840,1
1371406140,2
1371406440,2
1371406500,2
1371406560,3
1371407100,1
1371407280,1
1371407460,1
1371407760,2
1371407880,3
1371408120,2
1371408240,2
1371408480,2
1371408600,3
1371409140,3
1371409260,2
1371409380,1
1371409800,1
1371409920,1
1371410100,1
1371410640,2
1371411180,2
1371411600,1
1371411840,1
1371412140,2
1371412560,3
1371412680,1
1371413340,1
1371413460,1
1371414060,1
1371414300,2
1371414600,1
1371414780,1
1371414900,2
1371415560,3
1371415920,1
1371416160,2
1371416280,1
1371416580,1
1371416880,1
1371417240,1
1371417540,1
1371417780,2
1371418020,1
1371418140,1
1371418680,1
1371418860,1
1371419460,1
1371419580,1
1371419940,1
1371420000,2
1371421200,1
1371421380,2
1371421440,1
1371421560,1
1371421620,1
1371422220,1
1371422280,1
1371422400,1
1371422520,1
1371422640,1
1371422820,1
1371423240,2
1371424140,1
1371424440,1
1371424980,1
1371425160,1
1371425460,2
1371426300,1
1371426480,2
1371427380,2
1371427680,1
1371428280,2
1371429120,1
1371429180,1
1371429540,2
1371430380,1
1371431040,1
1371431100,3
1371431880,1
1371432240,1
1371432300,1
1371433740,1
1371435900,1
1371437820,1
1371438660,1
1371438900,1
1371439380,1
1371440640,1
1371446760,1
1371446820,1
1371465300,1
1371466860,1
1371467520,1
1371468060,1
1371469800,1
1371470340,1
1371470820,1
1371471180,4
1371471600,1
1371471720,2
1371472020,2
1371472140,2
1371472500,1
1371472800,1
1371474180,1
1371474780,2
1371478140,1
1371478440,2
1371478500,1
1371479340,1
1371480000,1
1371483360,1
1371483480,1
1371484260,1
1371484320,1
1371487260,1
1371488580,1
1371489840,1
1371489900,1
1371491280,1
1371492480,1
1371493620,2
1371494100,1
1371495300,1
1371496560,1
1371498600,1
1371499080,1
1371499440,3
1371499560,1
1371499740,1
1371500160,1
1371500820,1
1371501840,1
1371502140,1
1371502800,1
1371502920,1
1371502980,1
1371503580,1
1371503700,1
1371503880,1
1371504780,1
1371505140,3
1371506040,2
