datetime,departures
1371152940,1
1371153900,1
1371156060,1
1371159360,1
1371159660,1
1371160320,4
1371160380,4
1371160440,2
1371160560,1
1371161820,1
1371164460,1
1371164580,1
1371169560,1
1371214320,4
1371214920,1
1371215220,1
1371215400,1
1371216060,1
1371217440,1
1371217680,1
1371220980,1
1371221040,1
1371223020,1
1371224220,1
1371224700,1
1371226500,1
1371226740,1
1371227700,1
1371228600,1
1371230280,1
1371233880,1
1371239580,1
1371243240,1
1371243840,1
1371246300,1
1371251760,1
1371255180,1
1371256140,1
1371261660,1
1371262980,1
1371264240,1
1371268860,1
1371310560,2
1371312180,1
1371313800,1
1371316020,1
1371319380,1
1371319800,1
1371320580,1
1371320820,1
1371321480,1
1371321720,1
1371322440,1
1371323940,1
1371326640,1
1371327720,1
1371329700,1
1371331440,1
1371333240,1
1371334920,3
1371337020,1
1371337980,1
1371338100,1
1371338220,1
1371339540,1
1371342120,1
1371343260,1
1371343440,1
1371345060,1
1371345120,1
1371348000,1
1371351660,1
1371354960,1
1371356400,1
1371357480,1
1371363120,2
1371363420,1
1371363600,1
1371363840,1
1371368580,1
1371370980,1
1371376860,1
1371381480,1
1371385500,1
1371387060,1
1371393360,1
1371393600,1
1371394920,1
1371395400,1
1371395580,2
1371398760,1
1371398880,1
1371400200,1
1371401400,1
1371402240,1
1371403320,1
1371405000,1
1371406080,1
1371406440,1
1371407040,1
1371407100,1
1371407880,1
1371409260,1
1371410220,1
1371410520,1
1371410580,1
1371411840,1
1371412860,1
1371412920,1
1371413040,1
1371414000,1
1371414060,1
1371414900,1
1371415740,1
1371418260,1
1371420060,1
1371420180,1
1371420960,1
1371423420,2
1371423840,1
1371426180,1
1371426240,1
1371426780,2
1371430080,1
1371438960,2
1371466860,1
1371468960,1
1371470280,1
1371471960,1
1371472320,1
1371475560,1
1371477240,1
1371480180,1
1371480360,1
1371480540,1
1371482340,2
1371483060,1
1371484080,1
1371484260,1
1371488520,1
1371495660,1
1371499080,1
1371500700,1
1371502440,2
1371503040,1
1371503340,2
1371503700,2
1371504180,1
1371507060,1
1371507300,1
1371509400,1
1371510000,1
1371510360,1
1371510540,1
1371511680,1
1371511980,1
1371512520,1
1371512880,1
1371512940,1
1371513720,1
1371514020,2
1371514800,1
1371515340,1
1371517140,1
1371517320,1
1371517440,1
1371518760,1
1371519960,1
1371521640,1
1371523800,1
1371525840,1
1371530880,1
1371538620,1
1371555660,1
1371556560,1
1371557220,1
1371557340,1
1371558780,1
1371561180,1
1371561540,1
1371562980,1
1371563340,1
1371563880,1
1371566040,1
1371575100,1
1371575160,1
1371575880,1
1371580020,2
1371583380,1
1371587040,1
1371592680,1
1371602280,1
1371607080,1
1371637860,1
1371640080,1
1371642240,1
1371643140,1
1371644220,1
1371644940,1
1371645480,1
1371646560,1
1371646980,1
1371647280,1
1371647460,2
1371652800,2
1371656700,1
1371657840,1
1371657960,1
1371660120,1
1371660180,1
1371660720,1
1371661200,1
1371666900,1
1371667080,1
1371668400,1
1371668700,1
1371670080,1
1371671640,1
1371672360,1
1371672780,1
1371672960,1
1371674820,1
1371676020,1
1371676140,1
1371677160,1
1371677400,1
1371678480,1
1371679140,1
1371680220,1
1371680280,1
1371680580,1
1371681720,1
1371683040,1
1371683520,1
1371683580,1
1371685020,2
1371685080,3
1371685560,1
1371685680,1
1371688440,2
1371689040,1
1371691860,1
1371693540,2
1371695460,1
1371695820,1
1371699120,1
1371724860,1
1371725820,1
1371726780,1
1371728640,1
1371730980,1
1371733680,1
1371738660,1
1371740640,1
1371741060,1
1371746820,1
1371747360,2
1371747540,2
1371748560,1
1371748800,1
1371753540,1
1371753600,1
1371754500,1
1371757080,1
1371757380,1
1371758100,1
1371761280,1
1371761760,1
1371763020,1
1371764280,1
1371764340,1
1371764640,1
1371765600,1
1371765960,1
1371766860,1
1371767880,2
1371769440,1
1371770760,3
1371774240,1
1371774840,1
1371776040,1
1371781080,1
1371783480,1
1371784800,1
1371786840,1
1371803520,2
1371803640,8
1371804960,3
1371805020,4
1371805080,3
1371809220,1
1371812040,1
1371813720,1
1371814920,1
1371815100,1
1371815160,1
1371815700,1
1371820260,1
1371822480,1
1371825960,1
1371826080,1
1371826200,1
1371828540,1
1371829680,1
1371829860,1
1371829980,1
1371830940,1
1371831960,1
1371832740,1
1371836460,1
1371837660,2
1371840600,2
1371843120,1
1371846180,1
1371847740,1
1371849180,1
1371851820,1
1371854280,1
1371855300,1
1371855480,1
1371858240,1
1371858360,1
1371858540,2
1371859200,1
1371860580,1
1371863160,3
1371863220,1
1371863700,1
1371870240,2
1371875100,1
1371907860,1
1371908280,2
1371908820,1
1371908940,1
1371910140,1
1371910740,1
1371911940,1
1371912420,2
1371915240,1
1371915540,1
1371915840,1
1371916380,2
1371916560,1
1371919080,1
1371920700,1
1371920820,1
1371921180,1
1371921900,3
1371922200,1
1371922440,1
1371922740,1
1371923880,3
1371926340,1
1371927540,1
1371928560,1
1371930000,1
1371931200,1
1371931440,1
1371932040,1
1371934860,2
1371938340,1
1371939600,1
1371940800,2
1371942300,1
1371944940,1
1371945180,1
1371948000,1
1371948060,1
1371949080,1
1371949620,1
1371963360,1
1371990120,1
1371994980,1
1371996660,1
1371997740,1
1371997800,1
1371998160,2
1371999120,1
1372002420,1
1372002600,3
1372004700,2
1372005420,1
1372005900,1
1372005960,1
1372006560,1
1372006800,2
1372007280,1
1372007460,3
1372009440,1
1372009620,1
1372010580,2
1372010640,2
1372011240,1
1372011420,1
1372012140,1
1372012200,1
1372012680,1
1372012860,1
1372014300,2
1372014360,1
1372016220,1
1372017540,1
1372018260,1
1372022760,1
1372026060,1
1372026360,2
1372032840,1
1372033620,1
1372034880,1
1372035000,1
1372038720,1
1372040340,1
1372042440,1
1372044420,1
1372064760,4
1372064820,2
1372064940,3
1372065000,2
1372065120,3
1372067220,1
1372067880,1
1372071240,1
1372073940,1
1372074240,1
1372077420,1
1372077660,1
1372077780,1
1372079280,1
1372083360,1
1372089060,2
1372090140,1
1372092540,1
1372094040,1
1372098000,1
1372099260,1
1372099740,1
1372101720,1
1372103400,1
1372103580,1
1372106580,1
1372108920,1
1372109400,1
1372110480,1
1372112280,1
1372112340,1
1372112640,1
1372114380,1
1372115160,1
1372116540,1
1372117380,2
1372121100,1
1372122480,1
1372123140,1
1372128900,1
1372129020,1
1372129320,2
1372129380,2
1372129440,3
1372129620,1
1372129740,2
1372129800,2
1372130100,1
1372158120,1
1372160040,1
1372160460,1
1372162440,1
1372162980,1
1372178280,1
1372179180,1
1372179840,1
1372180740,1
1372181220,1
1372182840,1
1372185960,1
1372188900,1
1372190820,1
1372191720,1
1372191780,1
1372192440,1
1372192620,1
1372192740,1
1372193040,1
1372193460,2
1372194780,1
1372195560,1
1372195680,1
1372196520,1
1372198080,2
1372198200,1
1372198560,1
1372199040,1
1372199280,1
1372199580,1
1372200120,1
1372201500,2
1372201620,1
1372202520,1
1372202640,2
1372203360,1
1372203420,1
1372203660,1
1372204020,1
1372204080,1
1372205100,1
1372205340,1
1372205820,1
1372206000,1
1372206240,1
1372206720,1
1372208220,1
1372209300,1
1372212060,1
1372217160,1
1372222020,2
1372222860,1
1372232160,1
1372232520,2
1372240860,1
1372241820,1
1372245180,1
1372245960,1
1372246260,1
1372247220,1
1372248120,1
1372249740,1
1372250100,1
1372250340,1
1372250760,1
1372252080,1
1372254120,1
1372255740,1
1372258440,1
1372260900,1
1372261140,1
1372265880,1
1372265940,1
1372266720,1
1372272840,1
1372273320,1
1372275180,1
1372275240,1
1372275540,1
1372276020,1
1372276080,1
1372277520,1
1372277700,1
1372277760,1
1372277940,1
1372279800,2
1372280460,1
1372280700,1
1372281300,1
1372282860,1
1372284120,1
1372284720,1
1372285260,1
1372285380,1
1372285920,2
1372286220,1
1372286580,1
1372286880,1
1372287060,1
1372287120,1
1372287360,1
1372291020,1
1372291860,1
1372291920,1
1372292340,1
1372293240,1
1372293300,1
1372293600,1
1372293900,1
1372294740,1
1372295640,1
1372296540,1
1372297080,1
1372297800,2
1372298280,1
1372299540,1
1372303380,1
1372304640,1
1372327200,1
1372330020,1
1372330680,1
1372330860,1
1372331520,1
1372331760,1
1372332480,1
1372332840,1
1372333980,1
1372334700,1
1372335900,1
1372336980,2
1372337040,1
1372339680,1
1372344180,2
1372344420,1
1372344660,1
1372345080,1
1372345500,1
1372346100,1
1372349880,1
1372351200,1
1372358580,1
1372359720,1
1372359960,1
1372363980,4
1372374060,4
1372375140,1
1372375500,1
1372375860,1
1372376700,1
1372376760,1
1372376820,2
1372377060,1
1372377300,1
1372378140,1
1372378680,1
1372378740,1
1372379760,1
1372380180,1
1372380480,1
1372380960,1
1372381980,1
1372388700,1
1372388940,1
1372389240,1
1372391700,1
1372396500,1
1372397160,1
1372414680,1
1372416180,1
1372416660,1
1372417680,1
1372418400,1
1372419360,1
1372423020,1
1372423080,2
1372423740,1
