datetime,departures
1371203580,1
1371204240,1
1371212100,1
1371252300,1
1371255480,1
1371304980,1
1371317040,1
1371320940,1
1371321720,1
1371325920,1
1371327900,1
1371328080,1
1371328260,1
1371342720,1
1371348420,1
1371348600,1
1371404700,1
1371407580,1
1371413160,1
1371420060,1
1371470760,1
1371476580,1
1371478380,1
1371480060,1
1371499680,1
1371505020,1
1371509880,1
1371548880,1
1371550560,1
1371555540,1
1371561540,1
1371561960,1
1371567600,1
1371579300,1
1371642240,1
1371642720,1
1371643080,1
1371643680,1
1371643980,1
1371654060,1
1371655080,1
1371655440,1
1371672000,1
1371678840,1
1371680460,1
1371730080,1
1371731400,1
1371733380,1
1371736860,1
1371740160,1
1371742620,1
1371742740,1
1371743520,1
1371755340,1
1371756120,1
1371758280,1
1371770220,1
1371781500,1
1371784080,1
1371816360,1
1371817080,1
1371834360,1
1371835380,1
1371848820,1
1371853260,1
1371853440,1
1371857520,1
1371858540,1
1371859500,1
1371860040,1
1371880260,2
1371920820,1
1371922560,1
1371933480,1
1371934680,1
1372002300,1
1372011360,1
1372013880,1
1372016640,1
1372016940,1
1372042560,1
1372074840,1
1372075920,1
1372076160,1
1372076280,1
1372078680,1
1372092240,1
1372092660,1
1372099560,1
1372102380,1
1372105140,1
1372110480,1
1372116300,1
1372155600,1
1372157460,1
1372160220,1
1372161060,1
1372161120,1
1372175700,2
1372195980,1
1372204320,1
1372208160,1
1372240740,1
1372241460,1
1372243620,1
1372246620,1
1372248240,1
1372248600,1
1372250760,1
1372251660,1
1372255440,2
1372267800,1
1372268160,1
1372284420,1
1372285620,1
1372286220,1
1372329060,1
1372333200,2
1372333260,1
1372334400,2
1372336980,1
1372339020,1
1372345980,1
1372347660,1
1372358580,1
1372359420,1
1372364160,1
1372376220,1
1372379460,1
1372412820,1
1372418400,2
1372418460,3
1372418820,4
1372419240,3
1372419300,2
1372419360,1
1372419480,1
1372438380,1
1372449180,1
1372458780,1
1372524720,1
1372543380,1
1372545960,1
1372550520,1
1372552740,1
1372561620,1
1372595700,1
1372596960,1
