datetime,departures
1371150660,1
1371153660,1
1371154140,1
1371156780,1
1371157140,1
1371157860,1
1371158040,1
1371160500,1
1371162360,1
1371163140,1
1371163800,1
1371165660,1
1371212100,2
1371215220,1
1371216060,1
1371216300,1
1371216480,1
1371216600,1
1371220020,1
1371220380,1
1371220500,1
1371220860,1
1371225060,1
1371228720,1
1371230760,1
1371230820,1
1371234420,1
1371236940,1
1371237180,1
1371237300,1
1371240420,1
1371241680,1
1371244140,1
1371244680,2
1371246960,1
1371247380,1
1371248520,1
1371249060,1
1371249180,1
1371250260,1
1371250680,3
1371250920,1
1371251220,1
1371252420,1
1371252960,1
1371254040,1
1371254340,1
1371254520,1
1371255480,1
1371255720,1
1371257880,2
1371259920,1
1371265620,2
1371267840,1
1371267900,1
1371275400,1
1371275880,1
1371276420,1
1371300780,1
1371301320,1
1371303000,1
1371303960,1
1371305220,1
1371305580,1
1371306360,1
1371306780,1
1371308520,2
1371308580,1
1371309960,1
1371310020,1
1371312720,1
1371313980,1
1371314280,1
1371314880,1
1371315240,1
1371317820,1
1371319140,1
1371319980,2
1371320460,2
1371322380,1
1371322860,1
1371324420,1
1371324900,3
1371325020,1
1371325080,1
1371326280,1
1371326340,1
1371326460,1
1371326580,1
1371326640,2
1371327120,1
1371327600,1
1371327840,1
1371327900,2
1371329220,1
1371329340,1
1371330120,1
1371332580,1
1371332760,2
1371333120,1
1371333240,1
1371333840,1
1371333900,1
1371333960,1
1371334500,2
1371334860,2
1371334920,2
1371335340,2
1371336240,2
1371336720,3
1371336780,1
1371337020,3
1371337140,1
1371338520,1
1371339660,1
1371339840,1
1371339900,1
1371340680,2
1371341880,1
1371342060,1
1371342120,1
1371342240,1
1371344520,1
1371348480,1
1371348780,2
1371349560,1
1371351300,2
1371356640,2
1371359880,2
1371359940,2
1371365160,1
1371368040,2
1371375000,1
1371378900,1
1371382860,1
1371387540,1
1371391140,1
1371395280,1
1371397200,2
1371397740,2
1371399900,1
1371399960,1
1371400860,2
1371402000,1
1371402360,1
1371403140,2
1371403320,2
1371403560,1
1371403860,1
1371404040,1
1371404640,2
1371404700,1
1371405000,1
1371407760,1
1371407880,1
1371408660,1
1371408960,1
1371409680,1
1371410100,1
1371410580,2
1371411240,1
1371411300,1
1371412980,2
1371415980,1
1371416160,1
1371417600,1
1371417900,1
1371418020,1
1371418200,1
1371418260,1
1371418500,1
1371419340,1
1371419940,1
1371420000,1
1371420600,1
1371421380,1
1371421440,1
1371421680,1
1371421980,1
1371422280,1
1371422880,2
1371423180,2
1371424560,1
1371424800,1
1371425040,1
1371425100,1
1371425160,1
1371425220,2
1371426120,1
1371427380,1
1371431520,1
1371431880,2
1371436740,1
1371437520,1
1371437580,1
1371469740,1
1371469920,1
1371472020,1
1371472500,1
1371473400,1
1371473880,1
1371475800,1
1371477420,1
1371481500,1
1371483000,1
1371487140,1
1371487740,1
1371487860,2
1371490680,1
1371490980,1
1371494340,1
1371496080,1
1371499560,1
1371499860,1
1371499980,1
1371500160,1
1371501480,1
1371501780,1
1371502740,1
1371502920,1
1371502980,1
1371503040,1
1371503100,1
1371503340,1
1371503460,1
1371504180,1
1371504900,2
1371505140,2
1371505380,1
1371508680,1
1371509880,3
1371510000,1
1371510240,1
1371511320,1
1371511680,1
1371511740,2
1371512040,1
1371512280,1
1371512940,1
1371514140,1
1371514260,1
1371516240,1
1371516360,1
1371516480,1
1371516660,1
1371516900,1
1371517740,1
1371519180,1
1371519240,1
1371521040,2
1371528600,1
1371529500,1
1371532020,2
1371548220,1
1371556080,1
1371558720,1
1371559680,1
1371559980,1
1371561060,1
1371562080,1
1371562440,1
1371563160,1
1371563580,1
1371564840,1
1371567600,1
1371568380,2
1371570840,1
1371572520,1
1371573540,1
1371573840,1
1371578040,1
1371579300,1
1371580200,1
1371585600,1
1371586440,1
1371589500,2
1371589620,1
1371589860,2
1371590700,1
1371590820,1
1371597780,1
1371600420,1
1371600780,1
1371614160,2
1371614280,8
1371614340,4
1371634800,1
1371642540,1
1371645420,1
1371646620,1
1371646740,1
1371647220,1
1371649620,1
1371650160,1
1371650820,1
1371650940,1
1371657720,1
1371658740,1
1371663180,1
1371663900,1
1371664140,1
1371666000,3
1371666180,1
1371666720,1
1371668940,1
1371669240,1
1371669480,1
1371669840,1
1371673200,1
1371673380,1
1371673560,1
1371673800,1
1371674460,1
1371675600,1
1371675720,1
1371675900,1
1371676020,1
1371676320,1
1371676440,1
1371677040,1
1371677520,2
1371677640,1
1371677880,1
1371677940,1
1371679860,2
1371681300,1
1371681420,1
1371681960,1
1371682860,1
1371683100,1
1371683880,1
1371684060,2
1371684900,1
1371685080,1
1371686280,1
1371686760,1
1371687180,1
1371687360,1
1371687480,1
1371689280,1
1371689400,1
1371691320,1
1371692940,1
1371693000,1
1371693480,1
1371698880,1
1371699840,1
1371700620,1
1371700800,3
1371700860,3
1371729300,1
1371731940,1
1371733140,1
1371733860,1
1371734040,1
1371734460,1
1371734640,2
1371737160,1
1371737220,2
1371738360,1
1371739380,1
1371740160,1
1371740820,1
1371741060,1
1371742500,1
1371744720,1
1371749820,2
1371749880,1
1371750480,1
1371753900,1
1371755580,1
1371757740,1
1371758100,1
1371758760,1
1371759540,1
1371760080,1
1371760260,1
1371760680,1
1371761340,1
1371762060,1
1371762300,2
1371762780,1
1371762900,1
1371763080,1
1371763200,1
1371763920,1
1371764280,1
1371764520,1
1371764700,1
1371764820,1
1371765420,2
1371766440,1
1371766860,1
1371767280,1
1371768300,1
1371768600,1
1371769440,1
1371769680,1
1371770760,1
1371770820,1
1371770940,4
1371771000,1
1371771300,1
1371772800,1
1371773460,1
1371773700,1
1371773820,1
1371778620,1
1371778740,1
1371779040,2
1371779160,1
1371780420,1
1371783120,1
1371788220,1
1371789240,1
1371792000,1
1371809760,1
1371811080,1
1371812220,2
1371813600,1
1371816180,1
1371820860,1
1371820920,1
1371821220,1
1371822660,1
1371825180,1
1371828180,1
1371828660,1
1371830460,2
1371831300,1
1371831360,1
1371831480,1
1371833100,1
1371834060,1
1371834600,1
1371834960,1
1371835620,1
1371837180,1
1371838680,1
1371839340,1
1371839520,3
1371839580,1
1371839640,1
1371839700,1
1371839820,1
1371840840,2
1371841500,1
1371841980,1
1371842580,1
1371842700,1
1371843000,1
1371843480,1
1371843540,1
1371843960,1
1371844440,1
1371844620,1
1371844740,1
1371844920,1
1371844980,1
1371846060,1
1371847200,1
1371847680,1
1371848220,1
1371849540,1
1371850380,1
1371853260,3
1371855120,1
1371856140,2
1371856320,1
1371856440,1
1371860040,1
1371860700,1
1371861720,1
1371862080,2
1371862560,1
1371863220,1
1371863340,1
1371864960,1
1371865320,1
1371866160,1
1371866460,2
1371867900,2
1371868920,1
1371869700,1
1371871020,1
1371871260,1
1371878040,1
1371878100,1
1371904980,1
1371907860,2
1371908340,1
1371909540,1
1371910860,1
1371911040,1
1371913080,1
1371914220,1
1371915900,1
1371916440,1
1371916500,1
1371916980,1
1371917820,1
1371918120,2
1371918240,1
1371918420,1
1371918960,1
1371919680,1
1371922440,2
1371923160,2
1371923400,1
1371923460,2
1371923940,3
1371924300,1
1371924780,1
1371925020,1
1371925500,1
1371927600,1
1371927720,2
1371927780,1
1371928020,1
1371928560,1
1371928620,1
1371929880,2
1371931380,2
1371931860,2
1371932100,1
1371932220,2
1371932400,1
1371932940,1
1371933120,2
1371933300,2
1371933480,2
1371933600,1
1371933660,1
1371934020,1
1371934080,1
1371934200,3
1371935340,1
1371935460,1
1371935820,1
1371936600,2
1371937200,1
1371938940,1
1371940020,2
1371940080,1
1371940140,1
1371940200,1
1371942300,1
1371942420,1
1371945240,1
1371946740,2
1371947340,2
1371947640,1
1371948540,1
1371950040,1
1371950400,2
1371953640,3
1371953700,1
1371953760,1
1371954180,1
1371954240,2
1371954480,1
1371955440,2
1371955740,1
1371955800,1
1371955920,1
1371955980,1
1371956280,1
1371956340,2
1371958440,1
1371959520,2
1371959640,1
1371959700,1
1371962880,1
1371964980,1
1371966360,1
1371992640,1
1371992940,1
1371993360,1
1371995340,1
1371995820,1
1371996000,1
1371996780,1
1371997020,1
1371998640,1
1371999000,1
1371999300,1
1372000140,1
1372000200,1
1372002840,1
1372003680,1
1372005180,1
1372005240,1
1372005360,1
1372006560,1
1372007580,1
1372007700,1
1372008600,2
1372009020,2
1372009200,2
1372009260,1
1372009560,1
1372009980,2
1372010580,1
1372010640,2
1372010880,1
1372012680,1
1372012740,1
1372013400,1
1372014240,2
1372014480,2
1372014660,2
1372014900,1
1372015200,1
1372015740,1
1372015920,1
1372016640,2
1372016880,1
1372017780,1
1372017900,1
1372018200,1
1372018260,1
1372018620,1
1372019340,1
1372020180,1
1372020840,4
1372024800,1
1372025040,1
1372026360,3
1372026900,2
1372027080,1
1372027440,1
1372034460,1
1372034520,1
1372035600,3
1372035660,1
1372036680,2
1372037040,1
1372039680,1
1372039800,1
1372063980,1
1372070160,1
1372071720,1
1372072680,1
1372075680,1
1372075980,1
1372077060,1
1372077780,1
1372078140,1
1372078620,4
1372078680,4
1372078800,1
1372078860,1
1372078980,3
1372079040,1
1372079160,1
1372079400,1
1372079700,1
1372081560,1
1372082340,1
1372082700,1
1372083180,1
1372084380,1
1372086780,1
1372090260,1
1372090500,1
1372092300,1
1372092960,1
1372093920,1
1372094460,1
1372095300,2
1372096260,1
1372097040,2
1372097160,1
1372098120,1
1372099320,2
1372099380,1
1372099920,1
1372100280,1
1372101180,1
1372101900,2
1372102020,1
1372102860,1
1372103580,1
1372103700,1
1372103820,1
1372103880,2
1372103940,1
1372104240,2
1372104360,2
1372104480,2
1372104600,1
1372105080,2
1372105200,1
1372105380,1
1372105620,1
1372106640,1
1372106760,1
1372106880,2
1372107060,1
1372107180,1
1372107900,1
1372108140,2
1372108980,1
1372109040,1
1372109280,1
1372111380,1
1372111440,1
1372112700,1
1372113120,1
1372113360,1
1372113720,1
1372114380,1
1372114620,1
1372115460,1
1372115520,1
1372115580,2
1372115700,1
1372116120,2
1372116180,1
1372117560,1
1372117620,1
1372118280,2
1372119300,1
1372119480,1
1372121520,1
1372123680,1
1372126080,1
1372126500,1
1372126680,2
1372127340,1
1372128000,1
1372130640,1
1372131000,1
1372133820,1
1372144500,1
1372151940,1
1372156320,1
1372157580,1
1372158300,1
1372161720,1
1372162560,1
1372162920,1
1372163760,1
1372164660,1
1372165080,2
1372165920,1
1372167000,1
1372167180,1
1372170960,1
1372171200,2
1372171320,1
1372171920,1
1372172400,2
1372172520,1
1372173120,1
1372174320,1
1372174920,1
1372175160,1
1372175280,1
1372176300,1
1372176780,1
1372177080,1
1372177680,1
1372179180,2
1372179360,1
1372179420,1
1372180200,1
1372182120,1
1372184640,1
1372185240,1
1372186320,2
1372190580,1
1372190640,1
1372191000,1
1372193700,1
1372194000,1
1372194300,1
1372194420,3
1372194600,3
1372194840,3
1372194960,1
1372195920,1
1372196520,2
1372196940,1
1372197960,1
1372198020,1
1372198080,1
1372198200,1
1372198320,1
1372198560,2
1372198800,1
1372198860,1
1372200420,1
1372200600,1
1372200780,1
1372201320,1
1372202400,1
1372204020,1
1372204320,1
1372204740,2
1372205340,2
1372205400,1
1372206420,1
1372207200,1
1372207320,1
1372210380,1
1372210500,1
1372211520,1
1372213200,1
1372214400,1
1372215240,1
1372215300,2
1372215660,1
1372240080,1
1372247640,1
1372249680,1
1372250220,1
1372250340,1
1372253100,1
1372253160,1
1372253280,1
1372253700,1
1372255200,1
1372255500,1
1372257720,1
1372260180,1
1372260240,2
1372263660,2
1372263720,1
1372263900,1
1372264320,1
1372264560,1
1372267620,1
1372268040,1
