datetime,departures
1371153660,1
1371215700,1
1371232860,2
1371238020,1
1371238500,2
1371239820,1
1371243120,1
1371270240,3
1371305220,1
1371314100,1
1371314640,1
1371314820,1
1371314880,1
1371316620,2
1371316860,1
1371317280,1
1371317880,2
1371320340,1
1371323040,1
1371323460,2
1371324480,1
1371324660,2
1371324720,1
1371325320,2
1371325380,1
1371325860,1
1371325920,3
1371326460,2
1371330480,1
1371332220,1
1371332280,2
1371338520,1
1371338580,1
1371339600,2
1371342000,3
1371342060,1
1371344400,1
1371345540,1
1371366840,1
1371392880,1
1371395460,1
1371396720,1
1371400620,1
1371403200,1
1371404100,1
1371405120,2
1371405420,2
1371408000,1
1371409620,1
1371409680,2
1371410160,1
1371412200,1
1371412260,1
1371412680,2
1371417840,1
1371418020,1
1371418440,1
1371422460,1
1371442380,1
1371442500,1
1371469560,1
1371485820,1
1371486840,1
1371489420,1
1371501360,2
1371501660,1
1371512640,1
1371514260,1
1371517140,1
1371519060,2
1371522360,1
1371522600,1
1371553620,1
1371561960,1
1371582300,1
1371584520,1
1371586020,1
1371590820,1
1371651120,2
1371652980,1
1371654660,3
1371662160,1
1371662460,1
1371662520,2
1371668100,1
1371671220,1
1371671700,1
1371671940,1
1371672720,2
1371676140,1
1371679680,1
1371688440,1
1371693240,1
1371694500,1
1371694620,1
1371729480,1
1371729600,5
1371729660,2
1371729780,3
1371729840,1
1371730020,1
1371731100,1
1371750060,1
1371755760,1
1371757080,1
1371757140,1
1371757320,1
1371758280,1
1371759660,1
1371766860,1
1371768660,1
1371770820,2
1371780060,1
1371788100,2
1371788340,1
1371816540,1
1371830520,1
1371833760,1
1371853740,1
1371856560,1
1371862680,1
1371880560,2
1371887340,1
1371896700,1
1371908940,1
1371914220,2
1371919320,2
1371922260,1
1371926820,1
1371929040,4
1371930180,1
1371931380,1
1371932520,1
1371933900,1
1371934020,1
1371936000,1
1371936600,2
1371938340,1
1371938460,2
1371943980,1
1371945420,1
1371946680,2
1371950940,1
1371954960,1
1371993960,1
1371996000,2
1371998160,1
1371998820,1
1371998940,1
1372003800,1
1372007220,1
1372007700,1
1372008360,1
1372009860,1
1372009980,1
1372012680,2
1372012740,1
1372013160,1
1372017780,2
1372017840,2
1372018200,2
1372024620,1
1372028760,1
1372029720,1
1372032420,1
1372032660,2
1372032900,2
1372035000,1
1372035840,1
1372047360,1
1372069920,1
1372090320,2
1372092780,1
1372095000,1
1372100700,1
1372108440,1
1372109280,1
1372113360,1
1372114080,1
1372114800,1
1372114860,1
1372162080,1
1372162500,1
1372163940,1
1372176720,1
1372181580,1
1372182840,1
1372194240,1
1372194660,1
1372201980,1
1372203960,1
1372211220,1
1372211340,1
1372211400,1
1372213980,1
1372214160,1
1372215060,1
1372250580,1
1372263120,1
1372269360,1
1372272300,1
1372273740,1
1372274580,1
1372276260,3
1372282500,1
1372285500,1
1372290120,1
1372335180,1
1372335660,2
1372336800,1
1372338960,1
1372339680,1
1372364400,1
1372370520,1
1372374060,2
1372374540,1
1372422180,2
1372422540,1
1372424460,1
1372427760,1
1372437780,1
1372455120,2
1372459080,1
1372460040,1
1372468320,1
1372514700,1
1372515600,1
1372519320,1
1372521120,1
1372523460,1
1372523580,1
1372524420,3
1372525740,2
1372528260,1
1372529580,1
1372529820,2
1372530000,2
1372530120,1
1372532700,1
1372548360,2
1372549260,1
1372550280,1
1372559220,2
1372606380,2
1372606500,2
1372606740,1
1372606800,1
1372608660,1
1372609080,2
1372610340,1
1372614780,1
1372614960,1
1372620000,1
1372634400,1
1372635180,1
1372638540,2
1372639440,2
1372647780,2
1372681380,1
1372681680,1
1372700340,1
1372700460,1
1372717980,1
1372719420,1
1372721880,1
1372724340,1
1372724940,1
1372727700,2
1372728360,1
1372766400,1
1372784880,1
1372786860,2
1372799100,1
1372800900,2
1372802280,1
1372802520,1
1372804740,1
1372808580,1
1372814400,1
1372856820,1
1372856940,1
1372858020,1
1372858740,1
1372859880,1
1372860180,1
1372860780,5
1372860900,4
1372862820,1
1372862940,2
1372864920,1
1372870800,1
1372873140,1
1372875180,1
1372885920,1
1372890360,1
1372893480,1
1372898880,1
1372922760,1
1372947240,1
1372959720,1
1372961400,1
1372964220,1
1372964340,1
1372969440,2
1372979220,1
1372984680,1
1372991880,1
1373022240,3
1373022300,4
1373022420,4
1373052240,2
1373053320,4
1373058360,1
1373059560,1
1373069400,1
1373069820,1
1373116800,1
1373124480,1
1373129580,1
1373129700,1
1373135940,1
1373136600,1
1373140500,1
1373140680,1
1373142900,2
1373143200,2
1373148120,1
1373148300,1
1373148420,1
1373149260,1
1373149440,1
1373149680,1
1373152680,2
1373152740,2
1373152860,1
1373156280,1
1373161020,1
1373168520,1
1373168580,1
1373213160,1
1373215320,2
