datetime,departures
1371158940,1
1371161700,1
1371162420,1
1371172380,1
1371177300,1
1371216060,1
1371227580,1
1371227760,1
1371228060,1
1371234000,1
1371236880,1
1371237180,2
1371240840,1
1371240960,1
1371241080,1
1371241860,1
1371242580,2
1371243780,2
1371251220,1
1371252420,2
1371258480,1
1371259080,1
1371259140,1
1371260580,1
1371297540,1
1371299760,1
1371300540,1
1371303780,1
1371312060,1
1371315420,2
1371315600,1
1371316620,1
1371318720,2
1371321180,1
1371321720,1
1371321840,1
1371322260,2
1371323040,1
1371325080,1
1371325920,1
1371326640,1
1371326700,2
1371326760,1
1371326880,1
1371329040,1
1371330060,1
1371330300,1
1371331620,2
1371331860,2
1371334680,2
1371334860,1
1371334980,1
1371335040,1
1371335280,1
1371335880,1
1371336720,2
1371338700,1
1371340320,2
1371342360,1
1371342720,1
1371343140,1
1371343260,1
1371345900,1
1371346620,1
1371359520,1
1371360600,2
1371387480,1
1371390780,1
1371394320,1
1371394380,1
1371395580,1
1371398880,1
1371402120,1
1371403620,1
1371405120,1
1371405180,2
1371405420,1
1371408480,1
1371408600,3
1371410160,1
1371410580,1
1371410940,1
1371411120,1
1371412080,1
1371413100,1
1371415380,1
1371415800,1
1371416520,1
1371417420,1
1371418080,1
1371418980,1
1371427320,1
1371433500,1
1371466860,1
1371471960,1
1371499440,1
1371509760,1
1371513480,1
1371513840,1
1371513900,1
1371515220,1
1371515280,2
1371515700,1
1371516720,1
1371523680,1
1371552000,1
1371557280,1
1371558420,1
1371560460,1
1371560700,1
1371564780,1
1371573720,2
1371574140,1
1371575580,1
1371577920,2
1371578460,1
1371581580,2
1371588960,1
1371589020,1
1371639720,1
1371644580,1
1371647220,1
1371648240,1
1371652680,1
1371657780,1
1371658980,1
1371659040,1
1371660120,2
1371664140,1
1371664200,1
1371665160,1
1371669240,1
1371669300,1
1371672480,1
1371672720,1
1371674580,1
1371677040,1
1371680220,1
1371686160,1
1371687360,2
1371688440,2
1371695460,1
1371706500,1
1371706620,1
1371725100,1
1371732420,2
1371736260,1
1371738360,1
1371739320,1
1371741780,1
1371744480,1
1371744540,1
1371744840,1
1371745380,2
1371746040,2
1371746820,2
1371753240,2
1371753360,1
1371753420,1
1371754260,1
1371754500,1
1371758520,1
1371759540,1
1371760740,1
1371761280,1
1371761460,1
1371761580,1
1371762120,1
1371764280,1
1371765720,1
1371768480,1
1371769080,1
1371771180,1
1371771300,1
1371771720,1
1371772140,2
1371774540,1
1371777060,1
1371777960,1
1371778560,1
1371780120,1
1371791580,1
1371801060,2
1371822480,1
1371823320,1
1371824460,1
1371828480,1
1371829440,1
1371831180,1
1371832620,2
1371835800,1
1371841320,1
1371842700,2
1371845640,1
1371849180,1
1371849480,1
1371862080,1
1371864960,1
1371901140,1
1371905220,1
1371907320,1
1371909240,1
1371912240,1
1371914520,2
1371919080,1
1371919620,1
1371919680,1
1371919860,1
1371920040,1
1371921180,1
1371921420,2
1371924300,1
1371924420,1
1371924540,1
1371924780,1
1371925140,1
1371927780,1
1371930660,1
1371930780,1
1371933720,1
1371934200,1
1371935100,1
1371935160,2
1371936720,2
1371938040,1
1371938160,1
1371941940,1
1371942120,1
1371943380,2
1371943980,2
1371944280,1
1371944340,1
1371945180,1
1371947220,1
1371947460,1
1371947880,2
1371948120,1
1371948540,1
1371948840,1
1371949560,1
1371949620,1
1371949800,1
1371951060,1
1371951540,1
1371952200,1
1371952440,1
1371955020,1
1371963480,1
1371964320,1
1371969720,2
1371992280,1
1371993180,1
1371998220,1
1371999540,1
1372001640,1
1372002600,1
1372002660,1
1372005180,1
1372008780,1
1372011480,1
1372011720,1
1372012680,1
1372014900,1
1372016640,1
1372016940,1
1372017420,1
1372018440,1
1372018620,2
1372018860,1
1372020300,2
1372022220,1
1372023300,1
1372024140,3
1372028520,1
1372030620,2
1372031100,1
1372032240,1
1372032660,1
1372035480,1
1372038180,2
1372047720,1
1372047780,1
1372067880,1
1372070040,1
1372074240,1
1372077480,1
1372077960,1
1372079940,1
1372084560,1
1372085280,1
1372095840,1
1372097100,1
1372098240,1
1372115340,1
1372117020,1
1372120680,1
1372124040,1
1372124940,1
1372165020,1
1372165920,1
1372173060,1
1372176360,1
1372176780,1
1372178760,1
1372180200,1
1372180680,1
1372186620,1
1372188960,1
1372189140,1
1372190280,1
1372191480,1
1372191900,1
1372191960,1
1372193700,1
1372193760,1
1372193880,1
1372197120,1
1372202160,1
1372202280,1
1372203180,2
1372203960,1
1372206600,1
1372208580,1
1372209120,1
1372209300,1
1372210800,1
1372213740,1
1372213800,2
1372215360,1
1372217280,1
1372217580,1
1372234080,1
1372241100,1
1372248660,1
1372249500,1
1372253640,1
1372253820,1
1372254000,1
1372256040,1
1372256580,1
1372256700,1
1372259880,1
1372263600,1
1372264440,1
1372265940,1
1372268220,1
1372270380,1
1372283280,1
1372285920,1
1372288980,1
1372289040,1
1372291020,2
1372292340,1
1372293900,2
1372294020,1
1372294440,1
1372296600,2
1372304940,1
1372305120,1
1372306740,1
1372327740,1
1372332600,1
1372334700,1
1372335000,1
1372338180,1
1372345140,1
1372348080,1
1372349460,1
1372351140,1
1372358580,1
1372358940,2
1372359840,1
1372370400,1
1372378140,1
1372383240,2
1372384680,1
1372419240,2
1372419300,3
1372419360,1
1372419480,1
1372419540,2
1372419600,1
1372419660,2
1372419960,1
1372421760,1
1372423020,1
1372427580,1
1372430520,1
1372434900,1
1372438620,1
1372440420,1
1372441560,2
1372443300,2
1372444380,1
1372451760,1
1372452120,1
1372452780,1
1372453260,1
1372453380,1
1372455660,1
1372457640,2
1372458000,2
1372459860,1
1372464780,1
1372465380,1
1372467000,1
1372479840,2
1372503360,1
1372503960,1
1372506540,1
1372508280,1
1372508460,1
1372508640,1
1372510860,1
1372510980,1
1372516440,1
1372516680,1
1372520160,1
1372520460,1
1372521300,2
1372521720,1
1372522800,1
1372524000,1
1372528800,1
1372530000,1
1372530420,1
1372530780,1
1372532940,2
1372535700,1
1372537380,2
1372540260,5
1372540860,1
1372542660,1
1372545960,4
1372546080,1
1372546140,1
1372549980,1
1372550700,1
1372550820,1
1372551120,2
1372551360,1
1372552560,2
1372553460,1
1372554120,1
1372562760,1
1372565160,2
1372566480,1
1372566780,1
1372570860,1
1372572780,1
1372576140,2
1372591920,1
1372593120,1
1372596720,1
1372598340,1
1372607280,1
1372607460,1
1372607760,1
1372609380,1
1372609860,1
1372620000,1
1372620180,2
1372620720,1
1372622760,1
1372627140,1
1372627920,2
1372628040,2
1372628460,3
1372629120,1
1372630020,1
1372631160,1
1372631760,1
1372631820,1
1372631880,1
1372632840,1
1372638540,1
1372638780,1
1372642680,2
1372649460,1
1372672980,1
1372679820,1
1372680960,1
1372702860,1
1372708500,1
1372710960,1
1372722660,1
1372727580,1
1372728120,2
1372728240,2
1372733700,1
1372768320,1
1372773720,3
1372782840,1
1372794480,2
1372797480,2
1372801440,2
1372803960,2
1372806960,1
1372820280,1
1372825200,2
1372845480,1
1372849260,1
1372853160,1
1372857120,1
1372857240,1
1372870080,2
1372872780,1
1372872840,2
1372883040,1
1372884360,1
1372884480,1
1372887120,1
1372887180,1
1372887840,1
1372892520,1
1372897860,1
1372898700,2
1372898760,1
1372899000,1
1372899180,1
1372902900,1
1372908000,2
1372908120,3
1372908360,1
1372934340,1
1372934520,1
1372934820,1
1372937460,2
1372941840,2
1372947480,1
1372947960,1
1372948860,1
1372950840,1
1372951140,1
1372951320,1
1372951800,1
1372951920,1
1372955280,1
1372959000,4
1372960320,1
1372961160,1
1372961220,1
1372963020,1
1372963380,1
1372965300,1
1372966080,1
1372971480,2
1372971780,1
1372972080,1
1372972320,2
1372973640,1
1372974120,1
1372974600,2
1372976460,1
1372977660,2
1372978320,1
1372978620,1
1372982100,1
1372986180,1
1372987560,1
1372988160,1
1372988280,1
1372988580,3
1372988640,1
1372991520,1
1372997760,1
1373001480,2
1373001720,2
1373034600,1
1373037480,1
1373039700,1
1373039820,1
1373044680,1
1373045100,1
1373048220,1
1373054580,1
1373056440,2
1373059560,2
1373059920,1
1373061120,1
1373062020,1
1373064480,1
1373073840,1
1373075460,1
1373082120,2
1373097120,2
1373112060,1
1373115120,1
1373120820,2
1373125320,1
1373125560,1
1373127780,2
1373128200,2
1373128440,1
1373130420,1
1373134740,1
1373136420,1
1373137080,2
1373137320,1
1373138460,3
1373139120,1
1373139180,1
1373139840,1
1373140020,1
1373144640,2
1373144760,2
1373146920,1
1373148780,1
1373150280,1
1373152620,1
1373154240,1
1373154540,1
1373159880,1
1373160420,2
1373170080,1
1373198820,1
1373204400,1
1373207400,1
1373208780,1
1373209020,1
1373210160,1
1373211060,2
1373212020,1
1373212380,1
1373212680,1
1373213280,1
1373215320,1
1373215740,1
1373217180,1
1373219040,1
1373219280,1
1373222100,1
1373222880,1
1373223960,1
1373224500,2
1373227980,1
1373228400,1
1373231220,1
1373235420,1
1373235720,1
1373235840,1
1373237520,1
1373242740,2
1373242920,1
1373245080,1
1373252820,1
1373285520,1
1373289060,1
1373298540,1
1373305020,2
1373312160,1
1373317620,1
1373328300,2
1373329620,1
1373330880,2
1373331540,1
1373331600,1
1373331780,1
1373332020,1
1373332200,1
1373332680,1
1373333040,1
1373333520,1
1373337420,1
1373338020,1
1373338260,1
1373338500,1
1373338980,1
1373364480,2
1373374800,1
1373374920,1
1373376120,1
1373377920,1
1373381760,1
1373391900,1
1373392080,1
1373395320,1
1373397420,1
1373407980,1
1373408580,1
1373408640,2
1373408820,1
1373408940,1
1373409060,1
1373410860,2
1373411040,1
1373411220,1
1373414160,1
1373457900,1
1373459040,1
1373460240,1
