datetime,departures
1371152460,1
1371171840,1
1371192660,1
1371205500,1
1371219540,1
1371219600,1
1371220740,1
1371238560,1
1371243240,1
1371279840,1
1371296460,4
1371296520,3
1371296640,2
1371296700,1
1371296760,1
1371296820,1
1371303660,1
1371305820,1
1371310140,2
1371311280,1
1371314340,1
1371320340,1
1371325080,1
1371325320,1
1371329940,1
1371336240,1
1371339240,1
1371339540,1
1371347400,2
1371363540,1
1371368040,1
1371371760,1
1371386940,1
1371394080,1
1371398040,1
1371400620,1
1371400680,2
1371402420,1
1371407760,2
1371412080,1
1371416940,1
1371418920,1
1371419280,1
1371424200,1
1371424260,1
1371424800,1
1371425400,1
1371429060,1
1371432060,1
1371432240,2
1371464580,1
1371471360,2
1371471540,1
1371471600,1
1371472200,1
1371472500,1
1371475980,1
1371476520,1
1371476580,1
1371485700,1
1371487080,1
1371490140,1
1371492060,1
1371492180,2
1371501300,1
1371512400,1
1371512460,1
1371512940,1
1371513120,1
1371514980,1
1371515220,1
1371550980,1
1371555900,1
1371557100,1
1371558300,1
1371558420,1
1371561540,1
1371562860,1
1371563880,1
1371566760,1
1371568980,1
1371592440,3
1371592500,2
1371592560,2
1371594120,1
1371604200,1
1371637440,1
1371643200,1
1371643500,1
1371644220,1
1371645120,1
1371646200,1
1371646500,1
1371650760,1
1371652680,1
1371655740,1
1371658080,1
1371660240,1
1371660480,1
1371661440,1
1371669420,1
1371670200,1
1371671220,1
1371673740,1
1371674340,1
1371674580,2
1371676140,1
1371679140,1
1371683880,1
1371685140,1
1371704400,1
1371724860,1
1371725400,1
1371726780,1
1371727080,1
1371730260,1
1371730380,1
1371730500,1
1371730800,1
1371731640,1
1371733680,1
1371734580,1
1371736320,1
1371742320,1
1371744840,1
1371746100,1
1371746700,1
1371749280,1
1371750780,1
1371751680,1
1371755820,1
1371755880,1
1371755940,1
1371756240,1
1371757140,1
1371760080,1
1371764400,1
1371766320,1
1371770040,1
1371773580,1
1371775260,1
1371776040,1
1371776340,1
1371779400,1
1371792600,1
1371797580,1
1371810180,1
1371813480,1
1371816720,1
1371817440,1
1371817620,1
1371817740,1
1371820620,1
1371821160,2
1371821400,1
1371821460,1
1371822480,1
1371823920,1
1371824040,1
1371824520,1
1371828540,1
1371830640,1
1371831600,1
1371833580,1
1371833700,1
1371833760,1
1371837420,2
1371841740,1
1371843120,2
1371843300,1
1371845100,1
1371847860,1
1371848400,1
1371857220,1
1371859500,1
1371862260,1
1371866520,1
1371871080,1
1371874560,1
1371875100,1
1371900300,1
1371902040,1
1371906900,1
1371907020,1
1371908640,1
1371911220,1
1371911340,1
1371911580,2
1371914400,1
1371914940,2
1371916740,1
1371917280,1
1371919380,1
1371920640,1
1371920820,1
1371921240,1
1371922440,1
1371922980,1
1371926640,1
1371926940,1
1371929460,1
1371929580,1
1371932460,1
1371934080,1
1371936060,1
1371936780,1
1371949680,1
1371952020,1
1371957900,1
1371972360,1
1371989400,1
1371995100,1
1371996000,1
1371996360,1
1371996540,1
1371996660,1
1371997260,1
1371998640,1
1371998820,1
1371999900,1
1372001640,1
1372001880,1
1372005840,2
1372006020,1
1372007700,1
1372008240,1
1372011900,2
1372013880,1
1372017360,1
1372017540,1
1372017900,1
1372020840,2
1372021440,1
1372024140,1
1372026900,4
1372028520,5
1372029180,1
1372032780,1
1372034280,1
1372034340,2
1372034460,1
1372038420,1
1372038540,1
1372042800,1
1372044840,1
1372069380,1
1372071180,1
1372072560,1
1372072800,1
1372076280,1
1372076400,1
1372076460,1
1372076520,1
1372076880,1
1372078320,1
1372078560,1
1372080480,1
1372081080,1
1372081260,2
1372082220,1
1372083540,1
1372086480,1
1372086600,1
1372086660,1
1372087620,1
1372089720,1
1372091940,1
1372092300,1
1372092660,1
1372093200,1
1372095780,1
1372097040,1
1372098120,1
1372099740,1
1372101780,1
1372102560,1
1372103460,1
1372103580,1
1372106400,1
1372106460,2
1372108380,1
1372108740,1
1372111800,1
1372113360,1
1372114380,1
1372117560,1
1372118400,1
1372119480,1
1372119720,1
1372120920,1
1372121160,2
1372137300,1
1372155780,1
1372159800,1
1372163460,3
1372163520,1
1372164360,1
1372164900,2
1372165860,1
1372166880,1
1372167720,1
1372171560,1
1372175340,1
1372179960,1
1372181700,1
1372183020,3
1372187940,2
1372192620,1
1372192680,1
1372195320,1
1372198080,1
1372200000,1
1372203600,1
1372204440,1
1372204860,1
1372205940,1
1372206180,1
1372206360,1
1372207200,2
1372207620,1
1372212180,1
1372213440,1
1372236480,1
1372242120,1
1372248300,1
1372248780,2
1372249140,1
1372249680,1
1372249860,1
1372250040,1
1372250280,1
1372251060,1
1372251240,1
1372251420,1
