datetime,departures
1371152940,2
1371161940,1
1371165060,1
1371165900,1
1371167040,1
1371186240,1
1371210840,1
1371211740,1
1371212100,2
1371212280,1
1371214500,1
1371214740,1
1371216180,1
1371223320,1
1371242100,1
1371246600,1
1371248820,1
1371251760,1
1371252660,1
1371253680,1
1371253980,1
1371260280,1
1371300600,1
1371304200,1
1371304260,1
1371304620,1
1371304980,1
1371305640,1
1371310200,1
1371311280,1
1371314820,1
1371317040,1
1371317100,1
1371317220,1
1371320280,1
1371320340,1
1371320760,1
1371321000,1
1371322260,1
1371322380,1
1371322440,1
1371322680,1
1371323040,1
1371323640,1
1371324060,2
1371324420,2
1371324720,2
1371326280,1
1371326700,1
1371326880,1
1371327900,1
1371328560,1
1371328680,1
1371328920,1
1371329160,2
1371329520,2
1371332580,1
1371333900,1
1371334080,1
1371336480,2
1371336780,1
1371339420,1
1371341940,1
1371342420,1
1371342720,1
1371342780,1
1371351540,1
1371387120,1
1371392940,1
1371395580,1
1371396780,1
1371398340,2
1371399000,1
1371399060,1
1371401280,1
1371401640,2
1371402240,1
1371404340,1
1371406440,2
1371407220,1
1371408120,1
1371409980,1
1371411780,1
1371411900,1
1371412080,2
1371412200,1
1371413880,1
1371414180,1
1371417060,1
1371420780,1
1371427080,1
1371430380,1
1371430680,1
1371432240,1
1371433980,1
1371434880,1
1371454080,1
1371454980,1
1371456840,1
1371470700,1
1371471540,1
1371471840,1
1371475800,1
1371478500,1
1371480000,1
1371480960,1
1371484560,1
1371491160,1
1371493620,1
1371501420,1
1371505140,1
1371511560,1
1371514680,1
1371519120,1
1371524760,1
1371525300,1
1371527280,1
1371535260,1
1371548220,1
1371555180,1
1371556260,1
1371556380,1
1371559200,1
1371560280,1
1371561060,1
1371561180,2
1371566280,1
1371569820,1
1371569940,1
1371572400,1
1371578640,1
1371578760,1
1371579540,1
1371639780,1
1371641700,1
1371642060,1
1371642840,1
1371644220,2
1371644520,1
1371645360,2
1371645780,1
1371647520,1
1371647640,1
1371648360,1
1371649680,1
1371658020,1
1371658740,1
1371660120,2
1371661320,1
1371662220,1
1371668400,1
1371674280,1
1371675420,1
1371680040,1
1371682740,1
1371691380,1
1371698340,1
1371712200,1
1371724860,1
1371727740,1
1371728040,1
1371728700,1
1371728940,1
1371729780,1
1371732960,1
1371734040,1
1371734640,1
1371736080,1
1371737040,1
1371738060,1
1371739380,1
1371739800,1
1371740640,1
1371741240,1
1371743340,1
1371751020,1
1371752580,1
1371755580,1
1371756000,1
1371763920,3
1371765480,1
1371766020,1
1371775680,2
1371777240,1
1371777360,1
1371778680,1
1371779880,1
1371780180,1
1371781740,1
1371787800,1
1371790380,1
1371792240,1
1371795540,1
1371813780,1
1371814560,1
1371815640,1
1371816720,1
1371816900,1
1371820020,1
1371822480,2
1371823380,1
1371824760,1
1371824880,1
1371828000,1
1371828180,1
1371829680,1
1371850860,1
1371853440,1
1371857400,1
1371857460,1
1371857520,1
1371860700,1
1371861420,1
1371864180,1
1371864960,1
1371868800,2
1371868920,1
1371870900,1
1371903480,1
1371903840,1
1371905520,1
1371910320,1
1371910680,1
1371911040,1
1371912060,1
1371915720,1
1371918900,4
1371919740,1
1371920160,1
1371920880,2
1371921420,2
1371922920,2
1371922980,3
1371923100,1
1371923160,1
1371924720,2
1371926400,1
1371928620,1
1371929880,1
1371931200,1
1371931380,1
1371931440,1
1371932940,2
1371933180,2
1371939360,1
1371940320,1
1371945600,1
1371945720,2
1371945780,1
1371947100,1
1371947340,1
1371948060,1
1371949080,1
1371956100,1
1371959220,1
1371960780,1
1371964320,1
1371965220,1
1371967020,1
1371969780,1
1371976740,1
1371990000,1
1371997500,2
1372001340,1
1372001460,1
1372004580,1
1372004700,1
1372007220,1
1372010460,1
1372013460,1
1372017780,1
1372017900,1
1372020840,1
1372020900,1
1372022640,1
1372025640,1
1372027440,1
1372030500,1
1372033500,1
1372041600,1
1372066860,1
1372066980,1
1372068000,1
1372070460,1
1372071660,1
1372074240,1
1372074480,1
1372076040,1
1372077060,1
1372078020,1
1372078140,1
1372079280,1
1372080120,1
1372080180,1
1372083120,2
1372083180,1
1372083300,4
1372086660,1
1372088640,1
1372098720,1
1372099500,1
1372112820,1
1372112940,2
1372115460,1
1372121160,1
1372124760,1
1372128180,1
1372129740,1
1372157580,1
1372159080,1
1372160220,1
1372160760,1
1372161480,2
1372162320,1
1372163520,1
1372163640,1
1372164720,1
1372164900,1
1372164960,1
1372165860,1
1372166100,1
1372166880,1
1372167000,1
1372170420,1
1372172940,1
1372173240,1
1372173660,1
1372175760,1
1372176720,1
1372179420,1
1372180200,1
1372182000,1
1372182300,1
1372182840,1
1372186200,1
1372187040,1
1372197480,1
1372199760,1
1372199820,1
1372199940,1
1372202040,1
1372205340,1
1372208160,1
1372208220,1
1372209420,1
1372210680,1
1372214580,1
1372216140,1
1372219260,1
1372219380,1
1372241220,1
1372247100,1
1372247280,1
1372247520,1
1372248240,1
1372248600,1
1372250700,1
1372251420,1
1372252080,1
1372252440,1
1372252800,1
1372253280,1
1372259580,1
1372260120,1
1372260780,1
1372262640,1
1372271460,1
1372273500,1
1372274340,1
1372276380,1
1372277760,1
1372280940,1
1372283700,1
1372283820,1
1372283880,1
1372287480,1
1372289820,1
1372292160,2
1372304760,1
1372305180,1
1372305900,1
1372308300,1
1372325520,1
1372329480,1
1372330380,1
1372331580,1
1372332000,1
1372333800,1
1372334880,1
1372339440,1
1372339800,1
1372341120,1
1372343520,1
1372348800,1
1372358100,2
1372358580,1
1372358940,1
1372359420,1
1372370760,1
1372379160,1
1372380780,1
1372381980,1
1372387020,1
1372390740,1
1372390860,1
1372391400,1
1372412340,1
1372413960,1
1372416840,1
1372417680,1
1372418520,1
1372419660,1
1372421520,1
1372421640,1
1372422060,1
1372422780,1
1372423200,1
1372423380,1
1372424640,1
1372425360,1
1372426140,1
1372428660,1
1372429140,1
1372430640,1
1372441140,1
1372441440,1
1372446900,1
1372457520,1
1372460340,1
1372461060,1
1372461240,1
1372462440,1
