datetime,departures
1371151140,1
1371157440,1
1371159240,1
1371159960,1
1371162360,1
1371164160,1
1371165300,1
1371165480,1
1371170520,1
1371215880,1
1371216000,1
1371216060,3
1371216180,3
1371216240,2
1371216300,1
1371219240,1
1371219600,1
1371221460,5
1371221520,5
1371221580,4
1371221880,1
1371222060,6
1371222120,3
1371222420,2
1371222480,1
1371224700,1
1371225480,1
1371230820,1
1371236160,1
1371242220,1
1371243900,1
1371244020,1
1371244560,1
1371246180,1
1371248520,1
1371249000,1
1371251460,1
1371252060,1
1371252780,1
1371252900,1
1371257700,1
1371257760,1
1371262680,1
1371268920,1
1371270900,1
1371271860,1
1371296820,1
1371297660,1
1371301860,1
1371302700,1
1371305820,1
1371307260,1
1371309060,1
1371313500,2
1371314820,1
1371316440,1
1371317400,1
1371318000,1
1371320220,1
1371321840,2
1371324900,1
1371326340,2
1371328560,1
1371330060,1
1371330360,1
1371332340,2
1371333360,1
1371333420,1
1371335760,1
1371341220,1
1371341340,1
1371341820,2
1371342240,2
1371342360,2
1371343920,1
1371345120,2
1371351300,1
1371355740,2
1371358980,1
1371360120,1
1371381720,1
1371388680,2
1371408780,2
1371409440,1
1371410760,2
1371413340,1
1371414600,1
1371418740,1
1371418860,2
1371420060,2
1371422400,1
1371422700,1
1371422880,1
1371429000,1
1371466200,1
1371472200,1
1371483480,1
1371483600,1
1371483780,1
1371486480,2
1371489060,1
1371490140,1
1371493620,1
1371502380,2
1371504420,1
1371504780,1
1371505620,1
1371505920,1
1371506160,1
1371506460,1
1371507120,1
1371507840,1
1371507900,1
1371508020,1
1371508140,1
1371509580,1
1371509700,1
1371511560,1
1371511680,1
1371512940,1
1371513840,1
1371517500,1
1371523320,1
1371553860,1
1371559560,1
1371559680,1
1371560280,1
1371561300,1
1371561360,2
1371561420,1
1371561960,3
1371562560,1
1371564600,1
1371566100,3
1371566220,3
1371566280,7
1371567720,1
1371569460,1
1371569820,1
1371570180,1
1371570600,1
1371579180,1
1371585600,1
1371590880,1
1371593040,1
1371594900,1
1371595500,1
1371598680,1
1371598800,1
1371599700,1
1371599820,1
1371601740,1
1371605100,1
1371606600,1
1371611340,1
1371642900,1
1371650160,1
1371650340,1
1371658260,1
1371659340,2
1371659580,1
1371659760,1
1371659940,1
1371662700,1
1371664860,1
1371664980,1
1371665160,1
1371665340,3
1371665460,1
1371665580,1
1371667500,1
1371668640,2
1371669600,1
1371670560,1
1371670740,1
1371670800,1
1371670920,1
1371671100,2
1371671160,1
1371671220,3
1371671340,1
1371671640,1
1371672240,1
1371674940,1
