datetime,departures
1371151440,1
1371154800,1
1371155400,1
1371155820,1
1371158100,1
1371158520,1
1371159360,1
1371162240,1
1371205680,1
1371206100,1
1371208260,1
1371208800,1
1371210960,1
1371211920,1
1371213120,1
1371213360,1
1371213960,2
1371214020,1
1371214740,1
1371215100,2
1371216360,1
1371217320,1
1371222300,1
1371222360,1
1371222480,1
1371224100,1
1371225120,1
1371227160,1
1371229020,1
1371230220,1
1371230460,1
1371230820,1
1371231480,1
1371232920,1
1371233580,1
1371236640,1
1371238680,1
1371239040,1
1371240060,1
1371240120,1
1371242220,1
1371242760,1
1371243300,1
1371244080,1
1371246000,1
1371246180,2
1371248640,1
1371248760,1
1371250080,1
1371251700,1
1371252120,1
1371253320,1
1371253800,1
1371253980,1
1371261360,1
1371275400,1
1371296160,1
1371296940,1
1371298140,1
1371300180,1
1371304200,1
1371306360,1
1371306540,1
1371307560,2
1371309720,1
1371310680,1
1371311280,1
1371311340,1
1371311940,1
1371313500,1
1371313740,1
1371314100,1
1371314880,1
1371314940,2
1371315840,2
1371316140,2
1371316440,1
1371316560,1
1371316740,2
1371316860,1
1371317280,1
1371317400,1
1371317820,10
1371318120,1
1371318720,1
1371319260,1
1371319980,1
1371321600,1
1371322680,1
1371326760,1
1371327900,1
1371329040,2
1371329160,1
1371329220,1
1371330840,2
1371331920,1
1371332460,2
1371333060,1
1371333780,1
1371337620,1
1371339840,1
1371341880,2
1371342120,1
1371342600,2
1371349320,2
1371349740,1
1371350940,1
1371379860,1
1371387780,1
1371388020,1
1371389580,1
1371390900,1
1371395580,1
1371398340,1
1371399360,1
1371400080,2
1371400140,1
1371401640,1
1371401820,1
1371402120,1
1371402420,1
1371402720,1
1371403860,1
1371404580,1
1371404700,1
1371408480,2
1371410460,1
1371411600,1
1371411780,1
1371413340,1
1371413460,1
1371413520,1
1371414900,1
1371417360,1
1371420180,1
1371424500,1
1371426180,1
1371426720,1
1371433680,1
1371467460,1
1371467520,1
1371469620,1
1371469800,1
1371472140,1
1371474120,1
1371474420,1
1371475980,1
1371482760,1
1371485400,1
1371486960,1
1371489960,1
1371493680,1
1371498480,1
1371500640,1
1371503280,1
1371505380,1
1371507420,2
1371509580,1
1371514680,1
1371554820,1
1371556200,1
1371556380,1
1371557520,1
1371558120,1
1371558420,1
1371558780,1
1371559080,1
1371559980,1
1371560820,1
1371561060,1
1371563460,1
1371563580,1
1371564000,1
1371564420,1
1371564720,1
1371575160,1
1371576420,1
1371579960,1
1371584820,1
1371601740,1
1371631440,1
1371641220,1
1371641340,1
1371641940,1
1371644340,1
1371644820,1
1371645780,1
1371646080,2
1371646200,1
1371646740,1
1371646920,1
1371647940,1
1371648480,1
1371649680,1
1371651180,1
1371658740,1
1371659760,1
1371660960,1
1371664680,1
1371674280,1
1371676140,1
1371683640,1
1371684060,1
1371685260,3
1371687180,1
1371693660,1
1371696060,1
1371727260,1
1371728220,2
1371728880,1
1371729000,1
1371733080,1
1371735720,1
1371737400,1
1371737700,1
1371738120,1
1371745140,1
1371745380,1
1371746040,1
1371756780,1
1371759780,1
1371760140,1
1371762600,1
1371764280,2
1371764400,1
1371764520,1
1371767220,1
1371767400,1
1371780420,1
1371801900,2
1371802020,3
1371809220,1
1371813960,1
1371814620,1
1371814740,1
1371815400,1
1371815580,2
1371815760,2
1371815820,1
1371815940,1
1371817380,1
1371819960,3
1371820380,1
1371821160,1
1371823860,1
1371823980,1
1371831180,1
1371832260,1
1371832740,1
1371842700,1
1371845520,2
1371848040,1
1371849960,1
1371856260,1
1371856500,1
1371863340,1
1371864540,1
1371864600,1
1371870120,1
1371870360,2
1371872400,1
1371894540,1
1371900060,1
1371902340,1
1371903240,1
1371905880,1
1371907320,1
1371908580,1
1371910680,1
1371910920,1
1371911820,2
1371915000,1
1371917880,1
1371918900,1
1371918960,3
1371919380,1
1371919440,1
1371921000,1
1371924120,1
1371924180,1
1371924360,2
1371924720,1
1371924900,1
1371927120,2
1371928680,1
1371928800,1
1371928860,2
1371929040,1
1371929220,1
1371929280,1
1371929700,1
1371929880,3
1371930000,1
1371930720,1
1371930780,1
1371933480,1
1371935040,1
1371938160,1
1371939240,1
1371943320,1
1371945120,2
1371945300,1
1371949140,1
1371951900,1
1371952440,1
1371954540,1
1371958260,1
1371958440,1
1371963000,1
1371984600,1
1371988740,1
1371990960,1
1371992580,1
1371994200,3
1371994500,1
1371994560,1
1371994680,1
1371997980,1
1372002060,1
1372003500,1
1372003680,1
1372003800,1
1372005720,2
1372006620,1
1372008180,1
1372009380,1
1372010760,1
1372011300,1
1372011480,2
1372012680,1
1372013160,1
1372013340,1
1372014900,2
1372015500,1
1372016400,1
1372018020,1
1372018260,1
1372023360,1
1372023780,1
1372025820,1
1372027980,1
1372028760,1
1372030380,2
1372032540,2
1372034580,1
1372035060,1
1372067640,1
1372070880,1
1372071480,1
1372073640,1
1372076220,1
1372077300,1
1372077600,1
1372078500,1
1372080420,1
1372080480,1
1372081440,1
1372081680,1
1372100220,1
1372102080,1
1372102620,1
1372104480,1
1372116480,1
1372118700,1
1372122480,1
1372124400,1
1372124580,1
1372124640,1
1372154760,1
1372159380,1
1372161720,1
1372162680,1
1372162980,1
1372163460,2
1372164720,1
1372165260,1
1372166940,1
1372167240,1
1372169820,3
1372173600,1
1372174920,1
1372180560,1
1372187160,1
1372188300,2
1372190340,1
1372190760,1
1372194360,1
1372197720,1
1372198320,1
1372205280,1
1372212780,1
1372213200,1
1372239240,1
1372245180,1
1372245240,1
1372246020,1
1372246140,1
1372246440,1
1372246620,1
1372247220,1
1372250460,1
1372251600,1
1372252800,1
1372253340,1
1372253700,1
1372254660,1
1372260960,1
1372262820,1
1372263360,1
1372263420,1
1372263660,1
1372267020,1
1372273440,1
1372273920,1
1372274220,1
1372280760,2
1372283280,1
1372285440,1
1372289220,1
1372289700,1
1372292460,2
1372303080,1
1372309920,1
1372331940,3
1372332000,2
1372332120,1
1372335060,1
1372336320,1
1372336800,2
1372336980,1
1372338000,1
1372338540,1
1372339380,1
1372339560,1
1372342680,2
1372343520,1
1372346040,1
1372349760,1
1372358100,2
1372366260,1
1372374540,1
1372375140,1
1372376520,1
1372381740,1
1372381860,1
1372381980,1
1372413420,1
1372415220,1
1372419540,1
1372420620,2
1372420800,1
1372421220,1
1372422120,2
1372423860,1
1372423980,1
1372425480,1
1372427940,1
1372433760,1
1372436400,1
1372442040,1
1372443780,1
1372450860,1
1372456560,1
1372456680,1
1372462980,1
1372463340,1
1372467480,1
1372467660,1
1372468020,1
1372481940,1
1372505040,1
1372509960,1
1372512720,1
1372513620,1
1372518840,1
