datetime,departures
1371160920,1
1371215400,1
1371217680,1
1371218760,1
1371219720,1
1371222600,1
1371227700,1
1371228000,1
1371230640,1
1371244560,1
1371251040,2
1371252060,1
1371257640,2
1371292800,1
1371303240,1
1371304260,1
1371315840,1
1371316020,2
1371316140,1
1371316320,2
1371316860,1
1371316920,1
1371318600,1
1371318660,1
1371320580,1
1371322980,1
1371323760,2
1371324480,2
1371326160,2
1371328440,1
1371329820,1
1371332100,1
1371333840,1
1371336720,2
1371337020,1
1371337260,1
1371337440,1
1371337620,1
1371337980,1
1371360360,1
1371377340,1
1371377820,1
1371396300,1
1371397680,1
1371400260,1
1371403320,1
1371405120,2
1371405240,1
1371405300,1
1371405720,1
1371407640,1
1371408780,1
1371410580,2
1371411420,1
1371411480,1
1371411720,1
1371412980,1
1371414000,1
1371414300,1
1371415740,1
1371418080,1
1371423180,1
1371435360,1
1371437040,1
1371437340,1
1371469260,1
1371471600,1
1371472980,1
1371473340,1
1371473880,1
1371474060,1
1371475140,1
1371492660,1
1371504780,1
1371505140,1
1371505740,1
1371506040,1
1371507780,1
1371509520,1
1371523260,1
1371551820,1
1371552780,1
1371555660,1
1371556200,1
1371556980,1
1371557340,1
1371558480,1
1371558720,1
1371558780,2
1371562140,1
1371566880,1
1371571380,1
1371580320,1
1371580380,1
1371582240,1
1371609540,1
1371636120,1
1371641220,1
1371641460,1
1371641940,1
1371642840,1
1371643560,1
1371643980,1
1371644340,2
1371645240,1
1371645600,1
1371647820,2
1371660540,1
1371663600,2
1371666240,1
1371666720,1
1371666840,1
1371669540,1
1371676740,1
1371677520,1
1371677940,3
1372547400,1
1372553700,2
1372556400,1
1372597800,1
1372598100,2
1372600980,1
1372604400,1
1372606800,1
1372609080,1
1372611600,1
1372614900,1
1372616940,2
1372620660,1
1372621200,1
1372631640,2
1372631700,1
1372633500,1
1372636140,1
1372641420,1
1372642320,1
1372677180,1
1372678140,1
1372679640,1
1372680540,1
1372681440,1
1372682040,1
1372687740,1
1372703700,1
1372719540,1
1372727400,1
1372727820,1
1372736040,1
1372742880,1
1372762080,1
1372765080,1
1372765140,1
1372773720,8
1373726940,1
1373727900,1
1373733180,1
1373737920,1
1373744340,1
1373744400,1
1373749080,1
1373749140,1
1373749260,1
1373750400,2
1373750640,1
1373753460,1
1373761260,1
1373761380,1
1373763120,1
1373763240,1
1373765940,1
1373811900,1
1373812080,1
1373814780,1
1373815560,1
1373823780,2
1373826480,2
1373826840,1
1373828400,1
1373830920,3
1373832060,1
1373833260,2
1373835180,2
1373836560,1
1373836680,1
1373837040,1
1373841060,1
1373841840,1
1373844360,1
1373847780,2
1373848020,1
1373848200,1
1373852400,1
1373856060,1
1373857560,1
1373859420,1
1373887500,1
1373888580,1
1373890740,1
1373891160,1
1373891520,1
1373891640,1
1373902140,1
1373902860,1
1373902920,1
1373903520,1
1373905380,1
1373908380,1
1373917200,1
1373917320,1
1373925240,1
1373925540,1
1373926080,1
1373928540,1
1373932140,1
1373942940,1
1373970180,1
1373970360,1
1373971200,1
1373971320,1
1373971560,1
1373972520,1
1373973720,1
1373975820,1
1373976120,1
1373976300,1
1373976720,1
1373977680,1
1373978160,1
1373978760,1
1373979000,2
1373979120,3
1373979420,1
1373985720,1
1373987460,1
1373989560,1
1373990820,1
1373998020,1
1374001320,1
1374006120,1
1374015240,1
1374015360,1
1374019620,1
1374025560,1
1374026220,1
1374027180,1
1374054600,1
1374056940,1
1374061200,1
1374061980,1
1374062580,1
1374062940,1
1374063360,3
1374064320,1
1374064380,1
1374064920,1
1374065340,1
1374066000,2
1374066120,1
1374068220,1
1374069420,1
1374069720,1
1374074040,1
1374074520,1
1374080460,1
1374082260,1
1374083520,1
1374085560,1
1374088440,1
1374090420,1
1374090660,1
1374094200,1
1374100380,1
1374101580,1
1374103080,1
1374105180,1
1374112020,1
1374113160,1
1374115380,1
1374116520,1
1374116640,1
1374117780,1
1374121260,1
1374126360,1
1374143220,1
1374145260,1
1374146280,1
1374146880,1
1374148140,1
1374148740,1
1374149220,3
1374149400,1
1374149580,2
1374149820,1
1374150840,1
1374150960,2
1374151080,1
1374151980,1
1374155100,1
1374155220,1
1374161100,1
1374162480,1
1374181500,1
1374187260,1
1374189540,1
1374190320,1
1374190620,1
1374196200,1
1374198420,1
1374198720,1
1374198840,1
1374199920,1
1374200340,1
1374202920,2
1374203160,1
1374203520,1
1374203760,1
1374204300,1
1374205260,1
1374205920,1
1374208620,1
1374209460,1
1374234840,1
1374235320,4
1374235620,1
1374235980,2
1374238320,1
1374239400,1
1374239520,1
1374240180,1
1374240480,1
1374242520,1
1374249060,1
1374258180,1
1374274200,1
1374277080,1
1374279900,1
1374280200,1
1374285420,1
1374299100,1
1374299520,1
1374322260,1
1374323160,1
1374330360,1
1374332220,1
1374332580,1
1374333180,1
1374337620,1
1374339000,1
1374340560,2
1374341580,1
1374344940,1
1374347220,1
1374347460,1
1374348480,1
1374348600,1
1374349320,1
1374351540,2
1374352500,1
1374352860,1
1374354900,1
1374358440,1
1374359580,1
1374359640,1
1374360060,1
1374360120,1
1374362940,2
1374383220,1
1374413100,1
1374417780,2
1374421080,1
1374421860,1
1374422340,1
1374424680,1
1374424800,2
1374424920,1
1374427500,1
1374427740,2
1374429720,1
1374429840,1
1374430080,1
1374430800,2
1374430980,1
1374436740,1
1374436980,1
1374438120,2
1374441120,1
1374441360,1
1374442080,2
1374444600,1
1374445980,1
1374449580,1
1374450900,1
1374453540,1
1374461640,1
1374462000,1
1374464040,1
1374490560,1
1374493980,1
1374495000,1
1374497880,1
1374499980,1
1374500520,1
1374515580,1
1374518760,1
1374523020,1
1374526080,1
1374527220,1
1374529560,1
1374529980,1
1374540960,1
1374544380,1
1374549480,1
1374571440,1
1374578220,1
1374579240,1
1374581580,1
1374582360,2
1374582540,2
1374584520,1
1374584940,1
1374585120,1
1374585780,1
1374586320,1
1374597780,1
1374599880,1
1374607320,1
1374615000,1
1374618060,1
1374618300,1
1374618720,1
1374619920,1
1374621000,1
1374624840,1
1374625080,1
1374628260,1
1374631260,1
1374631500,1
1374633300,3
1374636240,1
1374658080,1
1374665820,1
1374666000,1
1374667140,1
1374667680,1
1374668040,2
1374668580,1
1374669000,1
1374669360,1
1374669480,1
1374670200,1
1374670980,1
1374672180,1
1374703500,1
1374704880,1
1374707460,2
1374708660,1
1374710040,1
1374711300,2
1374723180,1
1374724320,1
1374725520,1
1374731340,1
1374750300,1
1374751320,1
1374752040,1
1374752520,1
1374753060,1
1374753840,1
1374753900,1
1374754320,1
1374754440,1
1374754800,1
1374756180,1
1374757560,1
1374769200,2
1374787560,1
1374791520,1
1374799020,1
1374801900,2
1374802020,2
1374804600,1
1374804720,1
1374835380,1
1374838260,1
1374839340,1
1374839940,1
1374840600,1
1374841140,1
1374841320,1
1374842100,1
1374842340,1
1374843300,1
1374857520,1
1374857760,2
1374860640,1
1374861360,1
1374866340,1
1374868560,1
1374873840,1
1374881280,1
1374887340,2
1374889080,1
1374889740,1
1374896160,1
1374900180,1
1374901440,2
1374903720,1
1374905700,1
1374923340,1
1374924720,1
1374926880,1
1374927000,1
1374928200,1
1374928500,1
1374929880,1
1374933060,1
1374933240,2
1374934860,1
1374936060,2
1374941340,1
1374941520,1
1374943500,1
1374943620,1
1374945240,1
1374947460,1
1374950520,1
1374950940,2
1374951120,1
1374951600,2
1374953280,2
1374954420,1
1374956760,1
1374957600,1
1374958260,1
1374961260,1
1374961320,3
1374963060,3
1374966960,1
1374969360,1
1374972000,1
1374972540,2
1374975600,1
1374975660,1
1374976560,1
1374978960,1
1374984900,2
1374985440,2
1374991020,1
1375010400,1
1375018620,1
1375020480,1
1375023120,1
1375023480,1
1375028100,1
1375032000,1
1375032600,1
1375034580,1
1375039560,1
1375039680,1
1375040820,1
1375041300,1
1375041900,1
1375048440,2
1375048680,1
1375048800,1
1375065000,1
1375098360,1
1375098480,1
1375099320,1
1375099920,1
1375106940,1
1375114560,1
1375125660,2
1375137540,1
1375139280,1
1375140240,1
1375143960,1
1375144560,1
1375152900,1
1375157520,1
1375179960,1
1375182120,1
1375182240,1
1375182420,2
1375183260,1
1375184820,1
1375184940,1
1375185000,1
1375185480,1
1375186380,1
1375186620,1
1375187400,1
1375187460,1
1375188300,1
1375188660,1
1375188720,1
1375188840,1
1375188960,1
1375189140,2
1375189260,1
1375190520,1
1375190640,1
1375191840,1
1375193400,1
1375203240,1
1375211640,1
1375211940,1
1375213860,1
1375213980,1
1375218420,1
1375218540,1
1375220760,1
1375221720,1
1375222680,1
1375222800,1
1375224480,1
1375230420,1
1375231080,1
1375231260,2
1375235220,1
1375235580,1
1375235640,1
1375245120,1
1375270020,1
1375270440,1
1375270620,1
1375271700,1
1375272060,1
1375272420,1
1375272480,1
1375272600,1
1375273500,2
1375273980,1
1375275000,1
1375276080,1
1375277040,1
1375277220,1
1375277340,1
1375277400,1
1375277580,1
1375278060,1
1375293600,1
1375308600,1
1375310100,1
1375311360,1
1375312860,1
1375313160,1
1375322100,1
1375328580,1
1375355160,1
1375355280,1
1375355400,2
1375356960,1
1375358880,1
1375359000,1
1375360020,1
1375360140,2
1375360260,1
1375360500,1
1375360680,1
1375360920,2
1375361040,1
1375361580,1
1375364700,1
1375364820,2
1375365000,1
1375371600,1
1375389840,1
1375394100,1
1375395180,1
1375396020,1
1375400220,1
1375400340,1
1375406520,1
1375443300,1
1375443780,1
1375443840,1
1375444680,1
1375445400,1
1375445580,1
1375446300,2
1375446660,1
1375446960,1
1375447020,1
1375458720,1
1375468140,1
1375468860,1
1375472760,1
1375476060,1
1375477620,1
1375483740,1
1375484940,1
1375487640,1
1375488840,1
1375493100,1
1375494420,2
1375500840,1
1375504680,1
1375514160,6
1375532520,1
1375532760,1
1375533840,1
1375536660,2
1375537860,1
1375539300,1
1375539540,1
1375549440,2
1375553460,1
1375553520,1
1375553640,2
1375554240,1
1375556940,1
1375561080,1
1375562220,1
1375563960,2
1375564140,2
1375566660,1
1375566960,1
1375567860,2
1375571460,1
1375579620,3
1375581540,1
1375581660,1
1375584480,1
1375592100,1
1375610160,1
1375618740,1
1375619340,1
1375622100,1
1375623840,1
1375624260,1
1375624380,2
1375628640,1
1375631040,1
1375631160,1
1375632900,1
1375634280,1
1375636800,1
1375638060,2
1375638360,1
1375638660,1
1375641180,1
1375642260,3
1375642320,1
1375644180,1
1375648020,1
1375648500,1
1375649640,1
1375652520,1
1375652700,1
1375655400,1
1375656360,1
1375657380,1
1375658280,1
1375660860,1
1375661520,2
1375664760,1
1375667400,2
1375675080,1
1375699920,1
1375702020,2
1375702740,1
1375720260,1
1375722840,1
1375723080,1
1375723500,1
1375728540,1
1375728600,1
1375729560,1
1375733220,2
1375742880,1
1375743360,2
1375745940,1
1375746900,1
1375747200,1
1375749600,1
1375751700,1
1375752420,1
1375752660,1
1375753560,1
1375757820,1
1375758120,1
1375762860,1
1375785180,1
1375786800,1
1375787640,1
1375788540,1
1375789560,1
1375790580,1
1375790940,1
1375791720,1
1375795080,1
1375795320,1
1375795620,1
1375795800,1
1375796940,1
1375797060,1
1375797540,1
1375799160,1
1375810020,2
1375821300,1
1375822860,1
1375823760,1
1375827840,1
1375828260,1
1375830900,1
1375831320,1
1375835460,1
1375839060,1
1375839180,1
1375848540,1
1375862940,1
1375871340,1
1375875540,1
1375876560,1
1375877220,1
1375877700,1
1375879080,1
1375879200,1
1375880580,1
1375882920,2
1375883220,1
1375883520,1
1375883820,1
1375884300,1
1375892880,1
1375896960,1
1375906200,3
1375906320,1
1375911360,1
1375913820,1
1375915440,1
1375915860,1
1375915980,1
1375916700,1
1375917000,1
1375917960,1
1375922340,1
1375926780,1
1375958040,1
1375959360,1
1375961100,1
1375961220,1
1375963140,1
1375963380,1
1375964160,1
1375964220,1
1375980780,1
1375980900,1
1375981500,1
1375996620,1
1375996740,1
