datetime,departures
1371153840,1
1371154260,1
1371155100,1
1371155820,1
1371157140,1
1371157620,1
1371158580,1
1371159540,1
1371159960,1
1371161940,1
1371163140,1
1371163680,1
1371165300,1
1371166740,1
1371180960,1
1371182940,1
1371196740,2
1371196800,3
1371196860,4
1371196920,2
1371197340,1
1371197940,1
1371201420,1
1371201480,4
1371201540,4
1371202320,2
1371205680,1
1371209160,1
1371210480,1
1371211320,1
1371211380,2
1371212760,1
1371212880,2
1371214380,1
1371214560,1
1371214620,1
1371214740,2
1371215220,1
1371217140,1
1371218280,1
1371219120,1
1371220200,1
1371221400,1
1371221640,2
1371222960,1
1371223680,1
1371223740,1
1371230460,1
1371231780,1
1371232740,1
1371234480,1
1371240600,1
1371242220,1
1371243420,1
1371243480,1
1371252480,1
1371253920,1
1371254580,1
1371257280,1
1371257400,1
1371264900,1
1371269280,1
1371269940,2
1371271560,2
1371274080,1
1371275220,1
1371289380,1
1371294720,1
1371297720,1
1371301500,1
1371302220,1
1371303660,1
1371305460,1
1371305700,1
1371305820,2
1371307980,1
1371308100,1
1371308880,1
1371310260,1
1371310980,1
1371311340,1
1371311460,1
1371311940,1
1371312120,1
1371312660,1
1371312900,2
1371313140,1
1371313500,1
1371314520,1
1371314580,1
1371315060,1
1371315720,1
1371315900,1
1371316140,1
1371316740,1
1371316920,1
1371317040,1
1371318000,1
1371318720,1
1371318960,1
1371319620,1
1371319980,1
1371321480,1
1371321840,1
1371323280,1
1371324900,1
1371325140,1
1371325800,1
1371325860,1
1371325920,1
1371326520,1
1371326640,2
1371327420,1
1371330480,1
1371330720,1
1371330900,1
1371331080,1
1371332460,1
1371333540,1
1371334080,1
1371334620,1
1371337140,1
1371337440,1
1371338280,1
1371339060,1
1371339120,2
1371339600,1
1371340440,1
1371340680,1
1371341040,1
1371342060,1
1371343500,1
1371343800,1
1371344280,1
1371345180,1
1371348780,2
1371348840,1
1371349320,1
1371349440,1
1371349980,1
1371351660,1
1371355440,1
1371356160,2
1371356280,5
1371356640,4
1371356940,1
1371357840,1
1371358680,1
1371364980,2
1371365880,1
1371366780,1
1371367020,1
1371367560,1
1371371760,1
1371375840,1
1371387780,1
1371391440,1
1371391800,1
1371392460,1
1371394680,1
1371396120,1
1371397200,1
1371397740,1
1371397980,1
1371398700,1
1371398760,1
1371398880,1
1371400020,1
1371400980,1
1371401760,1
1371401940,1
1371402960,1
1371403740,1
1371405840,1
1371406680,1
1371406800,1
1371407040,1
1371407640,1
1371408360,1
1371409140,1
1371409620,1
1371409920,1
1371410580,1
1371411180,1
1371411480,2
1371411780,2
1371411840,1
1371413220,1
1371413340,1
