datetime,departures
1371151320,1
1371152040,1
1371152460,1
1371154980,1
1371156540,1
1371156960,1
1371157260,1
1371157920,1
1371159000,1
1371159840,1
1371160800,2
1371161820,1
1371162420,1
1371164280,1
1371164460,1
1371164580,1
1371207480,1
1371208140,1
1371208380,1
1371209460,5
1371209700,2
1371209760,2
1371210720,1
1371214980,1
1371216060,1
1371216480,1
1371216600,1
1371217800,1
1371220260,1
1371221820,1
1371226320,1
1371227580,1
1371227880,1
1371228000,1
1371231540,2
1371232860,1
1371232980,2
1371233220,1
1371233340,1
1371234660,1
1371234840,1
1371235980,1
1371236460,1
1371236700,1
1371237180,1
1371238500,1
1371238560,1
1371240180,1
1371240600,1
1371241620,1
1371242220,1
1371243060,1
1371243900,1
1371245160,1
1371245280,1
1371246360,1
1371246420,1
1371246540,1
1371246780,1
1371246960,1
1371248640,1
1371249660,1
1371251700,1
1371252600,1
1371252900,1
1371253500,1
1371253800,1
1371254700,1
1371254880,1
1371255600,1
1371256020,1
1371257220,1
1371258180,1
1371258660,2
1371259560,1
1371259620,1
1371259860,1
1371260460,1
1371261240,1
1371261300,1
1371262260,2
1371264780,1
1371265260,1
1371265380,1
1371265980,1
1371266760,2
1371270000,1
1371288960,1
1371297780,1
1371298380,1
1371298620,1
1371299160,1
1371301800,1
1371303420,1
1371304380,1
1371305580,1
1371308640,1
1371308880,1
1371309180,1
1371309540,1
1371310560,1
1371310620,3
1371311280,1
1371311700,1
1371312360,1
1371312660,2
1371313740,1
1371315240,1
1371315420,2
1371316020,1
1371316560,1
1371316740,1
1371316860,1
1371316920,1
1371317820,2
1371317880,1
1371318000,2
1371318360,1
1371318540,1
1371319140,1
1371319320,1
1371319440,1
1371319620,3
1371319980,2
1371320760,2
1371320940,1
1371321420,1
1371323220,1
1371323820,1
1371325500,1
1371325740,1
1371325800,2
1371326580,1
1371326880,2
1371327360,2
1371328920,1
1371331140,1
1371331200,1
1371333540,2
1371333720,1
1371333900,1
1371334380,1
1371334440,1
1371334500,2
1371334620,2
1371336060,1
1371336360,1
1371336720,1
1371336960,1
1371337260,1
1371337620,1
1371338220,1
1371339420,1
1371339540,1
1371339720,1
1371340080,1
1371342900,1
1371344160,1
1371345840,2
1371346380,1
1371347040,1
1371348840,2
1371348900,1
1371349980,1
1371351240,1
1371351660,1
1371353700,1
1371353820,1
1371356280,1
1371358560,1
1371363420,1
1371364260,1
1371365220,1
1371373080,1
1371388800,1
1371390180,1
1371393300,1
1371397200,2
1371397740,1
1371398220,1
1371399360,1
1371399900,1
1371400140,1
1371400980,2
1371401280,1
1371401400,1
1371401460,1
1371402600,2
1371403860,1
1371404340,1
1371404400,1
1371404580,2
1371405600,1
1371406560,1
1371408780,2
1371408900,1
1371409920,1
1371411240,1
1371411300,1
1371413640,1
1371414180,1
1371414360,1
1371415380,1
1371415680,1
1371416640,1
1371417540,1
1371418200,1
1371419820,2
1371422400,1
1371422640,1
1371424320,1
1371424380,1
1371424620,1
1371425400,1
1371426180,1
1371426480,1
1371428820,2
1371429600,1
1371431820,1
1371433440,1
1371435840,1
1371436920,1
1371437700,1
1371437940,1
1371440340,1
1371447060,1
1371464280,1
1371467760,1
1371468540,1
1371468780,1
1371469740,1
1371472800,1
1371473160,3
1371473400,1
1371473940,1
1371474060,1
1371475080,1
1371475200,1
1371477420,1
1371477660,1
1371478800,1
1371479640,1
1371480120,1
1371481080,1
1371482040,1
1371482940,2
1371483480,1
1371484560,1
1371485520,1
1371485820,1
1371486960,1
1371489840,1
1371490140,1
1371491340,1
1371495240,1
1371495960,2
1371499740,1
1371499860,1
1371501360,1
1371501660,1
1371502260,1
1371502320,1
1371504060,1
1371506640,1
1371506700,1
1371507420,1
1371507660,1
1371507900,1
1371508560,2
1371509160,1
1371510360,1
1371510960,1
1371511980,1
1371512760,1
1371513240,2
1371513480,1
1371514260,1
1371515640,1
1371517320,1
1371523620,1
1371523920,1
1371525720,1
1371528060,1
1371548220,1
1371550380,1
1371552120,1
1371555540,1
1371556380,1
1371556680,1
1371557220,1
1371558780,1
1371558900,1
1371559200,1
1371559620,1
1371559800,1
1371560100,1
1371560160,1
1371560280,1
1371560640,1
1371561300,1
1371561720,1
1371562140,1
1371562560,2
1371562680,2
1371563400,1
1371565680,1
1371566220,1
1371566340,1
1371567840,2
1371568260,1
1371571020,1
1371571200,1
1371572700,1
1371574200,1
1371575340,1
1371575400,1
1371576000,2
1371578880,1
1371582720,1
1371583560,1
1371585120,1
1371589320,1
1371590880,1
1371591420,1
1371593160,1
1371594480,1
1371599280,1
1371600360,1
1371600840,1
1371601500,1
1371603480,1
1371604200,1
1371605580,1
1371606960,1
1371609540,2
1371611340,1
1371613260,1
1371615480,1
1371615540,2
1371615720,1
1371637020,1
1371640020,1
1371641220,1
1371642840,1
1371643320,1
1371643980,1
1371644220,1
1371644580,1
1371645540,1
1371646320,1
1371646440,1
1371646740,4
1371646980,1
1371647040,1
1371647400,1
1371647640,1
1371648360,2
1371648600,1
1371649020,1
1371649080,1
1371649560,1
1371649800,1
1371649920,1
1371651420,1
1371651540,1
1371651780,1
1371651840,1
1371655920,1
1371656880,1
1371658860,1
1371659520,1
1371661620,1
1371663180,1
1371664260,2
1371666120,1
1371667260,1
1371667920,1
1371669960,1
1371670560,1
1371671820,1
1371672180,1
1371672480,1
1371673680,1
1371674280,1
1371674580,1
1371675120,1
1371677100,1
1371678240,1
1371678780,1
1371680280,2
1371680400,1
1371681240,1
1371681660,1
1371681900,2
1371681960,1
1371682620,1
1371683220,1
1371683820,1
1371684060,1
1371684240,1
1371685860,1
1371686160,1
1371686460,1
1371686520,1
1371687600,1
1371688500,1
1371688680,1
1371689220,1
1371689700,1
1371691200,1
1371691620,1
1371692280,1
1371693180,1
1371694020,1
1371695160,1
1371695280,1
1371695460,1
1371695640,1
1371695820,1
1371695880,1
1371695940,1
1371696180,1
1371696480,1
1371698220,1
1371705240,1
1371705660,1
1371705720,1
1371707280,1
1371727560,1
1371727980,1
1371728640,2
1371728820,1
1371729180,1
1371729300,1
1371729480,1
1371729660,1
1371730920,1
1371730980,1
1371731040,1
1371731520,1
1371731640,2
1371732180,1
1371732300,1
1371732420,2
1371733080,1
1371733260,2
1371733740,1
1371733860,1
1371733920,2
1371734100,1
1371734340,1
1371734760,1
1371734880,1
1371735000,1
